symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AA,2024-08-27,33.78,34.52,33.52,33.73,3538716
AA,2024-08-28,32.64,32.76,31.47,31.56,7350400
AA,2024-08-29,31.67,32.23,31.17,31.93,4672904
AA,2024-08-30,31.96,32.06,31.29,31.57,3339800
AA,2024-09-03,30.61,30.63,29.31,29.72,5381726
AA,2024-09-04,30.32,30.7,29.95,29.97,3128000
AA,2024-09-05,30.09,30.58,29.61,29.77,3016700
AA,2024-09-06,29.5,29.72,27.87,28.05,7356006
AA,2024-09-09,28.52,28.73,27.93,28.49,5212507
AA,2024-09-10,28.3,28.36,27.31,27.7,4685226
AA,2024-09-11,28.36,29.41,27.83,29.36,5048503
AA,2024-09-12,30.48,31.23,30.09,30.83,5888458
AA,2024-09-13,31.5,32.41,31.4,31.98,5376521
AA,2024-09-16,33.69,35.01,33.08,33.93,10730933
AA,2024-09-17,33.44,33.67,32.86,33.4,5037500
AA,2024-09-18,33.67,35.35,33.32,33.77,6448000
AA,2024-09-19,34.81,35.17,34.22,34.34,6439800
AA,2024-09-20,33.04,33.5,32.66,33.27,9046319
AA,2024-09-23,33.56,33.88,33.22,33.66,4166613
AA,2024-09-24,35.89,36.76,35.61,36.17,9675600
AA,2024-09-25,34.83,36.04,34.83,35.41,5326800
AA,2024-09-26,37.67,38.96,37.37,38.63,9517542
AA,2024-09-27,38.88,39.63,38.44,38.62,5633106
AA,2024-09-30,38.25,38.38,37.64,37.94,3456631
AA,2024-10-01,38.77,39.18,38.13,38.53,4431300
AA,2024-10-02,38.76,39.31,38.21,38.52,2911247
AA,2024-10-03,37.31,37.96,37.13,37.53,4294700
AA,2024-10-04,38.35,38.96,38.0,38.47,4145013
AA,2024-10-07,38.03,39.13,38.03,38.81,3777414
AA,2024-10-08,37.78,38.07,36.58,37.1,6819200
AA,2024-10-09,36.72,38.05,36.27,37.8,4674017
AA,2024-10-10,37.81,39.07,37.58,38.6,3704302
AA,2024-10-11,39.98,40.6,39.55,40.34,5202101
AA,2024-10-14,39.77,41.29,39.76,41.1,5480904
AA,2024-10-15,40.65,41.11,40.32,40.61,4565649
AA,2024-10-16,41.39,41.54,40.87,41.37,6820300
AA,2024-10-17,42.09,42.24,39.36,39.68,11257731
AA,2024-10-18,41.08,41.47,40.17,41.02,5355800
AA,2024-10-21,41.13,41.25,40.5,40.83,3157400
AA,2024-10-22,41.38,42.1,41.01,41.32,3607035
AA,2024-10-23,40.84,41.54,40.6,41.18,4182518
AA,2024-10-24,41.5,41.65,40.37,41.32,3696100
AA,2024-10-25,41.49,41.55,40.41,40.42,3768912
AA,2024-10-28,40.37,40.83,39.36,40.72,4317868
AA,2024-10-29,41.07,41.34,40.24,40.37,3304700
AA,2024-10-30,40.06,40.6,39.26,39.98,3993724
AA,2024-10-31,39.76,39.97,38.87,39.51,3905300
AA,2024-11-01,40.06,40.6,39.67,39.99,3869732
AA,2024-11-04,39.92,40.83,39.71,40.15,2931000
