symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AAOI,2024-08-27,9.54,9.69,9.14,9.18,1109000
AAOI,2024-08-28,9.2,9.27,8.55,9.12,1686846
AAOI,2024-08-29,9.2,10.59,9.13,10.3,3669830
AAOI,2024-08-30,10.4,11.36,10.39,11.35,4196325
AAOI,2024-09-03,12.0,12.75,11.89,12.26,6185000
AAOI,2024-09-04,12.0,13.65,11.9,13.0,4302124
AAOI,2024-09-05,13.02,13.6,12.14,12.24,2977300
AAOI,2024-09-06,12.17,12.24,11.48,11.81,1807900
AAOI,2024-09-09,11.84,13.13,11.81,13.02,2827930
AAOI,2024-09-10,13.1,13.25,12.15,12.52,1764054
AAOI,2024-09-11,12.52,13.35,12.09,13.03,2511900
AAOI,2024-09-12,13.47,14.99,13.41,14.52,4594548
AAOI,2024-09-13,14.54,14.97,14.15,14.61,1832300
AAOI,2024-09-16,14.67,14.71,13.16,13.19,2942106
AAOI,2024-09-17,13.51,13.67,13.18,13.58,1342471
AAOI,2024-09-18,13.62,13.89,12.8,13.28,1352000
AAOI,2024-09-19,14.09,14.39,13.64,14.2,1799965
AAOI,2024-09-20,14.09,14.15,13.55,13.83,1552700
AAOI,2024-09-23,14.02,14.72,13.81,14.06,1768648
AAOI,2024-09-24,14.36,16.99,14.3,15.98,5535600
AAOI,2024-09-25,16.0,16.1,15.15,15.38,2120325
AAOI,2024-09-26,15.95,16.61,14.76,14.81,2467814
AAOI,2024-09-27,14.83,15.27,13.55,13.74,2721200
AAOI,2024-09-30,13.63,14.7,13.47,14.31,3395249
AAOI,2024-10-01,14.03,14.3,13.15,13.32,1922400
AAOI,2024-10-02,13.25,13.78,12.42,13.75,2092100
AAOI,2024-10-03,13.65,14.44,13.38,14.2,1328607
AAOI,2024-10-04,14.55,15.73,14.3,15.36,2490006
AAOI,2024-10-07,15.28,15.58,14.51,14.94,1877600
AAOI,2024-10-08,15.06,17.18,15.06,16.45,4281312
AAOI,2024-10-09,16.31,16.6,15.67,16.17,2082400
AAOI,2024-10-10,16.04,16.73,15.54,16.66,1452211
AAOI,2024-10-11,16.66,17.93,16.59,17.86,2331804
AAOI,2024-10-14,18.5,19.46,18.1,18.42,3954022
AAOI,2024-10-15,18.55,18.79,16.93,17.4,3278000
AAOI,2024-10-16,17.96,19.44,17.34,18.97,3669800
AAOI,2024-10-17,19.44,19.54,18.52,19.0,2489919
AAOI,2024-10-18,19.2,20.34,18.34,18.57,2813050
AAOI,2024-10-21,18.57,18.75,17.8,18.51,1878620
AAOI,2024-10-22,18.1,18.37,17.4,17.63,1896230
AAOI,2024-10-23,17.47,18.45,16.93,17.01,2126732
AAOI,2024-10-24,17.26,17.68,17.0,17.45,1642854
AAOI,2024-10-25,17.92,18.55,17.38,17.44,1661200
AAOI,2024-10-28,17.63,17.8,16.59,16.6,2582200
AAOI,2024-10-29,16.35,16.67,15.19,15.67,4009100
AAOI,2024-10-30,15.29,16.49,15.0,16.35,2297112
AAOI,2024-10-31,16.01,16.22,15.5,15.62,1742047
AAOI,2024-11-01,15.96,17.06,15.91,16.84,2367400
AAOI,2024-11-04,16.84,17.43,16.33,16.4,1912132
AAOI,2024-11-05,16.8,17.35,16.45,16.54,2078202
AAOI,2024-11-06,17.53,18.0,15.91,16.21,4279900
AAOI,2024-11-07,16.83,18.34,16.3,17.9,7538015
AAOI,2024-11-08,19.5,27.81,18.63,27.76,19430500
AAOI,2024-11-11,27.85,28.7,25.76,28.29,7278600
AAOI,2024-11-12,27.72,28.94,27.2,28.54,3771344
AAOI,2024-11-13,28.9,28.9,27.11,27.26,2816000
AAOI,2024-11-14,27.47,29.17,27.1,28.15,4176101
AAOI,2024-11-15,27.83,28.53,26.18,26.8,3451010
AAOI,2024-11-18,26.75,29.38,26.27,27.32,3339203
AAOI,2024-11-19,26.96,28.63,26.96,28.55,2066000
AAOI,2024-11-20,29.95,34.09,29.73,34.07,6781300
AAOI,2024-11-21,36.99,38.86,34.86,35.5,6408349
AAOI,2024-11-22,35.82,38.94,35.17,37.99,4942241
AAOI,2024-11-25,38.45,39.61,35.82,37.91,3574949
AAOI,2024-11-26,38.27,39.41,36.17,37.02,2906606
AAOI,2024-11-27,37.62,38.07,34.43,36.42,2928300
AAOI,2024-11-29,37.64,43.05,37.49,41.22,3853500
AAOI,2024-12-02,42.88,43.88,40.73,40.74,4014227
AAOI,2024-12-03,40.53,44.32,40.25,41.74,3244517
AAOI,2024-12-04,41.6,44.5,39.67,44.03,4414010
AAOI,2024-12-05,44.03,44.2,34.2,34.48,8724017
AAOI,2024-12-06,37.45,41.29,36.35,38.88,6082531
AAOI,2024-12-09,38.59,39.39,34.91,36.16,3660807
AAOI,2024-12-10,33.84,36.09,31.61,33.09,5844929
AAOI,2024-12-11,34.0,34.74,31.44,33.67,3923000
AAOI,2024-12-12,33.5,35.45,32.95,33.0,2692500
AAOI,2024-12-13,33.75,38.24,33.56,36.43,4420100
