symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ACI,2024-12-05,18.27,18.43,18.11,18.23,1780427
ACI,2024-12-06,18.32,18.4,18.14,18.23,1737418
ACI,2024-12-09,18.26,18.29,17.98,18.04,1857900
ACI,2024-12-10,18.09,18.44,16.19,17.63,15812800
ACI,2024-12-11,18.28,18.33,17.34,17.36,27121900
ACI,2024-12-12,17.5,18.32,17.23,18.21,18195000
ACI,2024-12-13,18.14,18.63,17.99,18.57,10440304
ACI,2024-12-16,18.47,18.94,18.23,18.91,8410547
ACI,2024-12-17,19.05,19.12,18.05,18.4,8205829
ACI,2024-12-18,18.21,18.33,18.03,18.05,6984948
ACI,2024-12-19,17.98,18.58,17.86,18.49,8163738
ACI,2024-12-20,18.44,18.67,18.34,18.59,9898704
ACI,2024-12-23,18.54,18.7,18.23,18.7,3465400
ACI,2024-12-24,18.71,18.71,18.5,18.7,1722329
ACI,2024-12-26,18.64,18.89,18.49,18.89,3850130
ACI,2024-12-27,18.66,18.97,18.66,18.97,4383528
ACI,2024-12-30,18.91,19.0,18.5,18.69,5292956
ACI,2024-12-31,18.65,18.89,18.62,18.71,3859509
ACI,2025-01-02,18.77,18.92,18.58,18.73,5374821
ACI,2025-01-03,18.68,18.92,18.64,18.86,5697332
ACI,2025-01-06,18.86,18.92,18.54,18.67,5749817
ACI,2025-01-07,18.8,18.81,18.49,18.78,9503100
ACI,2025-01-08,19.05,19.06,18.65,18.94,9867150
ACI,2025-01-10,18.92,19.08,18.77,19.0,7153300
ACI,2025-01-13,19.15,19.71,19.03,19.68,9318370
ACI,2025-01-14,19.67,19.92,19.47,19.74,6551600
ACI,2025-01-15,19.73,19.75,19.1,19.45,7106561
ACI,2025-01-16,19.39,19.51,19.18,19.24,5637512
ACI,2025-01-17,19.21,19.34,18.67,18.71,7506470
ACI,2025-01-21,19.17,19.17,18.52,18.76,4709248
ACI,2025-01-22,18.72,18.79,18.59,18.69,3446653
ACI,2025-01-23,18.63,18.89,18.63,18.84,4231900
ACI,2025-01-24,18.92,19.12,18.81,19.11,7597855
ACI,2025-01-27,19.25,19.37,18.94,19.0,4559245
ACI,2025-01-28,19.08,19.14,18.83,19.04,3519044
ACI,2025-01-29,19.03,19.25,19.0,19.21,2976847
ACI,2025-01-30,19.19,19.36,19.13,19.24,4589300
ACI,2025-01-31,19.23,19.44,19.2,19.24,3458700
ACI,2025-02-03,18.98,19.27,18.74,18.79,7245755
ACI,2025-02-04,18.91,19.48,18.84,19.43,6406800
ACI,2025-02-05,19.44,19.63,19.36,19.58,3942489
ACI,2025-02-06,19.67,19.87,19.53,19.8,5277974
ACI,2025-02-07,19.77,20.11,19.63,20.05,4006402
ACI,2025-02-10,20.11,20.37,19.94,20.36,3655688
ACI,2025-02-11,20.29,20.44,20.06,20.43,3590528
ACI,2025-02-12,20.27,20.71,20.25,20.69,6408246
ACI,2025-02-13,20.69,20.8,20.47,20.48,3937453
ACI,2025-02-14,20.5,20.54,19.86,19.99,3613600
ACI,2025-02-18,19.88,19.92,19.69,19.81,4122300
ACI,2025-02-19,19.79,19.87,19.6,19.7,2548000
ACI,2025-02-20,19.55,19.79,19.42,19.73,4038254
ACI,2025-02-21,19.62,19.87,19.45,19.72,7541382
ACI,2025-02-24,19.77,19.81,19.53,19.61,3335489
ACI,2025-02-25,19.67,19.94,19.53,19.82,3862960
ACI,2025-02-26,19.79,20.22,19.74,19.86,4432869
ACI,2025-02-27,19.92,20.18,19.82,19.98,3221456
ACI,2025-02-28,20.06,20.23,19.95,20.19,4702009
ACI,2025-03-03,20.03,20.22,19.62,19.86,4636100
ACI,2025-03-04,19.53,19.7,18.8,18.96,7744516
ACI,2025-03-05,19.67,20.04,19.55,19.96,12468282
ACI,2025-03-06,19.98,20.36,19.94,20.13,11142826
ACI,2025-03-07,20.03,20.65,20.02,20.6,11258500
ACI,2025-03-10,20.49,20.59,19.81,20.3,58771113
