symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ACIW,2024-08-27,49.14,49.57,48.61,49.14,432945
ACIW,2024-08-28,48.79,49.3,48.69,48.89,518300
ACIW,2024-08-29,49.0,49.86,48.89,49.67,716032
ACIW,2024-08-30,49.67,50.52,49.48,50.36,714100
ACIW,2024-09-03,50.07,50.52,48.73,48.95,743241
ACIW,2024-09-04,48.85,49.75,48.54,48.58,720509
ACIW,2024-09-05,48.31,49.22,47.97,49.0,670200
ACIW,2024-09-06,49.07,49.28,47.66,47.82,636400
ACIW,2024-09-09,47.85,48.35,47.26,47.67,986903
ACIW,2024-09-10,47.76,47.79,46.35,47.06,734320
ACIW,2024-09-11,46.75,47.09,46.18,47.03,572300
ACIW,2024-09-12,47.23,47.71,46.98,47.38,418500
ACIW,2024-09-13,47.63,48.97,47.55,48.53,741109
ACIW,2024-09-16,48.55,49.05,48.36,48.94,506839
ACIW,2024-09-17,49.36,49.5,48.56,48.98,572600
ACIW,2024-09-18,48.92,50.61,48.71,49.16,650446
ACIW,2024-09-19,50.4,50.4,48.97,49.46,1039500
ACIW,2024-09-20,49.31,50.8,49.24,50.33,2429703
ACIW,2024-09-23,50.45,51.0,50.03,50.34,714585
ACIW,2024-09-24,50.36,50.58,49.91,50.2,586900
ACIW,2024-09-25,50.19,50.55,48.86,49.16,759000
ACIW,2024-09-26,49.59,49.63,49.04,49.47,600717
ACIW,2024-09-27,49.71,50.93,49.5,50.23,556400
ACIW,2024-09-30,50.0,51.19,49.98,50.9,891103
ACIW,2024-10-01,50.7,50.87,49.58,50.46,671951
ACIW,2024-10-02,49.91,50.56,49.78,50.12,546949
ACIW,2024-10-03,50.12,50.38,49.55,50.03,549619
ACIW,2024-10-04,50.75,52.1,50.5,51.89,638400
ACIW,2024-10-07,51.58,51.66,49.93,50.18,910400
ACIW,2024-10-08,50.31,51.06,50.18,50.85,868833
ACIW,2024-10-09,50.61,52.1,50.47,51.67,599953
ACIW,2024-10-10,50.93,51.61,50.19,51.55,822608
ACIW,2024-10-11,51.77,52.72,51.77,52.66,915800
ACIW,2024-10-14,52.85,52.89,52.41,52.66,367090
ACIW,2024-10-15,52.77,53.29,52.6,52.63,323700
ACIW,2024-10-16,53.12,53.27,52.62,52.87,406315
ACIW,2024-10-17,52.76,52.91,51.84,51.94,536604
ACIW,2024-10-18,51.48,51.72,50.58,50.66,613900
ACIW,2024-10-21,50.65,50.67,48.97,49.02,617392
ACIW,2024-10-22,48.96,49.48,48.71,48.91,517334
ACIW,2024-10-23,48.78,49.48,48.72,49.17,590200
ACIW,2024-10-24,49.27,49.55,48.86,49.0,412027
ACIW,2024-10-25,49.21,49.59,48.52,48.8,458600
ACIW,2024-10-28,49.26,49.92,49.25,49.56,424836
ACIW,2024-10-29,49.2,49.94,49.03,49.89,464724
ACIW,2024-10-30,49.66,50.46,49.64,49.9,293000
ACIW,2024-10-31,49.72,49.94,49.06,49.2,484742
ACIW,2024-11-01,49.41,50.05,49.27,49.49,440800
ACIW,2024-11-04,49.38,50.16,49.14,50.15,460145
ACIW,2024-11-05,50.28,51.49,50.28,51.17,525421
ACIW,2024-11-06,53.23,54.47,52.89,54.42,1262900
ACIW,2024-11-07,55.0,59.6,55.0,59.2,1188169
ACIW,2024-11-08,58.84,59.0,57.72,58.01,1332141
ACIW,2024-11-11,58.38,59.15,55.67,55.82,1200629
ACIW,2024-11-12,55.32,57.28,55.12,56.77,1791500
ACIW,2024-11-13,56.96,57.62,56.26,56.69,947900
ACIW,2024-11-14,56.69,57.19,54.57,55.0,560200
ACIW,2024-11-15,55.04,55.12,53.8,54.29,441829
ACIW,2024-11-18,54.22,54.99,53.87,54.58,434040
ACIW,2024-11-19,53.94,54.57,53.75,54.45,454323
ACIW,2024-11-20,54.7,55.13,53.77,54.73,503828
ACIW,2024-11-21,55.17,55.83,54.88,55.72,529842
ACIW,2024-11-22,55.88,58.77,55.86,58.64,912101
ACIW,2024-11-25,59.16,59.71,58.22,58.31,1149300
ACIW,2024-11-26,58.13,58.16,56.78,57.3,674700
ACIW,2024-11-27,57.45,57.64,56.21,56.66,468328
ACIW,2024-11-29,57.08,57.28,56.48,56.82,317900
ACIW,2024-12-02,56.79,57.41,55.38,57.14,789322
ACIW,2024-12-03,57.15,57.7,56.02,56.52,532700
ACIW,2024-12-04,56.61,57.81,56.21,56.43,769315
ACIW,2024-12-05,56.4,56.71,54.81,55.22,594400
ACIW,2024-12-06,55.41,56.22,55.19,55.83,448843
ACIW,2024-12-09,56.02,56.67,53.5,53.87,791243
ACIW,2024-12-10,54.0,54.47,53.13,53.41,916100
ACIW,2024-12-11,55.06,56.29,54.61,55.85,1018000
ACIW,2024-12-12,55.15,56.18,54.59,54.6,609600
ACIW,2024-12-13,54.53,55.34,53.86,54.01,503412
ACIW,2024-12-16,54.01,55.03,54.01,54.89,618412
ACIW,2024-12-17,54.74,55.32,53.47,53.77,561600
ACIW,2024-12-18,54.07,54.87,51.38,51.9,763900
ACIW,2024-12-19,52.48,53.42,52.23,52.43,792900
ACIW,2024-12-20,51.77,53.4,51.59,53.04,2203532
ACIW,2024-12-23,52.83,53.0,51.53,52.11,525800
ACIW,2024-12-24,52.27,53.0,52.17,52.89,255810
ACIW,2024-12-26,52.56,53.0,52.33,52.9,375501
ACIW,2024-12-27,52.44,52.48,51.33,51.9,454213
ACIW,2024-12-30,51.08,52.06,50.6,51.49,1178521
ACIW,2024-12-31,51.76,52.25,51.31,51.91,698340
ACIW,2025-01-02,52.56,52.76,51.78,52.59,522300
ACIW,2025-01-03,52.85,53.95,52.45,53.21,448737
ACIW,2025-01-06,53.26,53.5,52.67,52.73,656500
ACIW,2025-01-07,52.64,52.7,50.25,51.11,795023
ACIW,2025-01-08,50.51,52.16,50.26,52.12,488549
ACIW,2025-01-10,51.12,51.8,50.88,51.34,737400
ACIW,2025-01-13,50.36,51.7,50.3,51.62,588650
ACIW,2025-01-14,52.21,52.8,51.63,52.4,478000
ACIW,2025-01-15,53.46,53.79,52.41,53.48,610800
ACIW,2025-01-16,53.57,54.8,53.57,54.34,876400
ACIW,2025-01-17,55.37,55.39,53.3,53.84,576526
ACIW,2025-01-21,54.49,55.08,54.0,54.54,507412
ACIW,2025-01-22,54.53,54.86,52.69,52.88,618532
ACIW,2025-01-23,52.66,53.03,51.92,52.5,1095300
ACIW,2025-01-24,52.51,52.56,51.71,52.19,565000
ACIW,2025-01-27,51.69,53.62,51.55,53.25,595142
ACIW,2025-01-28,53.13,54.39,52.64,53.94,481477
ACIW,2025-01-29,53.63,54.31,53.26,53.69,493243
ACIW,2025-01-30,53.89,55.33,53.86,54.35,619632
ACIW,2025-01-31,54.47,54.71,53.26,53.55,527900
ACIW,2025-02-03,52.31,53.65,51.6,53.41,1258118
ACIW,2025-02-04,53.4,54.16,53.4,53.7,467965
ACIW,2025-02-05,53.9,55.12,53.1,54.83,774955
ACIW,2025-02-06,55.29,55.3,53.47,54.03,662053
ACIW,2025-02-07,54.15,54.15,52.73,52.89,564600
ACIW,2025-02-10,53.15,53.51,52.69,52.97,557500
ACIW,2025-02-11,52.44,52.77,51.92,52.31,502544
ACIW,2025-02-12,51.49,51.98,51.02,51.62,407900
ACIW,2025-02-13,52.17,52.71,51.44,52.54,437516
ACIW,2025-02-14,52.74,53.24,52.17,52.51,452600
ACIW,2025-02-18,52.38,52.73,51.94,52.73,337123
ACIW,2025-02-19,52.61,53.0,51.57,52.2,651900
ACIW,2025-02-20,51.94,52.16,50.85,51.7,461453
ACIW,2025-02-21,51.87,52.16,50.49,50.56,818500
ACIW,2025-02-24,50.75,51.03,49.68,50.38,843707
ACIW,2025-02-25,50.34,50.98,49.81,50.56,470534
ACIW,2025-02-26,50.56,51.67,50.4,50.58,696000
ACIW,2025-02-27,51.37,54.98,50.93,54.47,1530411
ACIW,2025-02-28,54.5,57.38,54.25,57.35,1482232
ACIW,2025-03-03,57.36,58.14,54.72,54.95,1110900
ACIW,2025-03-04,54.38,55.17,53.13,53.7,839400
ACIW,2025-03-05,53.63,54.64,53.21,54.2,644300
ACIW,2025-03-06,53.22,54.78,52.34,52.88,700900
ACIW,2025-03-07,52.78,53.69,51.6,53.21,553500
ACIW,2025-03-10,52.27,52.39,51.24,51.69,812427
ACIW,2025-03-11,51.69,52.62,51.57,51.77,636100
ACIW,2025-03-12,51.9,52.68,51.27,51.61,650536
ACIW,2025-03-13,51.39,51.56,50.71,51.06,494700
ACIW,2025-03-14,51.67,53.29,51.25,52.92,551201
ACIW,2025-03-17,52.76,53.66,52.42,53.26,488907
ACIW,2025-03-18,53.0,53.15,52.38,52.52,877337
ACIW,2025-03-19,52.58,53.9,52.53,53.54,448800
ACIW,2025-03-20,53.07,54.05,53.07,53.5,411347
ACIW,2025-03-21,52.92,53.36,52.2,53.05,1260100
ACIW,2025-03-24,54.04,54.64,53.84,54.43,522300
ACIW,2025-03-25,54.68,55.83,54.5,55.26,427500
ACIW,2025-03-26,55.26,55.87,54.65,55.08,458500
ACIW,2025-03-27,55.02,55.4,54.12,55.17,424548
ACIW,2025-03-28,54.91,55.42,53.67,54.28,595550
ACIW,2025-03-31,53.65,54.99,53.22,54.71,995400
ACIW,2025-04-01,54.39,57.0,54.09,56.7,1310838
ACIW,2025-04-02,55.68,57.49,55.0,57.17,930179
ACIW,2025-04-03,54.59,55.87,53.33,53.46,1037169
ACIW,2025-04-04,51.1,52.42,49.78,50.18,1012012
ACIW,2025-04-07,47.81,52.47,47.0,49.7,1322926
ACIW,2025-04-08,51.86,52.51,47.46,48.0,1714600
ACIW,2025-04-09,47.61,53.86,47.22,53.35,1134202
ACIW,2025-04-10,51.74,52.25,49.75,50.93,965646
ACIW,2025-04-11,50.71,52.03,49.7,51.88,712326
ACIW,2025-04-14,53.0,53.13,51.82,52.13,564500
ACIW,2025-04-15,52.19,52.83,51.91,52.22,541410
ACIW,2025-04-16,51.62,52.18,50.8,51.31,482111
ACIW,2025-04-17,51.34,51.7,50.73,50.94,472900
ACIW,2025-04-21,50.35,50.56,49.03,49.73,434600
ACIW,2025-04-22,50.74,51.58,50.38,51.06,927900
ACIW,2025-04-23,52.2,53.31,51.51,51.65,607700
ACIW,2025-04-24,51.84,52.7,51.84,52.03,546343
ACIW,2025-04-25,51.87,52.62,51.62,52.39,571023
ACIW,2025-04-28,52.5,53.33,52.35,52.78,623917
ACIW,2025-04-29,52.55,53.77,52.55,53.52,807328
ACIW,2025-04-30,52.78,53.69,52.3,53.36,673710
ACIW,2025-05-01,53.67,54.28,53.16,53.91,830809
ACIW,2025-05-02,54.56,55.09,54.37,54.84,577800
ACIW,2025-05-05,54.3,55.15,54.3,54.55,549847
ACIW,2025-05-06,53.97,54.66,53.6,54.43,571300
ACIW,2025-05-07,54.82,55.45,54.28,54.88,688700
ACIW,2025-05-08,52.51,53.23,48.43,48.46,1767000
ACIW,2025-05-09,48.75,49.02,46.23,46.56,1424140
ACIW,2025-05-12,48.67,49.86,47.9,48.76,1752600
ACIW,2025-05-13,48.86,49.47,48.25,49.16,1256362
ACIW,2025-05-14,48.78,49.57,48.76,49.21,1090500
ACIW,2025-05-15,49.17,49.6,48.56,48.77,1043517
ACIW,2025-05-16,48.66,49.36,48.57,48.87,734557
ACIW,2025-05-19,48.32,49.12,48.32,49.12,573053
ACIW,2025-05-20,48.9,49.34,47.76,47.79,964045
ACIW,2025-05-21,47.41,47.66,45.51,45.7,1328100
ACIW,2025-05-22,45.72,46.77,45.57,46.47,1285326
ACIW,2025-05-23,45.94,47.08,45.9,46.29,1011000
ACIW,2025-05-27,46.79,47.46,46.1,46.59,791400
ACIW,2025-05-28,46.51,47.05,46.24,46.26,687200
ACIW,2025-05-29,46.65,46.65,45.76,46.14,478900
ACIW,2025-05-30,46.14,46.47,45.67,46.26,655526
ACIW,2025-06-02,45.95,46.47,45.3,46.12,709447
ACIW,2025-06-03,46.12,47.15,45.92,46.79,626934
ACIW,2025-06-04,47.23,47.65,46.36,46.62,470052
ACIW,2025-06-05,46.65,47.22,46.47,46.97,560623
ACIW,2025-06-06,47.48,47.48,46.78,47.3,560301
ACIW,2025-06-09,47.12,47.95,47.0,47.79,546800
ACIW,2025-06-10,47.7,47.91,47.01,47.38,743000
ACIW,2025-06-11,47.41,47.93,46.91,47.06,457700
ACIW,2025-06-12,47.06,47.27,46.66,46.88,371300
ACIW,2025-06-13,46.31,46.61,44.96,45.07,645700
ACIW,2025-06-16,45.33,46.0,45.17,45.56,722700
ACIW,2025-06-17,45.11,45.65,44.96,44.99,397400
ACIW,2025-06-18,44.97,45.64,44.6,44.78,439500
ACIW,2025-06-20,44.94,45.24,44.21,44.59,1199142
ACIW,2025-06-23,44.52,45.39,44.06,45.37,654039
ACIW,2025-06-24,45.91,46.26,45.28,46.04,565800
ACIW,2025-06-25,46.13,46.24,44.91,45.18,558500
ACIW,2025-06-26,45.26,45.49,44.96,45.41,471200
ACIW,2025-06-27,45.69,45.9,45.16,45.49,725735
ACIW,2025-06-30,45.85,46.39,45.66,45.91,725300
ACIW,2025-07-01,45.62,46.61,45.44,45.94,655400
ACIW,2025-07-02,45.94,45.94,45.03,45.49,790000
ACIW,2025-07-03,45.74,46.45,45.32,46.21,438500
ACIW,2025-07-07,46.11,46.44,45.35,45.47,651429
ACIW,2025-07-08,45.54,46.61,45.54,45.93,826590
ACIW,2025-07-09,46.16,46.26,45.17,45.43,652800
ACIW,2025-07-10,45.31,45.54,44.7,45.11,628306
ACIW,2025-07-11,44.94,45.05,43.74,43.9,630100
ACIW,2025-07-14,43.95,44.8,43.92,44.44,615900
ACIW,2025-07-15,44.58,44.61,43.75,43.78,611309
ACIW,2025-07-16,44.13,44.56,43.92,44.26,692600
ACIW,2025-07-17,45.17,45.99,44.83,45.7,806918
ACIW,2025-07-18,45.89,45.89,45.25,45.34,480834
ACIW,2025-07-21,45.4,45.7,44.92,45.0,415468
ACIW,2025-07-22,45.01,45.82,44.76,45.52,730500
ACIW,2025-07-23,45.52,46.18,44.71,45.96,1009949
ACIW,2025-07-24,45.97,46.17,44.91,44.95,616634
ACIW,2025-07-25,45.17,45.45,44.55,44.8,886400
ACIW,2025-07-28,44.98,45.2,44.45,44.52,1010234
ACIW,2025-07-29,44.94,45.15,43.6,43.64,1057727
ACIW,2025-07-30,43.7,44.49,43.39,43.71,787205
ACIW,2025-07-31,43.65,43.74,42.51,42.56,904100
ACIW,2025-08-01,41.86,42.13,40.45,40.74,1156636
ACIW,2025-08-04,41.08,42.16,40.8,41.93,911034
ACIW,2025-08-05,41.94,41.94,41.19,41.54,758642
ACIW,2025-08-06,41.63,42.23,41.26,42.15,1159230
ACIW,2025-08-07,45.2,46.36,42.8,43.74,1453807
ACIW,2025-08-08,44.07,45.38,43.73,44.55,1228600
ACIW,2025-08-11,44.58,45.13,44.29,44.39,935000
ACIW,2025-08-12,44.53,46.49,44.49,46.34,1155770
ACIW,2025-08-13,46.52,47.62,46.29,47.29,1117867
ACIW,2025-08-14,47.03,47.03,46.29,46.61,919625
ACIW,2025-08-15,46.83,46.83,45.94,46.56,763641
ACIW,2025-08-18,46.56,47.36,46.23,47.25,573838
ACIW,2025-08-19,47.35,47.77,46.97,47.03,520817
ACIW,2025-08-20,46.98,47.25,46.78,47.09,823955
ACIW,2025-08-21,46.96,47.91,46.62,47.87,1054700
ACIW,2025-08-22,48.13,49.83,48.13,49.31,774000
ACIW,2025-08-25,49.28,49.51,48.72,48.76,682700
ACIW,2025-08-26,48.64,48.9,48.13,48.14,1607840
ACIW,2025-08-27,48.1,48.5,47.81,48.49,692000
ACIW,2025-08-28,48.54,49.22,48.18,49.2,849900
ACIW,2025-08-29,49.29,49.42,48.88,49.35,789300
ACIW,2025-09-02,48.74,49.21,48.45,48.98,756100
ACIW,2025-09-03,48.99,49.22,48.57,49.17,1140336
ACIW,2025-09-04,49.24,49.67,48.41,49.64,800800
ACIW,2025-09-05,49.96,51.0,49.87,50.25,709531
ACIW,2025-09-08,50.79,51.3,49.48,51.21,1432846
ACIW,2025-09-09,51.35,51.35,50.27,51.23,725200
ACIW,2025-09-10,51.23,51.64,49.88,50.09,1057241
ACIW,2025-09-11,50.48,50.91,49.43,50.63,915100
ACIW,2025-09-12,50.79,50.94,50.12,50.15,888541
ACIW,2025-09-15,50.28,50.54,49.57,49.59,677200
ACIW,2025-09-16,49.51,49.51,48.83,49.38,812600
ACIW,2025-09-17,49.77,51.19,49.55,49.76,833500
ACIW,2025-09-18,50.09,51.25,49.89,51.13,894207
ACIW,2025-09-19,51.35,51.47,50.16,50.89,2918500
ACIW,2025-09-22,50.8,53.02,50.16,52.9,1513139
ACIW,2025-09-23,53.07,53.45,52.19,52.36,960100
ACIW,2025-09-24,52.61,52.99,52.2,52.28,494513
ACIW,2025-09-25,52.01,52.02,51.11,51.71,567000
ACIW,2025-09-26,51.67,52.45,51.3,52.26,476000
ACIW,2025-09-29,52.42,52.61,52.0,52.34,838120
ACIW,2025-09-30,52.34,52.82,51.41,52.77,843514
ACIW,2025-10-01,52.49,52.91,52.13,52.74,847111
ACIW,2025-10-02,52.86,53.17,52.51,53.02,588337
ACIW,2025-10-03,53.02,54.28,53.02,53.62,682400
ACIW,2025-10-06,53.79,54.25,53.1,53.58,846100
ACIW,2025-10-07,53.48,53.64,52.66,52.69,575200
