symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ACM,2024-08-27,97.56,100.26,97.36,99.82,1042345
ACM,2024-08-28,99.8,100.41,97.98,98.06,1101652
ACM,2024-08-29,98.14,99.48,97.23,97.73,939400
ACM,2024-08-30,98.29,99.44,97.35,98.32,1301500
ACM,2024-09-03,97.34,97.85,95.49,95.84,954825
ACM,2024-09-04,95.48,96.43,94.51,94.68,782023
ACM,2024-09-05,94.75,95.02,93.59,93.87,495300
ACM,2024-09-06,94.25,94.68,92.15,92.34,701100
ACM,2024-09-09,92.78,93.81,92.19,92.73,608348
ACM,2024-09-10,92.73,93.34,92.01,93.28,575238
ACM,2024-09-11,93.06,94.8,91.61,94.08,654835
ACM,2024-09-12,94.42,95.89,93.17,94.78,712239
ACM,2024-09-13,95.33,96.73,95.04,96.05,571119
ACM,2024-09-16,96.18,96.81,95.57,96.63,466000
ACM,2024-09-17,97.2,97.73,95.47,95.77,759100
ACM,2024-09-18,95.95,97.8,95.33,96.46,1143800
ACM,2024-09-19,98.18,99.81,97.89,99.4,1204100
ACM,2024-09-20,99.36,100.17,98.64,99.36,1681833
ACM,2024-09-23,99.83,100.41,99.19,100.12,711640
ACM,2024-09-24,100.53,101.22,99.93,100.39,1020700
ACM,2024-09-25,100.79,101.13,98.66,99.23,1139800
ACM,2024-09-26,100.89,102.07,100.17,101.32,1096913
ACM,2024-09-27,101.63,102.73,101.23,101.36,1189100
ACM,2024-09-30,101.16,101.51,100.04,101.4,929500
ACM,2024-10-01,101.3,101.4,99.63,100.73,587700
ACM,2024-10-02,100.26,100.9,99.68,100.34,584827
ACM,2024-10-03,99.82,101.52,99.11,100.93,1123542
ACM,2024-10-04,102.18,102.65,101.31,102.08,515900
ACM,2024-10-07,101.64,103.95,101.49,103.52,768778
ACM,2024-10-08,103.8,104.3,102.13,102.97,678300
ACM,2024-10-09,102.99,103.96,102.36,103.36,518100
ACM,2024-10-10,102.9,103.02,102.04,102.47,603700
ACM,2024-10-11,102.54,104.2,102.27,104.13,571746
ACM,2024-10-14,104.17,104.99,103.65,104.66,707607
ACM,2024-10-15,104.57,105.84,104.25,104.51,706300
ACM,2024-10-16,104.75,106.52,104.54,105.54,678218
ACM,2024-10-17,105.92,106.17,104.8,105.83,476900
ACM,2024-10-18,106.11,106.2,104.91,106.16,481544
ACM,2024-10-21,105.76,106.17,105.13,105.77,389400
ACM,2024-10-22,105.02,105.42,103.9,104.68,452400
ACM,2024-10-23,104.44,105.06,103.01,103.68,398100
ACM,2024-10-24,103.45,104.13,102.62,103.21,446143
ACM,2024-10-25,103.78,103.78,101.99,102.82,346417
ACM,2024-10-28,103.48,104.47,103.15,104.23,451700
ACM,2024-10-29,103.57,106.92,103.33,106.72,1149821
ACM,2024-10-30,106.45,108.22,105.58,105.65,608900
ACM,2024-10-31,105.3,106.04,104.24,105.09,769318
ACM,2024-11-01,106.02,106.92,104.99,106.66,729546
ACM,2024-11-04,105.8,107.59,105.8,106.31,575400
ACM,2024-11-05,106.32,108.24,106.29,108.15,500400
ACM,2024-11-06,111.98,113.88,110.92,112.29,1100916
ACM,2024-11-07,112.29,112.46,107.28,108.95,1241907
ACM,2024-11-08,108.62,110.04,107.7,108.62,1232100
ACM,2024-11-11,108.63,110.35,108.59,109.79,866435
ACM,2024-11-12,110.05,110.57,109.4,110.36,644709
ACM,2024-11-13,110.25,113.03,109.82,110.71,1050400
ACM,2024-11-14,110.12,110.22,104.97,105.48,1817300
ACM,2024-11-15,105.49,105.49,104.07,105.22,1009101
ACM,2024-11-18,105.28,107.91,105.28,107.38,1688419
ACM,2024-11-19,105.06,107.81,105.06,107.09,1233748
ACM,2024-11-20,108.08,108.42,105.67,107.72,717619
ACM,2024-11-21,108.02,111.35,107.96,110.76,1159616
ACM,2024-11-22,111.96,114.89,111.39,114.45,1580400
ACM,2024-11-25,115.59,116.23,114.39,115.02,1395100
ACM,2024-11-26,115.08,115.75,113.96,114.87,716220
ACM,2024-11-27,115.58,116.66,113.62,114.87,1268500
ACM,2024-11-29,115.13,115.79,114.45,115.1,422323
ACM,2024-12-02,114.96,114.96,113.36,114.08,884208
ACM,2024-12-03,113.15,113.59,111.97,112.82,1017929
ACM,2024-12-04,112.68,113.15,112.15,113.09,659958
ACM,2024-12-05,113.31,113.31,111.93,112.39,650746
ACM,2024-12-06,112.89,112.89,111.58,111.93,397614
ACM,2024-12-09,111.93,112.65,110.45,110.71,607200
ACM,2024-12-10,110.72,111.49,109.1,110.67,664624
ACM,2024-12-11,111.92,111.99,110.63,110.96,731300
ACM,2024-12-12,110.93,111.06,109.64,110.24,630645
ACM,2024-12-13,109.56,110.47,109.47,109.72,782959
ACM,2024-12-16,109.36,110.46,108.62,108.92,963701
ACM,2024-12-17,108.42,109.26,107.32,108.63,851134
ACM,2024-12-18,109.22,109.32,105.09,105.22,809416
ACM,2024-12-19,106.52,107.29,105.05,105.33,703359
ACM,2024-12-20,104.76,107.11,104.76,106.26,2456709
ACM,2024-12-23,105.46,106.28,104.78,106.19,476594
ACM,2024-12-24,106.16,106.73,105.49,106.67,136439
ACM,2024-12-26,105.94,107.16,105.94,106.85,303300
ACM,2024-12-27,106.16,107.15,105.29,105.96,240800
ACM,2024-12-30,104.84,106.02,104.15,105.34,444208
ACM,2024-12-31,105.71,106.03,104.8,105.11,384930
ACM,2025-01-02,105.54,106.37,104.18,104.85,687810
ACM,2025-01-03,104.67,106.55,104.39,106.28,419600
ACM,2025-01-06,106.15,107.14,105.45,105.78,590707
ACM,2025-01-07,105.79,106.4,104.46,105.68,585609
ACM,2025-01-08,104.82,105.87,104.16,105.86,968168
ACM,2025-01-10,106.08,106.62,103.61,104.43,1198157
ACM,2025-01-13,104.19,107.22,104.08,106.99,1233855
ACM,2025-01-14,107.52,108.98,107.14,108.4,988005
ACM,2025-01-15,108.72,109.73,107.45,107.76,924630
ACM,2025-01-16,107.77,107.98,104.77,106.38,1122262
ACM,2025-01-17,106.83,107.65,106.07,107.45,3398417
ACM,2025-01-21,108.79,110.36,107.98,109.54,831373
ACM,2025-01-22,109.87,110.14,108.66,109.1,645334
ACM,2025-01-23,108.86,109.06,106.65,106.86,773300
ACM,2025-01-24,106.63,108.04,106.38,107.67,751600
ACM,2025-01-27,106.27,107.53,103.88,105.22,844510
ACM,2025-01-28,105.9,106.0,103.35,103.99,883743
ACM,2025-01-29,104.52,106.27,103.12,103.18,795360
ACM,2025-01-30,103.78,104.87,103.16,104.11,854255
ACM,2025-01-31,104.67,105.86,103.26,104.01,1368248
ACM,2025-02-03,101.61,103.99,101.04,102.44,1053452
ACM,2025-02-04,105.81,107.39,101.04,102.76,1324200
ACM,2025-02-05,102.48,105.01,102.09,103.5,1204051
ACM,2025-02-06,104.23,106.94,103.74,106.8,1059741
ACM,2025-02-07,107.37,108.23,105.34,105.7,796100
ACM,2025-02-10,106.38,107.05,105.11,106.52,659940
ACM,2025-02-11,105.94,106.28,104.49,105.07,683057
ACM,2025-02-12,103.16,104.46,102.09,102.38,940503
ACM,2025-02-13,102.71,102.98,100.14,100.8,872400
ACM,2025-02-14,100.93,101.23,98.33,99.04,1247128
ACM,2025-02-18,99.17,101.78,99.17,100.22,1372900
ACM,2025-02-19,99.71,100.39,98.43,99.63,726800
ACM,2025-02-20,99.81,100.92,97.58,98.34,595748
ACM,2025-02-21,98.86,98.86,95.79,96.19,1037627
ACM,2025-02-24,96.46,96.65,94.26,94.39,2504600
ACM,2025-02-25,94.89,97.02,93.33,96.19,1280372
ACM,2025-02-26,96.78,97.93,96.63,97.05,943948
ACM,2025-02-27,96.72,98.8,95.74,95.94,927885
ACM,2025-02-28,96.32,98.91,95.95,98.69,1908000
ACM,2025-03-03,99.53,99.53,95.12,95.85,1022931
ACM,2025-03-04,94.3,94.83,92.52,92.8,1250512
ACM,2025-03-05,92.81,95.07,92.23,94.69,931211
ACM,2025-03-06,93.24,95.74,92.5,95.41,1062000
ACM,2025-03-07,94.8,96.6,93.6,95.73,965742
ACM,2025-03-10,94.59,96.56,94.33,94.7,1022522
ACM,2025-03-11,94.71,96.66,93.03,93.1,1279700
ACM,2025-03-12,94.25,94.68,93.11,93.32,732300
ACM,2025-03-13,93.44,93.7,91.36,91.85,561230
ACM,2025-03-14,93.12,93.98,92.24,93.79,1226800
ACM,2025-03-17,93.45,95.32,92.93,94.29,1132800
ACM,2025-03-18,93.85,94.77,93.43,94.07,769000
ACM,2025-03-19,94.31,95.23,93.71,94.84,872677
ACM,2025-03-20,94.28,94.59,93.5,93.7,678232
ACM,2025-03-21,92.72,93.22,91.76,92.82,2551137
ACM,2025-03-24,92.83,94.69,92.83,94.52,1268400
ACM,2025-03-25,94.76,95.42,92.69,93.47,1163100
ACM,2025-03-26,93.71,94.37,92.92,93.31,613633
ACM,2025-03-27,93.32,94.26,92.64,93.28,718000
ACM,2025-03-28,93.02,93.27,90.82,91.28,705371
ACM,2025-03-31,90.36,92.04,89.08,91.47,983700
ACM,2025-04-01,91.33,92.98,90.4,92.84,858700
ACM,2025-04-02,91.61,94.92,91.61,94.8,992024
ACM,2025-04-03,91.34,93.22,91.0,91.72,2013600
ACM,2025-04-04,88.79,89.86,86.35,88.28,1656600
ACM,2025-04-07,85.85,90.7,84.08,86.39,1715423
ACM,2025-04-08,88.97,89.81,85.14,86.24,1373100
ACM,2025-04-09,85.12,94.3,84.65,93.96,2047134
ACM,2025-04-10,91.8,93.84,90.01,92.16,1237300
ACM,2025-04-11,92.16,92.89,89.48,92.69,1169719
ACM,2025-04-14,93.71,93.71,91.48,93.28,806030
ACM,2025-04-15,93.04,93.47,92.18,92.94,615700
ACM,2025-04-16,92.77,93.58,91.25,92.22,942800
ACM,2025-04-17,92.26,93.78,91.75,93.33,3244000
ACM,2025-04-21,92.72,92.73,90.14,91.25,856200
ACM,2025-04-22,92.14,93.61,91.49,92.98,911405
ACM,2025-04-23,94.3,96.4,93.76,94.16,724249
ACM,2025-04-24,93.99,96.85,93.99,96.59,575200
ACM,2025-04-25,96.45,96.81,95.49,96.28,548703
ACM,2025-04-28,96.4,97.29,95.38,96.38,610347
ACM,2025-04-29,96.29,97.6,95.54,97.1,594633
ACM,2025-04-30,96.2,98.04,94.85,97.58,904532
ACM,2025-05-01,98.53,100.12,97.69,99.16,915808
ACM,2025-05-02,100.79,101.89,99.9,101.24,1324823
ACM,2025-05-05,100.62,101.69,100.22,101.07,706732
ACM,2025-05-06,102.91,104.6,101.23,101.81,1148145
ACM,2025-05-07,102.42,102.42,100.03,100.4,1255738
ACM,2025-05-08,101.66,103.49,100.89,103.23,855123
ACM,2025-05-09,103.36,103.69,102.88,103.51,559800
ACM,2025-05-12,106.15,106.15,104.26,105.17,743904
ACM,2025-05-13,105.44,106.5,104.96,105.52,749548
ACM,2025-05-14,105.45,106.2,104.91,105.91,854700
ACM,2025-05-15,105.83,107.42,105.79,107.1,911400
ACM,2025-05-16,107.1,108.34,106.81,108.18,713329
ACM,2025-05-19,107.78,108.22,107.28,107.74,661841
ACM,2025-05-20,107.69,108.22,107.32,107.77,808013
ACM,2025-05-21,107.0,107.6,105.84,106.27,648012
ACM,2025-05-22,105.85,106.65,104.92,106.2,630517
ACM,2025-05-23,105.31,106.79,105.06,106.43,537047
ACM,2025-05-27,106.96,108.26,106.13,108.18,689100
ACM,2025-05-28,108.47,108.75,106.62,106.97,742914
ACM,2025-05-29,106.99,107.63,106.2,107.61,879700
ACM,2025-05-30,107.6,108.87,106.97,108.65,2196955
ACM,2025-06-02,108.39,108.73,106.51,107.9,940238
ACM,2025-06-03,107.86,109.93,107.43,109.49,837925
ACM,2025-06-04,109.49,110.59,109.28,109.59,827600
ACM,2025-06-05,110.08,110.08,108.93,109.44,578900
ACM,2025-06-06,110.57,110.77,109.74,110.14,505900
ACM,2025-06-09,110.55,110.69,109.52,109.72,565300
ACM,2025-06-10,109.79,110.26,108.74,109.82,678200
ACM,2025-06-11,110.27,111.19,109.4,110.98,636919
ACM,2025-06-12,110.41,111.28,109.98,110.91,481000
ACM,2025-06-13,109.99,111.69,109.87,110.77,575000
ACM,2025-06-16,111.68,112.98,111.29,111.83,882621
ACM,2025-06-17,110.91,112.06,110.29,110.97,1246411
ACM,2025-06-18,110.94,111.43,109.04,109.2,1760803
ACM,2025-06-20,109.23,109.23,106.92,108.37,4759509
ACM,2025-06-23,108.65,110.35,108.33,110.33,1031100
ACM,2025-06-24,111.06,111.51,110.35,111.14,852800
ACM,2025-06-25,111.67,111.88,109.66,109.85,852013
ACM,2025-06-26,110.65,111.19,110.3,110.99,410400
ACM,2025-06-27,111.18,112.02,110.52,111.56,1045542
ACM,2025-06-30,111.39,111.72,109.81,111.63,807045
ACM,2025-07-01,111.27,113.45,111.27,112.72,660000
ACM,2025-07-02,112.74,113.67,112.08,113.47,793900
ACM,2025-07-03,114.01,115.01,113.59,114.75,441531
ACM,2025-07-07,114.19,115.26,113.91,114.43,625100
ACM,2025-07-08,114.08,115.01,113.1,113.94,853808
ACM,2025-07-09,114.47,114.96,113.43,114.62,529900
ACM,2025-07-10,114.51,115.65,114.32,114.64,573600
ACM,2025-07-11,114.15,114.35,113.39,113.45,543353
ACM,2025-07-14,113.46,114.85,113.14,113.56,864048
ACM,2025-07-15,113.81,114.08,112.07,112.07,847809
ACM,2025-07-16,112.51,113.27,110.56,112.2,886919
ACM,2025-07-17,112.0,113.4,111.96,113.01,885100
ACM,2025-07-18,113.36,113.43,111.44,112.33,3147122
ACM,2025-07-21,112.59,112.91,111.01,111.19,868100
ACM,2025-07-22,111.08,111.92,110.59,111.47,816400
ACM,2025-07-23,112.1,113.01,112.02,112.44,734253
ACM,2025-07-24,112.36,112.9,111.71,112.1,547132
ACM,2025-07-25,112.51,114.46,112.1,114.36,663821
ACM,2025-07-28,114.62,114.62,112.7,112.85,544500
ACM,2025-07-29,113.6,113.6,111.73,112.02,525186
ACM,2025-07-30,112.12,112.63,111.09,111.59,974021
ACM,2025-07-31,111.33,113.84,111.33,111.76,799608
ACM,2025-08-01,110.08,110.73,107.85,110.12,1067338
ACM,2025-08-04,111.11,111.52,110.05,110.97,1015913
ACM,2025-08-05,115.42,120.68,113.47,117.97,1696115
ACM,2025-08-06,117.97,118.28,116.43,117.8,1070300
ACM,2025-08-07,118.69,118.96,117.27,118.18,680195
ACM,2025-08-08,118.69,119.02,117.32,117.4,611600
ACM,2025-08-11,117.8,118.45,117.29,118.21,931636
ACM,2025-08-12,118.93,119.87,118.18,119.83,635600
ACM,2025-08-13,120.05,120.98,118.16,120.96,830001
ACM,2025-08-14,120.83,120.83,119.0,119.08,606252
ACM,2025-08-15,119.08,119.44,117.6,118.53,519447
ACM,2025-08-18,118.55,119.36,118.35,119.24,472400
ACM,2025-08-19,119.03,120.64,119.03,119.72,503084
ACM,2025-08-20,119.6,120.86,118.1,119.05,529751
ACM,2025-08-21,118.84,120.99,118.84,120.53,647302
ACM,2025-08-22,121.16,123.57,120.75,121.91,816400
ACM,2025-08-25,121.8,122.78,121.8,122.06,833020
ACM,2025-08-26,122.16,125.05,121.43,124.47,1873671
ACM,2025-08-27,124.26,125.14,124.02,124.55,1097146
ACM,2025-08-28,124.88,125.2,123.77,124.65,835432
ACM,2025-08-29,124.88,124.88,122.8,123.81,938900
ACM,2025-09-02,122.93,124.04,121.94,123.86,868992
ACM,2025-09-03,123.92,124.76,122.76,123.01,945301
ACM,2025-09-04,123.35,124.91,122.59,124.85,1009152
ACM,2025-09-05,125.9,126.93,123.87,125.52,976334
ACM,2025-09-08,125.5,126.83,124.98,125.8,1005400
ACM,2025-09-09,125.4,125.97,122.81,123.22,804500
ACM,2025-09-10,123.59,124.74,122.92,124.34,875129
ACM,2025-09-11,124.68,126.71,124.33,126.55,643442
ACM,2025-09-12,125.97,126.79,125.46,125.5,836600
ACM,2025-09-15,126.0,127.58,125.54,126.62,1250538
ACM,2025-09-16,126.59,127.18,125.65,126.63,1040007
ACM,2025-09-17,126.93,128.24,125.33,125.79,1234720
ACM,2025-09-18,126.81,132.62,126.18,131.84,1440400
ACM,2025-09-19,132.48,132.65,130.79,131.33,3177700
ACM,2025-09-22,130.86,132.14,129.63,131.78,856702
ACM,2025-09-23,132.04,132.34,128.64,128.86,1113100
ACM,2025-09-24,129.3,130.28,128.3,128.33,1128000
ACM,2025-09-25,127.39,128.24,126.49,127.25,996898
ACM,2025-09-26,128.03,128.56,127.49,128.13,918000
ACM,2025-09-29,128.96,129.47,128.1,128.75,772981
ACM,2025-09-30,128.87,129.87,128.62,129.34,733997
ACM,2025-10-01,128.87,130.57,128.22,129.55,611308
ACM,2025-10-02,129.13,129.52,126.69,128.76,1237611
ACM,2025-10-03,129.31,129.45,127.71,128.05,731652
ACM,2025-10-06,128.58,129.05,126.75,128.65,652626
ACM,2025-10-07,129.46,129.46,127.14,128.56,1097607
ACM,2025-10-08,129.81,132.31,128.68,131.75,695605
ACM,2025-10-09,132.29,132.5,128.39,130.41,624721
ACM,2025-10-10,130.41,130.91,127.82,127.94,738726
ACM,2025-10-13,129.45,131.88,129.13,130.67,813700
ACM,2025-10-14,129.05,132.11,128.88,131.66,777400
