symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ACMR,2024-08-27,18.5,18.6,18.1,18.42,755403
ACMR,2024-08-28,18.22,18.52,17.43,17.86,1052639
ACMR,2024-08-29,18.23,18.31,17.7,17.78,828900
ACMR,2024-08-30,18.2,18.3,17.81,18.04,774146
ACMR,2024-09-03,17.6,17.65,16.6,16.7,1092500
ACMR,2024-09-04,16.53,16.85,16.29,16.47,1322501
ACMR,2024-09-05,16.57,16.86,16.17,16.53,871338
ACMR,2024-09-06,16.33,16.42,15.6,15.65,1059941
ACMR,2024-09-09,15.77,15.87,15.43,15.6,1130107
ACMR,2024-09-10,15.73,15.93,15.41,15.87,929600
ACMR,2024-09-11,15.98,16.68,15.52,16.64,785679
ACMR,2024-09-12,16.57,16.65,15.95,16.26,1168300
ACMR,2024-09-13,16.52,17.18,16.5,16.8,1015804
ACMR,2024-09-16,16.55,16.65,16.14,16.37,633500
ACMR,2024-09-17,16.7,16.98,16.51,16.78,578366
ACMR,2024-09-18,16.78,17.18,16.38,16.53,889200
ACMR,2024-09-19,17.35,17.57,16.95,17.48,962218
ACMR,2024-09-20,17.24,17.37,16.88,17.04,767627
ACMR,2024-09-23,17.14,17.21,16.73,17.07,630200
ACMR,2024-09-24,17.72,18.3,17.12,18.2,1461707
ACMR,2024-09-25,18.0,18.5,17.67,17.74,986800
ACMR,2024-09-26,19.09,19.92,18.43,19.31,1886034
ACMR,2024-09-27,19.39,19.74,19.01,19.49,871600
ACMR,2024-09-30,19.84,21.29,19.76,20.3,2258352
ACMR,2024-10-01,20.28,20.29,18.41,19.03,1929314
ACMR,2024-10-02,19.97,20.24,19.02,19.11,1379500
ACMR,2024-10-03,18.6,19.57,18.58,18.9,765242
ACMR,2024-10-04,21.7,22.23,20.71,22.04,6078350
ACMR,2024-10-07,23.36,26.32,22.99,23.6,6371200
ACMR,2024-10-08,21.91,22.53,20.53,21.81,2770800
ACMR,2024-10-09,21.7,22.28,21.43,22.07,1305227
ACMR,2024-10-10,21.5,21.79,20.65,20.77,1513833
ACMR,2024-10-11,20.36,21.6,20.34,21.32,1012112
ACMR,2024-10-14,21.37,21.66,20.75,21.33,801465
ACMR,2024-10-15,20.96,21.31,19.55,19.57,1620400
ACMR,2024-10-16,19.8,19.91,19.37,19.46,855026
ACMR,2024-10-17,19.52,19.53,18.45,19.01,1872113
ACMR,2024-10-18,19.74,20.25,19.13,19.21,1534011
ACMR,2024-10-21,19.15,19.43,18.99,19.15,738584
ACMR,2024-10-22,19.05,20.05,19.0,19.43,840433
ACMR,2024-10-23,19.24,19.69,18.86,19.08,1017200
