symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ADM,2024-08-27,57.54,57.58,56.76,57.31,1787100
ADM,2024-08-28,56.85,57.75,56.52,57.69,1654581
ADM,2024-08-29,57.83,57.86,56.75,57.58,1535700
ADM,2024-08-30,57.68,57.84,57.27,57.72,3369054
ADM,2024-09-03,57.21,57.59,56.93,57.37,2302937
ADM,2024-09-04,57.55,58.34,57.4,58.13,2388613
ADM,2024-09-05,58.29,58.72,56.81,56.85,3138510
ADM,2024-09-06,56.81,57.3,56.02,56.28,2641536
ADM,2024-09-09,56.52,56.85,56.02,56.31,1996168
ADM,2024-09-10,56.41,56.41,55.11,55.88,3220600
ADM,2024-09-11,56.05,56.05,55.0,55.84,2535521
ADM,2024-09-12,55.83,56.57,55.37,56.42,2145100
ADM,2024-09-13,56.68,57.16,56.45,57.15,1837430
ADM,2024-09-16,57.59,57.68,56.64,57.17,1602857
ADM,2024-09-17,57.46,57.59,56.99,57.22,1837707
ADM,2024-09-18,57.16,57.77,56.88,57.28,2050515
ADM,2024-09-19,57.78,59.25,57.57,59.1,4254909
ADM,2024-09-20,58.9,58.9,57.65,58.07,11786600
ADM,2024-09-23,57.71,58.43,57.32,57.64,3112119
ADM,2024-09-24,58.0,58.45,57.32,57.47,2620316
ADM,2024-09-25,57.49,57.57,55.0,55.02,3304448
ADM,2024-09-26,55.04,56.28,55.04,56.19,2967941
ADM,2024-09-27,56.54,57.44,56.54,56.78,1845235
ADM,2024-09-30,56.79,57.06,56.13,56.54,2979700
ADM,2024-10-01,55.84,56.78,55.47,56.33,2294287
ADM,2024-10-02,56.41,56.74,55.45,55.64,2166300
ADM,2024-10-03,55.43,55.49,54.66,55.33,2167736
ADM,2024-10-04,55.56,56.27,55.41,56.05,2299748
ADM,2024-10-07,56.02,56.24,55.46,55.7,1928004
ADM,2024-10-08,55.42,55.42,54.22,54.46,2179442
ADM,2024-10-09,54.39,54.81,53.79,53.92,2454628
ADM,2024-10-10,54.18,54.77,53.83,54.22,2010314
ADM,2024-10-11,54.42,55.27,54.42,54.86,1897638
ADM,2024-10-14,54.68,55.05,54.25,54.8,1653802
ADM,2024-10-15,54.85,55.73,54.55,54.58,2169300
ADM,2024-10-16,54.72,55.39,54.72,55.16,1610943
ADM,2024-10-17,55.3,55.57,54.81,55.49,2005137
ADM,2024-10-18,55.41,55.51,52.92,53.38,4330200
ADM,2024-10-21,53.63,54.1,52.87,53.12,1953444
ADM,2024-10-22,53.2,53.43,52.67,52.7,2304539
ADM,2024-10-23,52.73,53.14,52.29,53.07,2197860
ADM,2024-10-24,53.14,53.55,52.75,53.47,1888208
ADM,2024-10-25,53.72,54.12,53.38,53.53,1815326
ADM,2024-10-28,53.47,54.37,53.42,54.17,1878736
ADM,2024-10-29,53.87,54.66,53.28,53.3,2986807
ADM,2024-10-30,53.37,53.94,52.49,52.55,2705223
ADM,2024-10-31,52.76,53.04,52.15,52.25,5370200
ADM,2024-11-01,52.49,52.76,51.64,51.71,2234915
ADM,2024-11-04,51.87,52.58,51.84,52.33,2459400
ADM,2024-11-05,47.79,49.22,46.3,49.21,9049814
ADM,2024-11-06,49.54,50.78,48.72,50.4,5034342
ADM,2024-11-07,50.33,50.37,49.14,49.68,4173800
ADM,2024-11-08,49.31,49.56,48.83,49.33,3482864
ADM,2024-11-11,49.57,50.1,49.29,49.55,2480741
ADM,2024-11-12,49.02,49.29,48.6,48.67,2661600
ADM,2024-11-13,48.62,49.43,48.24,49.09,4003214
ADM,2024-11-14,49.42,49.95,49.05,49.69,2191604
ADM,2024-11-15,49.88,50.99,49.85,50.49,3556664
ADM,2024-11-18,50.62,50.87,49.84,49.88,2613439
ADM,2024-11-19,49.76,50.94,49.44,50.15,2187245
ADM,2024-11-20,50.38,50.68,49.95,50.65,2317534
ADM,2024-11-21,50.68,51.23,50.5,50.81,2943452
ADM,2024-11-22,50.71,51.08,50.42,50.76,2329945
ADM,2024-11-25,50.58,51.24,50.23,50.64,4482110
ADM,2024-11-26,50.73,51.33,50.17,51.32,3017100
ADM,2024-11-27,51.33,52.05,51.31,51.94,2093000
ADM,2024-11-29,52.15,52.31,51.49,52.16,1810700
ADM,2024-12-02,51.79,52.12,51.13,51.84,3951804
ADM,2024-12-03,52.06,52.11,50.39,50.79,5194164
ADM,2024-12-04,50.64,50.93,49.32,49.46,3371834
ADM,2024-12-05,49.5,50.17,49.21,49.94,2991885
