symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ADSK,2024-08-27,256.0,258.49,255.51,256.99,1059130
ADSK,2024-08-28,256.01,256.98,252.58,254.62,1220811
ADSK,2024-08-29,257.22,261.82,256.62,258.23,2225500
ADSK,2024-08-30,270.0,275.68,258.03,258.4,4054902
ADSK,2024-09-03,261.77,267.83,256.83,257.83,2026711
ADSK,2024-09-04,256.56,259.42,255.37,255.79,1472541
ADSK,2024-09-05,257.02,257.02,249.86,251.77,2392723
ADSK,2024-09-06,252.7,255.0,249.61,250.37,1487904
ADSK,2024-09-09,251.62,256.05,251.55,255.67,1497390
ADSK,2024-09-10,256.18,257.85,252.23,257.61,1895842
ADSK,2024-09-11,255.63,259.67,251.94,258.98,2148442
ADSK,2024-09-12,259.13,260.63,256.61,259.47,1216700
ADSK,2024-09-13,260.59,264.55,260.0,263.96,1468637
ADSK,2024-09-16,265.5,269.0,265.0,267.73,1410404
ADSK,2024-09-17,268.09,270.25,266.49,266.89,950014
ADSK,2024-09-18,267.97,267.97,263.57,264.21,1155962
ADSK,2024-09-19,270.25,272.34,267.79,269.76,1911500
ADSK,2024-09-20,270.58,272.72,266.5,267.29,2551400
ADSK,2024-09-23,269.23,269.38,266.92,268.46,2070572
ADSK,2024-09-24,267.94,270.12,266.62,269.65,1189000
ADSK,2024-09-25,268.95,270.74,267.57,268.0,1174516
ADSK,2024-09-26,271.13,273.49,269.73,273.36,1108009
ADSK,2024-09-27,273.36,274.5,271.0,271.9,614900
ADSK,2024-09-30,274.84,275.85,272.06,275.48,1109835
ADSK,2024-10-01,274.61,275.0,266.55,267.47,1043974
ADSK,2024-10-02,267.92,271.99,267.44,270.17,827262
ADSK,2024-10-03,267.55,270.57,267.55,268.59,740033
ADSK,2024-10-04,272.86,273.85,267.49,271.16,846556
ADSK,2024-10-07,268.32,270.24,266.02,267.23,757318
ADSK,2024-10-08,268.19,276.26,267.51,275.08,1413000
ADSK,2024-10-09,274.93,277.66,274.08,276.88,782100
ADSK,2024-10-10,275.0,277.91,275.0,277.71,849171
ADSK,2024-10-11,277.49,282.54,277.48,281.67,1332319
ADSK,2024-10-14,283.15,286.43,281.25,285.31,1264083
ADSK,2024-10-15,285.31,287.96,285.29,286.48,1602400
ADSK,2024-10-16,288.18,289.36,284.9,289.19,1364344
ADSK,2024-10-17,290.44,292.88,289.13,290.57,1808725
ADSK,2024-10-18,290.57,294.13,290.0,292.99,1511702
ADSK,2024-10-21,291.36,293.75,288.8,289.78,1254454
ADSK,2024-10-22,287.54,290.52,286.25,288.48,1012736
ADSK,2024-10-23,287.12,287.58,283.93,286.3,1209119
ADSK,2024-10-24,288.55,289.17,285.51,285.77,1238311
ADSK,2024-10-25,287.72,289.0,285.04,286.04,973419
ADSK,2024-10-28,286.34,288.64,286.34,286.52,1016697
ADSK,2024-10-29,286.32,290.2,284.49,289.66,886987
ADSK,2024-10-30,288.18,291.21,287.93,288.82,751600
ADSK,2024-10-31,287.8,288.47,283.42,283.8,1488039
ADSK,2024-11-01,282.83,289.26,281.61,286.57,1047852
ADSK,2024-11-04,287.19,289.76,285.32,287.62,896358
ADSK,2024-11-05,288.84,293.06,287.0,291.79,1009401
ADSK,2024-11-06,299.0,305.49,297.91,302.33,2258401
ADSK,2024-11-07,302.95,306.23,301.05,305.51,1057217
ADSK,2024-11-08,306.26,307.17,305.02,305.56,968605
ADSK,2024-11-11,305.46,314.7,304.64,313.89,1557009
ADSK,2024-11-12,311.22,314.01,304.75,309.73,1748800
ADSK,2024-11-13,308.63,315.73,307.91,313.14,1273500
ADSK,2024-11-14,310.23,312.88,305.98,306.65,1545643
ADSK,2024-11-15,305.06,305.08,297.12,299.15,2300222
ADSK,2024-11-18,299.36,303.01,297.0,302.05,920116
ADSK,2024-11-19,298.13,306.4,298.02,305.2,1348276
ADSK,2024-11-20,305.93,308.38,303.15,307.84,1442321
ADSK,2024-11-21,310.0,317.45,308.25,315.41,1602211
ADSK,2024-11-22,315.96,321.9,315.04,321.27,1905591
ADSK,2024-11-25,324.53,326.62,318.69,319.39,2967370
ADSK,2024-11-26,320.79,320.99,316.54,317.96,2519923
ADSK,2024-11-27,293.2,301.47,289.65,290.64,3442326
ADSK,2024-11-29,289.03,292.62,289.03,291.9,1317800
ADSK,2024-12-02,291.74,297.94,291.44,296.65,2073018
ADSK,2024-12-03,294.14,301.59,293.5,298.96,1944513
ADSK,2024-12-04,302.72,304.97,299.89,304.23,1528707
ADSK,2024-12-05,302.53,307.25,301.32,305.17,1378800
ADSK,2024-12-06,305.92,309.43,305.56,307.71,1377635
ADSK,2024-12-09,308.0,311.51,305.72,308.55,1599948
ADSK,2024-12-10,306.16,307.8,303.63,303.99,1110152
