symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AEE,2024-08-27,78.42,78.44,77.49,77.59,966400
AEE,2024-08-28,77.87,78.59,77.45,78.25,1414700
AEE,2024-08-29,78.33,78.63,77.27,78.19,1233726
AEE,2024-08-30,78.27,78.79,77.85,78.41,1168009
AEE,2024-09-03,78.51,79.62,78.04,79.14,2240400
AEE,2024-09-04,79.54,80.31,79.12,79.65,1447326
AEE,2024-09-05,80.35,80.4,79.37,79.58,1235900
AEE,2024-09-06,79.77,79.86,78.97,79.03,1076049
AEE,2024-09-09,79.06,80.46,78.77,80.39,2181925
AEE,2024-09-10,80.33,81.32,80.28,80.69,1480304
AEE,2024-09-11,80.51,80.6,79.3,80.21,1153205
AEE,2024-09-12,80.22,80.6,79.64,79.98,1404512
AEE,2024-09-13,80.02,80.59,79.96,80.45,989127
AEE,2024-09-16,81.56,82.2,81.09,81.86,1158600
AEE,2024-09-17,81.76,82.01,81.19,81.43,1695400
AEE,2024-09-18,81.35,81.63,80.49,81.05,921600
AEE,2024-09-19,80.46,80.92,79.45,80.09,1194000
AEE,2024-09-20,80.78,82.23,80.37,82.01,3814209
AEE,2024-09-23,82.36,82.52,81.8,82.03,1034300
AEE,2024-09-24,81.64,82.85,81.2,81.81,923511
AEE,2024-09-25,82.28,82.73,81.4,82.7,1860376
AEE,2024-09-26,82.16,83.43,82.16,82.43,1357243
AEE,2024-09-27,82.83,83.39,82.43,82.84,1107900
AEE,2024-09-30,83.09,83.91,82.52,83.77,1617528
AEE,2024-10-01,83.92,84.29,83.12,83.81,1014627
AEE,2024-10-02,83.29,83.98,82.83,83.71,1235400
AEE,2024-10-03,84.04,84.4,83.43,84.31,1360062
AEE,2024-10-04,83.25,84.22,83.04,84.04,1182100
AEE,2024-10-07,84.03,84.11,83.3,83.46,2431201
AEE,2024-10-08,83.85,83.94,82.91,83.09,2021800
AEE,2024-10-09,82.71,83.38,82.21,82.73,2310300
AEE,2024-10-10,83.2,83.4,82.13,82.19,1192800
AEE,2024-10-11,82.42,82.95,82.2,82.8,1011943
AEE,2024-10-14,82.88,83.7,82.86,83.57,798400
AEE,2024-10-15,84.12,84.79,83.66,84.22,1288000
AEE,2024-10-16,84.42,85.15,84.18,84.99,866300
AEE,2024-10-17,84.84,85.13,83.91,84.58,1995300
AEE,2024-10-18,84.47,85.16,83.84,85.09,952324
AEE,2024-10-21,85.23,85.32,84.23,84.51,1208521
AEE,2024-10-22,84.03,84.32,83.53,84.06,884344
AEE,2024-10-23,84.35,85.45,84.25,85.44,937300
AEE,2024-10-24,85.57,85.76,85.08,85.25,945341
AEE,2024-10-25,85.67,85.71,83.99,84.09,772305
AEE,2024-10-28,84.49,84.81,84.3,84.4,693600
AEE,2024-10-29,83.85,83.85,82.31,82.38,1137221
AEE,2024-10-30,82.94,83.13,82.39,82.96,1088342
AEE,2024-10-31,83.09,84.43,82.99,83.43,1664009
AEE,2024-11-01,83.37,83.69,81.84,82.26,1884620
AEE,2024-11-04,81.88,82.54,81.67,82.39,1808211
AEE,2024-11-05,82.37,83.97,82.07,83.96,1391998
AEE,2024-11-06,83.23,84.82,83.15,84.07,1799718
AEE,2024-11-07,83.2,84.75,82.09,82.9,2920539
AEE,2024-11-08,83.4,86.76,83.03,86.38,2268955
AEE,2024-11-11,86.39,88.77,85.99,88.4,2202700
AEE,2024-11-12,88.26,88.86,87.77,88.15,1633245
AEE,2024-11-13,88.67,88.67,86.97,87.53,2798800
AEE,2024-11-14,87.44,87.59,85.87,85.93,1890501
AEE,2024-11-15,85.76,87.43,85.76,87.37,1447521
AEE,2024-11-18,87.14,88.66,87.03,88.45,1564017
AEE,2024-11-19,88.2,88.4,87.42,88.23,1097015
AEE,2024-11-20,88.26,88.68,87.84,88.35,1000407
AEE,2024-11-21,88.46,90.23,88.07,90.0,1426419
AEE,2024-11-22,90.08,90.47,89.62,89.85,1108525
AEE,2024-11-25,90.03,90.62,89.37,89.58,1512000
AEE,2024-11-26,89.92,90.47,89.66,90.29,803565
AEE,2024-11-27,90.82,91.65,90.6,90.97,1054919
AEE,2024-11-29,90.92,91.04,90.22,90.41,586700
AEE,2024-12-02,90.81,90.81,88.91,88.96,1191641
AEE,2024-12-03,89.44,89.83,87.91,87.93,920372
AEE,2024-12-04,88.06,88.92,87.61,88.53,1216195
AEE,2024-12-05,88.62,89.12,88.32,88.39,1012534
AEE,2024-12-06,88.45,88.72,87.86,87.92,725700
AEE,2024-12-09,87.88,88.27,87.1,87.32,1144805
AEE,2024-12-10,87.16,87.88,85.72,87.39,1583474
AEE,2024-12-11,87.53,87.63,86.44,86.7,1054600
AEE,2024-12-12,87.03,87.77,86.5,86.64,1132700
AEE,2024-12-13,86.5,87.19,86.26,86.69,672852
AEE,2024-12-16,86.61,86.61,85.6,85.62,1099612
AEE,2024-12-17,84.92,86.07,84.92,85.57,1140100
AEE,2024-12-18,85.37,85.82,83.86,83.88,2403535
AEE,2024-12-19,83.87,86.85,83.37,85.46,2888618
AEE,2024-12-20,85.27,86.19,84.8,86.16,3711303
AEE,2024-12-23,85.86,86.71,85.09,86.55,1336326
AEE,2024-12-24,86.44,87.71,86.2,87.7,845312
AEE,2024-12-26,87.34,87.91,87.07,87.51,1095400
AEE,2024-12-27,86.8,87.66,86.74,86.96,900000
AEE,2024-12-30,86.62,86.7,85.81,86.48,870700
AEE,2024-12-31,86.84,86.99,85.6,86.01,1285518
AEE,2025-01-02,86.81,86.9,85.57,85.87,927223
