symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AEHR,2024-08-27,14.77,14.94,14.25,14.74,628056
AEHR,2024-08-28,14.58,14.61,14.11,14.42,582900
AEHR,2024-08-29,14.68,15.44,14.46,14.95,765212
AEHR,2024-08-30,15.22,15.69,14.9,15.21,686054
AEHR,2024-09-03,14.81,14.95,13.33,13.51,1125653
AEHR,2024-09-04,13.34,13.82,12.97,13.11,755200
AEHR,2024-09-05,13.86,14.8,13.75,14.0,1252000
AEHR,2024-09-06,14.0,14.07,13.4,13.52,695400
AEHR,2024-09-09,13.59,13.98,13.27,13.28,585700
AEHR,2024-09-10,13.35,13.53,13.12,13.24,429400
AEHR,2024-09-11,13.22,13.67,12.88,12.98,992943
AEHR,2024-09-12,12.9,13.1,12.43,12.75,854500
AEHR,2024-09-13,12.97,13.25,12.85,12.94,684907
AEHR,2024-09-16,12.86,12.86,12.12,12.46,950682
AEHR,2024-09-17,12.67,12.85,12.37,12.47,620250
AEHR,2024-09-18,12.61,12.92,11.82,12.1,1170500
AEHR,2024-09-19,12.69,13.23,12.18,12.98,1046800
AEHR,2024-09-20,12.81,12.9,12.15,12.31,821543
AEHR,2024-09-23,12.32,12.4,12.06,12.26,530211
AEHR,2024-09-24,12.4,12.78,12.2,12.32,545500
AEHR,2024-09-25,12.25,12.39,11.97,12.02,618808
AEHR,2024-09-26,12.51,13.28,12.32,13.13,908034
AEHR,2024-09-27,13.34,13.57,12.97,13.23,694327
AEHR,2024-09-30,12.98,13.55,12.78,12.85,657094
AEHR,2024-10-01,12.85,12.86,12.16,12.26,730500
AEHR,2024-10-02,12.44,12.75,12.14,12.3,630609
AEHR,2024-10-03,12.2,12.42,11.95,12.19,750600
AEHR,2024-10-04,12.5,12.52,12.11,12.26,550202
AEHR,2024-10-07,12.37,12.93,12.28,12.71,801235
AEHR,2024-10-08,12.61,12.93,12.33,12.55,961848
AEHR,2024-10-09,12.55,13.26,12.49,13.23,1056800
AEHR,2024-10-10,13.08,13.35,12.45,13.32,3315200
AEHR,2024-10-11,15.11,16.65,13.55,16.02,9397202
AEHR,2024-10-14,16.0,16.74,15.18,15.66,2925600
AEHR,2024-10-15,15.67,16.23,14.42,14.57,2122818
AEHR,2024-10-16,14.36,14.76,13.95,14.22,1672100
AEHR,2024-10-17,14.52,15.43,14.12,14.79,1812800
AEHR,2024-10-18,14.98,15.72,14.83,15.68,1371700
AEHR,2024-10-21,15.57,15.78,14.93,15.73,1093000
AEHR,2024-10-22,15.75,16.31,15.25,16.1,1328028
AEHR,2024-10-23,15.91,16.24,14.81,15.29,1008633
AEHR,2024-10-24,15.56,15.84,15.3,15.57,725900
AEHR,2024-10-25,15.7,17.41,15.7,16.96,1933434
AEHR,2024-10-28,16.59,16.7,15.42,15.84,1669337
AEHR,2024-10-29,15.86,16.22,15.52,15.95,774900
AEHR,2024-10-30,15.48,15.54,14.77,14.79,962820
AEHR,2024-10-31,14.73,14.87,13.86,14.08,1118246
AEHR,2024-11-01,13.41,14.03,12.02,12.07,3000700
AEHR,2024-11-04,12.06,12.31,11.67,11.71,1205700
AEHR,2024-11-05,11.73,12.27,11.55,12.11,801902
AEHR,2024-11-06,12.68,13.05,11.95,12.11,1456400
AEHR,2024-11-07,12.29,12.9,11.9,12.02,1113831
AEHR,2024-11-08,11.98,12.05,11.54,12.0,1151600
AEHR,2024-11-11,12.2,12.6,11.88,12.55,863734
AEHR,2024-11-12,12.21,12.35,11.73,12.0,830326
AEHR,2024-11-13,11.94,12.1,11.56,11.73,1123402
AEHR,2024-11-14,11.8,11.87,11.15,11.23,1175699
AEHR,2024-11-15,11.08,11.34,10.68,10.78,1070672
AEHR,2024-11-18,10.75,11.4,10.64,11.26,688211
AEHR,2024-11-19,11.17,11.41,11.07,11.16,576040
AEHR,2024-11-20,11.12,11.3,10.97,11.27,540561
AEHR,2024-11-21,11.42,11.91,11.22,11.7,732814
AEHR,2024-11-22,11.73,12.3,11.69,12.16,596300
AEHR,2024-11-25,12.45,12.93,12.4,12.67,772400
AEHR,2024-11-26,12.59,12.6,11.77,11.9,771337
AEHR,2024-11-27,12.0,12.23,11.71,11.73,557100
AEHR,2024-11-29,11.81,12.22,11.78,11.89,362000
AEHR,2024-12-02,11.87,12.83,11.78,12.7,1048900
AEHR,2024-12-03,12.58,12.59,12.19,12.22,645006
AEHR,2024-12-04,12.39,12.55,12.1,12.12,527500
AEHR,2024-12-05,12.02,12.14,11.17,11.18,1159300
AEHR,2024-12-06,11.3,11.73,11.15,11.7,674900
AEHR,2024-12-09,11.8,12.92,11.8,12.34,1195923
AEHR,2024-12-10,12.4,12.55,11.87,12.11,721024
AEHR,2024-12-11,12.33,12.55,11.89,11.89,824440
AEHR,2024-12-12,11.66,11.79,11.32,11.58,756538
AEHR,2024-12-13,11.51,11.85,11.39,11.53,521300
AEHR,2024-12-16,14.05,15.05,12.62,14.49,7045200
AEHR,2024-12-17,14.57,15.65,13.96,14.54,2886641
AEHR,2024-12-18,14.59,15.58,13.32,13.66,2149529
AEHR,2024-12-19,14.49,14.64,13.14,13.32,1223278
AEHR,2024-12-20,13.06,14.63,13.02,14.25,1161400
AEHR,2024-12-23,14.09,14.7,13.67,14.05,822228
AEHR,2024-12-24,14.05,15.17,13.9,15.13,686600
AEHR,2024-12-26,14.92,16.56,14.9,16.29,1680925
AEHR,2024-12-27,16.3,16.54,15.46,16.51,1032500
AEHR,2024-12-30,16.2,17.31,15.77,16.98,1401944
AEHR,2024-12-31,17.08,17.4,16.42,16.63,1298600
AEHR,2025-01-02,16.86,18.25,16.1,16.55,1557981
AEHR,2025-01-03,16.59,17.45,16.1,17.27,934735
AEHR,2025-01-06,17.78,18.15,16.65,16.85,1166923
AEHR,2025-01-07,17.5,18.76,17.43,17.78,1974400
AEHR,2025-01-08,17.1,17.19,15.59,16.46,1478600
AEHR,2025-01-10,16.19,16.48,15.76,16.39,808200
AEHR,2025-01-13,15.79,16.1,15.04,15.99,3258400
AEHR,2025-01-14,12.4,13.1,11.3,11.66,5684600
AEHR,2025-01-15,11.97,13.83,11.81,12.94,3028000
AEHR,2025-01-16,13.22,13.38,12.13,12.17,1245100
AEHR,2025-01-17,12.45,12.88,12.11,12.46,1032350
AEHR,2025-01-21,12.55,13.71,12.3,13.22,1316236
AEHR,2025-01-22,13.27,13.47,12.35,12.59,1234935
AEHR,2025-01-23,12.21,12.68,12.06,12.48,821704
AEHR,2025-01-24,12.5,12.92,12.31,12.41,626717
AEHR,2025-01-27,12.01,12.1,11.53,11.88,1214037
AEHR,2025-01-28,11.82,11.89,11.09,11.17,1493300
AEHR,2025-01-29,11.3,11.37,10.74,10.82,1956401
AEHR,2025-01-30,10.99,11.45,10.85,11.34,1213500
AEHR,2025-01-31,11.36,11.9,11.21,11.33,612308
AEHR,2025-02-03,10.79,11.06,10.65,10.77,750305
AEHR,2025-02-04,10.8,11.34,10.78,11.09,717165
AEHR,2025-02-05,11.09,11.28,10.93,11.06,450922
AEHR,2025-02-06,11.0,11.37,10.86,10.97,664323
AEHR,2025-02-07,10.93,11.15,10.6,10.78,610180
AEHR,2025-02-10,10.84,10.97,10.68,10.7,427600
AEHR,2025-02-11,10.55,10.87,10.29,10.29,701700
