symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AEO,2024-08-27,20.99,21.5,20.99,21.43,5046147
AEO,2024-08-28,20.96,21.25,20.4,20.48,9793916
AEO,2024-08-29,18.6,20.29,18.3,19.62,11278941
AEO,2024-08-30,19.56,19.68,18.95,19.43,6678052
AEO,2024-09-03,19.15,19.17,18.33,18.49,6269352
AEO,2024-09-04,18.28,19.07,18.27,19.04,6003932
AEO,2024-09-05,19.09,19.09,18.09,18.17,3411025
AEO,2024-09-06,18.07,18.18,17.82,17.82,4381739
AEO,2024-09-09,17.79,18.21,17.58,17.94,4695200
AEO,2024-09-10,17.89,18.08,17.72,17.97,4349500
AEO,2024-09-11,17.93,18.12,17.71,18.04,2596138
AEO,2024-09-12,18.06,18.4,17.97,18.25,2905415
AEO,2024-09-13,18.49,18.81,18.46,18.67,3144900
AEO,2024-09-16,18.6,19.13,18.22,18.26,5903640
AEO,2024-09-17,18.32,18.69,18.27,18.3,2775300
AEO,2024-09-18,18.31,19.21,18.27,18.78,3498528
AEO,2024-09-19,19.2,19.32,18.75,18.93,3974419
AEO,2024-09-20,18.97,19.3,18.75,19.22,8031200
AEO,2024-09-23,19.23,19.23,18.75,19.13,2902308
AEO,2024-09-24,19.14,19.4,19.09,19.34,3025165
AEO,2024-09-25,19.3,19.67,19.03,19.53,5388734
AEO,2024-09-26,20.0,20.15,19.7,19.9,4846936
AEO,2024-09-27,20.13,20.93,20.03,20.73,5881205
AEO,2024-09-30,20.76,21.37,20.74,21.14,6585259
AEO,2024-10-01,20.97,21.12,20.28,20.67,4343432
AEO,2024-10-02,20.45,20.87,20.45,20.87,2972211
AEO,2024-10-03,20.69,20.79,20.26,20.44,4693749
AEO,2024-10-04,20.77,21.12,20.44,20.92,2615200
AEO,2024-10-07,20.87,20.87,19.5,19.78,5561514
AEO,2024-10-08,19.91,20.32,19.73,19.87,3921615
AEO,2024-10-09,19.92,20.03,19.07,19.44,3789805
AEO,2024-10-10,19.2,19.41,19.0,19.21,3740900
AEO,2024-10-11,19.27,19.63,19.09,19.52,2581712
AEO,2024-10-14,19.48,19.72,19.17,19.67,3503900
AEO,2024-10-15,19.73,20.64,19.73,20.0,2924256
AEO,2024-10-16,20.17,20.65,20.14,20.37,2605296
AEO,2024-10-17,20.3,20.56,20.23,20.42,1836418
AEO,2024-10-18,20.44,20.45,20.12,20.14,2258100
AEO,2024-10-21,19.95,20.05,19.39,19.57,3563710
AEO,2024-10-22,19.44,19.44,18.74,18.75,3114029
AEO,2024-10-23,18.7,18.85,18.51,18.6,2753621
AEO,2024-10-24,18.73,19.01,18.51,18.7,2580600
AEO,2024-10-25,18.97,19.21,18.58,18.86,6260500
AEO,2024-10-28,19.06,19.45,18.98,19.31,5353521
AEO,2024-10-29,18.95,19.44,18.92,19.04,3291821
AEO,2024-10-30,19.06,19.47,18.88,18.89,2903746
AEO,2024-10-31,18.95,19.2,18.61,18.61,3101809
AEO,2024-11-01,18.67,18.77,18.39,18.48,2832522
AEO,2024-11-04,18.38,18.71,18.13,18.18,4416838
AEO,2024-11-05,18.03,18.28,17.86,18.12,4703139
AEO,2024-11-06,18.67,18.87,17.82,18.1,5817429
AEO,2024-11-07,18.24,18.55,18.09,18.13,3233367
AEO,2024-11-08,17.99,18.08,17.52,17.79,4118172
AEO,2024-11-11,17.9,17.9,17.06,17.3,6352619
AEO,2024-11-12,17.25,17.33,16.94,17.04,3946242
AEO,2024-11-13,17.36,17.79,17.17,17.4,3773048
AEO,2024-11-14,17.48,17.59,17.2,17.29,2407552
AEO,2024-11-15,17.29,17.79,17.16,17.51,5194398
AEO,2024-11-18,17.56,17.75,16.87,16.95,3926880
AEO,2024-11-19,16.74,16.82,16.27,16.55,4465879
AEO,2024-11-20,16.51,16.6,16.25,16.4,4432200
AEO,2024-11-21,16.44,16.52,16.03,16.35,6530815
AEO,2024-11-22,16.83,17.31,16.7,16.73,4583453
AEO,2024-11-25,17.07,18.15,17.07,17.74,8228937
AEO,2024-11-26,17.47,17.77,16.95,16.99,3851080
AEO,2024-11-27,17.18,17.68,17.18,17.65,4235263
AEO,2024-11-29,17.89,18.36,17.59,18.27,3706100
AEO,2024-12-02,18.3,19.46,18.25,18.93,8563728
AEO,2024-12-03,18.91,19.13,18.46,18.93,4932411
AEO,2024-12-04,18.89,19.52,18.78,19.51,9587400
AEO,2024-12-05,16.44,17.2,16.09,16.73,21871300
AEO,2024-12-06,17.15,17.5,16.79,17.09,8900600
AEO,2024-12-09,17.12,17.47,16.78,16.81,7226629
AEO,2024-12-10,16.79,17.18,16.44,16.81,7555781
AEO,2024-12-11,16.89,17.08,16.6,16.76,5128975
AEO,2024-12-12,16.76,17.04,16.44,16.48,5072906
AEO,2024-12-13,16.47,16.48,16.22,16.34,6246400
AEO,2024-12-16,16.3,16.8,16.15,16.23,6638300
AEO,2024-12-17,16.2,16.34,15.87,16.34,6609989
AEO,2024-12-18,16.45,16.45,15.52,15.58,4767036
AEO,2024-12-19,15.62,15.69,15.39,15.54,3368159
AEO,2024-12-20,15.43,16.1,15.39,15.85,9974900
AEO,2024-12-23,15.77,16.02,15.73,15.93,3195534
AEO,2024-12-24,15.93,15.96,15.59,15.68,1778516
AEO,2024-12-26,15.65,15.94,15.5,15.72,3777334
AEO,2024-12-27,15.61,15.98,15.6,15.63,3551213
AEO,2024-12-30,15.44,15.69,15.26,15.58,3189019
AEO,2024-12-31,15.68,15.92,15.54,15.83,4338501
AEO,2025-01-02,16.0,16.4,15.92,16.27,3812035
AEO,2025-01-03,16.3,16.36,16.07,16.32,3319810
AEO,2025-01-06,16.42,16.55,16.23,16.35,3426612
AEO,2025-01-07,16.34,16.53,15.77,15.88,4799300
AEO,2025-01-08,15.52,15.75,15.31,15.69,4618600
AEO,2025-01-10,15.61,15.81,15.17,15.53,5985200
AEO,2025-01-13,16.31,16.31,14.7,14.82,7493348
AEO,2025-01-14,14.89,15.28,14.82,15.23,3913324
