symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AESI,2024-08-28,19.92,20.01,19.45,19.47,812900
AESI,2024-08-29,19.59,19.92,19.35,19.73,395745
AESI,2024-08-30,19.55,19.84,19.45,19.8,554800
AESI,2024-09-03,19.36,19.62,18.85,19.08,768329
AESI,2024-09-04,19.12,19.31,18.79,18.81,654200
AESI,2024-09-05,19.07,19.22,18.64,19.2,1067315
AESI,2024-09-06,19.19,19.75,18.98,18.98,1476504
AESI,2024-09-09,19.01,19.24,18.62,18.66,1186164
AESI,2024-09-10,18.73,19.02,18.13,18.68,1184134
AESI,2024-09-11,18.68,18.82,18.16,18.6,571400
AESI,2024-09-12,18.78,19.14,18.62,18.93,544908
AESI,2024-09-13,19.23,19.63,19.15,19.38,514400
AESI,2024-09-16,19.58,20.07,19.38,20.06,575400
AESI,2024-09-17,20.11,20.6,20.09,20.43,637828
AESI,2024-09-18,20.39,21.02,20.23,20.38,831500
AESI,2024-09-19,20.99,21.09,20.59,20.92,343918
AESI,2024-09-20,20.98,21.7,20.66,21.27,1244422
AESI,2024-09-23,21.42,21.88,21.42,21.81,599422
AESI,2024-09-24,22.24,22.27,21.69,21.71,457100
AESI,2024-09-25,21.48,21.6,21.24,21.32,641200
AESI,2024-09-26,20.82,21.08,19.83,19.98,929700
AESI,2024-09-27,20.21,20.44,19.87,20.1,718300
AESI,2024-09-30,19.96,20.48,19.93,20.47,610459
AESI,2024-10-01,20.37,20.68,20.16,20.55,526925
AESI,2024-10-02,21.01,21.2,20.67,20.93,558800
AESI,2024-10-03,20.74,21.21,19.95,21.07,1028461
AESI,2024-10-04,21.4,21.87,21.06,21.32,657728
AESI,2024-10-07,21.44,21.44,20.93,21.24,568606
AESI,2024-10-08,20.98,21.01,20.44,20.47,540522
AESI,2024-10-09,20.23,20.75,20.13,20.33,456701
AESI,2024-10-10,19.43,19.57,18.28,19.32,3557500
AESI,2024-10-11,18.94,19.63,18.94,19.2,1021900
AESI,2024-10-14,18.93,19.34,18.77,19.15,663316
AESI,2024-10-15,18.53,19.01,18.52,18.76,674900
AESI,2024-10-16,19.18,19.35,18.71,19.12,1115900
AESI,2024-10-17,19.03,19.19,18.48,18.8,985225
AESI,2024-10-18,18.83,18.88,18.38,18.72,788124
AESI,2024-10-21,18.88,19.06,18.6,18.65,902401
AESI,2024-10-22,18.73,19.15,18.51,19.04,782290
AESI,2024-10-23,18.94,19.13,18.51,18.54,981504
AESI,2024-10-24,18.66,18.76,18.15,18.43,950758
AESI,2024-10-25,18.68,18.99,18.48,18.81,1151007
AESI,2024-10-28,18.45,18.93,18.43,18.8,771300
AESI,2024-10-29,19.6,20.71,18.85,19.12,2796517
AESI,2024-10-30,19.01,19.39,18.61,18.63,730135
AESI,2024-10-31,18.75,18.89,18.14,18.37,761000
AESI,2024-11-01,18.66,18.68,17.97,17.99,885705
AESI,2024-11-04,18.15,18.97,17.94,18.74,1205001
AESI,2024-11-05,18.94,19.17,18.68,18.95,676018
AESI,2024-11-06,19.67,20.36,19.58,20.12,2448995
AESI,2024-11-07,19.48,19.74,19.17,19.56,1172502
AESI,2024-11-08,19.68,19.9,19.49,19.6,860300
AESI,2024-11-11,19.66,21.0,19.53,20.9,1090830
AESI,2024-11-12,20.09,20.58,19.95,20.42,1134719
AESI,2024-11-13,20.46,20.46,19.87,20.05,637200
AESI,2024-11-14,19.98,20.09,19.12,19.23,981600
AESI,2024-11-15,19.34,19.82,18.82,18.94,729550
AESI,2024-11-18,19.27,20.0,19.11,19.87,645531
AESI,2024-11-19,19.64,19.99,19.52,19.86,401000
AESI,2024-11-20,20.11,20.23,19.57,20.14,586100
AESI,2024-11-21,20.3,20.64,20.15,20.43,419600
AESI,2024-11-22,22.65,22.78,22.08,22.4,4675272
AESI,2024-11-25,22.92,23.11,22.11,22.52,13049863
AESI,2024-11-26,22.31,22.76,21.97,22.36,1780423
AESI,2024-11-27,22.51,22.89,22.02,22.24,914900
AESI,2024-11-29,22.47,22.54,22.01,22.38,701300
AESI,2024-12-02,22.43,22.53,21.72,22.26,1081327
AESI,2024-12-03,22.38,22.97,22.12,22.8,1234659
AESI,2024-12-04,22.79,23.02,22.02,22.29,997400
AESI,2024-12-05,22.43,22.86,21.95,22.23,973900
AESI,2024-12-06,22.16,22.17,21.15,21.24,991600
AESI,2024-12-09,21.48,22.15,21.38,21.56,650930
AESI,2024-12-10,21.73,22.62,21.46,22.06,1196974
