symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AFG,2025-02-12,117.02,117.62,116.09,116.14,295800
AFG,2025-02-13,116.42,116.7,115.13,115.46,525063
AFG,2025-02-14,115.97,116.33,114.08,114.49,546500
AFG,2025-02-18,114.38,115.62,113.76,114.22,625700
AFG,2025-02-19,113.93,114.32,112.1,113.21,751606
AFG,2025-02-20,112.65,112.96,110.92,112.18,553200
AFG,2025-02-21,112.33,112.47,110.73,111.28,728600
AFG,2025-02-24,111.51,112.97,111.23,111.63,688200
AFG,2025-02-25,112.51,114.37,112.2,113.7,1022174
AFG,2025-02-26,113.69,114.79,112.73,114.22,585845
AFG,2025-02-27,114.2,116.47,113.86,116.27,289500
AFG,2025-02-28,117.5,117.94,115.61,117.28,603332
AFG,2025-03-03,117.62,119.79,117.19,119.38,529825
AFG,2025-03-04,118.33,118.8,116.29,116.86,503109
AFG,2025-03-05,117.05,118.37,115.78,117.61,368900
AFG,2025-03-06,116.96,119.23,116.33,118.86,646539
AFG,2025-03-07,118.39,119.82,117.92,118.09,578500
AFG,2025-03-10,118.13,119.68,117.08,117.65,690811
AFG,2025-03-11,118.02,118.02,115.84,116.32,638290
AFG,2025-03-12,116.46,116.91,113.84,114.9,701637
AFG,2025-03-13,115.43,116.8,115.11,116.09,482700
AFG,2025-03-14,116.6,118.36,116.23,118.19,646541
AFG,2025-03-17,117.53,119.51,117.52,119.38,521800
AFG,2025-03-18,119.1,120.16,118.14,118.4,503612
AFG,2025-03-19,118.41,118.49,116.57,118.16,589700
AFG,2025-03-20,117.81,118.8,117.38,118.13,518324
AFG,2025-03-21,117.36,118.73,117.01,117.69,4213665
AFG,2025-03-24,118.13,120.95,118.13,120.7,621032
AFG,2025-03-25,121.36,121.45,119.25,120.83,432747
AFG,2025-03-26,121.76,122.89,120.59,120.67,443404
AFG,2025-03-27,121.44,121.44,119.59,120.56,432616
AFG,2025-03-28,121.43,124.41,121.26,122.7,624233
AFG,2025-03-31,122.47,125.53,122.14,123.93,770300
AFG,2025-04-01,123.89,125.08,122.85,124.66,479517
AFG,2025-04-02,123.57,125.18,123.32,124.67,587825
AFG,2025-04-03,122.54,124.83,122.22,122.93,629913
AFG,2025-04-04,120.28,120.6,113.7,114.94,510400
AFG,2025-04-07,112.4,115.69,108.41,110.3,731700
AFG,2025-04-08,113.66,114.56,109.04,110.52,598700
AFG,2025-04-09,108.25,118.6,108.25,118.19,605714
AFG,2025-04-10,117.09,119.31,115.71,117.89,565400
AFG,2025-04-11,118.02,119.35,115.66,118.63,553919
AFG,2025-04-14,119.9,122.46,119.74,121.26,415536
AFG,2025-04-15,121.84,122.78,120.36,120.63,286600
AFG,2025-04-16,122.14,122.63,120.21,120.96,425900
AFG,2025-04-17,121.33,122.68,120.44,121.51,431054
AFG,2025-04-21,121.49,121.49,118.18,119.13,307300
AFG,2025-04-22,120.78,123.34,120.36,123.01,226400
AFG,2025-04-23,123.33,124.55,121.11,121.98,331029
AFG,2025-04-24,121.41,122.9,120.92,122.61,293439
AFG,2025-04-25,121.66,122.18,119.11,120.1,378022
AFG,2025-04-28,120.61,121.69,120.15,120.88,257100
AFG,2025-04-29,120.29,121.84,119.72,121.58,249041
AFG,2025-04-30,121.58,121.58,118.16,120.27,444904
AFG,2025-05-01,118.57,120.73,117.7,119.74,568311
AFG,2025-05-02,120.83,123.53,120.0,123.14,305142
AFG,2025-05-05,122.59,124.06,121.97,122.59,262123
AFG,2025-05-06,121.94,123.68,121.86,123.41,395400
AFG,2025-05-07,117.74,119.42,115.36,115.83,1021666
AFG,2025-05-08,116.19,117.8,115.94,116.6,549900
AFG,2025-05-09,116.43,116.98,115.5,115.67,531505
AFG,2025-05-12,116.4,117.33,115.59,117.24,460600
AFG,2025-05-13,117.49,118.97,117.08,117.98,447500
AFG,2025-05-14,117.54,118.52,115.39,115.86,663400
AFG,2025-05-15,115.86,118.18,115.86,117.92,295800
AFG,2025-05-16,118.14,120.55,117.99,120.23,358809
AFG,2025-05-19,120.05,121.0,119.75,120.72,277700
AFG,2025-05-20,120.24,120.95,119.31,119.37,311042
AFG,2025-05-21,118.5,118.69,116.64,116.66,365800
AFG,2025-05-22,116.76,117.06,114.43,115.27,454843
