symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AGNC,2024-08-27,7.99,8.02,7.96,7.97,9706324
AGNC,2024-08-28,7.98,8.05,7.96,7.99,13328537
AGNC,2024-08-29,8.0,8.02,7.96,7.99,14597300
AGNC,2024-08-30,7.99,8.08,7.99,8.03,14305200
AGNC,2024-09-03,7.98,8.07,7.97,8.03,12239800
AGNC,2024-09-04,8.03,8.06,7.97,8.0,12042308
AGNC,2024-09-05,8.02,8.07,8.01,8.06,11764044
AGNC,2024-09-06,8.07,8.09,8.01,8.03,12432422
AGNC,2024-09-09,8.05,8.08,8.02,8.03,15340300
AGNC,2024-09-10,8.04,8.08,8.02,8.07,11567733
AGNC,2024-09-11,8.03,8.06,7.94,8.0,17983300
AGNC,2024-09-12,8.02,8.05,7.98,8.04,10551600
AGNC,2024-09-13,8.08,8.14,8.07,8.14,14790400
AGNC,2024-09-16,8.18,8.32,8.17,8.3,20467013
AGNC,2024-09-17,8.31,8.37,8.29,8.3,15613404
AGNC,2024-09-18,8.32,8.44,8.27,8.38,17212331
AGNC,2024-09-19,8.52,8.53,8.28,8.3,22862100
AGNC,2024-09-20,8.36,8.39,8.23,8.25,27374100
AGNC,2024-09-23,8.27,8.28,8.12,8.14,23144549
AGNC,2024-09-24,8.17,8.27,8.17,8.23,23613200
AGNC,2024-09-25,8.21,8.23,8.13,8.15,16095422
AGNC,2024-09-26,8.22,8.23,8.12,8.18,15643700
AGNC,2024-09-27,8.24,8.3,8.18,8.28,17232323
AGNC,2024-09-30,8.28,8.34,8.24,8.32,13338709
AGNC,2024-10-01,8.3,8.31,8.09,8.16,21280807
AGNC,2024-10-02,8.16,8.2,8.13,8.19,10622200
AGNC,2024-10-03,8.19,8.22,8.1,8.2,13312413
AGNC,2024-10-04,8.18,8.21,8.1,8.2,15415453
AGNC,2024-10-07,8.21,8.23,8.05,8.07,15796732
AGNC,2024-10-08,8.09,8.22,8.06,8.2,13486600
AGNC,2024-10-09,8.22,8.24,8.17,8.19,9773013
AGNC,2024-10-10,8.17,8.24,8.15,8.24,12078900
AGNC,2024-10-11,8.24,8.26,8.18,8.2,11170600
AGNC,2024-10-14,8.18,8.25,8.16,8.24,9794048
AGNC,2024-10-15,8.25,8.33,8.25,8.31,14079943
AGNC,2024-10-16,8.35,8.39,8.33,8.34,14693900
AGNC,2024-10-17,8.31,8.36,8.31,8.32,11153200
AGNC,2024-10-18,8.36,8.43,8.34,8.43,13532200
AGNC,2024-10-21,8.42,8.42,8.23,8.25,19153200
AGNC,2024-10-22,8.23,8.23,7.96,7.96,33889200
AGNC,2024-10-23,7.94,8.03,7.84,7.9,38758300
AGNC,2024-10-24,7.95,7.96,7.86,7.9,20075000
AGNC,2024-10-25,7.94,7.99,7.89,7.89,16428300
AGNC,2024-10-28,7.94,7.94,7.64,7.66,53951300
AGNC,2024-10-29,7.59,7.63,7.46,7.58,50525900
AGNC,2024-10-30,7.61,7.66,7.56,7.64,25441200
AGNC,2024-10-31,7.64,7.66,7.5,7.5,21246143
AGNC,2024-11-01,7.57,7.61,7.48,7.5,23911800
AGNC,2024-11-04,7.51,7.59,7.5,7.53,23229900
AGNC,2024-11-05,7.54,7.68,7.48,7.67,22083523
AGNC,2024-11-06,7.66,7.69,7.36,7.55,37047700
AGNC,2024-11-07,7.57,7.72,7.57,7.67,21028623
AGNC,2024-11-08,7.68,7.84,7.68,7.78,20584144
AGNC,2024-11-11,7.78,7.82,7.75,7.8,14309100
AGNC,2024-11-12,7.75,7.76,7.6,7.63,20365324
AGNC,2024-11-13,7.68,7.72,7.64,7.67,16821608
AGNC,2024-11-14,7.66,7.73,7.65,7.66,11374100
AGNC,2024-11-15,7.67,7.74,7.57,7.72,16035925
AGNC,2024-11-18,7.69,7.81,7.64,7.79,14517800
AGNC,2024-11-19,7.76,7.85,7.73,7.79,12622934
AGNC,2024-11-20,7.77,7.79,7.69,7.77,15264100
AGNC,2024-11-21,7.77,7.84,7.77,7.81,10568300
AGNC,2024-11-22,7.82,7.89,7.82,7.84,12423523
AGNC,2024-11-25,7.9,7.92,7.84,7.85,20240409
AGNC,2024-11-26,7.86,7.86,7.68,7.76,22242100
AGNC,2024-11-27,7.8,7.88,7.79,7.86,12126400
AGNC,2024-11-29,7.88,7.89,7.84,7.87,9931620
AGNC,2024-12-02,7.85,7.86,7.78,7.83,14346900
AGNC,2024-12-03,7.82,7.87,7.73,7.73,17805125
AGNC,2024-12-04,7.73,7.77,7.68,7.75,12109300
AGNC,2024-12-05,7.76,7.8,7.73,7.78,9285749
AGNC,2024-12-06,7.83,7.93,7.83,7.92,15316000
AGNC,2024-12-09,7.89,7.95,7.87,7.89,15772800
AGNC,2024-12-10,7.89,7.92,7.82,7.83,13868000
AGNC,2024-12-11,7.85,7.89,7.78,7.83,13798500
AGNC,2024-12-12,7.82,7.89,7.78,7.78,11995300
AGNC,2024-12-13,7.79,7.82,7.74,7.81,12399522
AGNC,2024-12-16,7.8,7.89,7.8,7.87,14973000
AGNC,2024-12-17,7.85,7.92,7.79,7.8,15993125
AGNC,2024-12-18,7.8,7.88,7.57,7.59,21016912
AGNC,2024-12-19,7.64,7.73,7.54,7.56,21140304
AGNC,2024-12-20,7.58,7.81,7.55,7.7,34103020
AGNC,2024-12-23,7.71,7.74,7.63,7.7,14511500
AGNC,2024-12-24,7.7,7.72,7.63,7.72,10784700
AGNC,2024-12-26,7.69,7.71,7.63,7.65,18471934
AGNC,2024-12-27,7.64,7.69,7.58,7.61,17135633
AGNC,2024-12-30,7.61,7.61,7.49,7.54,23971310
AGNC,2024-12-31,7.57,7.65,7.52,7.6,21158400
AGNC,2025-01-02,7.63,7.74,7.62,7.66,19429243
AGNC,2025-01-03,7.67,7.82,7.67,7.79,19364200
AGNC,2025-01-06,7.81,7.81,7.69,7.69,17062600
AGNC,2025-01-07,7.7,7.76,7.64,7.69,18327013
AGNC,2025-01-08,7.65,7.69,7.57,7.67,15327525
AGNC,2025-01-10,7.6,7.65,7.53,7.54,23942500
AGNC,2025-01-13,7.55,7.55,7.4,7.53,22312421
AGNC,2025-01-14,7.56,7.65,7.56,7.63,15349800
AGNC,2025-01-15,7.76,7.8,7.68,7.75,12866114
AGNC,2025-01-16,7.75,7.89,7.74,7.88,17485700
AGNC,2025-01-17,7.91,7.96,7.89,7.93,17710300
AGNC,2025-01-21,7.96,8.03,7.95,8.03,16516636
AGNC,2025-01-22,8.02,8.06,7.98,8.01,14550839
AGNC,2025-01-23,8.02,8.04,7.94,7.96,19790539
AGNC,2025-01-24,7.97,8.03,7.95,7.99,16119500
AGNC,2025-01-27,8.0,8.12,7.96,8.08,27647400
AGNC,2025-01-28,8.01,8.17,8.01,8.15,26474000
AGNC,2025-01-29,8.14,8.22,8.08,8.11,16377901
AGNC,2025-01-30,8.19,8.33,8.18,8.32,32159800
AGNC,2025-01-31,8.32,8.4,8.27,8.32,29666200
AGNC,2025-02-03,8.12,8.35,8.09,8.31,22185400
AGNC,2025-02-04,8.29,8.43,8.27,8.41,20719933
AGNC,2025-02-05,8.4,8.46,8.39,8.44,20459352
AGNC,2025-02-06,8.44,8.5,8.43,8.47,13017329
AGNC,2025-02-07,8.46,8.47,8.38,8.41,17495600
AGNC,2025-02-10,8.43,8.48,8.39,8.47,15229800
AGNC,2025-02-11,8.48,8.51,8.43,8.5,20220000
AGNC,2025-02-12,8.42,8.51,8.39,8.5,17805800
AGNC,2025-02-13,8.51,8.63,8.51,8.62,18691700
AGNC,2025-02-14,8.64,8.73,8.64,8.71,19586100
AGNC,2025-02-18,8.72,8.76,8.7,8.76,21138722
AGNC,2025-02-19,8.73,8.78,8.71,8.74,16002935
AGNC,2025-02-20,8.75,8.82,8.73,8.79,14214735
AGNC,2025-02-21,8.82,8.87,8.76,8.8,32466800
