symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AHR,2024-08-27,19.98,20.4,19.74,19.91,4619500
AHR,2024-08-28,19.91,20.26,19.86,19.97,2082500
AHR,2024-08-29,19.96,19.96,19.41,19.61,1856200
AHR,2024-08-30,19.52,19.92,19.49,19.91,1370800
AHR,2024-09-03,19.56,20.21,19.17,20.06,1705100
AHR,2024-09-04,20.1,20.76,20.1,20.74,1375135
AHR,2024-09-05,20.83,21.56,20.82,21.01,2117900
AHR,2024-09-06,21.21,21.35,20.81,20.97,1479200
AHR,2024-09-09,20.98,21.43,20.81,21.31,1697800
AHR,2024-09-10,21.31,21.85,21.26,21.81,1457800
AHR,2024-09-11,21.69,22.11,21.45,21.75,1688035
AHR,2024-09-12,21.7,22.58,21.53,22.53,2198194
AHR,2024-09-13,22.7,23.47,22.7,23.38,1608145
AHR,2024-09-16,23.71,23.87,23.13,23.19,1881600
AHR,2024-09-17,23.27,23.7,22.71,23.12,2363638
AHR,2024-09-18,23.04,23.96,22.51,23.33,2886508
AHR,2024-09-19,23.77,24.66,23.4,24.17,10755400
AHR,2024-09-20,24.87,25.27,24.37,24.66,12981284
AHR,2024-09-23,25.07,25.71,24.67,25.0,8265446
AHR,2024-09-24,24.99,25.36,24.92,25.16,2017628
AHR,2024-09-25,25.04,25.51,25.04,25.4,2095040
AHR,2024-09-26,25.44,25.53,25.01,25.13,2656149
AHR,2024-09-27,25.31,25.35,24.93,25.09,3666096
AHR,2024-09-30,24.97,25.2,24.63,25.07,3853504
AHR,2024-10-01,24.99,25.07,24.24,24.38,2113784
AHR,2024-10-02,24.14,24.36,23.86,24.09,2154200
AHR,2024-10-03,23.95,24.13,23.77,24.08,1174700
AHR,2024-10-04,24.18,24.21,23.78,24.06,1063962
AHR,2024-10-07,23.89,24.06,23.64,23.95,1183240
AHR,2024-10-08,24.05,24.15,23.65,23.86,1228728
AHR,2024-10-09,23.73,23.76,23.23,23.42,1791806
AHR,2024-10-10,23.26,23.39,22.72,23.24,1800900
AHR,2024-10-11,23.37,23.68,23.25,23.61,1354844
AHR,2024-10-14,23.52,23.82,23.42,23.72,651200
AHR,2024-10-15,23.77,24.11,23.77,23.94,1230303
AHR,2024-10-16,23.98,24.45,23.98,24.41,1193202
AHR,2024-10-17,24.39,24.46,23.99,24.09,1391835
AHR,2024-10-18,24.26,24.52,24.09,24.21,1160086
AHR,2024-10-21,24.18,24.22,23.57,23.62,933900
AHR,2024-10-22,23.41,24.06,23.3,23.91,1095627
AHR,2024-10-23,23.8,24.69,23.8,24.67,1281413
AHR,2024-10-24,24.77,25.01,24.75,24.87,958600
AHR,2024-10-25,24.98,25.07,24.61,24.85,999046
AHR,2024-10-28,24.97,25.21,24.9,24.93,1056400
AHR,2024-10-29,24.85,25.37,24.52,25.32,2011901
AHR,2024-10-30,25.31,26.06,25.29,25.91,1310036
AHR,2024-10-31,25.6,26.14,25.43,25.55,1276254
AHR,2024-11-01,25.68,25.75,25.11,25.14,1181600
AHR,2024-11-04,25.11,25.17,24.44,24.66,1417600
AHR,2024-11-05,24.56,25.01,24.28,24.79,1014900
AHR,2024-11-06,25.22,25.67,23.26,24.16,2825331
AHR,2024-11-07,24.25,25.42,24.25,25.27,1658200
AHR,2024-11-08,25.18,25.6,24.69,25.05,1382300
AHR,2024-11-11,25.15,25.58,24.87,25.42,1562671
AHR,2024-11-12,25.22,26.12,24.85,24.89,2239525
AHR,2024-11-13,25.4,26.67,25.14,25.74,2346911
AHR,2024-11-14,25.72,25.9,25.07,25.18,1900662
AHR,2024-11-15,25.19,26.17,25.08,26.11,2176000
AHR,2024-11-18,26.23,26.63,25.96,26.36,1323552
AHR,2024-11-19,26.25,27.22,26.13,26.99,2317600
AHR,2024-11-20,26.83,27.16,26.44,26.57,1930931
AHR,2024-11-21,26.52,27.5,26.39,27.23,1989429
AHR,2024-11-22,27.19,27.55,27.07,27.45,2157447
AHR,2024-11-25,27.62,28.0,27.47,27.82,11481634
AHR,2024-11-26,27.8,28.35,27.7,28.2,1684200
AHR,2024-11-27,28.4,28.63,28.24,28.4,1044300
AHR,2024-11-29,28.59,28.8,28.41,28.63,927000
AHR,2024-12-02,28.23,28.43,27.5,27.82,2022700
AHR,2024-12-03,27.8,28.05,27.23,27.76,1752338
AHR,2024-12-04,27.76,28.01,27.51,27.58,1258800
AHR,2024-12-05,27.52,27.88,27.36,27.69,1473502
AHR,2024-12-06,27.7,27.87,27.05,27.42,1467941
AHR,2024-12-09,27.37,27.7,26.74,27.09,1777994
AHR,2024-12-10,26.84,27.29,26.58,26.76,2122235
AHR,2024-12-11,26.37,27.06,26.07,26.96,2046100
AHR,2024-12-12,26.9,27.54,26.87,27.22,1901950
AHR,2024-12-13,27.05,27.37,26.97,27.34,1528920
AHR,2024-12-16,27.31,27.77,27.06,27.06,1862266
AHR,2024-12-17,26.89,27.53,26.75,27.23,1649713
AHR,2024-12-18,27.19,27.83,26.18,26.3,1530100
AHR,2024-12-19,26.45,26.88,26.13,26.13,1992941
AHR,2024-12-20,25.97,26.86,25.56,26.65,17109400
AHR,2024-12-23,26.21,27.04,26.12,26.99,1484392
AHR,2024-12-24,27.06,27.42,26.9,27.39,618700
AHR,2024-12-26,27.33,27.6,27.09,27.5,781400
AHR,2024-12-27,27.28,27.43,27.01,27.35,1435638
AHR,2024-12-30,27.16,27.28,26.72,27.21,1462419
AHR,2024-12-31,27.34,27.72,27.21,27.54,1860317
AHR,2025-01-02,27.59,27.59,26.54,26.89,1314330
AHR,2025-01-03,26.93,27.4,26.93,27.3,1489426
AHR,2025-01-06,27.27,27.56,26.87,26.89,1102545
AHR,2025-01-07,26.94,27.19,26.64,26.8,851800
AHR,2025-01-08,26.61,27.49,26.53,27.45,1110320
AHR,2025-01-10,26.6,26.89,26.1,26.38,1164426
AHR,2025-01-13,26.18,26.34,25.58,26.29,1235300
AHR,2025-01-14,26.34,26.6,26.2,26.52,719143
AHR,2025-01-15,27.23,27.31,26.89,27.06,705000
AHR,2025-01-16,27.12,27.88,27.04,27.81,767500
AHR,2025-01-17,27.85,27.97,26.96,27.04,1651200
AHR,2025-01-21,27.16,27.39,26.87,27.07,1611344
AHR,2025-01-22,27.1,27.43,26.79,27.38,1205919
AHR,2025-01-23,27.2,27.86,27.07,27.82,982437
AHR,2025-01-24,27.71,28.26,27.67,28.01,782225
AHR,2025-01-27,27.89,28.69,27.88,28.48,1101118
AHR,2025-01-28,28.29,28.94,28.29,28.71,1052300
AHR,2025-01-29,28.55,28.88,27.41,27.57,1237105
AHR,2025-01-30,27.85,28.16,27.54,27.9,1348142
AHR,2025-01-31,27.91,27.98,27.27,27.42,1451500
AHR,2025-02-03,26.92,28.13,26.66,27.97,1395209
AHR,2025-02-04,27.86,28.02,27.5,27.74,969049
AHR,2025-02-05,27.96,28.62,27.92,28.43,1262000
AHR,2025-02-06,28.51,28.87,28.05,28.49,2087990
AHR,2025-02-07,28.46,28.63,28.17,28.39,1043437
AHR,2025-02-10,28.3,28.39,27.53,27.62,1704500
AHR,2025-02-11,27.56,27.79,26.41,26.77,2029445
AHR,2025-02-12,26.33,26.99,25.79,26.61,1349045
AHR,2025-02-13,26.59,27.69,26.41,27.53,1943735
AHR,2025-02-14,27.43,27.68,27.14,27.27,1000229
AHR,2025-02-18,27.1,27.43,26.97,27.16,1033941
AHR,2025-02-19,26.96,27.41,26.68,26.8,1115200
AHR,2025-02-20,26.66,27.05,26.33,27.01,1389800
AHR,2025-02-21,27.09,27.15,26.25,26.47,1507505
AHR,2025-02-24,26.53,27.1,26.37,26.89,1178509
AHR,2025-02-25,26.93,28.04,26.83,27.98,1413047
AHR,2025-02-26,28.05,28.84,27.93,28.8,2326372
AHR,2025-02-27,28.76,29.41,28.69,29.25,3015720
AHR,2025-02-28,27.95,29.21,27.32,28.87,5584108
AHR,2025-03-03,28.58,30.01,28.49,29.5,3049663
AHR,2025-03-04,29.6,29.88,28.93,29.6,2220727
AHR,2025-03-05,29.46,29.71,28.94,29.44,1313916
AHR,2025-03-06,29.09,29.4,28.0,28.12,1391533
AHR,2025-03-07,28.12,28.65,27.74,28.02,2007058
AHR,2025-03-10,27.91,28.1,26.8,27.1,2647348
AHR,2025-03-11,27.24,28.12,27.21,27.85,1843730
AHR,2025-03-12,28.28,28.59,27.58,27.72,1199112
AHR,2025-03-13,27.99,28.4,27.6,28.0,1738167
AHR,2025-03-14,28.35,29.05,28.21,28.58,2016000
AHR,2025-03-17,28.54,28.92,28.33,28.8,1663924
AHR,2025-03-18,28.74,28.77,28.03,28.49,1159049
AHR,2025-03-19,28.46,29.37,28.27,29.21,2443489
AHR,2025-03-20,29.21,29.52,28.66,28.92,1826100
AHR,2025-03-21,29.02,29.08,28.5,28.7,3563290
AHR,2025-03-24,28.89,29.6,28.75,29.51,2108342
AHR,2025-03-25,29.49,29.7,29.18,29.37,3424400
AHR,2025-03-26,29.53,29.7,28.77,28.92,3153600
AHR,2025-03-27,28.95,29.6,28.83,29.01,1981748
AHR,2025-03-28,29.08,29.5,28.51,29.49,1894600
AHR,2025-03-31,29.0,29.85,28.99,29.6,4295235
AHR,2025-04-01,29.63,30.32,29.19,30.07,2539319
AHR,2025-04-02,29.95,30.72,29.76,30.08,2163600
AHR,2025-04-03,29.87,30.88,29.53,29.7,2003323
AHR,2025-04-04,29.08,29.38,27.69,27.84,2545135
AHR,2025-04-07,26.92,28.32,26.16,27.11,1948621
AHR,2025-04-08,27.95,27.96,26.14,26.69,2750016
AHR,2025-04-09,26.28,28.62,25.87,28.42,2474722
AHR,2025-04-10,28.06,28.56,27.29,28.29,1237400
AHR,2025-04-11,28.29,28.65,27.53,28.6,1360047
AHR,2025-04-14,28.8,29.33,28.34,29.23,1122840
AHR,2025-04-15,29.43,29.75,29.23,29.64,1071100
AHR,2025-04-16,29.52,29.86,29.12,29.62,1274700
AHR,2025-04-17,29.63,30.21,29.62,29.91,961900
AHR,2025-04-21,29.72,29.89,28.49,28.9,1026811
AHR,2025-04-22,29.27,29.69,29.08,29.48,962311
AHR,2025-04-23,29.77,30.04,29.46,29.71,1040938
AHR,2025-04-24,29.82,30.6,29.36,30.36,1821100
AHR,2025-04-25,30.5,30.5,30.01,30.39,573500
AHR,2025-04-28,30.66,30.92,30.38,30.86,1441100
AHR,2025-04-29,30.81,31.54,30.41,31.21,1796300
AHR,2025-04-30,31.02,31.65,30.58,31.54,1318900
AHR,2025-05-01,31.63,31.63,30.83,31.08,1511200
AHR,2025-05-02,31.22,31.84,30.9,31.8,1525800
AHR,2025-05-05,31.6,31.91,31.28,31.66,1145429
AHR,2025-05-06,31.26,32.06,31.2,31.78,1201600
AHR,2025-05-07,31.68,32.41,31.54,31.91,1791904
AHR,2025-05-08,31.81,32.24,31.41,31.47,1595578
AHR,2025-05-09,32.03,34.3,31.75,34.13,2431123
AHR,2025-05-12,33.86,34.25,33.02,33.95,1969000
AHR,2025-05-13,34.05,34.44,33.5,33.83,1449820
AHR,2025-05-14,33.58,33.78,33.21,33.4,1458133
AHR,2025-05-15,33.69,34.51,33.51,34.18,1659215
AHR,2025-05-16,34.19,34.69,33.89,34.69,3286100
AHR,2025-05-19,34.65,34.75,34.26,34.44,1629226
AHR,2025-05-20,34.37,35.14,33.95,34.47,2580121
AHR,2025-05-21,34.8,34.8,33.3,33.38,2159025
