symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AJG,2024-08-27,283.06,286.44,282.71,285.51,817100
AJG,2024-08-28,286.18,289.39,285.62,286.31,608900
AJG,2024-08-29,287.05,289.1,285.46,286.9,375000
AJG,2024-08-30,287.27,288.54,284.42,287.99,1405032
AJG,2024-09-03,288.31,291.46,287.99,289.88,751216
AJG,2024-09-04,290.68,293.56,290.24,293.08,714582
AJG,2024-09-05,293.55,293.55,288.57,290.92,527349
AJG,2024-09-06,290.98,292.7,289.58,290.17,671525
AJG,2024-09-09,291.65,295.8,290.82,294.85,839623
AJG,2024-09-10,295.16,296.55,293.22,294.74,742300
AJG,2024-09-11,293.71,293.8,285.44,290.62,582012
AJG,2024-09-12,289.97,293.11,289.1,292.55,410500
AJG,2024-09-13,292.54,294.09,290.38,293.32,400600
AJG,2024-09-16,294.92,296.93,294.56,295.46,541528
AJG,2024-09-17,294.93,296.82,290.45,291.89,556300
AJG,2024-09-18,292.93,293.05,286.2,287.2,685273
AJG,2024-09-19,287.18,288.03,277.97,278.34,1530976
AJG,2024-09-20,275.79,277.29,270.5,272.29,2482800
AJG,2024-09-23,274.41,278.89,272.91,278.17,1459300
AJG,2024-09-24,278.17,278.81,274.4,275.51,759188
AJG,2024-09-25,277.12,278.55,275.09,276.91,896947
AJG,2024-09-26,276.39,277.37,273.56,274.19,1211050
AJG,2024-09-27,273.71,276.82,273.71,275.63,740400
AJG,2024-09-30,276.32,278.07,274.38,277.52,851900
AJG,2024-10-01,277.8,282.54,277.28,282.39,1083100
AJG,2024-10-02,281.32,282.37,280.16,282.0,1336100
AJG,2024-10-03,282.92,283.46,280.9,282.15,947023
AJG,2024-10-04,282.16,286.08,281.05,285.66,828669
AJG,2024-10-07,285.02,286.38,280.5,282.98,1376054
AJG,2024-10-08,285.19,290.29,284.72,289.15,1219909
AJG,2024-10-09,287.47,291.5,287.36,290.91,1081400
AJG,2024-10-10,292.75,293.68,279.74,281.79,1504520
AJG,2024-10-11,283.41,284.51,280.88,283.97,749335
AJG,2024-10-14,284.68,286.5,283.47,285.75,735981
AJG,2024-10-15,286.73,288.97,282.81,283.64,932000
AJG,2024-10-16,281.93,286.23,281.59,285.56,1004900
AJG,2024-10-17,287.53,288.84,284.51,286.79,908305
AJG,2024-10-18,288.01,288.01,284.29,285.3,738646
AJG,2024-10-21,284.23,285.97,282.2,285.66,577062
AJG,2024-10-22,284.7,285.98,280.61,283.29,609438
AJG,2024-10-23,282.8,285.8,282.3,284.98,612310
AJG,2024-10-24,286.04,286.04,282.79,283.62,938123
AJG,2024-10-25,279.13,283.56,273.65,279.1,1478179
AJG,2024-10-28,282.63,283.6,279.72,282.08,1008200
AJG,2024-10-29,282.3,283.84,281.2,281.22,791800
AJG,2024-10-30,281.35,282.75,279.64,280.59,556628
AJG,2024-10-31,279.79,281.93,277.35,277.36,868200
AJG,2024-11-01,277.9,279.24,276.19,276.57,738425
AJG,2024-11-04,278.6,279.07,275.89,277.8,654200
AJG,2024-11-05,277.25,279.32,275.78,279.27,787932
AJG,2024-11-06,288.01,289.87,280.67,286.71,1284330
AJG,2024-11-07,288.4,288.67,285.17,286.59,862323
AJG,2024-11-08,289.42,293.01,288.21,290.74,787835
AJG,2024-11-11,291.31,292.95,288.15,288.72,731031
AJG,2024-11-12,290.55,292.07,288.76,291.23,764625
AJG,2024-11-13,291.09,295.61,291.05,294.24,966174
AJG,2024-11-14,293.43,295.33,290.19,290.68,634372
AJG,2024-11-15,290.6,292.88,288.44,290.55,948405
AJG,2024-11-18,287.75,291.57,286.33,289.58,728406
AJG,2024-11-19,288.17,289.75,285.84,288.49,692023
AJG,2024-11-20,290.0,292.69,287.14,291.84,772819
AJG,2024-11-21,293.08,299.52,290.8,298.31,1032889
AJG,2024-11-22,299.04,303.79,297.8,300.13,626002
AJG,2024-11-25,298.19,302.3,296.66,302.2,2181340
AJG,2024-11-26,304.01,310.14,302.9,308.68,1538546
AJG,2024-11-27,309.2,311.41,307.36,310.85,1383200
AJG,2024-11-29,309.56,312.39,307.65,307.97,811937
AJG,2024-12-02,308.24,308.73,302.36,303.75,592077
AJG,2024-12-03,304.62,305.96,298.74,305.57,1183102
AJG,2024-12-04,304.16,306.69,302.58,303.06,850591
AJG,2024-12-05,302.32,303.46,299.35,299.43,869234
AJG,2024-12-06,297.83,299.88,292.92,293.24,887832
AJG,2024-12-09,289.57,295.55,279.73,288.43,2811500
AJG,2024-12-10,280.43,285.04,279.29,280.42,13426557
AJG,2024-12-11,281.49,282.58,278.2,280.26,4921559
AJG,2024-12-12,281.63,282.85,277.79,277.9,5646000
AJG,2024-12-13,278.98,282.35,278.19,281.26,2827249
AJG,2024-12-16,282.35,285.61,280.97,282.65,2981700
AJG,2024-12-17,281.1,281.5,276.44,279.6,2371137
AJG,2024-12-18,279.6,282.48,274.96,275.23,2028231
AJG,2024-12-19,275.5,278.84,273.66,275.82,2244106
AJG,2024-12-20,276.24,283.08,273.74,279.78,2774935
AJG,2024-12-23,278.37,281.64,277.53,281.18,1935227
AJG,2024-12-24,281.88,285.12,280.25,284.97,1045803
AJG,2024-12-26,283.19,285.73,282.83,284.98,1173686
AJG,2024-12-27,284.46,285.61,281.86,283.18,7623032
AJG,2024-12-30,280.75,282.05,278.53,281.13,1709800
AJG,2024-12-31,282.36,282.64,279.26,280.53,1354100
AJG,2025-01-02,282.05,282.92,272.33,272.66,2560805
AJG,2025-01-03,274.17,278.45,273.57,277.12,3729046
AJG,2025-01-06,278.41,278.69,273.02,273.18,1678141
AJG,2025-01-07,275.06,278.88,273.98,276.49,2776806
AJG,2025-01-08,278.83,282.74,276.89,282.16,1853584
AJG,2025-01-10,282.64,286.94,280.3,283.65,3074562
AJG,2025-01-13,281.88,284.93,281.88,282.46,1918412
AJG,2025-01-14,282.65,286.35,281.53,285.72,1284615
AJG,2025-01-15,288.58,288.58,284.39,286.79,1869239
AJG,2025-01-16,287.36,292.56,287.36,292.33,1230500
