symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ALB,2024-08-27,86.22,86.96,85.79,86.22,1165700
ALB,2024-08-28,85.32,85.92,84.83,85.27,1802100
ALB,2024-08-29,86.19,90.11,84.09,88.8,1875089
ALB,2024-08-30,90.11,91.75,86.75,87.45,2063275
ALB,2024-09-03,84.59,85.27,80.16,81.51,2748100
ALB,2024-09-04,80.55,84.48,80.55,82.12,2158225
ALB,2024-09-05,82.18,82.56,79.94,80.03,1421643
ALB,2024-09-06,78.72,78.93,73.02,74.51,3495900
ALB,2024-09-09,75.57,77.28,74.38,75.97,2238826
ALB,2024-09-10,75.59,76.25,73.1,76.18,2058300
ALB,2024-09-11,87.41,88.96,82.12,86.53,6391826
ALB,2024-09-12,86.53,87.08,84.04,85.75,2865108
ALB,2024-09-13,86.53,87.42,83.58,85.11,2181700
ALB,2024-09-16,85.65,87.72,84.65,86.97,1566367
ALB,2024-09-17,88.1,89.45,87.37,87.43,1925607
ALB,2024-09-18,88.14,88.32,83.8,84.28,3200630
ALB,2024-09-19,87.8,87.96,85.5,86.95,1976211
ALB,2024-09-20,86.12,86.6,83.18,83.74,4531530
ALB,2024-09-23,85.01,87.87,83.64,86.35,2005311
ALB,2024-09-24,90.23,92.32,88.05,88.05,3650500
ALB,2024-09-25,88.21,88.43,84.15,84.28,2170517
ALB,2024-09-26,89.55,92.99,88.1,92.64,4339616
ALB,2024-09-27,94.61,95.63,92.29,93.49,2592845
ALB,2024-09-30,93.63,95.49,91.69,92.19,1743351
ALB,2024-10-01,91.65,92.42,90.24,91.81,1269900
ALB,2024-10-02,91.88,93.09,90.1,91.57,1271390
ALB,2024-10-03,89.6,92.47,89.45,91.8,1785640
ALB,2024-10-04,96.56,99.38,95.78,99.37,4790855
ALB,2024-10-07,97.22,102.44,96.94,101.69,4527200
ALB,2024-10-08,97.19,98.8,96.31,97.59,4295000
ALB,2024-10-09,99.47,100.63,97.11,99.21,3759134
ALB,2024-10-10,98.61,101.89,98.42,100.22,1840700
ALB,2024-10-11,97.97,100.66,97.66,99.3,2426032
ALB,2024-10-14,98.48,99.29,95.39,96.95,2352800
ALB,2024-10-15,95.0,97.41,93.02,93.19,2645413
ALB,2024-10-16,95.23,97.01,94.05,95.63,1875900
ALB,2024-10-17,94.89,95.21,90.72,92.15,2992341
ALB,2024-10-18,94.14,95.04,91.94,92.61,2082010
ALB,2024-10-21,91.98,92.42,90.51,91.34,2276748
ALB,2024-10-22,91.17,94.3,90.46,93.89,2363602
ALB,2024-10-23,92.51,93.75,90.95,91.46,1958742
ALB,2024-10-24,92.91,93.54,90.66,92.62,1422100
ALB,2024-10-25,92.7,93.64,90.59,91.02,2046400
ALB,2024-10-28,91.4,96.85,91.18,95.53,2383604
ALB,2024-10-29,94.76,96.74,94.05,94.08,1409500
ALB,2024-10-30,93.85,96.37,92.86,92.98,1318213
ALB,2024-10-31,92.98,94.12,91.66,92.21,2197640
ALB,2024-11-01,92.47,96.75,91.86,95.62,2431111
ALB,2024-11-04,96.85,99.87,96.19,97.89,2339601
ALB,2024-11-05,97.37,97.76,95.68,97.12,1548500
ALB,2024-11-06,93.45,94.78,90.82,94.01,3228346
ALB,2024-11-07,94.81,101.1,91.88,97.27,3377669
ALB,2024-11-08,96.15,98.24,94.49,98.16,2287100
ALB,2024-11-11,101.89,108.62,101.15,107.55,4581900
ALB,2024-11-12,103.75,105.25,99.97,100.06,2359400
ALB,2024-11-13,105.38,108.42,104.54,105.31,3822242
ALB,2024-11-14,105.5,106.25,98.52,99.38,2458300
ALB,2024-11-15,99.28,100.87,96.93,100.77,2498100
ALB,2024-11-18,100.38,102.13,99.51,101.26,1698893
ALB,2024-11-19,104.16,104.89,101.03,103.62,2168932
ALB,2024-11-20,103.13,107.24,103.13,106.63,2033799
ALB,2024-11-21,104.16,107.14,103.64,106.08,1598004
ALB,2024-11-22,104.04,106.56,101.76,105.49,1820200
ALB,2024-11-25,107.24,108.72,105.8,107.05,2087033
ALB,2024-11-26,105.62,106.73,103.54,103.95,1973334
ALB,2024-11-27,104.84,106.81,103.43,105.11,1071996
