symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ALL,2024-12-06,198.36,199.93,196.66,198.71,1050717
ALL,2024-12-09,197.8,199.47,194.08,194.22,2307275
ALL,2024-12-10,194.62,194.86,190.09,190.34,1667322
ALL,2024-12-11,190.39,191.32,186.51,188.62,1541718
ALL,2024-12-12,189.81,190.4,187.29,187.64,1113020
ALL,2024-12-13,189.13,192.91,188.94,191.51,1803000
ALL,2024-12-16,192.24,193.79,190.16,190.3,1409105
ALL,2024-12-17,189.46,189.8,186.99,188.72,1324400
ALL,2024-12-18,187.83,189.0,184.51,184.67,1378417
ALL,2024-12-19,185.07,187.48,183.82,185.2,1478508
ALL,2024-12-20,183.86,190.2,182.87,188.87,2351800
ALL,2024-12-23,187.89,189.14,187.06,188.94,1336149
ALL,2024-12-24,189.18,191.08,188.25,190.79,453220
ALL,2024-12-26,190.72,191.17,189.81,190.88,563305
ALL,2024-12-27,189.46,191.05,187.93,189.11,1094410
ALL,2024-12-30,188.18,188.46,185.17,187.89,1041705
ALL,2024-12-31,187.87,188.72,187.15,188.12,758019
ALL,2025-01-02,188.35,189.07,185.81,187.3,1722849
ALL,2025-01-03,188.05,188.81,186.21,186.81,1431760
ALL,2025-01-06,186.98,187.89,180.86,181.41,2622990
ALL,2025-01-07,181.59,183.06,179.73,181.54,2265871
ALL,2025-01-08,184.15,187.2,180.54,187.16,2401720
ALL,2025-01-10,184.06,186.13,172.19,176.61,4642102
ALL,2025-01-13,174.08,179.89,173.82,178.12,2381500
ALL,2025-01-14,178.86,182.54,177.54,182.29,1554500
ALL,2025-01-15,184.43,185.56,182.43,183.48,1672395
ALL,2025-01-16,183.85,187.31,183.23,186.47,1502207
ALL,2025-01-17,186.68,188.22,184.07,184.33,1519046
ALL,2025-01-21,185.63,188.64,184.93,185.16,1609263
ALL,2025-01-22,186.4,187.25,180.43,180.77,1856846
ALL,2025-01-23,180.77,183.47,179.75,180.19,2241700
ALL,2025-01-24,180.09,181.99,179.45,181.57,1215540
ALL,2025-01-27,182.78,188.59,182.67,188.51,1518722
ALL,2025-01-28,187.43,188.25,185.63,186.34,875610
ALL,2025-01-29,185.37,188.28,185.21,186.19,724819
ALL,2025-01-30,188.15,189.71,187.15,189.14,879687
ALL,2025-01-31,189.3,189.87,187.62,187.67,1619438
ALL,2025-02-03,186.26,188.1,182.95,187.33,1223773
ALL,2025-02-04,186.55,188.8,185.87,186.25,1109346
ALL,2025-02-05,188.65,188.65,186.3,188.34,1288615
ALL,2025-02-06,190.27,194.22,185.31,187.23,2641292
ALL,2025-02-07,187.35,188.09,183.47,185.63,1928165
ALL,2025-02-10,185.13,185.54,181.04,182.06,1544220
ALL,2025-02-11,182.37,186.24,180.26,184.84,1374609
ALL,2025-02-12,183.54,184.88,181.53,184.75,2641333
ALL,2025-02-13,185.4,188.4,183.65,188.1,1889159
ALL,2025-02-14,187.46,188.03,181.3,183.09,3917915
ALL,2025-02-18,183.69,186.23,183.19,184.38,3622199
ALL,2025-02-19,184.13,187.15,183.43,186.96,1142800
ALL,2025-02-20,185.4,185.88,181.11,184.6,1382200
ALL,2025-02-21,184.36,185.16,180.92,181.17,1428000
ALL,2025-02-24,182.12,185.69,181.97,184.18,2009454
ALL,2025-02-25,185.65,186.79,184.35,185.87,912200
ALL,2025-02-26,185.51,186.33,183.01,183.87,1269245
ALL,2025-02-27,185.86,190.46,184.81,190.34,1397629
ALL,2025-02-28,192.17,195.1,190.93,194.33,3365900
ALL,2025-03-03,194.7,198.38,194.7,197.17,1775393
ALL,2025-03-04,197.36,197.6,193.61,194.21,2513432
ALL,2025-03-05,196.09,196.61,192.16,194.73,1598296
ALL,2025-03-06,193.35,193.73,190.81,192.65,1460100
ALL,2025-03-07,192.52,196.54,191.04,195.87,1957944
ALL,2025-03-10,194.79,199.6,193.51,194.9,2711904
ALL,2025-03-11,194.66,199.67,190.41,197.69,3412770
ALL,2025-03-12,197.32,197.53,189.1,194.42,2688805
ALL,2025-03-13,195.16,198.35,195.16,198.1,1674225
ALL,2025-03-14,198.73,203.84,197.36,203.48,2546015
ALL,2025-03-17,202.14,207.07,201.73,206.04,3318900
ALL,2025-03-18,205.41,205.89,201.01,201.37,1894342
ALL,2025-03-19,200.62,201.33,198.88,200.91,1787944
ALL,2025-03-20,203.14,208.8,203.14,206.12,2542736
ALL,2025-03-21,204.43,206.84,201.54,202.48,2888212
ALL,2025-03-24,203.0,203.99,201.75,203.29,1240943
ALL,2025-03-25,203.84,205.31,202.13,204.1,1064600
ALL,2025-03-26,205.28,207.15,204.01,205.24,1086740
ALL,2025-03-27,206.55,206.55,203.49,205.25,1827514
ALL,2025-03-28,205.78,205.78,200.84,202.46,2113432
ALL,2025-03-31,202.06,204.43,201.13,203.07,1926467
ALL,2025-04-01,203.77,206.12,202.37,203.49,1583646
ALL,2025-04-02,202.65,203.52,199.83,201.46,1674904
ALL,2025-04-03,198.56,204.41,198.37,201.35,2010920
ALL,2025-04-04,198.45,199.72,182.64,182.97,3352200
ALL,2025-04-07,179.66,183.77,172.6,177.04,4062000
ALL,2025-04-08,183.21,185.93,177.32,179.93,3087105
ALL,2025-04-09,176.52,190.48,176.52,189.27,2844050
ALL,2025-04-10,188.1,190.24,183.02,187.1,1895500
ALL,2025-04-11,185.76,189.63,183.42,188.83,1876953
ALL,2025-04-14,190.46,193.62,189.63,191.72,1631922
ALL,2025-04-15,192.42,194.09,190.58,190.78,1691607
ALL,2025-04-16,192.29,193.9,189.2,190.49,1596141
ALL,2025-04-17,192.02,193.03,189.43,190.9,1905800
