symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ALMS,2024-08-27,13.05,13.05,12.51,12.6,105629
ALMS,2024-08-28,12.74,13.01,12.53,12.81,84411
ALMS,2024-08-29,12.82,13.07,12.68,12.77,140000
ALMS,2024-08-30,12.8,12.91,12.56,12.7,80300
ALMS,2024-09-03,12.79,12.79,11.72,12.2,141700
ALMS,2024-09-04,12.49,12.51,11.57,11.91,143140
ALMS,2024-09-05,12.11,12.5,11.62,11.78,131900
ALMS,2024-09-06,11.89,12.05,11.7,11.96,144000
ALMS,2024-09-09,12.11,12.45,11.77,11.8,134575
ALMS,2024-09-10,12.01,12.06,11.48,11.48,44600
ALMS,2024-09-11,11.36,11.58,10.72,10.93,63600
ALMS,2024-09-12,11.05,11.87,10.85,11.26,164400
ALMS,2024-09-13,11.22,11.7,11.1,11.59,110600
ALMS,2024-09-16,11.76,11.76,10.37,11.05,163640
ALMS,2024-09-17,11.05,11.56,10.5,10.61,102947
ALMS,2024-09-18,10.75,11.46,10.63,11.34,225800
ALMS,2024-09-19,11.39,11.48,10.93,11.37,213045
ALMS,2024-09-20,11.53,11.78,10.9,11.47,2712844
ALMS,2024-09-23,11.62,12.08,11.39,11.86,176313
ALMS,2024-09-24,11.86,11.86,11.0,11.45,346200
ALMS,2024-09-25,11.58,12.56,11.35,11.51,197233
ALMS,2024-09-26,11.56,12.16,11.56,11.97,145626
ALMS,2024-09-27,12.13,12.23,10.7,11.16,170719
ALMS,2024-09-30,11.1,11.6,10.46,10.68,111814
ALMS,2024-10-01,10.75,10.88,10.46,10.67,72916
ALMS,2024-10-02,10.78,10.78,10.3,10.4,60915
ALMS,2024-10-03,10.5,10.5,10.01,10.03,89827
ALMS,2024-10-04,10.11,10.26,9.58,9.74,110900
ALMS,2024-10-07,9.81,10.39,9.54,10.35,98607
ALMS,2024-10-08,10.5,10.76,10.19,10.32,77775
ALMS,2024-10-09,10.37,10.61,10.23,10.49,71700
ALMS,2024-10-10,10.5,10.63,9.95,10.29,85000
ALMS,2024-10-11,10.46,10.47,10.26,10.35,50107
ALMS,2024-10-14,10.44,10.44,10.09,10.32,57930
ALMS,2024-10-15,10.5,11.35,10.44,11.2,78840
ALMS,2024-10-16,11.1,11.4,10.71,11.19,129029
ALMS,2024-10-17,11.63,11.75,10.8,11.12,47500
ALMS,2024-10-18,11.01,12.08,10.92,12.03,112036
ALMS,2024-10-21,12.0,13.11,12.0,12.58,122200
ALMS,2024-10-22,12.58,13.02,12.36,12.98,85167
ALMS,2024-10-23,12.9,13.01,11.8,12.04,87022
ALMS,2024-10-24,12.25,12.58,11.86,11.97,49800
ALMS,2024-10-25,12.0,12.36,11.8,11.9,59900
ALMS,2024-10-28,11.85,12.0,11.62,11.99,63235
ALMS,2024-10-29,12.01,12.22,11.95,12.16,24214
ALMS,2024-10-30,11.81,12.03,11.23,11.23,44000
ALMS,2024-10-31,11.11,11.8,11.11,11.32,71400
