symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ALNY,2024-08-27,268.29,282.54,265.1,280.26,1193057
ALNY,2024-08-28,280.0,286.0,274.0,280.7,993929
ALNY,2024-08-29,279.41,287.55,279.41,287.01,1261089
ALNY,2024-08-30,266.0,273.24,256.91,262.69,3762558
ALNY,2024-09-03,260.44,263.1,252.76,253.78,1621244
ALNY,2024-09-04,253.51,255.16,248.18,253.14,1008500
ALNY,2024-09-05,251.86,255.24,249.95,251.48,508900
ALNY,2024-09-06,252.35,253.44,244.88,246.78,682407
ALNY,2024-09-09,246.65,255.48,246.65,253.16,865552
ALNY,2024-09-10,251.13,257.0,249.89,256.21,599701
ALNY,2024-09-11,256.75,263.65,256.11,261.91,652248
ALNY,2024-09-12,260.42,266.8,259.99,261.73,530020
ALNY,2024-09-13,261.0,265.52,259.01,265.27,437700
ALNY,2024-09-16,266.66,271.16,264.37,270.37,485831
ALNY,2024-09-17,271.21,274.57,270.24,274.46,758137
ALNY,2024-09-18,275.55,277.58,271.38,273.15,655928
ALNY,2024-09-19,276.53,279.85,273.53,276.33,603900
ALNY,2024-09-20,275.39,275.39,270.17,273.88,907221
ALNY,2024-09-23,275.22,275.74,270.97,271.83,571400
ALNY,2024-09-24,271.56,271.66,267.13,271.0,489600
ALNY,2024-09-25,271.61,275.11,268.34,272.73,680100
ALNY,2024-09-26,271.84,278.24,270.83,274.57,548800
ALNY,2024-09-27,275.5,276.07,271.48,274.91,459539
ALNY,2024-09-30,275.5,277.84,272.55,275.03,849800
ALNY,2024-10-01,274.88,277.94,268.13,276.06,601529
ALNY,2024-10-02,275.62,276.5,264.84,271.55,552825
ALNY,2024-10-03,271.55,272.49,268.35,269.53,678442
ALNY,2024-10-04,269.01,270.94,264.56,267.99,409945
ALNY,2024-10-07,268.55,268.55,264.15,266.77,610033
ALNY,2024-10-08,266.0,274.6,264.72,271.19,621000
ALNY,2024-10-09,272.0,273.23,269.0,270.9,431646
ALNY,2024-10-10,270.5,282.45,269.0,278.62,782797
ALNY,2024-10-11,278.8,286.02,278.26,284.32,618135
ALNY,2024-10-14,284.09,285.72,280.82,283.32,856200
ALNY,2024-10-15,284.85,289.67,283.75,287.36,850339
ALNY,2024-10-16,286.39,301.87,286.39,300.55,1258129
ALNY,2024-10-17,299.15,304.39,296.59,296.75,1205441
ALNY,2024-10-18,296.01,298.94,295.51,295.93,968700
ALNY,2024-10-21,294.33,295.39,288.34,292.01,1381700
