symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AMKR,2024-08-27,31.51,31.95,31.03,31.84,721208
AMKR,2024-08-28,31.64,31.92,30.8,31.44,983208
AMKR,2024-08-29,31.41,32.47,31.35,31.54,1043352
AMKR,2024-08-30,32.29,32.29,31.27,31.7,2291915
AMKR,2024-09-03,31.13,31.13,28.47,28.59,1900400
AMKR,2024-09-04,28.37,29.45,28.11,28.68,1765600
AMKR,2024-09-05,28.33,29.15,27.99,28.56,1084737
AMKR,2024-09-06,28.32,28.4,27.43,27.54,1276489
AMKR,2024-09-09,27.9,28.27,27.69,27.7,1218743
AMKR,2024-09-10,27.81,27.89,27.21,27.86,928900
AMKR,2024-09-11,27.98,29.16,27.66,29.09,953200
AMKR,2024-09-12,29.0,29.14,28.55,28.8,997551
AMKR,2024-09-13,29.21,29.76,29.14,29.61,958200
AMKR,2024-09-16,28.98,29.39,28.59,29.3,1211955
AMKR,2024-09-17,29.8,29.85,29.28,29.64,1187600
AMKR,2024-09-18,29.87,30.39,29.17,29.21,1247943
AMKR,2024-09-19,30.09,31.01,30.06,30.57,1690249
AMKR,2024-09-20,30.87,31.1,29.87,29.9,8056200
AMKR,2024-09-23,29.96,30.22,29.54,29.96,2103800
AMKR,2024-09-24,30.34,30.58,29.21,29.36,1688367
AMKR,2024-09-25,29.25,30.01,29.25,29.69,1485577
AMKR,2024-09-26,30.97,31.16,29.85,30.82,1452411
AMKR,2024-09-27,31.05,31.37,29.76,29.84,1350213
AMKR,2024-09-30,29.52,29.96,29.22,29.56,1142538
AMKR,2024-10-01,29.48,29.56,28.06,28.13,1246500
AMKR,2024-10-02,28.41,29.13,28.25,28.7,843400
AMKR,2024-10-03,28.37,28.79,28.03,28.1,1383200
AMKR,2024-10-04,29.64,30.02,29.03,29.46,2238330
AMKR,2024-10-07,29.13,29.5,28.76,29.05,1125425
AMKR,2024-10-08,28.97,29.27,28.69,29.13,1125794
AMKR,2024-10-09,29.1,29.66,28.78,29.47,858100
AMKR,2024-10-10,28.99,29.24,28.65,29.19,1450331
AMKR,2024-10-11,29.13,30.01,29.13,29.87,752200
AMKR,2024-10-14,30.18,30.59,30.06,30.53,723800
AMKR,2024-10-15,30.38,30.64,28.94,28.96,1407536
AMKR,2024-10-16,29.67,29.73,29.0,29.44,1080800
AMKR,2024-10-17,30.38,30.49,29.83,29.89,1351200
AMKR,2024-10-18,30.14,30.15,29.33,29.49,970744
AMKR,2024-10-21,29.4,29.94,29.17,29.27,1162436
AMKR,2024-10-22,29.2,29.32,28.75,28.95,865315
AMKR,2024-10-23,28.78,29.12,28.07,28.47,1108500
AMKR,2024-10-24,28.74,28.91,28.16,28.37,848700
AMKR,2024-10-25,28.83,29.18,28.7,28.86,1065125
AMKR,2024-10-28,28.97,29.2,28.25,28.52,2422700
AMKR,2024-10-29,24.14,27.21,23.28,27.03,5920528
AMKR,2024-10-30,26.14,26.79,25.57,25.82,2502070
AMKR,2024-10-31,25.77,25.77,24.57,24.58,2377700
AMKR,2024-11-01,24.81,25.64,24.81,25.11,1653543
AMKR,2024-11-04,25.03,26.0,25.03,25.13,1608935
AMKR,2024-11-05,25.03,25.44,24.92,25.43,1219987
AMKR,2024-11-06,26.2,26.66,25.9,26.44,1514000
AMKR,2024-11-07,26.95,27.46,26.66,26.8,1416821
AMKR,2024-11-08,26.57,26.65,26.2,26.43,1028119
AMKR,2024-11-11,26.2,26.26,25.69,26.18,887501
AMKR,2024-11-12,26.11,26.17,25.41,25.58,966100
AMKR,2024-11-13,25.44,25.7,24.82,25.09,1172229
