symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AMRX,2024-08-27,8.45,8.5,8.34,8.48,1349467
AMRX,2024-08-28,8.53,8.65,8.47,8.61,1313962
AMRX,2024-08-29,8.63,8.71,8.53,8.67,776586
AMRX,2024-08-30,8.71,8.72,8.56,8.66,933523
AMRX,2024-09-03,8.53,8.62,8.47,8.49,1810680
AMRX,2024-09-04,8.45,8.59,8.41,8.49,2466049
AMRX,2024-09-05,8.5,8.5,8.23,8.45,1093977
AMRX,2024-09-06,8.56,8.58,8.27,8.39,1105530
AMRX,2024-09-09,8.39,8.6,8.38,8.46,1464065
AMRX,2024-09-10,8.46,8.53,8.32,8.38,748009
AMRX,2024-09-11,8.3,8.41,8.17,8.36,703373
AMRX,2024-09-12,8.42,8.48,8.26,8.47,757193
AMRX,2024-09-13,8.56,8.64,8.5,8.62,617686
AMRX,2024-09-16,8.66,8.89,8.61,8.78,1585965
AMRX,2024-09-17,8.82,8.89,8.73,8.83,997697
AMRX,2024-09-18,8.83,8.9,8.67,8.71,920265
AMRX,2024-09-19,8.85,8.86,8.68,8.81,897761
AMRX,2024-09-20,8.79,8.82,8.69,8.7,3549732
AMRX,2024-09-23,8.67,8.72,8.45,8.52,1060749
AMRX,2024-09-24,8.52,8.52,8.31,8.44,967875
AMRX,2024-09-25,8.42,8.46,8.26,8.34,911011
AMRX,2024-09-26,8.43,8.47,8.29,8.35,1260149
AMRX,2024-09-27,8.39,8.39,8.17,8.19,751397
AMRX,2024-09-30,8.11,8.34,8.01,8.32,1073954
AMRX,2024-10-01,8.38,8.94,8.38,8.7,2535110
AMRX,2024-10-02,8.76,8.76,8.55,8.59,914142
AMRX,2024-10-03,8.53,8.59,8.41,8.55,764541
AMRX,2024-10-04,8.66,8.71,8.58,8.65,476831
AMRX,2024-10-07,8.62,8.66,8.39,8.46,771677
AMRX,2024-10-08,8.49,8.78,8.44,8.66,845932
AMRX,2024-10-09,8.66,8.73,8.59,8.68,695158
AMRX,2024-10-10,8.57,8.6,8.43,8.46,671158
AMRX,2024-10-11,8.5,8.61,8.46,8.57,712978
AMRX,2024-10-14,8.58,8.68,8.5,8.66,594460
AMRX,2024-10-15,8.64,8.85,8.56,8.81,630268
AMRX,2024-10-16,8.9,8.95,8.67,8.7,799372
AMRX,2024-10-17,8.69,8.7,8.45,8.46,935025
AMRX,2024-10-18,8.47,8.7,8.32,8.58,926067
AMRX,2024-10-21,8.68,8.7,8.45,8.47,779367
AMRX,2024-10-22,8.4,8.53,8.33,8.5,587420
AMRX,2024-10-23,8.53,8.53,8.16,8.32,669430
AMRX,2024-10-24,8.33,8.42,8.18,8.31,643256
AMRX,2024-10-25,8.37,8.43,8.31,8.4,622761
AMRX,2024-10-28,8.49,8.57,8.43,8.54,707639
AMRX,2024-10-29,8.48,8.59,8.46,8.55,596426
AMRX,2024-10-30,8.5,8.66,8.43,8.57,539743
AMRX,2024-10-31,8.53,8.59,8.44,8.47,717750
AMRX,2024-11-01,8.52,8.59,8.46,8.49,887145
AMRX,2024-11-04,8.45,8.5,8.3,8.41,1068962
AMRX,2024-11-05,8.35,8.41,8.23,8.25,1035632
AMRX,2024-11-06,8.4,8.56,8.28,8.5,2001020
AMRX,2024-11-07,8.54,8.66,8.41,8.61,2015892
AMRX,2024-11-08,8.15,8.76,7.52,8.73,1720455
AMRX,2024-11-11,8.79,9.32,8.79,9.2,2220393
AMRX,2024-11-12,9.25,9.48,9.23,9.25,1401184
AMRX,2024-11-13,9.27,9.34,9.0,9.03,1038550
AMRX,2024-11-14,9.06,9.25,8.88,9.0,1338333
AMRX,2024-11-15,9.0,9.01,8.37,8.47,1607410
AMRX,2024-11-18,8.43,8.47,8.18,8.33,1194579
AMRX,2024-11-19,8.3,8.46,8.11,8.44,694164
AMRX,2024-11-20,8.38,8.41,8.24,8.41,729145
AMRX,2024-11-21,8.4,8.47,8.28,8.32,781087
AMRX,2024-11-22,8.4,8.43,8.25,8.39,750957
AMRX,2024-11-25,8.5,8.53,8.32,8.38,958139
AMRX,2024-11-26,8.32,8.34,7.97,8.25,1058200
AMRX,2024-11-27,8.25,8.37,8.09,8.35,1002134
AMRX,2024-11-29,8.35,8.38,8.13,8.27,711111
AMRX,2024-12-02,8.25,8.69,8.2,8.57,2067468
AMRX,2024-12-03,8.56,8.59,8.4,8.53,2116924
AMRX,2024-12-04,8.56,8.83,8.47,8.81,1707039
AMRX,2024-12-05,8.81,8.9,8.58,8.63,1061237
AMRX,2024-12-06,8.67,8.67,8.41,8.45,1132679
AMRX,2024-12-09,8.37,8.42,8.04,8.09,1281853
AMRX,2024-12-10,8.08,8.16,7.97,8.15,873751
AMRX,2024-12-11,8.14,8.24,8.04,8.1,703645
AMRX,2024-12-12,8.03,8.15,7.9,7.92,605582
AMRX,2024-12-13,7.93,7.95,7.76,7.83,722727
AMRX,2024-12-16,7.84,7.9,7.68,7.75,795132
AMRX,2024-12-17,7.74,8.18,7.69,8.07,1234401
AMRX,2024-12-18,8.05,8.05,7.59,7.69,1372417
AMRX,2024-12-19,7.73,7.82,7.64,7.75,1005917
AMRX,2024-12-20,7.69,7.86,7.57,7.78,1569781
AMRX,2024-12-23,7.78,7.84,7.65,7.79,599237
AMRX,2024-12-24,7.79,7.85,7.71,7.85,352439
AMRX,2024-12-26,7.81,7.86,7.64,7.85,493448
AMRX,2024-12-27,7.77,7.83,7.65,7.82,926541
AMRX,2024-12-30,7.74,7.87,7.63,7.83,975474
AMRX,2024-12-31,7.85,8.01,7.72,7.92,1649343
AMRX,2025-01-02,7.93,8.07,7.71,7.76,1023367
AMRX,2025-01-03,7.76,7.87,7.69,7.82,750035
AMRX,2025-01-06,7.82,7.88,7.72,7.77,962738
AMRX,2025-01-07,7.78,7.88,7.63,7.87,986355
AMRX,2025-01-08,8.0,8.07,7.79,8.06,1430041
AMRX,2025-01-10,8.02,8.02,7.82,7.97,626967
AMRX,2025-01-13,7.87,7.96,7.69,7.72,1473792
AMRX,2025-01-14,7.73,7.88,7.69,7.85,819852
AMRX,2025-01-15,8.01,8.25,7.89,8.22,1490002
AMRX,2025-01-16,8.2,8.42,8.12,8.31,1420875
AMRX,2025-01-17,8.35,8.38,8.16,8.26,1075648
