symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AMT,2024-12-05,194.64,198.44,194.64,198.3,2291117
AMT,2024-12-06,198.7,199.73,194.38,196.35,2677955
AMT,2024-12-09,195.96,199.15,195.4,198.19,2854255
AMT,2024-12-10,196.57,197.24,188.48,189.17,2653352
AMT,2024-12-11,189.16,190.18,187.8,189.23,2356879
AMT,2024-12-12,189.2,190.18,187.13,187.58,1922615
AMT,2024-12-13,186.95,188.28,185.94,186.93,1995540
AMT,2024-12-16,186.31,188.42,183.52,183.67,2219154
AMT,2024-12-17,181.28,186.54,180.53,183.23,2637513
AMT,2024-12-18,181.81,182.88,174.96,175.25,4186148
AMT,2024-12-19,173.92,174.93,169.75,170.09,4709995
AMT,2024-12-20,172.63,176.83,172.39,174.19,5750257
AMT,2024-12-23,173.16,175.03,171.64,174.81,2594197
AMT,2024-12-24,173.14,175.16,173.06,175.12,788400
AMT,2024-12-26,174.83,174.83,173.11,174.43,1464729
AMT,2024-12-27,174.08,176.31,173.62,173.96,1640928
AMT,2024-12-30,173.96,174.31,172.03,174.01,1887056
AMT,2024-12-31,174.99,176.04,173.31,175.43,2115500
AMT,2025-01-02,176.09,176.66,172.72,173.16,3142972
AMT,2025-01-03,173.37,175.74,172.28,174.62,1817315
AMT,2025-01-06,173.67,175.5,172.05,172.42,2262657
AMT,2025-01-07,172.29,173.09,169.2,169.46,2096053
AMT,2025-01-08,168.87,171.52,167.18,171.4,2048382
AMT,2025-01-10,166.02,168.85,165.01,165.92,3539246
AMT,2025-01-13,167.06,169.49,166.22,169.24,2409816
AMT,2025-01-14,169.18,172.45,168.59,171.02,2124347
AMT,2025-01-15,176.05,177.24,172.24,172.48,2230902
AMT,2025-01-16,173.12,182.24,172.56,181.8,3544868
AMT,2025-01-17,182.46,183.41,181.19,182.11,2882500
AMT,2025-01-21,182.99,185.34,181.1,181.67,2460864
AMT,2025-01-22,180.26,180.75,175.66,177.23,2753713
AMT,2025-01-23,177.71,178.5,175.38,178.28,1684000
AMT,2025-01-24,177.91,178.82,176.85,177.03,1218209
AMT,2025-01-27,181.74,184.46,179.79,183.63,2862670
AMT,2025-01-28,181.95,182.99,178.07,178.8,1997239
AMT,2025-01-29,178.71,179.62,175.15,175.64,1735117
AMT,2025-01-30,178.13,179.17,176.05,177.74,1457077
AMT,2025-01-31,177.23,179.47,176.33,176.91,1570262
AMT,2025-02-03,176.78,178.39,174.23,177.31,1832160
AMT,2025-02-04,175.78,176.79,174.22,176.12,1450200
AMT,2025-02-05,178.69,180.04,176.78,179.31,1869739
AMT,2025-02-06,180.12,181.61,178.6,181.5,1407034
AMT,2025-02-07,181.53,181.53,178.57,180.63,1588200
AMT,2025-02-10,181.32,181.82,179.09,181.62,1957946
AMT,2025-02-11,180.95,185.09,180.78,185.01,1825700
AMT,2025-02-12,181.17,182.23,178.94,181.28,1766431
AMT,2025-02-13,181.65,182.46,180.92,181.73,1855006
AMT,2025-02-14,182.35,185.13,180.88,181.14,1776115
AMT,2025-02-18,180.36,182.36,180.0,181.31,2301200
AMT,2025-02-19,181.16,182.54,180.16,180.36,2470179
AMT,2025-02-20,180.32,184.57,178.88,184.01,2848927
AMT,2025-02-21,183.95,184.61,182.24,183.22,3304319
AMT,2025-02-24,182.41,185.21,181.21,183.65,2393268
AMT,2025-02-25,188.92,197.3,186.54,194.89,5179858
AMT,2025-02-26,195.69,196.47,190.91,192.0,2512124
AMT,2025-02-27,191.35,195.29,190.66,195.1,2553227
AMT,2025-02-28,196.09,197.37,193.8,196.68,3466958
AMT,2025-03-03,196.08,201.14,196.07,200.49,2229861
AMT,2025-03-04,202.54,205.79,197.94,198.11,4031300
