symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ANF,2024-08-27,160.66,168.5,160.25,166.61,2337115
ANF,2024-08-28,146.99,148.5,134.49,138.31,8789900
ANF,2024-08-29,138.5,143.89,134.46,142.22,3840329
ANF,2024-08-30,143.0,147.87,140.3,147.57,2897910
ANF,2024-09-03,147.48,149.15,142.03,142.94,1749800
ANF,2024-09-04,142.0,142.85,137.67,139.66,1584800
ANF,2024-09-05,138.0,141.35,135.9,137.83,1523397
ANF,2024-09-06,136.75,137.8,130.36,130.93,2254505
ANF,2024-09-09,131.93,136.21,131.14,133.26,1635108
ANF,2024-09-10,133.25,137.75,128.07,129.86,2179044
ANF,2024-09-11,129.81,133.27,128.18,131.21,2111918
ANF,2024-09-12,131.26,138.37,131.26,137.54,1660833
ANF,2024-09-13,139.48,145.55,139.33,142.19,1650500
ANF,2024-09-16,140.63,142.53,132.45,134.62,2248900
ANF,2024-09-17,137.18,138.93,133.0,134.41,1908400
ANF,2024-09-18,134.33,139.62,133.4,135.45,1575206
ANF,2024-09-19,139.55,141.53,137.6,139.32,1286490
ANF,2024-09-20,140.0,143.08,139.81,141.8,2072936
ANF,2024-09-23,141.45,142.54,136.88,140.65,1272400
ANF,2024-09-24,141.67,142.71,139.6,142.1,1045544
ANF,2024-09-25,141.03,141.73,136.38,137.73,1246111
ANF,2024-09-26,141.5,142.84,134.77,137.93,1385400
ANF,2024-09-27,138.22,144.65,137.9,144.5,1654504
ANF,2024-09-30,143.53,143.53,133.56,139.9,2692418
ANF,2024-10-01,139.27,139.56,135.0,135.73,1283108
ANF,2024-10-02,134.44,136.31,132.33,133.72,1517412
ANF,2024-10-03,132.5,134.32,130.87,134.12,1355800
ANF,2024-10-04,139.0,146.4,138.26,146.32,2527500
ANF,2024-10-07,144.99,145.32,136.68,139.04,2405600
ANF,2024-10-08,142.04,144.21,139.45,142.37,1402620
ANF,2024-10-09,142.45,142.68,139.32,140.87,908443
ANF,2024-10-10,139.38,144.79,138.12,143.25,1240346
ANF,2024-10-11,142.95,149.8,142.95,149.75,1341000
ANF,2024-10-14,150.54,157.72,149.69,155.52,1822000
ANF,2024-10-15,156.49,164.0,156.0,160.24,2051500
ANF,2024-10-16,162.2,165.95,160.24,163.78,1427400
