symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AOS,2024-08-27,79.01,79.53,78.18,78.92,702400
AOS,2024-08-28,78.87,79.77,78.75,78.99,577041
AOS,2024-08-29,79.53,80.05,78.3,79.24,603700
AOS,2024-08-30,79.61,80.95,79.56,80.81,1007100
AOS,2024-09-03,80.62,80.76,77.84,78.43,740814
AOS,2024-09-04,78.27,78.44,76.99,77.56,625124
AOS,2024-09-05,77.09,77.17,74.26,75.15,1561841
AOS,2024-09-06,75.33,75.9,74.11,74.24,864900
AOS,2024-09-09,74.64,75.28,74.13,75.18,830900
AOS,2024-09-10,75.42,76.07,75.0,75.94,556700
AOS,2024-09-11,75.75,75.84,73.96,75.73,593141
AOS,2024-09-12,75.67,76.66,75.17,76.64,982230
AOS,2024-09-13,76.98,77.79,76.66,77.19,986200
AOS,2024-09-16,78.01,79.08,77.65,78.86,821000
AOS,2024-09-17,79.23,80.35,79.08,79.6,583600
AOS,2024-09-18,80.02,81.36,79.44,80.01,904200
AOS,2024-09-19,81.56,81.56,80.46,81.36,679500
AOS,2024-09-20,81.1,81.26,79.75,80.01,2338900
AOS,2024-09-23,80.4,81.27,80.19,81.06,668400
AOS,2024-09-24,81.12,82.79,80.93,82.76,940700
AOS,2024-09-25,82.98,83.12,82.19,82.85,805800
AOS,2024-09-26,83.9,86.78,83.73,86.2,1799416
AOS,2024-09-27,86.84,88.86,86.7,87.44,1631341
AOS,2024-09-30,87.45,87.68,86.37,86.71,1065824
AOS,2024-10-01,86.83,87.02,85.16,85.85,847600
AOS,2024-10-02,85.35,85.46,84.1,84.97,981910
AOS,2024-10-03,84.6,84.96,83.55,84.47,886082
AOS,2024-10-04,85.02,85.07,83.72,84.36,653661
AOS,2024-10-07,83.85,85.33,83.28,85.08,629945
AOS,2024-10-08,84.69,84.81,82.94,83.44,1536800
AOS,2024-10-09,83.95,84.82,83.83,84.63,635500
AOS,2024-10-10,83.97,84.35,83.16,83.26,808410
AOS,2024-10-11,77.55,80.31,76.74,78.06,2379229
AOS,2024-10-14,78.22,79.84,77.85,79.75,1345450
AOS,2024-10-15,79.63,80.12,78.08,78.13,1379200
AOS,2024-10-16,78.53,79.07,77.41,77.44,1158100
AOS,2024-10-17,77.09,77.44,75.5,76.01,1772852
AOS,2024-10-18,76.25,76.42,75.56,76.01,1032245
AOS,2024-10-21,76.09,76.84,75.4,75.87,1196640
AOS,2024-10-22,76.89,77.47,75.29,75.49,1549900
AOS,2024-10-23,75.28,77.45,74.54,74.61,1396354
AOS,2024-10-24,74.51,75.29,73.87,74.65,851448
AOS,2024-10-25,74.68,75.4,74.0,74.2,822041
AOS,2024-10-28,74.64,75.53,74.26,74.32,710300
AOS,2024-10-29,73.41,74.36,72.88,73.69,877567
AOS,2024-10-30,73.42,74.24,73.08,73.27,917526
AOS,2024-10-31,73.11,73.52,72.53,72.81,1977500
AOS,2024-11-01,73.11,73.98,72.74,73.1,811313
AOS,2024-11-04,73.1,73.96,72.52,72.85,716400
AOS,2024-11-05,72.72,73.68,72.52,73.61,709103
AOS,2024-11-06,74.66,75.55,73.17,73.89,1422227
AOS,2024-11-07,73.93,74.32,73.35,73.71,1299029
AOS,2024-11-08,73.69,73.96,72.53,72.58,1289404
AOS,2024-11-11,72.79,73.4,72.41,72.81,1215100
AOS,2024-11-12,72.43,72.79,70.82,70.91,1323823
