symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ATEN,2024-08-27,13.15,13.45,13.1,13.3,547327
ATEN,2024-08-28,13.27,13.39,13.08,13.22,347300
ATEN,2024-08-29,13.3,13.58,13.24,13.49,385700
ATEN,2024-08-30,13.54,13.6,13.41,13.5,487000
ATEN,2024-09-03,13.39,13.46,13.2,13.22,443700
ATEN,2024-09-04,13.12,13.34,12.99,13.24,368835
ATEN,2024-09-05,13.24,13.37,13.14,13.19,588833
ATEN,2024-09-06,13.18,13.24,12.97,13.01,447142
ATEN,2024-09-09,13.04,13.07,12.77,12.88,640300
ATEN,2024-09-10,12.95,12.95,12.61,12.75,502900
ATEN,2024-09-11,12.69,12.81,12.48,12.78,306222
ATEN,2024-09-12,12.83,13.05,12.77,12.99,758914
ATEN,2024-09-13,13.07,13.33,13.04,13.29,509500
ATEN,2024-09-16,13.46,13.65,13.31,13.35,736045
ATEN,2024-09-17,13.47,13.62,13.36,13.47,607906
ATEN,2024-09-18,13.44,13.73,13.4,13.54,542621
ATEN,2024-09-19,13.76,13.77,13.52,13.71,470221
ATEN,2024-09-20,13.72,13.9,13.64,13.75,3640300
ATEN,2024-09-23,13.85,13.87,13.47,13.52,522213
ATEN,2024-09-24,13.6,13.68,13.53,13.54,370003
ATEN,2024-09-25,13.56,13.63,13.41,13.46,616100
ATEN,2024-09-26,13.61,13.84,13.52,13.78,512042
ATEN,2024-09-27,13.91,14.06,13.8,13.91,448143
ATEN,2024-09-30,13.91,14.22,13.88,14.16,657600
ATEN,2024-10-01,14.12,14.17,13.81,13.87,489900
ATEN,2024-10-02,13.85,14.05,13.83,14.01,375400
ATEN,2024-10-03,13.91,14.09,13.85,13.87,312444
ATEN,2024-10-04,14.07,14.07,13.84,14.03,283341
ATEN,2024-10-07,13.9,14.03,13.8,13.91,285444
ATEN,2024-10-08,13.88,14.12,13.74,14.1,470638
ATEN,2024-10-09,14.05,14.39,14.04,14.32,606400
ATEN,2024-10-10,14.2,14.49,14.15,14.49,416453
ATEN,2024-10-11,14.54,14.68,14.43,14.62,266500
ATEN,2024-10-14,14.62,14.62,14.38,14.43,238848
ATEN,2024-10-15,14.44,14.54,14.32,14.34,312441
ATEN,2024-10-16,14.39,14.47,14.27,14.43,255100
ATEN,2024-10-17,14.48,14.56,14.36,14.44,231500
ATEN,2024-10-18,14.49,14.52,14.29,14.31,251644
ATEN,2024-10-21,14.41,14.54,14.22,14.24,231012
ATEN,2024-10-22,14.31,14.64,14.24,14.5,288500
