symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ATI,2024-08-27,65.75,66.04,64.99,65.38,660246
ATI,2024-08-28,65.37,65.78,64.58,64.93,460300
ATI,2024-08-29,65.25,65.76,64.42,64.51,717632
ATI,2024-08-30,64.78,65.05,63.5,63.88,1249400
ATI,2024-09-03,64.71,65.19,60.09,60.27,1937663
ATI,2024-09-04,59.82,61.1,59.16,59.79,6472200
ATI,2024-09-05,60.03,60.22,57.98,59.94,3058785
ATI,2024-09-06,59.8,60.08,57.3,58.13,2498700
ATI,2024-09-09,58.8,60.51,58.45,59.22,2083200
ATI,2024-09-10,59.22,60.17,58.71,59.53,1256445
ATI,2024-09-11,58.97,61.58,58.74,61.38,1487900
ATI,2024-09-12,61.69,63.37,61.42,62.2,1191220
ATI,2024-09-13,62.12,62.77,60.84,61.77,1850100
ATI,2024-09-16,61.61,63.09,61.17,61.61,1456800
ATI,2024-09-17,61.61,61.96,60.66,61.84,778000
ATI,2024-09-18,62.17,63.35,61.35,62.28,635200
ATI,2024-09-19,64.23,64.8,62.76,64.68,760711
ATI,2024-09-20,64.45,64.88,63.5,63.84,2188127
ATI,2024-09-23,65.44,65.82,64.43,65.02,719100
ATI,2024-09-24,65.77,66.0,64.36,64.64,1031000
ATI,2024-09-25,64.71,65.72,64.27,65.42,1080600
ATI,2024-09-26,66.46,67.47,65.14,65.32,1462800
ATI,2024-09-27,66.2,67.39,65.62,66.27,1601900
ATI,2024-09-30,65.66,67.03,65.66,66.91,1023017
ATI,2024-10-01,66.57,67.09,65.81,65.96,1115760
ATI,2024-10-02,65.72,67.07,64.79,65.59,1351104
ATI,2024-10-03,65.59,66.1,63.77,63.91,1476100
ATI,2024-10-04,64.96,65.45,64.0,65.09,918233
ATI,2024-10-07,64.48,65.02,64.02,64.64,626302
ATI,2024-10-08,64.42,64.93,63.62,64.0,1445000
ATI,2024-10-09,63.69,63.76,62.02,62.83,1661425
ATI,2024-10-10,61.28,62.97,60.56,62.94,1244710
ATI,2024-10-11,63.0,64.38,63.0,63.56,672900
ATI,2024-10-14,63.4,63.45,62.41,62.8,1010410
ATI,2024-10-15,62.23,63.16,61.7,62.55,905306
ATI,2024-10-16,63.04,63.43,62.29,63.02,720400
ATI,2024-10-17,63.42,64.08,62.8,63.33,711210
ATI,2024-10-18,63.57,63.67,62.86,63.12,735700
ATI,2024-10-21,63.67,64.64,63.25,63.38,958005
ATI,2024-10-22,63.21,63.65,62.57,63.14,731439
ATI,2024-10-23,62.68,64.11,62.68,62.86,974800
ATI,2024-10-24,61.98,62.26,60.41,61.49,1684710
ATI,2024-10-25,61.55,62.46,61.21,61.38,1183539
ATI,2024-10-28,61.75,63.3,61.3,63.22,1734527
ATI,2024-10-29,58.16,60.24,56.5,56.82,5878544
ATI,2024-10-30,56.16,56.77,54.13,54.21,3070000
ATI,2024-10-31,54.0,54.42,52.62,52.71,2539630
ATI,2024-11-01,53.39,54.21,52.45,53.42,1961034
ATI,2024-11-04,53.0,54.08,52.92,53.51,1534300
ATI,2024-11-05,53.8,54.83,53.19,54.01,2645205
ATI,2024-11-06,57.1,58.14,54.91,58.11,3331142
ATI,2024-11-07,58.12,58.2,56.72,57.33,2106548
ATI,2024-11-08,57.38,58.59,57.05,58.29,1651702
ATI,2024-11-11,58.7,60.08,58.7,59.5,1453843
ATI,2024-11-12,59.0,59.62,57.99,58.76,1422619
ATI,2024-11-13,58.81,58.93,57.95,58.37,1296600
ATI,2024-11-14,58.44,58.89,55.87,56.19,1494300
ATI,2024-11-15,56.35,56.98,55.76,56.17,1256200
ATI,2024-11-18,56.17,57.21,55.99,56.79,766030
ATI,2024-11-19,55.97,58.39,55.97,58.23,1175823
ATI,2024-11-20,58.3,58.7,57.75,58.02,741401
ATI,2024-11-21,58.1,59.21,57.74,58.16,1152400
ATI,2024-11-22,58.24,60.15,58.19,59.3,1062801
ATI,2024-11-25,59.69,60.55,59.26,60.15,1465214
ATI,2024-11-26,60.08,60.83,59.17,60.63,881300
ATI,2024-11-27,60.81,61.2,59.77,60.12,734414
ATI,2024-11-29,60.21,60.89,60.07,60.17,643225
ATI,2024-12-02,60.44,60.44,59.42,59.7,1346101
ATI,2024-12-03,59.77,60.85,59.45,59.74,1044909
ATI,2024-12-04,58.99,60.37,58.99,59.9,1344019
ATI,2024-12-05,60.0,60.11,58.25,58.48,877432
ATI,2024-12-06,58.94,58.97,56.91,57.55,1216955
ATI,2024-12-09,58.66,58.94,56.57,56.69,1455015
ATI,2024-12-10,57.05,58.29,56.23,57.09,1565454
ATI,2024-12-11,57.29,58.11,57.02,57.28,1261243
ATI,2024-12-12,56.9,57.53,55.97,56.01,850100
ATI,2024-12-13,55.92,56.94,55.46,56.5,1214527
ATI,2024-12-16,56.51,57.2,56.34,56.53,1589600
ATI,2024-12-17,55.99,56.42,55.02,55.25,1714857
ATI,2024-12-18,55.55,56.78,53.78,54.21,2066900
ATI,2024-12-19,54.25,55.29,53.84,54.23,2143131
ATI,2024-12-20,53.69,55.25,53.37,54.46,6678400
ATI,2024-12-23,54.33,55.4,53.97,55.23,1118736
ATI,2024-12-24,55.23,55.82,54.93,55.82,433229
ATI,2024-12-26,55.49,56.23,55.25,56.14,735543
ATI,2024-12-27,55.58,56.31,55.0,55.45,749700
ATI,2024-12-30,54.86,55.22,54.0,54.87,917153
ATI,2024-12-31,55.14,55.46,54.92,55.04,988308
ATI,2025-01-02,55.49,56.24,55.0,55.03,1394500
ATI,2025-01-03,55.14,56.47,55.14,56.11,1578545
ATI,2025-01-06,57.07,57.42,55.83,56.32,1509300
ATI,2025-01-07,56.39,56.82,54.84,55.52,904050
ATI,2025-01-08,55.45,55.69,54.81,55.58,1438400
ATI,2025-01-10,55.13,55.54,54.65,55.09,1166731
ATI,2025-01-13,54.61,55.38,54.49,55.0,1424838
ATI,2025-01-14,55.82,56.7,55.56,56.49,1316100
ATI,2025-01-15,57.68,58.15,57.06,57.1,849929
ATI,2025-01-16,57.17,57.74,56.77,57.47,560422
ATI,2025-01-17,58.08,58.24,57.06,57.18,954100
ATI,2025-01-21,58.27,59.17,57.96,58.47,1005600
ATI,2025-01-22,58.67,58.75,57.4,57.46,603732
ATI,2025-01-23,57.67,59.27,57.57,58.98,890047
ATI,2025-01-24,59.37,59.45,58.02,58.56,914800
ATI,2025-01-27,57.68,57.69,55.93,56.29,1105351
ATI,2025-01-28,57.22,58.06,56.24,57.93,2724600
ATI,2025-01-29,58.1,60.47,58.1,60.22,2010415
ATI,2025-01-30,60.17,60.2,57.5,57.79,1872908
ATI,2025-01-31,58.0,58.56,57.04,57.09,1539600
ATI,2025-02-03,56.24,58.26,55.14,57.96,2400859
ATI,2025-02-04,64.01,66.0,61.66,63.72,4646179
ATI,2025-02-05,64.17,65.86,62.67,65.86,2070214
ATI,2025-02-06,66.52,66.8,62.74,63.51,2335100
ATI,2025-02-07,64.0,64.55,62.42,62.76,1654744
ATI,2025-02-10,63.96,64.18,62.75,63.21,1413200
ATI,2025-02-11,63.46,63.72,61.6,61.86,1291095
ATI,2025-02-12,61.21,61.93,60.27,60.78,2046080
ATI,2025-02-13,60.78,61.58,59.28,61.23,1511300
ATI,2025-02-14,61.84,62.08,60.82,61.04,1293759
ATI,2025-02-18,61.59,62.76,61.06,62.16,1387717
ATI,2025-02-19,61.78,62.89,61.35,61.42,1194400
ATI,2025-02-20,61.31,62.41,60.6,60.91,1149937
ATI,2025-02-21,61.3,61.41,57.48,58.03,1150700
ATI,2025-02-24,58.48,58.59,56.9,57.15,1545200
ATI,2025-02-25,56.83,58.15,55.77,56.32,1644100
ATI,2025-02-26,56.85,57.76,56.45,56.73,1596100
ATI,2025-02-27,56.55,57.87,56.22,56.91,1869942
ATI,2025-02-28,56.74,58.27,56.68,58.16,1604527
