symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ATMU,2024-08-27,33.94,34.43,33.66,34.07,655600
ATMU,2024-08-28,34.02,34.08,33.43,33.56,402406
ATMU,2024-08-29,33.79,35.05,33.79,34.81,1021942
ATMU,2024-08-30,34.9,35.58,34.67,35.58,979545
ATMU,2024-09-03,35.21,35.43,33.2,33.36,850206
ATMU,2024-09-04,33.18,33.44,32.45,32.97,974100
ATMU,2024-09-05,32.87,33.22,32.35,32.96,551924
ATMU,2024-09-06,32.93,33.22,32.33,32.34,775500
ATMU,2024-09-09,32.52,33.52,32.29,33.49,1061200
ATMU,2024-09-10,33.5,34.97,33.11,34.41,1898400
ATMU,2024-09-11,34.16,34.52,33.27,34.49,1598040
ATMU,2024-09-12,34.56,35.2,34.0,34.82,605004
ATMU,2024-09-13,35.28,35.57,34.82,35.07,878331
ATMU,2024-09-16,35.3,35.8,34.79,35.2,1691636
ATMU,2024-09-17,35.38,36.27,35.38,35.6,641336
ATMU,2024-09-18,35.76,36.52,35.34,35.35,675410
ATMU,2024-09-19,36.46,36.58,35.77,36.45,621500
ATMU,2024-09-20,36.42,37.55,36.33,36.87,1251200
ATMU,2024-09-23,36.88,37.21,36.35,36.48,775700
ATMU,2024-09-24,36.87,37.35,36.55,37.01,709100
ATMU,2024-09-25,37.01,37.53,36.89,36.9,780903
ATMU,2024-09-26,37.3,37.67,36.77,36.88,424700
ATMU,2024-09-27,37.06,37.2,36.42,37.1,971228
ATMU,2024-09-30,36.86,37.43,36.77,37.25,574800
ATMU,2024-10-01,37.26,37.45,36.65,36.83,550813
ATMU,2024-10-02,36.61,37.24,36.6,36.89,559300
ATMU,2024-10-03,36.77,38.0,36.74,37.68,1836900
ATMU,2024-10-04,38.22,38.32,37.53,37.84,477837
ATMU,2024-10-07,38.03,38.7,37.81,38.3,880700
ATMU,2024-10-08,38.3,38.74,37.92,38.51,636526
ATMU,2024-10-09,38.37,38.79,38.04,38.14,806200
ATMU,2024-10-10,37.86,38.11,37.43,38.1,895800
ATMU,2024-10-11,38.12,39.47,38.12,39.31,777937
ATMU,2024-10-14,39.31,39.71,39.13,39.16,464814
ATMU,2024-10-15,39.21,39.42,38.79,38.87,412673
ATMU,2024-10-16,39.15,39.85,38.92,39.7,616031
ATMU,2024-10-17,39.78,39.99,39.33,39.48,725976
ATMU,2024-10-18,39.48,39.89,39.32,39.49,472400
ATMU,2024-10-21,39.51,39.6,38.84,39.04,629400
ATMU,2024-10-22,38.76,38.81,37.96,37.96,618400
ATMU,2024-10-23,37.73,38.82,37.73,38.73,1123229
ATMU,2024-10-24,38.78,39.62,38.5,39.57,1378172
ATMU,2024-10-25,39.75,39.93,38.9,39.12,398701
ATMU,2024-10-28,39.46,39.8,39.17,39.58,501100
ATMU,2024-10-29,39.33,39.33,38.62,38.7,608400
ATMU,2024-10-30,38.38,39.55,38.26,38.73,656808
ATMU,2024-10-31,38.47,38.79,38.05,38.7,603600
ATMU,2024-11-01,39.01,39.07,38.47,38.76,574965
ATMU,2024-11-04,38.64,38.96,38.23,38.64,409517
ATMU,2024-11-05,38.69,39.55,38.57,39.26,1021419
ATMU,2024-11-06,41.49,42.7,40.12,41.27,1251277
ATMU,2024-11-07,41.1,41.72,40.75,41.22,1495400
ATMU,2024-11-08,42.13,44.39,41.88,44.0,1484500
ATMU,2024-11-11,43.5,44.23,42.0,42.11,936500
ATMU,2024-11-12,42.52,42.62,41.86,42.3,1138300
ATMU,2024-11-13,42.62,43.56,42.29,43.31,911600
ATMU,2024-11-14,43.28,43.58,42.54,42.84,1019800
ATMU,2024-11-15,43.04,43.17,42.54,43.0,900300
ATMU,2024-11-18,43.09,43.37,42.65,42.74,1253337
ATMU,2024-11-19,42.17,43.3,41.86,42.76,691319
ATMU,2024-11-20,42.73,42.85,42.47,42.72,429300
ATMU,2024-11-21,43.15,43.72,42.78,43.51,563908
ATMU,2024-11-22,43.76,44.24,43.59,44.23,568700
ATMU,2024-11-25,44.7,45.15,43.78,43.8,602887
ATMU,2024-11-26,43.45,44.61,42.92,43.46,713000
ATMU,2024-11-27,43.44,43.85,42.74,42.8,557035
ATMU,2024-11-29,43.33,43.6,43.02,43.03,340849
ATMU,2024-12-02,43.25,44.48,43.18,43.38,1230700
ATMU,2024-12-03,43.26,43.47,42.18,42.62,1266000
ATMU,2024-12-04,42.78,43.19,42.42,42.75,1222421
ATMU,2024-12-05,42.7,42.95,42.42,42.47,387200
ATMU,2024-12-06,42.47,42.88,42.07,42.38,423900
ATMU,2024-12-09,42.48,42.56,40.56,40.7,1472740
ATMU,2024-12-10,40.68,40.95,39.97,40.53,1216563
ATMU,2024-12-11,41.21,41.74,40.32,40.39,977927
ATMU,2024-12-12,40.56,41.13,40.21,40.78,641720
ATMU,2024-12-13,40.3,41.28,40.3,40.47,450000
ATMU,2024-12-16,40.51,40.64,39.76,40.46,516932
ATMU,2024-12-17,40.09,40.54,39.58,39.7,621036
ATMU,2024-12-18,39.79,40.1,38.66,38.75,802400
ATMU,2024-12-19,39.18,39.54,38.47,38.55,577100
ATMU,2024-12-20,38.22,39.34,37.97,39.01,1009786
ATMU,2024-12-23,38.69,38.82,38.32,38.8,586163
ATMU,2024-12-24,38.73,38.97,38.62,38.97,140800
ATMU,2024-12-26,38.83,39.2,38.61,39.03,401500
ATMU,2024-12-27,38.68,39.0,38.16,38.46,293129
ATMU,2024-12-30,38.11,38.7,37.48,38.5,385700
ATMU,2024-12-31,38.59,39.11,38.59,38.94,565200
ATMU,2025-01-02,39.05,39.38,38.26,38.69,502116
ATMU,2025-01-03,38.65,39.0,38.45,38.93,630941
ATMU,2025-01-06,38.91,39.51,38.57,39.2,724615
ATMU,2025-01-07,38.78,39.27,38.49,39.19,712800
ATMU,2025-01-08,38.83,39.33,38.48,39.16,570400
ATMU,2025-01-10,38.57,39.03,38.46,38.9,572227
ATMU,2025-01-13,38.2,39.63,38.19,39.29,506200
ATMU,2025-01-14,39.61,40.82,39.59,40.82,598800
ATMU,2025-01-15,41.53,41.84,40.76,40.99,657151
ATMU,2025-01-16,41.08,41.79,41.0,41.53,439057
ATMU,2025-01-17,41.93,42.28,41.62,41.96,836016
ATMU,2025-01-21,42.11,42.73,41.74,42.49,562800
ATMU,2025-01-22,42.59,43.82,42.09,42.62,1440700
ATMU,2025-01-23,42.54,43.43,42.24,43.2,465841
ATMU,2025-01-24,43.07,43.17,42.44,42.79,384300
ATMU,2025-01-27,42.04,42.26,40.28,40.57,617100
ATMU,2025-01-28,40.7,41.87,40.66,41.69,666722
ATMU,2025-01-29,41.56,42.11,41.05,41.81,331904
ATMU,2025-01-30,41.97,42.9,41.97,42.61,483000
ATMU,2025-01-31,42.54,42.6,41.28,41.57,647315
ATMU,2025-02-03,41.07,41.19,39.71,40.55,591100
ATMU,2025-02-04,40.55,41.13,40.36,41.03,408900
ATMU,2025-02-05,41.04,41.21,40.51,40.75,480300
ATMU,2025-02-06,40.94,41.04,39.94,40.39,503100
ATMU,2025-02-07,40.13,40.83,40.13,40.72,487334
