symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ATR,2025-02-12,138.54,141.02,137.52,139.26,423520
ATR,2025-02-13,140.29,141.3,139.02,140.31,665900
ATR,2025-02-14,141.22,142.81,140.27,142.3,512842
ATR,2025-02-18,142.3,144.75,141.42,144.37,489600
ATR,2025-02-19,143.63,144.95,143.1,144.51,331002
ATR,2025-02-20,144.45,144.89,143.41,144.16,283106
ATR,2025-02-21,144.5,144.85,142.7,143.82,451900
ATR,2025-02-24,143.66,144.75,141.87,143.1,353300
ATR,2025-02-25,143.37,145.78,143.21,145.17,336735
ATR,2025-02-26,144.13,146.62,144.1,144.12,735632
ATR,2025-02-27,143.71,144.64,142.85,143.12,262813
ATR,2025-02-28,143.64,144.42,142.14,144.22,348700
ATR,2025-03-03,144.44,146.28,143.19,144.07,394119
ATR,2025-03-04,143.04,145.41,142.64,143.43,490119
ATR,2025-03-05,143.54,146.29,143.54,145.89,445100
ATR,2025-03-06,145.02,148.89,144.53,148.55,471738
ATR,2025-03-07,147.92,150.72,146.61,150.15,480214
ATR,2025-03-10,149.45,151.35,147.66,147.98,391100
ATR,2025-03-11,147.75,147.96,144.73,145.34,304021
ATR,2025-03-12,145.69,145.69,143.06,143.52,299729
ATR,2025-03-13,143.89,144.67,141.29,142.27,238400
ATR,2025-03-14,142.73,144.37,142.06,144.14,223600
ATR,2025-03-17,143.99,145.46,143.35,145.3,225203
ATR,2025-03-18,144.85,144.99,143.27,143.78,219932
ATR,2025-03-19,143.82,144.92,142.97,144.45,279662
ATR,2025-03-20,143.61,144.88,141.26,142.7,332800
ATR,2025-03-21,141.52,142.96,139.91,142.33,601908
ATR,2025-03-24,143.24,145.63,142.41,145.44,463800
ATR,2025-03-25,145.94,146.67,143.42,144.68,325226
ATR,2025-03-26,144.52,146.14,143.78,146.0,630400
ATR,2025-03-27,145.73,147.31,144.5,146.78,312700
ATR,2025-03-28,146.72,147.42,143.25,144.4,239805
ATR,2025-03-31,144.06,146.53,143.59,145.83,372528
ATR,2025-04-01,146.31,147.44,144.84,146.53,240000
ATR,2025-04-02,145.45,148.53,145.45,147.94,247600
ATR,2025-04-03,144.23,147.47,143.94,146.11,352900
ATR,2025-04-04,142.72,145.42,137.63,137.77,531626
ATR,2025-04-07,133.99,139.67,128.6,132.33,629909
ATR,2025-04-08,135.02,136.91,129.02,131.36,473826
ATR,2025-04-09,130.89,141.94,129.06,141.28,491857
ATR,2025-04-10,137.59,140.91,135.2,138.34,309000
ATR,2025-04-11,138.45,142.22,137.34,141.63,203037
ATR,2025-04-14,143.29,143.88,141.31,143.28,249303
ATR,2025-04-15,143.58,144.02,141.29,141.46,250700
ATR,2025-04-16,141.58,143.31,140.11,142.5,307700
ATR,2025-04-17,142.89,143.25,138.28,141.35,390605
ATR,2025-04-21,140.84,141.57,138.68,140.13,291626
ATR,2025-04-22,142.02,144.3,141.12,143.51,217800
ATR,2025-04-23,145.32,146.75,144.68,145.5,537000
ATR,2025-04-24,145.38,149.38,142.95,148.85,424550
ATR,2025-04-25,148.25,150.36,145.03,146.49,220500
ATR,2025-04-28,147.22,148.43,145.72,147.12,235226
ATR,2025-04-29,147.18,149.36,146.44,147.71,359943
ATR,2025-04-30,146.51,147.41,144.68,147.37,556200
ATR,2025-05-01,146.34,148.39,144.87,146.17,445325
ATR,2025-05-02,150.82,150.83,145.69,149.84,431607
ATR,2025-05-05,149.27,151.04,148.73,149.32,267601
ATR,2025-05-06,148.11,149.87,147.29,148.77,312000
ATR,2025-05-07,149.72,150.98,148.48,149.24,318400
ATR,2025-05-08,149.63,152.37,149.09,151.18,302500
ATR,2025-05-09,151.72,152.11,150.77,151.14,231636
ATR,2025-05-12,153.58,154.36,151.52,153.31,352500
ATR,2025-05-13,154.08,154.08,151.02,151.45,339421
ATR,2025-05-14,151.43,151.43,148.82,150.31,350100
ATR,2025-05-15,150.19,153.27,150.19,152.75,278108
ATR,2025-05-16,152.98,154.92,152.39,154.78,278607
ATR,2025-05-19,154.13,156.09,154.09,155.83,185436
ATR,2025-05-20,157.98,157.98,155.66,156.27,388100
ATR,2025-05-21,154.62,155.4,153.61,154.22,319800
ATR,2025-05-22,154.13,155.02,153.35,154.42,278900
ATR,2025-05-23,152.91,153.96,152.06,153.72,260545
ATR,2025-05-27,154.8,156.19,154.46,155.91,352800
ATR,2025-05-28,155.91,156.58,155.02,155.16,364440
