symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AXSM,2025-02-12,131.0,133.1,128.26,131.55,1110100
AXSM,2025-02-13,131.75,132.14,128.27,131.68,593728
AXSM,2025-02-14,131.61,132.12,129.35,131.15,1064157
AXSM,2025-02-18,124.66,130.15,124.04,128.09,1563833
AXSM,2025-02-19,128.81,130.52,124.52,126.96,871239
AXSM,2025-02-20,128.13,129.41,125.88,129.1,706907
AXSM,2025-02-21,130.04,139.13,128.39,137.75,1539519
AXSM,2025-02-24,137.76,137.76,129.23,130.72,1153996
AXSM,2025-02-25,130.88,131.99,124.07,127.09,1232500
AXSM,2025-02-26,128.09,130.95,126.43,128.33,786422
AXSM,2025-02-27,129.53,130.03,126.4,126.41,587496
AXSM,2025-02-28,126.41,128.77,126.03,127.54,851338
AXSM,2025-03-03,130.0,130.11,125.92,127.15,836200
AXSM,2025-03-04,125.84,127.22,122.7,125.57,795390
AXSM,2025-03-05,125.57,128.43,124.94,125.1,399400
AXSM,2025-03-06,123.51,126.7,123.35,124.41,554317
AXSM,2025-03-07,124.96,124.96,121.02,122.17,510096
AXSM,2025-03-10,120.72,121.43,116.0,118.78,693440
AXSM,2025-03-11,120.0,122.0,117.67,119.5,824906
AXSM,2025-03-12,119.97,122.51,118.73,119.45,697100
AXSM,2025-03-13,119.59,122.86,118.1,121.65,429285
AXSM,2025-03-14,122.32,123.47,120.52,121.91,432200
AXSM,2025-03-17,122.68,126.94,121.9,125.68,459010
AXSM,2025-03-18,124.5,125.62,123.0,124.76,357868
AXSM,2025-03-19,124.04,126.22,123.51,125.9,372075
AXSM,2025-03-20,125.57,127.44,124.0,126.27,311832
AXSM,2025-03-21,124.75,128.5,124.0,126.79,790234
AXSM,2025-03-24,127.99,129.6,127.0,129.17,395604
AXSM,2025-03-25,129.67,130.2,119.84,120.36,1254613
AXSM,2025-03-26,120.77,121.26,117.6,119.16,673500
AXSM,2025-03-27,120.19,122.94,118.91,121.77,551862
AXSM,2025-03-28,122.97,122.97,118.0,118.53,435305
AXSM,2025-03-31,115.62,117.78,113.5,116.63,656400
AXSM,2025-04-01,112.43,113.74,107.0,111.67,1673419
AXSM,2025-04-02,110.0,111.22,108.81,109.75,902248
AXSM,2025-04-03,107.46,109.52,107.41,107.89,754314
AXSM,2025-04-04,105.34,106.29,98.8,98.86,990659
AXSM,2025-04-07,94.47,102.2,92.53,98.5,1196400
AXSM,2025-04-08,102.41,103.0,95.94,97.55,882005
AXSM,2025-04-09,95.1,103.75,86.99,101.67,2489803
AXSM,2025-04-10,99.22,99.57,92.45,95.65,1080553
AXSM,2025-04-11,95.15,98.46,93.95,98.06,868348
AXSM,2025-04-14,99.83,104.22,97.71,103.53,812195
AXSM,2025-04-15,102.26,104.53,101.32,103.83,889234
AXSM,2025-04-16,103.68,104.57,102.37,104.47,460516
AXSM,2025-04-17,104.35,105.66,103.98,104.46,486800
AXSM,2025-04-21,103.55,104.17,101.58,103.0,688600
AXSM,2025-04-22,103.74,104.58,102.65,103.82,752800
AXSM,2025-04-23,105.89,106.05,103.76,104.23,665527
AXSM,2025-04-24,104.48,105.81,103.15,105.41,722926
AXSM,2025-04-25,104.31,106.8,104.31,106.27,439000
AXSM,2025-04-28,106.91,109.71,106.69,107.24,571769
AXSM,2025-04-29,107.62,111.42,107.22,109.92,627029
AXSM,2025-04-30,109.94,113.0,109.59,112.29,708933
AXSM,2025-05-01,111.21,113.3,109.88,112.24,424000
AXSM,2025-05-02,113.1,114.01,111.13,112.21,700760
AXSM,2025-05-05,114.08,120.0,113.61,116.49,999645
AXSM,2025-05-06,115.76,117.37,110.61,112.16,716118
AXSM,2025-05-07,111.15,112.94,110.02,110.86,758944
