symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AXTI,2024-08-27,2.74,2.76,2.64,2.64,147400
AXTI,2024-08-28,2.62,2.74,2.58,2.64,187500
AXTI,2024-08-29,2.64,2.77,2.64,2.67,88400
AXTI,2024-08-30,2.7,2.71,2.62,2.65,73000
AXTI,2024-09-03,2.61,2.62,2.45,2.45,177800
AXTI,2024-09-04,2.46,2.49,2.4,2.46,143758
AXTI,2024-09-05,2.46,2.47,2.33,2.37,187626
AXTI,2024-09-06,2.38,2.4,2.26,2.32,216400
AXTI,2024-09-09,2.37,2.37,2.25,2.28,141700
AXTI,2024-09-10,2.28,2.3,2.2,2.28,170400
AXTI,2024-09-11,2.32,2.36,2.23,2.36,127300
AXTI,2024-09-12,2.38,2.43,2.29,2.29,107622
AXTI,2024-09-13,2.34,2.42,2.32,2.35,220800
AXTI,2024-09-16,2.33,2.37,2.28,2.32,164400
AXTI,2024-09-17,2.35,2.36,2.21,2.22,319148
AXTI,2024-09-18,2.21,2.24,2.11,2.11,429400
AXTI,2024-09-19,2.2,2.26,2.14,2.18,336700
AXTI,2024-09-20,2.18,2.21,2.08,2.1,311604
AXTI,2024-09-23,2.09,2.22,2.0,2.0,545500
AXTI,2024-09-24,2.04,2.15,2.04,2.08,479221
AXTI,2024-09-25,2.07,2.1,2.02,2.04,353112
AXTI,2024-09-26,2.13,2.49,2.08,2.46,637400
AXTI,2024-09-27,2.49,2.58,2.37,2.55,253400
AXTI,2024-09-30,2.53,2.56,2.36,2.42,268200
AXTI,2024-10-01,2.42,2.44,2.28,2.34,238807
AXTI,2024-10-02,2.34,2.45,2.3,2.35,150601
AXTI,2024-10-03,2.34,2.47,2.34,2.43,151300
AXTI,2024-10-04,2.56,2.7,2.45,2.53,314439
AXTI,2024-10-07,2.54,2.58,2.42,2.48,328700
AXTI,2024-10-08,2.47,2.62,2.38,2.52,688900
AXTI,2024-10-09,2.52,2.52,2.44,2.5,177538
AXTI,2024-10-10,2.44,2.67,2.42,2.66,955300
AXTI,2024-10-11,2.65,2.72,2.54,2.58,305900
AXTI,2024-10-14,2.61,2.64,2.47,2.5,170843
AXTI,2024-10-15,2.48,2.53,2.34,2.39,226637
AXTI,2024-10-16,2.43,2.69,2.41,2.62,315700
AXTI,2024-10-17,2.64,2.68,2.5,2.61,189065
AXTI,2024-10-18,2.62,2.72,2.59,2.61,171326
AXTI,2024-10-21,2.59,2.61,2.5,2.52,103500
AXTI,2024-10-22,2.51,2.6,2.44,2.6,336822
AXTI,2024-10-23,2.57,2.6,2.48,2.57,282544
AXTI,2024-10-24,2.58,2.64,2.54,2.61,106337
AXTI,2024-10-25,2.65,2.73,2.62,2.72,159132
AXTI,2024-10-28,2.74,2.9,2.71,2.75,286414
AXTI,2024-10-29,2.72,2.96,2.71,2.91,448000
AXTI,2024-10-30,2.92,3.07,2.74,2.76,590814
AXTI,2024-10-31,2.71,2.75,2.48,2.58,462405
AXTI,2024-11-01,2.42,2.56,2.08,2.11,1412901
AXTI,2024-11-04,2.16,2.17,1.98,2.01,702071
AXTI,2024-11-05,2.05,2.11,2.01,2.1,318042
AXTI,2024-11-06,2.14,2.19,2.1,2.11,507003
AXTI,2024-11-07,2.23,2.23,2.08,2.11,245347
AXTI,2024-11-08,2.11,2.12,2.0,2.05,364320
AXTI,2024-11-11,2.03,2.08,2.01,2.05,262002
AXTI,2024-11-12,2.03,2.05,1.95,2.0,344621
AXTI,2024-11-13,1.98,2.04,1.94,1.96,361828
AXTI,2024-11-14,1.95,1.97,1.86,1.91,491881
AXTI,2024-11-15,1.92,1.93,1.82,1.84,424200
AXTI,2024-11-18,1.85,1.88,1.73,1.73,560549
AXTI,2024-11-19,1.73,1.85,1.73,1.84,719900
AXTI,2024-11-20,1.85,1.85,1.79,1.83,164957
AXTI,2024-11-21,1.82,1.93,1.79,1.91,290941
AXTI,2024-11-22,1.91,1.98,1.84,1.97,295700
AXTI,2024-11-25,2.0,2.14,2.0,2.06,349900
AXTI,2024-11-26,2.09,2.09,2.0,2.02,293629
AXTI,2024-11-27,2.01,2.1,1.97,2.04,294913
AXTI,2024-11-29,2.08,2.16,2.05,2.14,202330
AXTI,2024-12-02,2.18,2.22,2.1,2.21,327494
AXTI,2024-12-03,2.18,2.2,1.93,1.96,1667000
AXTI,2024-12-04,2.02,2.23,1.96,2.16,623244
AXTI,2024-12-05,2.18,2.18,2.03,2.05,261045
AXTI,2024-12-06,2.07,2.19,2.05,2.19,285533
AXTI,2024-12-09,2.27,2.44,2.26,2.3,504000
AXTI,2024-12-10,2.33,2.33,2.17,2.17,311827
AXTI,2024-12-11,2.2,2.24,2.14,2.23,258773
AXTI,2024-12-12,2.21,2.3,2.21,2.22,261100
AXTI,2024-12-13,2.25,2.32,2.21,2.31,194400
AXTI,2024-12-16,2.28,2.28,2.16,2.23,179979
AXTI,2024-12-17,2.21,2.31,2.21,2.28,185610
AXTI,2024-12-18,2.28,2.38,2.17,2.18,515571
AXTI,2024-12-19,2.19,2.19,2.07,2.12,231501
AXTI,2024-12-20,2.07,2.25,2.07,2.18,237831
AXTI,2024-12-23,2.21,2.31,2.2,2.31,325300
AXTI,2024-12-24,2.31,2.35,2.24,2.27,314642
AXTI,2024-12-26,2.26,2.31,2.23,2.28,367307
AXTI,2024-12-27,2.27,2.3,2.17,2.28,287313
AXTI,2024-12-30,2.23,2.24,2.17,2.2,274929
AXTI,2024-12-31,2.19,2.25,2.09,2.17,431038
AXTI,2025-01-02,2.22,2.24,2.13,2.19,124537
AXTI,2025-01-03,2.23,2.29,2.19,2.27,201266
AXTI,2025-01-06,2.29,2.42,2.2,2.25,381800
AXTI,2025-01-07,2.3,2.3,2.21,2.25,184100
AXTI,2025-01-08,2.23,2.23,2.1,2.15,268300
AXTI,2025-01-10,2.11,2.13,2.06,2.13,138002
AXTI,2025-01-13,2.1,2.15,1.99,2.01,361648
AXTI,2025-01-14,2.01,2.07,2.0,2.04,170316
AXTI,2025-01-15,2.07,2.27,2.07,2.25,386225
AXTI,2025-01-16,2.27,2.28,2.15,2.16,232200
AXTI,2025-01-17,2.19,2.27,2.13,2.26,211235
AXTI,2025-01-21,2.29,2.44,2.21,2.44,414500
AXTI,2025-01-22,2.46,2.46,2.22,2.28,366426
AXTI,2025-01-23,2.26,2.34,2.24,2.3,163134
AXTI,2025-01-24,2.29,2.35,2.25,2.3,226626
AXTI,2025-01-27,2.23,2.27,2.09,2.16,305000
AXTI,2025-01-28,2.16,2.17,2.06,2.16,179600
AXTI,2025-01-29,2.16,2.16,2.08,2.08,112064
AXTI,2025-01-30,2.11,2.16,2.05,2.08,301462
AXTI,2025-01-31,2.1,2.18,2.07,2.09,203800
AXTI,2025-02-03,1.99,2.09,1.96,2.07,213200
AXTI,2025-02-04,2.09,2.2,2.09,2.13,331289
AXTI,2025-02-05,2.12,2.12,2.05,2.06,421616
AXTI,2025-02-06,2.08,2.19,2.08,2.18,330800
AXTI,2025-02-07,2.18,2.19,2.07,2.1,174579
AXTI,2025-02-10,2.11,2.12,2.0,2.01,254802
AXTI,2025-02-11,2.01,2.02,1.94,1.95,362119
AXTI,2025-02-12,1.96,2.1,1.92,2.05,245206
AXTI,2025-02-13,2.05,2.13,2.02,2.12,193200
AXTI,2025-02-14,2.13,2.26,2.13,2.23,320700
AXTI,2025-02-18,2.27,2.36,2.21,2.23,831908
AXTI,2025-02-19,2.23,2.62,2.22,2.3,1470000
AXTI,2025-02-20,2.37,2.5,2.16,2.29,1743600
AXTI,2025-02-21,1.95,1.95,1.56,1.58,6660900
