symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AZO,2024-12-05,3199.89,3242.55,3179.0,3190.07,105823
AZO,2024-12-06,3238.2,3313.0,3218.0,3309.44,185501
AZO,2024-12-09,3333.25,3345.28,3305.57,3324.01,221930
AZO,2024-12-10,3278.21,3416.71,3270.0,3347.16,230010
AZO,2024-12-11,3339.95,3394.19,3339.95,3342.72,119122
AZO,2024-12-12,3338.5,3352.71,3300.0,3340.48,125500
AZO,2024-12-13,3359.34,3378.96,3345.44,3370.27,111303
AZO,2024-12-16,3369.0,3392.47,3335.97,3350.13,136100
AZO,2024-12-17,3350.0,3352.16,3314.37,3319.11,136111
AZO,2024-12-18,3318.3,3324.36,3236.7,3238.52,136700
AZO,2024-12-19,3266.08,3266.08,3209.25,3215.29,129595
AZO,2024-12-20,3221.13,3274.26,3206.16,3253.47,268808
AZO,2024-12-23,3225.23,3251.84,3198.92,3242.23,175042
AZO,2024-12-24,3269.0,3286.97,3252.56,3283.48,57500
AZO,2024-12-26,3271.84,3286.6,3239.99,3241.25,80961
AZO,2024-12-27,3225.0,3262.1,3220.96,3241.62,78628
AZO,2024-12-30,3235.78,3235.78,3180.49,3185.71,112500
AZO,2024-12-31,3177.0,3223.75,3174.51,3202.0,104646
AZO,2025-01-02,3211.15,3250.0,3211.15,3250.0,105338
AZO,2025-01-03,3241.02,3270.28,3235.07,3268.78,113112
AZO,2025-01-06,3245.87,3328.66,3245.87,3293.46,181211
AZO,2025-01-07,3309.31,3334.64,3254.44,3259.91,104700
AZO,2025-01-08,3253.19,3305.23,3248.98,3303.35,82300
AZO,2025-01-10,3235.01,3288.1,3232.93,3251.32,132939
AZO,2025-01-13,3237.12,3276.9,3232.87,3239.62,115321
AZO,2025-01-14,3246.8,3259.21,3218.2,3227.8,83039
AZO,2025-01-15,3252.92,3254.48,3203.26,3206.05,103734
AZO,2025-01-16,3212.75,3217.33,3162.0,3193.96,110133
AZO,2025-01-17,3207.68,3230.85,3202.13,3228.4,144517
AZO,2025-01-21,3237.21,3312.59,3205.23,3297.72,104500
AZO,2025-01-22,3301.64,3331.77,3276.51,3326.01,102900
AZO,2025-01-23,3346.83,3376.75,3311.65,3373.57,103125
AZO,2025-01-24,3360.67,3361.41,3301.83,3332.53,85017
AZO,2025-01-27,3329.54,3437.63,3329.54,3372.82,136641
AZO,2025-01-28,3362.4,3378.16,3313.7,3318.58,93611
AZO,2025-01-29,3306.83,3325.55,3295.09,3314.05,84033
AZO,2025-01-30,3340.41,3364.2,3331.0,3351.01,79100
AZO,2025-01-31,3351.66,3375.67,3331.85,3350.21,94200
AZO,2025-02-03,3338.21,3445.05,3312.4,3432.2,209401
AZO,2025-02-04,3425.36,3475.1,3389.84,3459.0,127400
AZO,2025-02-05,3470.14,3481.36,3440.0,3474.08,96948
AZO,2025-02-06,3454.95,3484.42,3435.0,3466.69,73510
AZO,2025-02-07,3457.0,3467.0,3410.35,3420.19,85100
AZO,2025-02-10,3427.75,3437.49,3413.19,3427.55,70200
AZO,2025-02-11,3409.26,3450.91,3406.75,3445.79,82948
AZO,2025-02-12,3412.42,3444.4,3412.42,3432.96,59900
AZO,2025-02-13,3445.51,3474.18,3427.87,3469.71,68730
AZO,2025-02-14,3477.83,3478.0,3435.61,3458.55,77034
AZO,2025-02-18,3451.0,3451.0,3371.72,3384.43,116609
AZO,2025-02-19,3399.66,3417.37,3388.27,3396.46,84732
AZO,2025-02-20,3389.05,3414.73,3384.41,3406.66,71000
AZO,2025-02-21,3415.9,3415.9,3359.5,3368.98,87531
AZO,2025-02-24,3391.97,3401.67,3373.8,3401.0,82500
AZO,2025-02-25,3416.3,3435.0,3411.77,3425.6,124247
AZO,2025-02-26,3430.67,3430.67,3381.21,3392.97,93600
AZO,2025-02-27,3400.67,3459.76,3395.28,3444.69,106906
AZO,2025-02-28,3479.76,3500.0,3437.51,3493.01,157205
AZO,2025-03-03,3498.0,3519.0,3449.94,3477.76,180186
AZO,2025-03-04,3425.73,3563.57,3411.2,3473.66,308237
AZO,2025-03-05,3474.93,3570.5,3469.6,3555.88,167133
AZO,2025-03-06,3544.81,3615.79,3532.27,3615.79,180339
AZO,2025-03-07,3589.95,3636.96,3549.8,3614.97,198900
AZO,2025-03-10,3622.04,3704.43,3622.04,3690.12,188967
AZO,2025-03-11,3680.0,3680.0,3524.57,3562.76,208100
AZO,2025-03-12,3562.76,3573.79,3492.87,3547.13,115929
AZO,2025-03-13,3559.7,3565.02,3502.99,3545.65,158445
AZO,2025-03-14,3550.0,3578.06,3520.92,3554.91,164200
AZO,2025-03-17,3555.18,3627.44,3550.52,3620.82,129241
AZO,2025-03-18,3634.21,3634.21,3585.96,3614.27,87233
AZO,2025-03-19,3616.0,3620.48,3571.37,3591.61,134638
AZO,2025-03-20,3584.09,3610.0,3567.09,3573.38,81300
AZO,2025-03-21,3594.29,3617.28,3547.8,3606.34,208700
AZO,2025-03-24,3639.18,3680.0,3619.73,3657.82,115930
AZO,2025-03-25,3655.85,3678.39,3612.78,3672.23,135256
AZO,2025-03-26,3680.0,3693.88,3663.0,3681.68,129332
AZO,2025-03-27,3700.0,3838.0,3680.0,3828.11,285678
AZO,2025-03-28,3817.82,3832.09,3745.49,3771.0,166700
AZO,2025-03-31,3776.84,3842.82,3776.84,3812.78,209703
AZO,2025-04-01,3801.0,3830.26,3786.92,3813.27,221800
AZO,2025-04-02,3778.0,3822.84,3760.92,3809.26,100230
AZO,2025-04-03,3770.9,3916.81,3770.9,3826.15,182066
AZO,2025-04-04,3792.72,3845.1,3652.22,3653.24,209942
AZO,2025-04-07,3550.0,3572.34,3434.0,3478.38,313800
