symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BABA,2024-12-05,83.41,83.7,82.55,82.77,12979600
BABA,2024-12-06,84.6,85.27,84.49,84.52,11751505
BABA,2024-12-09,90.5,92.57,90.32,90.8,32767317
BABA,2024-12-10,88.31,89.07,88.03,88.35,13859200
BABA,2024-12-11,87.44,87.71,86.56,87.52,9866019
BABA,2024-12-12,87.57,88.52,87.03,87.76,9951200
BABA,2024-12-13,86.74,86.94,85.81,86.38,11608633
BABA,2024-12-16,84.54,85.49,84.45,84.64,13216622
BABA,2024-12-17,84.1,86.16,84.0,85.72,13288728
BABA,2024-12-18,84.97,85.78,83.43,83.6,11319500
BABA,2024-12-19,83.6,83.98,82.85,82.92,13795127
BABA,2024-12-20,80.86,81.64,80.36,80.93,21270510
BABA,2024-12-23,81.49,83.91,81.41,83.74,20055113
BABA,2024-12-24,84.29,84.47,83.6,84.11,5235414
BABA,2024-12-26,84.31,85.83,84.15,84.66,12016516
BABA,2024-12-27,83.49,83.87,82.9,83.66,8629400
BABA,2024-12-30,82.79,83.56,82.16,82.75,10731000
BABA,2024-12-31,83.04,83.95,83.04,83.4,7415000
BABA,2025-01-02,83.0,84.02,82.81,83.55,10635704
BABA,2025-01-03,83.7,84.14,83.36,84.13,7689521
BABA,2025-01-06,85.12,85.92,83.68,84.11,18077138
BABA,2025-01-07,82.92,83.71,82.4,83.09,11144100
BABA,2025-01-08,81.72,82.41,81.36,82.31,9661837
BABA,2025-01-10,80.9,80.9,79.08,79.21,15393900
BABA,2025-01-13,78.84,79.75,78.75,79.22,10726627
BABA,2025-01-14,81.04,81.29,80.15,80.34,8773700
BABA,2025-01-15,81.27,81.42,80.79,81.08,11655722
BABA,2025-01-16,80.67,81.23,80.47,81.07,7566500
BABA,2025-01-17,81.83,84.18,81.66,83.72,21132400
BABA,2025-01-21,85.45,85.48,83.53,83.98,17099520
BABA,2025-01-22,83.6,85.12,83.03,84.98,10354800
BABA,2025-01-23,84.38,84.78,83.56,84.68,9225628
BABA,2025-01-24,85.28,87.72,85.05,87.67,18791000
BABA,2025-01-27,89.1,89.93,87.75,88.51,25999800
BABA,2025-01-28,89.44,94.84,88.42,94.45,31296300
BABA,2025-01-29,97.76,99.62,94.86,95.13,75053000
BABA,2025-01-30,95.7,101.96,95.54,101.05,45929033
BABA,2025-01-31,100.32,100.81,96.38,97.21,36503531
BABA,2025-02-03,94.92,100.2,94.49,96.99,29282916
BABA,2025-02-04,98.94,101.91,98.04,100.67,29877500
BABA,2025-02-05,98.53,100.15,97.4,97.65,17017947
BABA,2025-02-06,99.59,100.07,98.23,98.73,12774618
BABA,2025-02-07,102.74,105.74,101.31,101.81,39538200
BABA,2025-02-10,105.56,109.81,104.95,109.49,42429400
BABA,2025-02-11,112.08,113.63,109.17,110.92,55001300
BABA,2025-02-12,113.91,117.84,113.08,116.38,44024715
BABA,2025-02-13,113.43,117.6,112.87,117.57,34429300
BABA,2025-02-14,124.51,124.72,118.52,122.68,52729816
BABA,2025-02-18,125.64,126.9,123.54,124.81,42152800
BABA,2025-02-19,123.93,125.6,122.89,123.72,35155218
BABA,2025-02-20,135.54,142.13,129.25,133.73,118849000
BABA,2025-02-21,139.28,142.91,138.78,141.39,73892138
BABA,2025-02-24,133.57,133.57,126.33,126.92,74118310
BABA,2025-02-25,130.61,132.26,128.6,131.81,38881139
BABA,2025-02-26,137.69,139.61,136.01,136.79,40670132
BABA,2025-02-27,136.39,137.79,133.63,134.3,23859400
BABA,2025-02-28,128.8,131.75,128.0,130.33,24862600
BABA,2025-03-03,131.81,132.51,127.43,128.66,22528034
BABA,2025-03-04,127.46,129.92,124.02,127.71,25366513
BABA,2025-03-05,132.16,139.5,131.15,138.71,37284635
BABA,2025-03-06,139.86,142.38,135.82,137.65,35482111
BABA,2025-03-07,140.57,142.97,137.09,138.31,31904400
BABA,2025-03-10,133.76,135.68,128.85,130.36,33484200
BABA,2025-03-11,135.88,139.0,133.8,136.73,29094800
BABA,2025-03-12,136.13,136.66,133.05,134.88,23880904
BABA,2025-03-13,132.55,137.97,132.13,136.07,20516300
BABA,2025-03-14,139.03,139.49,137.16,138.78,17381919
BABA,2025-03-17,137.85,145.99,137.72,145.14,33897000
BABA,2025-03-18,143.97,144.45,140.15,140.39,20950126
BABA,2025-03-19,142.68,142.81,139.53,140.84,16333817
BABA,2025-03-20,134.93,136.71,134.13,134.66,23646800
BABA,2025-03-21,131.79,134.23,131.11,132.92,13970300
BABA,2025-03-24,134.09,134.19,131.43,132.27,14019013
BABA,2025-03-25,130.76,134.01,130.18,130.57,17943400
