symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BANC,2024-08-27,13.7,13.9,13.49,13.81,1138713
BANC,2024-08-28,13.69,13.95,13.47,13.67,978509
BANC,2024-08-29,13.83,13.95,13.61,13.72,954900
BANC,2024-08-30,13.74,13.84,13.41,13.58,1404700
BANC,2024-09-03,13.39,13.63,13.28,13.39,1268736
BANC,2024-09-04,13.35,13.53,13.15,13.46,1609870
BANC,2024-09-05,13.59,13.69,13.31,13.5,2888148
BANC,2024-09-06,13.54,13.66,13.16,13.19,2295323
BANC,2024-09-09,13.15,13.46,13.1,13.23,2246834
BANC,2024-09-10,13.35,13.35,12.88,13.26,2056000
BANC,2024-09-11,13.11,13.32,12.92,13.28,2704400
BANC,2024-09-12,13.39,13.43,13.19,13.23,1328003
BANC,2024-09-13,13.51,13.7,13.51,13.67,2094010
BANC,2024-09-16,13.78,13.86,13.57,13.7,2274842
BANC,2024-09-17,13.92,14.24,13.76,14.14,4325336
BANC,2024-09-18,14.23,14.43,13.75,14.17,3662800
BANC,2024-09-19,14.43,14.85,14.33,14.8,2378514
BANC,2024-09-20,14.75,14.82,14.47,14.48,6665800
BANC,2024-09-23,14.49,14.62,14.23,14.28,2579947
BANC,2024-09-24,14.46,14.71,14.25,14.46,2217432
BANC,2024-09-25,14.43,14.43,14.17,14.19,1932200
BANC,2024-09-26,14.44,14.45,14.19,14.26,1379100
BANC,2024-09-27,14.4,14.43,14.14,14.23,1585110
BANC,2024-09-30,14.12,14.39,14.03,14.17,2346717
BANC,2024-10-01,14.07,14.1,13.5,13.52,2640700
BANC,2024-10-02,13.57,13.73,13.35,13.37,1260800
BANC,2024-10-03,13.31,13.41,13.23,13.35,1579440
BANC,2024-10-04,13.66,13.7,13.38,13.4,1658283
BANC,2024-10-07,13.32,13.32,13.07,13.15,2266725
BANC,2024-10-08,13.16,13.39,13.07,13.3,1738317
BANC,2024-10-09,13.21,13.67,13.14,13.54,1800981
BANC,2024-10-10,13.09,13.48,13.09,13.48,2156600
BANC,2024-10-11,13.6,13.95,13.47,13.94,2138600
BANC,2024-10-14,13.97,14.28,13.82,14.23,1237968
BANC,2024-10-15,14.28,14.78,14.24,14.43,2401389
BANC,2024-10-16,14.62,14.87,14.47,14.77,1626449
BANC,2024-10-17,14.73,14.85,14.63,14.7,2310100
BANC,2024-10-18,14.72,14.83,14.61,14.61,1252737
BANC,2024-10-21,14.53,14.64,14.07,14.24,3550618
BANC,2024-10-22,14.69,15.05,14.39,14.84,4618300
BANC,2024-10-23,15.09,15.09,14.57,14.71,2990644
BANC,2024-10-24,14.92,15.06,14.73,14.87,2971236
BANC,2024-10-25,15.03,15.03,14.63,14.65,2037161
BANC,2024-10-28,14.78,15.26,14.75,15.24,2344195
BANC,2024-10-29,15.16,15.27,15.03,15.17,1945032
BANC,2024-10-30,15.12,15.4,14.98,14.98,1621586
BANC,2024-10-31,15.3,15.32,14.78,14.78,2411622
BANC,2024-11-01,14.88,15.01,14.62,14.72,1511800
BANC,2024-11-04,14.63,14.7,14.22,14.38,2136200
BANC,2024-11-05,14.4,14.71,14.34,14.69,1808938
BANC,2024-11-06,15.88,16.28,15.79,16.15,7749800
BANC,2024-11-07,16.03,16.09,15.5,15.54,3883342
BANC,2024-11-08,15.63,15.8,15.33,15.7,2555000
BANC,2024-11-11,15.91,16.11,15.71,16.04,3543594
BANC,2024-11-12,15.95,16.19,15.83,15.99,2186200
BANC,2024-11-13,16.04,16.24,15.74,15.78,2111397
BANC,2024-11-14,15.81,15.89,15.53,15.69,1710200
BANC,2024-11-15,15.78,15.8,15.49,15.62,1533328
BANC,2024-11-18,15.65,15.81,15.33,15.43,3649461
BANC,2024-11-19,15.28,15.5,15.13,15.44,1653900
BANC,2024-11-20,15.44,15.51,15.2,15.46,1060422
BANC,2024-11-21,15.61,15.85,15.51,15.74,2344613
BANC,2024-11-22,15.76,16.31,15.72,16.31,3111870
BANC,2024-11-25,16.47,17.4,16.43,17.1,4482332
BANC,2024-11-26,16.95,16.99,16.73,16.79,2020300
BANC,2024-11-27,16.91,17.05,16.65,16.65,1629060
BANC,2024-11-29,16.85,16.88,16.48,16.58,626000
BANC,2024-12-02,16.57,16.58,16.29,16.36,1815836
BANC,2024-12-03,16.41,16.53,16.26,16.34,1312227
BANC,2024-12-04,16.41,16.5,16.21,16.45,1222139
BANC,2024-12-05,16.59,16.67,16.26,16.29,3335300
BANC,2024-12-06,16.47,16.49,16.25,16.42,1337063
BANC,2024-12-09,16.49,16.63,16.17,16.18,1494100
BANC,2024-12-10,16.18,16.42,15.96,16.16,1200207
BANC,2024-12-11,16.36,16.62,16.17,16.35,2062200
BANC,2024-12-12,16.41,16.51,16.1,16.11,1248113
BANC,2024-12-13,16.12,16.23,15.87,16.09,1113154
BANC,2024-12-16,16.13,16.41,15.88,16.34,2267386
BANC,2024-12-17,16.21,16.32,15.7,15.78,1836020
BANC,2024-12-18,15.91,16.05,14.71,14.83,2428420
BANC,2024-12-19,15.13,15.29,14.72,14.87,2450300
BANC,2024-12-20,14.78,15.35,14.73,14.93,4362322
BANC,2024-12-23,14.86,15.07,14.8,15.05,1759032
BANC,2024-12-24,15.03,15.17,14.83,15.06,648800
BANC,2024-12-26,14.85,15.18,14.78,15.18,1238408
BANC,2024-12-27,14.99,15.2,14.79,15.01,1916300
BANC,2024-12-30,14.89,15.14,14.75,15.07,1164818
BANC,2024-12-31,15.14,15.23,14.92,14.96,1013943
BANC,2025-01-02,15.06,15.2,14.7,14.76,1305000
BANC,2025-01-03,14.86,15.01,14.56,15.01,1363700
BANC,2025-01-06,15.35,15.66,15.1,15.31,2462300
BANC,2025-01-07,15.38,15.51,14.96,15.19,1931412
BANC,2025-01-08,15.02,15.19,14.87,15.04,1583300
BANC,2025-01-10,14.67,14.69,14.19,14.38,1863618
BANC,2025-01-13,14.3,14.39,14.04,14.35,2116543
BANC,2025-01-14,14.5,15.26,14.4,15.26,2321040
BANC,2025-01-15,15.9,16.01,15.4,15.56,1818100
BANC,2025-01-16,15.44,15.55,15.22,15.35,1465200
BANC,2025-01-17,15.5,15.71,15.34,15.66,1701920
BANC,2025-01-21,15.78,15.92,15.59,15.76,1857300
BANC,2025-01-22,15.63,15.74,15.43,15.56,2078742
BANC,2025-01-23,15.25,15.65,14.99,15.2,3624200
BANC,2025-01-24,15.1,15.53,15.0,15.48,2694003
BANC,2025-01-27,15.47,15.78,15.46,15.5,2227200
BANC,2025-01-28,15.45,15.64,15.32,15.54,1932043
BANC,2025-01-29,15.49,15.8,15.36,15.54,1728667
BANC,2025-01-30,15.73,15.91,15.49,15.7,1192900
BANC,2025-01-31,15.73,15.84,15.42,15.51,1602537
BANC,2025-02-03,15.05,15.33,14.88,15.25,1664246
BANC,2025-02-04,15.21,15.7,15.14,15.59,1028709
BANC,2025-02-05,15.67,15.98,15.52,15.98,1905114
BANC,2025-02-06,16.03,16.12,15.85,15.99,1828110
BANC,2025-02-07,15.92,16.02,15.65,15.76,1700000
BANC,2025-02-10,15.76,15.78,15.48,15.63,1248395
BANC,2025-02-11,15.57,15.95,15.54,15.94,932700
BANC,2025-02-12,15.62,15.66,15.23,15.34,2082827
BANC,2025-02-13,15.38,15.44,15.19,15.36,1087996
BANC,2025-02-14,15.43,15.57,15.0,15.11,2990506
BANC,2025-02-18,15.09,15.45,15.05,15.42,2062100
BANC,2025-02-19,15.17,15.48,15.15,15.31,1693900
BANC,2025-02-20,15.17,15.3,14.87,14.95,1963900
BANC,2025-02-21,15.13,15.2,14.46,14.51,2012776
BANC,2025-02-24,14.62,14.62,14.17,14.18,2799684
BANC,2025-02-25,14.28,14.45,14.14,14.27,1515326
BANC,2025-02-26,14.28,14.52,14.08,14.22,1316501
BANC,2025-02-27,14.28,14.48,14.19,14.22,2700456
BANC,2025-02-28,14.33,14.52,14.19,14.39,1490247
BANC,2025-03-03,14.42,14.58,14.09,14.19,2008200
BANC,2025-03-04,13.96,14.19,13.55,13.76,3454600
BANC,2025-03-05,13.85,14.01,13.5,13.69,1675321
BANC,2025-03-06,13.49,13.66,13.23,13.38,3053100
BANC,2025-03-07,13.31,13.52,13.02,13.36,2742510
BANC,2025-03-10,13.05,13.14,12.45,12.53,2889500
BANC,2025-03-11,12.56,13.03,12.43,12.87,3279927
BANC,2025-03-12,13.11,13.51,13.06,13.26,3554900
BANC,2025-03-13,13.32,13.42,12.98,12.99,2252032
BANC,2025-03-14,13.23,13.63,13.13,13.61,3065536
BANC,2025-03-17,13.93,14.07,13.66,13.85,2433130
BANC,2025-03-18,13.77,13.92,13.61,13.66,1936900
BANC,2025-03-19,13.7,14.05,13.58,13.79,2382400
BANC,2025-03-20,13.56,13.97,13.56,13.74,2231512
BANC,2025-03-21,13.66,13.91,13.51,13.74,5918700
BANC,2025-03-24,14.0,14.44,13.95,14.36,3414700
BANC,2025-03-25,14.35,14.56,14.16,14.16,3041043
BANC,2025-03-26,14.24,14.59,14.19,14.28,2107517
BANC,2025-03-27,14.23,14.35,14.07,14.14,2860829
BANC,2025-03-28,14.06,14.21,13.68,13.81,2424620
BANC,2025-03-31,13.52,13.93,13.51,13.84,1796900
BANC,2025-04-01,13.76,13.93,13.61,13.79,3389347
BANC,2025-04-02,13.59,13.95,13.59,13.8,2662900
BANC,2025-04-03,12.97,13.07,12.43,12.64,4392517
BANC,2025-04-04,12.21,12.21,11.59,12.06,6223525
BANC,2025-04-07,11.71,12.77,11.41,11.81,5607184
BANC,2025-04-08,12.29,12.74,11.56,11.76,3980400
BANC,2025-04-09,11.5,12.87,11.24,12.71,6856403
BANC,2025-04-10,12.31,12.59,11.41,11.8,6235300
BANC,2025-04-11,11.69,12.0,11.54,11.98,3629500
BANC,2025-04-14,12.15,12.37,11.88,12.32,5652233
BANC,2025-04-15,12.38,12.78,12.34,12.58,3157400
BANC,2025-04-16,12.58,12.78,12.45,12.65,4015811
BANC,2025-04-17,12.68,13.0,12.68,12.88,2775006
BANC,2025-04-21,12.77,12.85,12.48,12.57,2193301
BANC,2025-04-22,12.74,13.07,12.7,13.03,2311252
BANC,2025-04-23,13.48,13.82,13.33,13.39,3592800
BANC,2025-04-24,13.74,13.99,13.09,13.13,5439035
BANC,2025-04-25,12.87,13.13,12.82,12.87,3050930
BANC,2025-04-28,12.98,13.03,12.68,12.79,2652600
BANC,2025-04-29,12.72,13.29,12.65,13.2,3622861
BANC,2025-04-30,13.02,13.28,12.86,13.14,2552600
BANC,2025-05-01,13.12,13.28,13.03,13.06,2458700
BANC,2025-05-02,13.22,13.48,13.16,13.4,1640069
BANC,2025-05-05,13.14,13.57,13.14,13.43,1411400
BANC,2025-05-06,13.24,13.45,13.13,13.26,1146642
BANC,2025-05-07,13.4,13.5,13.24,13.3,1187613
BANC,2025-05-08,13.47,13.63,13.33,13.56,1193900
BANC,2025-05-09,13.57,13.61,13.37,13.42,1850000
BANC,2025-05-12,14.13,14.38,14.04,14.23,2982849
BANC,2025-05-13,14.24,14.35,14.12,14.26,1249800
BANC,2025-05-14,14.17,14.3,14.05,14.22,1420312
BANC,2025-05-15,14.11,14.26,13.99,14.06,1579070
BANC,2025-05-16,13.96,14.12,13.9,14.1,1926018
BANC,2025-05-19,13.81,14.08,13.81,14.03,1243665
BANC,2025-05-20,14.0,14.0,13.91,13.95,1669500
BANC,2025-05-21,13.82,13.95,13.47,13.48,1601900
BANC,2025-05-22,13.36,13.6,13.35,13.5,1071938
BANC,2025-05-23,13.2,13.55,13.19,13.42,1361000
BANC,2025-05-27,13.65,13.67,13.32,13.65,1270814
BANC,2025-05-28,13.6,13.7,13.4,13.44,1504000
BANC,2025-05-29,13.51,13.52,13.33,13.52,2437528
BANC,2025-05-30,13.47,13.49,13.3,13.38,1313700
BANC,2025-06-02,13.25,13.36,12.99,13.28,1694136
BANC,2025-06-03,13.31,13.56,13.21,13.51,1397603
BANC,2025-06-04,13.49,13.59,13.32,13.34,1261021
BANC,2025-06-05,13.32,13.45,13.18,13.33,1697616
BANC,2025-06-06,13.55,13.68,13.45,13.64,1293340
BANC,2025-06-09,13.62,13.8,13.6,13.62,2807700
BANC,2025-06-10,13.66,13.96,13.57,13.92,1492227
BANC,2025-06-11,13.93,14.04,13.72,13.76,2499000
BANC,2025-06-12,13.67,13.74,13.51,13.71,1602300
BANC,2025-06-13,13.5,13.52,13.26,13.3,1338300
BANC,2025-06-16,13.52,13.53,13.22,13.24,1682311
BANC,2025-06-17,13.08,13.34,13.05,13.1,2113100
BANC,2025-06-18,13.04,13.55,13.0,13.4,2275200
BANC,2025-06-20,13.49,13.59,13.38,13.55,5225700
BANC,2025-06-23,13.48,13.75,13.33,13.66,2216033
BANC,2025-06-24,13.83,13.99,13.63,13.65,3344480
BANC,2025-06-25,13.64,13.68,13.53,13.61,1779906
BANC,2025-06-26,13.58,13.87,13.57,13.85,2162239
BANC,2025-06-27,13.87,13.96,13.72,13.82,2265402
BANC,2025-06-30,13.92,13.96,13.77,13.8,2451500
BANC,2025-07-01,13.82,14.44,13.72,14.06,2900700
BANC,2025-07-02,14.06,14.34,13.97,14.34,2343000
BANC,2025-07-03,14.36,14.63,14.32,14.49,1269010
BANC,2025-07-07,14.31,14.67,14.27,14.29,1800800
BANC,2025-07-08,14.45,14.69,14.34,14.54,2949503
BANC,2025-07-09,14.64,14.81,14.53,14.69,1977433
BANC,2025-07-10,14.66,15.07,14.6,14.86,2449938
BANC,2025-07-11,14.78,14.88,14.68,14.7,1527609
BANC,2025-07-14,14.66,14.81,14.58,14.68,2067411
BANC,2025-07-15,14.64,14.72,14.1,14.11,2458500
BANC,2025-07-16,14.21,14.25,13.83,14.18,4793305
BANC,2025-07-17,14.18,14.55,14.05,14.48,4700322
BANC,2025-07-18,14.54,14.79,14.35,14.76,2714644
BANC,2025-07-21,14.83,14.96,14.72,14.73,2702948
BANC,2025-07-22,14.79,14.88,14.61,14.8,2745832
BANC,2025-07-23,14.93,15.02,14.66,14.99,2674114
BANC,2025-07-24,14.81,14.85,14.26,14.33,4071200
BANC,2025-07-25,14.4,14.88,14.26,14.84,3855200
BANC,2025-07-28,14.91,15.01,14.72,14.86,3010327
BANC,2025-07-29,15.03,15.04,14.75,14.79,1615232
BANC,2025-07-30,14.79,14.87,14.41,14.58,2615800
BANC,2025-07-31,14.42,14.52,14.22,14.26,2038745
BANC,2025-08-01,14.02,14.05,13.7,13.9,2112924
BANC,2025-08-04,13.92,14.12,13.85,14.12,1427600
BANC,2025-08-05,14.1,14.3,13.95,14.3,2512623
BANC,2025-08-06,14.28,14.29,14.09,14.13,2482000
BANC,2025-08-07,14.34,14.34,14.05,14.16,1775800
