symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BCRX,2025-02-07,8.74,8.87,8.59,8.72,2342101
BCRX,2025-02-10,8.69,8.8,8.53,8.63,1813639
BCRX,2025-02-11,8.57,9.0,8.54,8.99,3116240
BCRX,2025-02-12,8.91,9.0,8.72,8.78,2516997
BCRX,2025-02-13,8.87,8.9,8.63,8.82,3654268
BCRX,2025-02-14,8.83,9.11,8.72,9.05,5148611
BCRX,2025-02-18,9.1,9.45,9.09,9.36,5333059
BCRX,2025-02-19,9.34,9.48,9.31,9.39,4826716
BCRX,2025-02-20,9.39,9.5,9.29,9.39,3415400
BCRX,2025-02-21,9.5,9.5,9.15,9.21,5555600
BCRX,2025-02-24,8.87,8.96,7.95,8.29,6078563
BCRX,2025-02-25,8.44,8.44,7.94,8.28,3672940
BCRX,2025-02-26,8.32,8.57,8.15,8.36,3416407
BCRX,2025-02-27,8.36,8.67,8.28,8.47,4430600
BCRX,2025-02-28,8.46,8.66,8.41,8.61,4230648
BCRX,2025-03-03,8.58,8.8,8.45,8.54,4851886
BCRX,2025-03-04,8.14,8.39,7.67,8.31,6622909
BCRX,2025-03-05,8.3,8.36,7.91,8.05,4695540
BCRX,2025-03-06,7.93,8.04,7.74,7.86,4536996
BCRX,2025-03-07,7.86,7.97,7.59,7.69,4111600
BCRX,2025-03-10,7.55,7.63,7.25,7.38,4362300
BCRX,2025-03-11,7.38,7.67,7.2,7.54,4836900
BCRX,2025-03-12,7.65,7.95,7.59,7.71,3696647
BCRX,2025-03-13,7.68,7.74,7.5,7.54,2602100
BCRX,2025-03-14,7.59,7.74,7.57,7.7,2718965
BCRX,2025-03-17,7.7,7.82,7.52,7.74,2759509
BCRX,2025-03-18,7.7,7.74,7.53,7.64,3258563
BCRX,2025-03-19,7.65,7.69,7.44,7.63,2707721
BCRX,2025-03-20,7.53,7.71,7.53,7.69,2948900
BCRX,2025-03-21,7.62,8.1,7.6,7.98,4928500
BCRX,2025-03-24,8.09,8.12,7.94,8.05,3481017
BCRX,2025-03-25,8.04,8.11,7.85,8.07,3783246
BCRX,2025-03-26,8.04,8.05,7.75,7.8,2458550
BCRX,2025-03-27,7.83,7.88,7.75,7.83,1289228
BCRX,2025-03-28,7.82,7.93,7.69,7.86,1792600
BCRX,2025-03-31,7.71,7.71,7.47,7.5,2216033
BCRX,2025-04-01,7.46,7.49,7.22,7.25,2249864
BCRX,2025-04-02,7.2,7.44,7.15,7.43,2224035
BCRX,2025-04-03,7.27,7.42,7.16,7.33,3074300
BCRX,2025-04-04,7.12,7.18,6.77,6.83,3508239
BCRX,2025-04-07,6.5,7.05,6.43,6.79,4369629
BCRX,2025-04-08,7.07,7.08,6.37,6.47,3075620
BCRX,2025-04-09,6.3,7.04,6.13,6.77,4598585
BCRX,2025-04-10,6.57,6.58,6.02,6.41,4096536
BCRX,2025-04-11,6.33,6.85,6.33,6.82,3113766
BCRX,2025-04-14,6.97,7.07,6.8,7.04,3158604
BCRX,2025-04-15,6.99,7.41,6.96,7.4,3145366
BCRX,2025-04-16,7.39,7.4,7.08,7.22,3555234
BCRX,2025-04-17,7.17,7.51,7.14,7.4,3353921
BCRX,2025-04-21,7.32,7.76,7.25,7.53,3991925
BCRX,2025-04-22,7.61,7.98,7.51,7.82,4264200
BCRX,2025-04-23,7.97,8.18,7.94,7.96,3575445
BCRX,2025-04-24,7.95,8.23,7.9,8.22,3307007
BCRX,2025-04-25,8.18,8.47,8.16,8.39,3208225
BCRX,2025-04-28,8.49,8.49,8.23,8.32,3558417
BCRX,2025-04-29,8.43,8.62,8.39,8.44,4967980
BCRX,2025-04-30,8.36,8.93,8.28,8.85,4793621
BCRX,2025-05-01,8.85,9.04,8.68,8.71,4223100
BCRX,2025-05-02,8.86,9.07,8.74,8.93,4422015
BCRX,2025-05-05,9.8,11.11,9.59,11.03,26301800
BCRX,2025-05-06,10.97,10.97,10.1,10.27,14478419
BCRX,2025-05-07,10.36,10.52,9.87,10.08,7447641
BCRX,2025-05-08,10.13,10.2,9.83,9.92,10027538
BCRX,2025-05-09,9.93,10.39,9.9,9.97,7607126
BCRX,2025-05-12,10.14,10.5,10.07,10.34,5565704
BCRX,2025-05-13,10.37,10.42,10.01,10.06,6116553
BCRX,2025-05-14,10.17,10.22,9.77,9.85,8984024
BCRX,2025-05-15,9.96,10.41,9.82,10.21,6469415
BCRX,2025-05-16,10.27,10.38,10.12,10.24,3698700
BCRX,2025-05-19,10.25,10.38,10.13,10.37,3602787
BCRX,2025-05-20,10.4,10.45,9.99,10.33,4491965
BCRX,2025-05-21,10.21,10.29,9.95,10.07,4294307
BCRX,2025-05-22,10.05,10.58,10.01,10.39,5657012
BCRX,2025-05-23,10.29,10.59,10.16,10.59,3608483
BCRX,2025-05-27,10.92,11.03,10.58,10.79,4279800
BCRX,2025-05-28,10.68,10.81,10.55,10.56,3010634
BCRX,2025-05-29,10.62,11.0,10.46,10.88,3662900
BCRX,2025-05-30,10.85,10.88,10.62,10.75,3215600
BCRX,2025-06-02,10.79,11.15,10.69,10.73,3988400
BCRX,2025-06-03,10.65,11.24,10.51,11.19,4162407
BCRX,2025-06-04,11.23,11.31,11.0,11.04,3955508
BCRX,2025-06-05,11.01,11.11,10.9,10.98,3568835
BCRX,2025-06-06,11.06,11.18,10.88,11.04,4093558
BCRX,2025-06-09,11.2,11.23,10.97,11.11,3424000
BCRX,2025-06-10,11.06,11.22,10.98,11.01,2164522
BCRX,2025-06-11,11.06,11.07,10.59,10.61,3267646
BCRX,2025-06-12,10.55,10.64,10.34,10.4,3813742
BCRX,2025-06-13,10.21,10.46,10.16,10.37,2661229
BCRX,2025-06-16,10.41,10.47,10.12,10.29,2910829
BCRX,2025-06-17,10.16,10.22,9.91,9.97,3895400
BCRX,2025-06-18,9.98,10.14,9.84,9.96,3071287
BCRX,2025-06-20,10.15,10.15,9.85,10.1,5712229
BCRX,2025-06-23,10.02,10.04,9.72,9.91,2690611
BCRX,2025-06-24,10.05,10.06,9.75,9.93,2404700
BCRX,2025-06-25,9.94,10.02,9.67,9.74,3633817
BCRX,2025-06-26,9.81,9.81,9.61,9.66,2556264
BCRX,2025-06-27,10.05,10.07,9.19,9.36,7450214
BCRX,2025-06-30,9.47,9.47,8.92,8.96,5124262
BCRX,2025-07-01,8.98,9.11,8.89,9.0,4141100
BCRX,2025-07-02,9.0,9.17,8.95,9.02,3551760
BCRX,2025-07-03,9.02,9.05,8.86,8.94,1407127
BCRX,2025-07-07,8.91,8.96,8.71,8.76,2674500
BCRX,2025-07-08,8.76,8.92,8.72,8.79,2906221
BCRX,2025-07-09,8.91,9.23,8.9,9.06,3913100
BCRX,2025-07-10,9.01,9.07,8.85,8.88,2198804
BCRX,2025-07-11,8.87,8.87,8.69,8.76,2416100
BCRX,2025-07-14,8.78,8.98,8.75,8.96,3317300
BCRX,2025-07-15,9.03,9.05,8.71,8.72,2682510
BCRX,2025-07-16,8.75,8.8,8.54,8.59,3091735
BCRX,2025-07-17,8.53,8.72,8.45,8.7,3335222
BCRX,2025-07-18,8.79,8.79,8.52,8.61,3105436
BCRX,2025-07-21,8.63,8.74,8.49,8.52,3320241
BCRX,2025-07-22,8.49,8.69,8.4,8.65,3893300
BCRX,2025-07-23,8.67,8.7,8.49,8.61,2617000
BCRX,2025-07-24,8.65,8.71,8.54,8.55,2691200
BCRX,2025-07-25,8.53,8.64,8.49,8.55,2364083
BCRX,2025-07-28,8.6,8.6,8.21,8.26,3244752
BCRX,2025-07-29,8.33,8.35,8.02,8.09,3502244
BCRX,2025-07-30,8.25,8.39,8.12,8.22,3087444
BCRX,2025-07-31,8.22,8.32,8.05,8.14,5399711
BCRX,2025-08-01,8.15,8.16,7.91,7.95,7971200
BCRX,2025-08-04,9.14,9.14,8.1,8.73,9702524
BCRX,2025-08-05,8.62,8.69,8.33,8.36,4171100
BCRX,2025-08-06,8.37,8.61,8.34,8.6,2676600
BCRX,2025-08-07,8.59,8.65,8.3,8.35,2328105
BCRX,2025-08-08,8.38,8.45,8.26,8.3,1823049
BCRX,2025-08-11,8.2,8.29,8.08,8.2,2210500
BCRX,2025-08-12,8.26,8.4,8.22,8.35,2311352
BCRX,2025-08-13,8.4,8.64,8.4,8.53,3706329
BCRX,2025-08-14,8.43,8.5,8.27,8.45,2237478
BCRX,2025-08-15,8.37,8.52,8.36,8.37,2586789
BCRX,2025-08-18,8.38,8.59,8.35,8.38,2472633
BCRX,2025-08-19,8.34,8.37,8.18,8.28,2275600
BCRX,2025-08-20,8.24,8.39,8.23,8.38,1724100
BCRX,2025-08-21,8.38,8.45,8.32,8.38,1328504
BCRX,2025-08-22,8.4,8.62,8.35,8.56,2200449
BCRX,2025-08-25,8.6,8.6,8.27,8.39,2503300
BCRX,2025-08-26,8.42,8.6,8.37,8.58,2025406
BCRX,2025-08-27,8.55,8.68,8.52,8.52,1421800
BCRX,2025-08-28,8.58,8.61,8.4,8.47,1798155
BCRX,2025-08-29,8.46,8.49,8.29,8.31,2313800
BCRX,2025-09-02,8.37,8.47,8.27,8.29,2441295
