symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BE,2024-12-06,26.72,27.5,25.71,27.08,6877000
BE,2024-12-09,27.68,28.48,26.21,26.58,7017605
BE,2024-12-10,25.95,25.95,22.73,23.47,15036816
BE,2024-12-11,24.67,25.2,23.55,23.6,8092518
BE,2024-12-12,24.1,26.03,23.93,24.81,6309900
BE,2024-12-13,24.34,25.88,24.25,25.59,4808800
BE,2024-12-16,25.74,27.06,24.4,26.15,7075900
BE,2024-12-17,26.0,26.78,24.51,24.77,5461407
BE,2024-12-18,24.67,25.46,22.89,23.46,4937426
BE,2024-12-19,24.0,24.18,21.91,22.88,9334511
BE,2024-12-20,22.68,24.47,22.57,24.12,6380400
BE,2024-12-23,23.85,24.37,23.28,24.2,4265500
BE,2024-12-24,24.13,24.62,23.53,24.33,1697200
BE,2024-12-26,24.3,24.46,23.67,24.33,2657300
BE,2024-12-27,24.05,24.84,22.65,22.9,5036644
BE,2024-12-30,22.35,22.99,22.05,22.51,4244006
BE,2024-12-31,22.58,22.82,22.07,22.21,3816138
BE,2025-01-02,22.51,23.65,22.37,23.37,4201200
BE,2025-01-03,23.75,25.37,23.45,24.32,6441726
BE,2025-01-06,24.89,26.09,24.5,25.48,6592500
BE,2025-01-07,25.6,26.24,24.42,25.06,4844026
BE,2025-01-08,24.22,24.77,23.53,24.38,6433809
BE,2025-01-10,23.9,24.14,22.84,23.58,4714934
BE,2025-01-13,23.1,23.27,21.57,23.03,5348614
BE,2025-01-14,23.69,24.42,22.17,22.3,5132100
BE,2025-01-15,23.25,23.81,22.65,22.65,3403600
BE,2025-01-16,23.27,23.73,22.82,23.56,3024800
BE,2025-01-17,24.25,25.22,23.69,23.92,5494830
BE,2025-01-21,24.16,25.9,23.33,25.75,7224246
BE,2025-01-22,26.95,27.56,25.47,25.53,8186000
BE,2025-01-23,25.1,28.25,24.55,27.67,9690940
BE,2025-01-24,27.72,29.83,27.72,29.81,12244000
BE,2025-01-27,24.63,24.82,21.0,22.42,21453211
