symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BEPC,2024-08-27,26.39,26.73,26.18,26.63,673900
BEPC,2024-08-28,26.48,26.88,26.38,26.54,608134
BEPC,2024-08-29,26.63,26.72,26.33,26.46,615144
BEPC,2024-08-30,26.66,26.88,26.22,26.66,684200
BEPC,2024-09-03,26.42,26.42,25.66,25.89,748900
BEPC,2024-09-04,25.81,26.93,25.74,26.69,812400
BEPC,2024-09-05,26.98,27.17,26.45,26.66,688211
BEPC,2024-09-06,26.69,26.72,25.68,25.89,539200
BEPC,2024-09-09,25.89,26.02,25.01,25.53,1436884
BEPC,2024-09-10,25.51,26.34,25.44,26.3,889548
BEPC,2024-09-11,26.53,27.27,26.35,27.2,1050409
BEPC,2024-09-12,27.41,28.24,27.3,28.14,740717
BEPC,2024-09-13,28.34,28.43,27.77,28.07,592408
BEPC,2024-09-16,28.22,28.43,27.64,28.42,734900
BEPC,2024-09-17,28.54,28.76,28.08,28.25,579600
BEPC,2024-09-18,28.24,28.76,28.21,28.25,771019
BEPC,2024-09-19,28.58,28.72,27.96,28.22,1008491
BEPC,2024-09-20,28.3,28.6,28.2,28.42,1325324
BEPC,2024-09-23,28.54,29.17,28.48,29.04,1160853
BEPC,2024-09-24,29.38,29.71,29.09,29.59,896603
BEPC,2024-09-25,29.73,30.28,29.56,29.82,909212
BEPC,2024-09-26,30.11,30.36,29.94,30.07,910515
BEPC,2024-09-27,30.35,30.91,30.25,30.78,899824
BEPC,2024-09-30,30.83,31.04,30.34,30.56,961802
BEPC,2024-10-01,30.42,30.77,30.15,30.63,715846
BEPC,2024-10-02,30.51,30.64,29.99,30.13,762608
BEPC,2024-10-03,30.08,30.08,29.43,29.58,1094761
BEPC,2024-10-04,29.67,29.98,29.12,29.87,665024
BEPC,2024-10-07,29.88,30.03,29.01,29.16,621222
BEPC,2024-10-08,29.13,29.13,28.47,28.62,609800
BEPC,2024-10-09,28.51,28.81,28.23,28.41,729500
BEPC,2024-10-10,28.3,28.44,27.62,27.74,575700
BEPC,2024-10-11,27.62,28.1,27.62,28.1,555700
BEPC,2024-10-14,27.98,28.42,27.76,28.32,416849
BEPC,2024-10-15,28.56,28.56,27.86,27.93,509400
BEPC,2024-10-16,28.24,30.74,28.09,30.64,2187445
BEPC,2024-10-17,30.49,30.72,29.91,30.39,1392505
BEPC,2024-10-18,30.4,31.18,30.28,31.08,873564
BEPC,2024-10-21,31.05,32.83,31.04,32.6,2962623
BEPC,2024-10-22,32.39,32.57,31.55,32.09,2150282
BEPC,2024-10-23,31.8,32.89,31.78,32.11,2223000
BEPC,2024-10-24,31.63,32.06,30.98,31.3,1190317
BEPC,2024-10-25,31.46,31.74,31.16,31.2,722825
BEPC,2024-10-28,31.51,31.67,30.45,30.45,718025
