symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BG,2024-08-27,96.26,96.58,94.9,95.66,907700
BG,2024-08-28,95.36,96.29,94.54,96.13,760671
BG,2024-08-29,96.54,97.08,94.4,96.36,925400
BG,2024-08-30,96.52,96.73,95.79,96.67,1218800
BG,2024-09-03,95.76,96.25,94.13,94.69,1097137
BG,2024-09-04,95.23,96.43,94.59,95.55,883243
BG,2024-09-05,96.12,96.79,94.09,94.15,977900
BG,2024-09-06,93.94,95.34,93.53,93.87,735217
BG,2024-09-09,93.95,94.83,92.83,94.32,1061118
BG,2024-09-10,94.33,94.63,91.34,91.71,1044336
BG,2024-09-11,91.84,91.84,90.1,91.44,968477
BG,2024-09-12,91.4,92.13,90.58,91.95,680240
BG,2024-09-13,92.31,93.49,91.94,92.85,727607
BG,2024-09-16,93.95,94.45,92.29,92.77,993200
BG,2024-09-17,93.07,93.88,92.84,93.15,770132
BG,2024-09-18,93.05,94.45,92.57,93.17,1046626
BG,2024-09-19,94.15,95.81,93.32,95.7,1497040
BG,2024-09-20,95.48,95.51,93.08,94.21,5880500
BG,2024-09-23,93.59,94.3,92.45,92.91,2334900
BG,2024-09-24,93.02,94.29,92.47,92.55,1871457
BG,2024-09-25,92.56,92.71,90.29,90.32,1569143
BG,2024-09-26,89.79,91.82,89.79,91.41,3155927
BG,2024-09-27,92.37,93.76,92.26,93.19,1380700
BG,2024-09-30,93.08,93.25,91.62,92.15,1240236
BG,2024-10-01,91.78,93.72,91.16,93.14,846348
BG,2024-10-02,93.43,94.18,91.84,92.44,1486339
BG,2024-10-03,92.02,92.31,90.85,92.18,1021339
BG,2024-10-04,92.81,93.68,92.53,93.61,833230
BG,2024-10-07,93.8,94.77,93.57,94.34,1247667
BG,2024-10-08,93.42,93.99,92.35,93.67,1062513
BG,2024-10-09,93.5,93.75,91.75,91.89,1216822
BG,2024-10-10,92.35,92.48,90.97,91.6,1107400
BG,2024-10-11,91.66,92.75,91.59,92.46,631900
BG,2024-10-14,91.96,92.25,91.36,91.75,826617
BG,2024-10-15,92.22,92.23,90.19,90.28,1119016
BG,2024-10-16,90.36,91.48,90.3,90.7,1318600
BG,2024-10-17,91.07,91.32,90.06,91.16,901700
BG,2024-10-18,87.45,87.6,84.16,85.39,5329820
BG,2024-10-21,85.82,86.24,84.6,84.72,2186300
BG,2024-10-22,84.87,85.56,84.4,85.22,1822201
BG,2024-10-23,85.61,86.09,84.51,84.85,2071764
BG,2024-10-24,85.04,86.09,84.55,86.02,1222800
BG,2024-10-25,86.48,87.18,85.41,85.61,1479800
BG,2024-10-28,85.81,86.26,85.24,85.69,1722033
BG,2024-10-29,85.55,85.61,83.69,83.76,2746378
BG,2024-10-30,84.15,85.85,81.13,81.87,3393805
BG,2024-10-31,81.95,82.66,79.95,80.12,2962282
BG,2024-11-01,80.34,80.83,78.62,78.78,3148107
BG,2024-11-04,79.49,80.79,79.38,80.1,2802545
BG,2024-11-05,78.63,81.19,78.36,80.86,3257451
BG,2024-11-06,82.07,82.46,80.5,81.77,2540341
BG,2024-11-07,82.1,83.28,81.29,82.78,3022447
BG,2024-11-08,82.23,83.44,81.89,83.07,2296800
BG,2024-11-11,83.36,84.99,83.19,83.67,2658863
BG,2024-11-12,83.24,84.64,83.15,83.4,1755463
BG,2024-11-13,82.98,83.87,82.34,82.59,1986814
BG,2024-11-14,82.94,84.28,82.15,83.97,2025918
BG,2024-11-15,84.37,87.88,84.2,86.39,3252700
BG,2024-11-18,87.51,88.31,87.09,87.72,2566817
BG,2024-11-19,87.11,87.84,85.86,85.97,1619434
BG,2024-11-20,85.92,86.36,84.1,84.62,2731918
BG,2024-11-21,84.52,85.86,83.87,84.9,1165501
BG,2024-11-22,84.47,84.64,83.49,84.21,1611650
BG,2024-11-25,84.31,85.86,84.23,84.97,1980800
BG,2024-11-26,84.9,86.5,84.57,86.14,1518300
BG,2024-11-27,86.42,86.99,85.08,85.42,851400
BG,2024-11-29,85.24,86.39,85.02,86.21,801200
BG,2024-12-02,85.48,85.87,84.41,85.59,1531612
BG,2024-12-03,85.91,86.2,81.76,84.79,1903271
BG,2024-12-04,84.58,84.62,82.88,83.16,1987216
BG,2024-12-05,83.37,83.66,82.52,82.81,1876900
