symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BKH,2024-08-27,54.78,55.24,54.66,55.01,378500
BKH,2024-08-28,55.13,55.56,54.71,55.03,330918
BKH,2024-08-29,55.3,55.36,54.68,54.99,248902
BKH,2024-08-30,55.07,55.48,54.76,55.46,332110
BKH,2024-09-03,55.29,55.82,55.28,55.5,396532
BKH,2024-09-04,55.68,56.07,55.53,56.06,374920
BKH,2024-09-05,56.29,56.63,56.21,56.41,402200
BKH,2024-09-06,56.42,56.62,55.95,55.97,360509
BKH,2024-09-09,55.83,56.24,55.69,55.92,281900
BKH,2024-09-10,56.01,56.69,55.84,56.62,235234
BKH,2024-09-11,56.38,56.38,55.5,55.89,355300
BKH,2024-09-12,55.8,56.18,55.59,55.72,248000
BKH,2024-09-13,56.11,56.82,55.97,56.81,282800
BKH,2024-09-16,57.13,57.52,56.9,57.31,302400
BKH,2024-09-17,57.7,58.06,57.3,57.37,351526
BKH,2024-09-18,57.48,57.87,57.04,57.12,326310
BKH,2024-09-19,57.12,57.42,56.39,57.09,364200
BKH,2024-09-20,56.91,57.17,56.5,56.93,867931
BKH,2024-09-23,57.16,57.78,56.9,57.72,406439
BKH,2024-09-24,57.6,58.13,57.29,57.36,466702
BKH,2024-09-25,57.69,57.69,56.91,57.16,392611
BKH,2024-09-26,57.13,57.52,56.86,56.9,368201
BKH,2024-09-27,57.34,57.69,57.08,57.27,321200
BKH,2024-09-30,57.34,57.57,56.88,57.34,359118
BKH,2024-10-01,57.37,57.5,56.95,57.11,251300
BKH,2024-10-02,56.8,57.28,56.59,56.77,217442
BKH,2024-10-03,56.77,56.82,56.2,56.28,235823
BKH,2024-10-04,55.96,56.29,55.81,56.24,298200
BKH,2024-10-07,56.02,56.14,55.17,55.46,329716
BKH,2024-10-08,55.84,56.09,55.51,55.72,321316
BKH,2024-10-09,55.54,56.09,55.36,55.51,271400
BKH,2024-10-10,55.51,55.85,54.99,55.17,310000
BKH,2024-10-11,55.33,55.76,55.28,55.64,285100
BKH,2024-10-14,55.81,57.08,55.62,56.71,508442
BKH,2024-10-15,56.87,57.95,56.84,57.14,513600
BKH,2024-10-16,57.43,58.35,57.39,58.2,385000
BKH,2024-10-17,58.23,58.35,57.8,58.03,613800
BKH,2024-10-18,58.07,58.28,57.66,57.94,348237
BKH,2024-10-21,58.1,58.1,56.78,56.87,816000
BKH,2024-10-22,56.76,57.17,56.27,57.11,760148
BKH,2024-10-23,56.84,57.57,56.84,57.29,1281103
BKH,2024-10-24,57.3,57.45,56.42,56.68,309400
BKH,2024-10-25,57.05,57.05,56.14,56.17,315800
BKH,2024-10-28,56.42,56.85,56.02,56.62,299844
BKH,2024-10-29,56.17,56.63,55.9,56.24,599926
BKH,2024-10-30,56.37,56.9,55.83,55.89,489133
BKH,2024-10-31,55.93,56.21,55.49,55.53,520100
BKH,2024-11-01,55.65,55.96,54.26,54.34,357600
BKH,2024-11-04,53.95,54.52,53.81,54.04,327700
BKH,2024-11-05,53.81,55.25,53.66,55.17,380200
BKH,2024-11-06,55.97,56.91,55.15,56.63,939600
BKH,2024-11-07,55.36,56.9,54.79,55.89,900418
BKH,2024-11-08,56.35,57.21,55.82,57.02,456582
BKH,2024-11-11,57.23,58.61,56.96,58.52,555952
BKH,2024-11-12,58.52,59.11,57.81,57.95,554100
BKH,2024-11-13,58.41,59.27,58.35,59.25,970716
BKH,2024-11-14,59.43,59.66,58.73,58.8,655000
BKH,2024-11-15,59.38,59.61,58.81,58.86,502900
BKH,2024-11-18,58.81,59.98,58.64,59.69,422797
BKH,2024-11-19,59.53,59.53,58.64,59.45,553900
BKH,2024-11-20,59.29,59.47,58.78,59.19,329800
BKH,2024-11-21,59.22,60.18,59.18,60.0,363332
BKH,2024-11-22,60.39,61.4,60.34,60.97,520031
BKH,2024-11-25,61.45,62.18,61.25,61.3,609700
BKH,2024-11-26,61.11,61.29,60.27,60.29,510100
BKH,2024-11-27,60.65,60.89,60.36,60.62,391700
BKH,2024-11-29,60.76,61.11,60.71,60.74,254200
BKH,2024-12-02,60.76,60.91,59.28,59.55,468600
BKH,2024-12-03,60.04,60.35,59.6,59.73,456100
BKH,2024-12-04,59.57,59.96,59.3,59.74,373000
BKH,2024-12-05,59.67,59.92,59.42,59.51,283338
BKH,2024-12-06,59.54,59.61,58.45,58.7,362911
BKH,2024-12-09,58.97,59.05,58.08,58.19,493813
BKH,2024-12-10,58.18,58.47,57.15,58.19,367838
