symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BLK,2024-12-06,1017.77,1026.36,1011.86,1016.26,550452
BLK,2024-12-09,1023.18,1028.88,1016.63,1019.68,742764
BLK,2024-12-10,1023.06,1037.67,1019.21,1030.09,645055
BLK,2024-12-11,1034.06,1054.82,1033.22,1038.07,1139700
BLK,2024-12-12,1040.93,1046.64,1024.39,1031.8,687331
BLK,2024-12-13,1029.89,1034.35,1025.48,1029.58,537361
BLK,2024-12-16,1032.34,1044.62,1029.54,1037.48,897930
BLK,2024-12-17,1029.07,1032.7,1011.77,1022.44,990433
BLK,2024-12-18,1022.44,1033.92,992.95,994.26,865100
BLK,2024-12-19,1013.96,1014.31,989.05,990.39,796570
BLK,2024-12-20,981.93,1010.31,976.41,1002.44,2079813
BLK,2024-12-23,999.71,1014.79,997.25,1013.17,488192
BLK,2024-12-24,1015.06,1027.91,1010.21,1027.91,276623
BLK,2024-12-26,1018.33,1030.5,1018.33,1027.37,292100
BLK,2024-12-27,1021.25,1028.5,1013.71,1017.53,337134
BLK,2024-12-30,1006.45,1009.61,995.41,1001.21,591923
BLK,2024-12-31,1004.5,1007.74,993.52,998.95,619400
BLK,2025-01-02,1003.72,1005.76,986.18,991.44,604760
BLK,2025-01-03,996.09,997.87,984.23,994.78,469065
BLK,2025-01-06,999.47,1003.13,985.67,986.89,616338
BLK,2025-01-07,985.2,986.17,953.28,955.73,970500
BLK,2025-01-08,955.22,965.01,951.14,960.93,778503
BLK,2025-01-10,954.78,956.99,923.96,931.25,908200
BLK,2025-01-13,922.1,932.82,919.27,930.64,794380
BLK,2025-01-14,939.71,944.86,933.59,938.59,1058107
BLK,2025-01-15,993.74,999.28,965.71,987.32,1140399
BLK,2025-01-16,990.6,990.6,957.12,970.31,884195
BLK,2025-01-17,975.35,986.96,971.56,979.31,1085800
BLK,2025-01-21,988.14,1000.74,978.1,986.26,671748
BLK,2025-01-22,986.64,987.95,972.78,980.66,570319
BLK,2025-01-23,978.34,991.84,975.29,991.76,645453
BLK,2025-01-24,987.29,999.82,987.29,994.41,731330
BLK,2025-01-27,984.23,1004.61,979.05,1003.66,662932
BLK,2025-01-28,1003.4,1028.77,1000.84,1024.37,1083082
BLK,2025-01-29,1020.39,1039.61,1018.64,1025.75,808647
BLK,2025-01-30,1041.91,1050.73,1032.29,1044.17,532128
BLK,2025-01-31,1046.68,1056.55,1041.48,1048.05,958072
BLK,2025-02-03,1027.57,1029.58,980.94,987.88,1502248
BLK,2025-02-04,985.73,993.48,978.38,989.74,931248
BLK,2025-02-05,993.97,1001.33,980.24,988.61,710406
BLK,2025-02-06,994.31,997.67,979.35,980.93,688927
BLK,2025-02-07,983.01,989.98,965.85,966.72,732027
BLK,2025-02-10,969.61,970.91,951.86,960.4,683840
BLK,2025-02-11,954.99,964.21,948.75,962.98,884905
BLK,2025-02-12,950.16,955.86,941.23,948.86,563118
BLK,2025-02-13,954.05,956.94,945.51,955.28,480500
BLK,2025-02-14,950.12,953.68,943.67,949.07,965358
BLK,2025-02-18,944.41,952.92,934.6,952.91,1048863
BLK,2025-02-19,946.22,964.44,942.21,961.17,760305
BLK,2025-02-20,961.32,966.02,949.16,964.13,769700
BLK,2025-02-21,967.16,967.87,946.23,949.36,1254000
BLK,2025-02-24,950.45,957.21,923.91,928.48,1141587
BLK,2025-02-25,933.5,941.46,921.72,933.56,1004063
BLK,2025-02-26,932.09,942.43,927.98,929.43,614369
BLK,2025-02-27,934.63,945.24,919.43,920.78,675324
BLK,2025-02-28,919.11,955.46,917.97,952.83,1412644
BLK,2025-03-03,954.84,965.51,934.37,941.81,767212
BLK,2025-03-04,928.06,939.96,909.52,927.5,1040301
BLK,2025-03-05,939.4,944.91,923.66,943.43,837827
BLK,2025-03-06,933.19,944.28,924.52,935.15,698204
BLK,2025-03-07,933.78,933.78,900.42,927.79,1180886
BLK,2025-03-10,899.55,912.96,883.32,896.77,1069523
BLK,2025-03-11,893.7,904.33,886.67,891.98,963132
BLK,2025-03-12,901.42,904.88,885.29,891.68,630200
BLK,2025-03-13,894.58,895.05,880.11,882.27,656796
BLK,2025-03-14,896.54,910.33,889.58,909.94,623759
BLK,2025-03-17,918.2,941.53,914.52,938.65,922636
BLK,2025-03-18,938.29,945.09,936.7,939.26,1086482
BLK,2025-03-19,940.29,946.48,931.79,937.89,1086897
BLK,2025-03-20,933.45,942.21,930.34,934.9,668049
BLK,2025-03-21,928.86,937.03,919.22,932.51,5211797
BLK,2025-03-24,941.25,953.34,937.67,944.04,640165
BLK,2025-03-25,950.88,957.54,942.43,953.82,566717
BLK,2025-03-26,955.3,960.4,944.53,948.68,667848
BLK,2025-03-27,946.01,957.07,938.16,948.39,479155
BLK,2025-03-28,946.73,948.11,926.67,927.58,569047
BLK,2025-03-31,914.74,930.19,901.86,927.36,1195500
BLK,2025-04-01,926.8,938.04,912.6,925.01,668731
BLK,2025-04-02,915.16,946.45,915.16,942.41,490300
BLK,2025-04-03,900.01,909.46,869.24,869.72,903345
BLK,2025-04-04,835.65,843.13,794.77,806.0,1615116
BLK,2025-04-07,773.68,829.13,758.11,800.99,1654123
BLK,2025-04-08,832.14,839.49,788.74,799.24,1812388
BLK,2025-04-09,784.37,886.63,783.01,878.96,1821500
BLK,2025-04-10,861.72,862.62,816.27,841.43,1235600
BLK,2025-04-11,831.04,870.6,823.52,861.03,963023
BLK,2025-04-14,879.14,881.82,861.82,871.97,970305
BLK,2025-04-15,870.94,882.55,868.32,870.49,516567
BLK,2025-04-16,863.44,868.98,837.94,848.29,591515
BLK,2025-04-17,853.46,872.15,848.67,858.09,1034367
BLK,2025-04-21,849.49,852.43,828.74,836.75,644568
BLK,2025-04-22,852.35,870.52,847.05,869.3,600743
BLK,2025-04-23,890.8,910.23,870.81,874.51,553308
BLK,2025-04-24,877.41,898.19,874.87,897.75,619870
BLK,2025-04-25,894.8,899.72,881.19,889.35,444604
BLK,2025-04-28,887.92,904.86,887.92,895.28,685243
BLK,2025-04-29,892.49,903.09,886.77,901.93,392420
BLK,2025-04-30,887.66,897.38,875.88,895.79,1028962
BLK,2025-05-01,894.51,905.21,887.61,897.63,451801
BLK,2025-05-02,912.61,916.27,905.65,910.43,822899
BLK,2025-05-05,904.3,914.84,901.61,901.94,384138
BLK,2025-05-06,892.1,905.11,888.26,896.49,482927
BLK,2025-05-07,899.11,906.31,896.36,901.77,547800
