symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BMNR,2024-08-27,9.32,11.56,9.32,11.56,15
BMNR,2024-09-05,9.54,11.0,9.54,11.0,10
BMNR,2024-09-06,9.24,11.0,9.24,11.0,15
BMNR,2024-09-11,9.32,9.32,8.92,9.23,36
BMNR,2024-09-13,10.75,10.75,10.75,10.75,10
BMNR,2024-09-18,10.65,10.65,10.65,10.65,50
BMNR,2024-09-19,10.96,10.96,10.96,10.96,5
BMNR,2024-09-23,10.8,10.8,10.8,10.8,5
BMNR,2024-09-26,8.92,8.92,8.92,8.92,10
BMNR,2024-09-30,8.92,8.92,8.92,8.92,20
BMNR,2024-10-01,8.92,8.92,6.69,6.69,250
BMNR,2024-10-07,7.52,8.0,7.52,8.0,25
BMNR,2024-10-09,4.0,8.79,4.0,8.79,60
BMNR,2024-10-14,4.0,4.0,2.0,2.42,13852
BMNR,2024-10-15,2.8,2.8,2.6,2.6,551
BMNR,2024-10-16,4.79,4.79,3.79,3.79,66
BMNR,2024-10-17,3.59,3.59,3.59,3.59,125
BMNR,2024-10-18,3.09,3.09,2.0,2.0,705
BMNR,2024-10-21,2.79,2.79,1.93,2.49,670
BMNR,2024-10-25,2.76,3.8,2.76,3.78,1037
BMNR,2024-10-29,3.0,4.0,3.0,3.65,551
BMNR,2024-10-30,4.0,4.2,4.0,4.0,492
BMNR,2024-11-01,4.94,4.94,4.0,4.0,150
BMNR,2024-11-06,4.0,4.0,4.0,4.0,10
BMNR,2024-11-08,5.6,6.0,5.6,6.0,62
BMNR,2024-11-11,6.0,6.0,4.2,4.2,105
BMNR,2024-11-12,6.0,6.88,6.0,6.88,256
BMNR,2024-11-14,5.0,6.8,5.0,6.8,70
BMNR,2024-11-15,6.6,6.8,6.0,6.0,165
BMNR,2024-11-18,6.44,7.76,6.0,7.35,544
BMNR,2024-11-21,6.0,7.2,6.0,7.2,54
BMNR,2024-11-22,4.8,7.6,4.8,6.0,1040
BMNR,2024-11-25,7.8,7.8,7.0,7.0,727
BMNR,2024-11-29,7.4,7.4,7.4,7.4,15
BMNR,2024-12-02,7.18,7.3,7.0,7.3,77
BMNR,2024-12-03,7.2,7.2,7.2,7.2,45
BMNR,2024-12-05,7.0,7.0,7.0,7.0,25
BMNR,2024-12-06,7.8,7.8,7.0,7.0,368
BMNR,2024-12-09,7.2,8.0,5.59,7.9,1389
BMNR,2024-12-10,7.4,8.0,7.4,7.93,3027
BMNR,2024-12-11,6.46,12.0,6.46,10.8,10737
BMNR,2024-12-12,11.85,13.6,9.8,11.67,6306
BMNR,2024-12-13,10.4,11.1,9.0,9.0,1714
BMNR,2024-12-16,11.0,13.4,9.0,10.8,4587
BMNR,2024-12-17,10.8,11.2,10.15,10.3,1082
BMNR,2024-12-18,11.0,11.0,6.33,6.33,3989
BMNR,2024-12-19,7.6,9.8,7.6,8.8,2393
BMNR,2024-12-20,8.2,8.8,8.2,8.2,150
BMNR,2024-12-23,6.82,7.6,6.82,7.0,1020
BMNR,2024-12-24,6.62,9.25,6.62,8.36,286
BMNR,2024-12-26,8.24,8.24,8.24,8.24,25
BMNR,2024-12-27,8.1,8.1,8.1,8.1,25
BMNR,2024-12-30,8.1,8.1,6.96,6.96,160
BMNR,2024-12-31,7.8,7.8,7.8,7.8,14
BMNR,2025-01-02,8.2,8.2,7.0,7.0,1050
BMNR,2025-01-03,9.8,9.99,6.17,7.6,625
BMNR,2025-01-06,6.61,7.0,6.61,7.0,25
BMNR,2025-01-07,6.15,7.6,5.64,6.08,1258
BMNR,2025-01-08,6.15,6.15,6.0,6.0,691
BMNR,2025-01-10,6.05,6.15,5.97,5.97,457
BMNR,2025-01-13,5.77,6.03,5.77,6.03,108
BMNR,2025-01-14,6.15,6.15,6.0,6.15,440
BMNR,2025-01-15,6.15,6.15,6.04,6.08,349
BMNR,2025-01-16,6.15,6.15,6.0,6.0,112
BMNR,2025-01-17,6.15,6.15,6.0,6.0,1518
BMNR,2025-01-21,6.2,6.2,6.2,6.2,506
BMNR,2025-01-22,6.65,7.78,6.6,7.39,245
BMNR,2025-01-23,6.2,6.2,6.2,6.2,215
BMNR,2025-01-24,6.2,6.2,6.2,6.2,10
BMNR,2025-01-28,6.4,6.4,6.0,6.0,273
BMNR,2025-01-29,5.28,6.0,4.46,5.74,2022
BMNR,2025-01-30,4.65,6.52,4.65,6.52,236
BMNR,2025-01-31,6.2,7.0,6.0,7.0,743
BMNR,2025-02-03,5.92,7.72,5.92,7.72,19
BMNR,2025-02-04,6.0,7.38,6.0,7.38,425
BMNR,2025-02-05,7.7,7.7,7.5,7.5,279
BMNR,2025-02-06,7.38,7.56,6.4,6.4,190
BMNR,2025-02-07,7.2,7.7,7.0,7.0,954
BMNR,2025-02-10,6.72,6.72,6.72,6.72,84
BMNR,2025-02-11,6.4,6.4,6.4,6.4,10
BMNR,2025-02-12,7.37,7.37,7.37,7.37,5
BMNR,2025-02-13,7.7,7.7,7.05,7.05,250
BMNR,2025-02-14,6.72,6.72,6.4,6.4,60
BMNR,2025-02-18,6.6,6.6,6.6,6.6,20
BMNR,2025-02-19,6.4,7.3,5.12,7.3,1174
BMNR,2025-02-20,6.25,7.02,4.56,7.02,527
BMNR,2025-02-21,6.46,6.46,6.46,6.46,5
BMNR,2025-02-24,5.2,7.3,5.2,7.3,418
BMNR,2025-02-25,6.2,6.2,5.2,5.2,500
BMNR,2025-02-27,5.63,5.63,5.63,5.63,50
BMNR,2025-03-03,5.4,5.4,5.4,5.4,63
BMNR,2025-03-04,5.4,5.4,5.4,5.4,5
BMNR,2025-03-05,7.72,7.72,7.72,7.72,10
BMNR,2025-03-06,7.0,7.0,7.0,7.0,5
BMNR,2025-03-10,5.6,5.6,5.6,5.6,162
BMNR,2025-03-11,5.2,7.6,5.2,7.6,135
BMNR,2025-03-12,5.04,7.6,5.04,7.6,16
BMNR,2025-03-13,5.6,7.6,5.6,7.6,310
BMNR,2025-03-14,7.6,10.8,6.87,10.4,2143
BMNR,2025-03-17,10.4,10.8,9.0,10.8,275
BMNR,2025-03-18,6.61,7.02,6.61,7.02,425
BMNR,2025-03-19,10.8,10.8,6.6,9.8,875
BMNR,2025-03-20,9.79,9.96,8.0,9.56,30
BMNR,2025-03-21,8.0,9.56,6.8,6.8,260
BMNR,2025-03-24,9.39,9.39,9.39,9.39,15
BMNR,2025-03-26,7.8,8.4,7.2,8.4,270
BMNR,2025-03-27,7.0,7.0,7.0,7.0,150
BMNR,2025-03-28,6.6,8.35,6.6,8.0,289
BMNR,2025-03-31,6.8,8.8,6.6,8.8,810
BMNR,2025-04-02,7.2,7.2,7.2,7.2,5
BMNR,2025-04-03,7.4,8.8,7.4,8.4,730
BMNR,2025-04-07,8.0,8.0,7.2,7.2,30
BMNR,2025-04-08,7.4,7.4,6.6,6.6,851
BMNR,2025-04-09,6.8,7.8,6.8,7.2,318
BMNR,2025-04-10,8.0,8.0,8.0,8.0,210
BMNR,2025-04-22,7.0,8.0,6.8,6.8,255
BMNR,2025-04-23,7.7,7.7,7.7,7.7,5
BMNR,2025-04-25,7.7,8.0,7.7,8.0,415
BMNR,2025-04-28,7.6,8.0,7.6,8.0,535
BMNR,2025-04-29,8.0,8.0,7.8,7.8,375
BMNR,2025-04-30,7.2,7.2,6.8,6.8,205
BMNR,2025-05-01,7.6,7.6,6.8,6.8,15
BMNR,2025-05-02,7.0,7.8,6.8,7.8,490
BMNR,2025-05-05,8.2,8.2,5.0,8.2,30
BMNR,2025-05-06,8.2,8.4,8.2,8.4,505
BMNR,2025-05-07,5.34,9.44,5.34,8.56,546
BMNR,2025-05-08,7.34,8.0,5.36,7.0,1036
BMNR,2025-05-09,7.0,7.6,7.0,7.6,260
BMNR,2025-05-12,8.0,9.0,8.0,9.0,1249
BMNR,2025-05-13,8.25,8.75,8.2,8.2,122
BMNR,2025-05-14,8.0,8.2,8.0,8.0,1185
BMNR,2025-05-15,5.25,8.0,5.25,8.0,376
BMNR,2025-05-30,12.0,15.0,12.0,15.0,468
BMNR,2025-06-02,16.47,16.63,13.25,13.42,2873
BMNR,2025-06-03,14.01,16.0,12.5,13.5,5091
BMNR,2025-06-04,14.81,21.99,14.81,18.99,15050
BMNR,2025-06-05,7.25,7.89,6.8,7.75,877052
BMNR,2025-06-06,7.35,7.69,6.31,7.55,241335
BMNR,2025-06-09,7.53,7.62,6.36,6.89,286471
BMNR,2025-06-10,7.08,7.1,6.67,6.75,47138
BMNR,2025-06-11,6.75,6.95,6.3,6.3,44843
BMNR,2025-06-12,6.55,6.55,5.55,5.61,103876
BMNR,2025-06-13,5.51,5.51,4.82,4.96,113593
BMNR,2025-06-16,4.86,5.23,4.5,4.75,70414
BMNR,2025-06-17,4.72,5.0,4.6,4.82,105868
BMNR,2025-06-18,4.51,4.92,4.4,4.7,52470
BMNR,2025-06-20,4.81,4.81,4.45,4.61,54185
BMNR,2025-06-23,4.46,4.62,4.37,4.4,67475
BMNR,2025-06-24,4.4,4.79,4.37,4.42,45943
BMNR,2025-06-25,4.35,4.65,4.3,4.37,12245
BMNR,2025-06-26,4.39,4.58,3.92,4.42,26909
BMNR,2025-06-27,4.45,4.57,4.07,4.26,26994
BMNR,2025-06-30,15.0,34.35,12.38,33.89,110196702
BMNR,2025-07-01,51.99,74.78,41.21,45.99,47104915
BMNR,2025-07-02,51.52,63.56,41.49,58.48,24770405
BMNR,2025-07-03,57.26,160.95,54.98,134.96,37559900
BMNR,2025-07-07,105.55,124.55,92.47,107.45,18875606
BMNR,2025-07-08,115.73,134.44,110.81,111.47,16378706
BMNR,2025-07-09,120.95,125.96,56.99,66.7,22549000
BMNR,2025-07-10,57.32,58.99,43.59,46.0,14756047
BMNR,2025-07-11,52.06,52.19,38.01,40.61,9386300
BMNR,2025-07-14,47.39,58.99,40.26,41.01,28576700
BMNR,2025-07-15,42.96,43.97,39.09,39.95,12653300
BMNR,2025-07-16,47.87,51.67,44.11,44.79,44729799
BMNR,2025-07-17,48.19,48.58,40.09,41.89,28308440
BMNR,2025-07-18,47.02,47.99,41.14,42.34,32630215
BMNR,2025-07-21,44.99,46.82,39.15,39.56,34070344
BMNR,2025-07-22,41.52,42.65,37.09,40.32,27210913
BMNR,2025-07-23,41.49,42.18,38.54,39.49,22067200
BMNR,2025-07-24,40.44,45.69,38.29,41.74,50727700
BMNR,2025-07-25,41.22,42.18,38.76,39.79,29196800
BMNR,2025-07-28,41.48,41.48,34.38,35.1,48779532
BMNR,2025-07-29,32.29,34.51,30.59,31.99,49105000
BMNR,2025-07-30,33.03,36.71,32.73,34.39,39294610
