symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BR,2024-08-27,203.04,205.15,203.04,204.14,659206
BR,2024-08-28,204.65,206.82,204.13,205.53,488222
BR,2024-08-29,206.05,207.11,204.42,206.03,352700
BR,2024-08-30,207.3,207.31,204.08,206.76,646300
BR,2024-09-03,205.08,206.81,204.56,205.39,637900
BR,2024-09-04,205.38,206.29,204.16,205.87,754600
BR,2024-09-05,206.0,206.54,202.85,204.81,700000
BR,2024-09-06,204.28,204.94,201.02,201.64,632306
BR,2024-09-09,202.18,205.54,202.18,204.62,455400
BR,2024-09-10,205.27,208.34,204.27,208.02,769000
BR,2024-09-11,206.65,206.84,202.06,205.2,518300
BR,2024-09-12,204.93,206.48,203.45,205.35,384845
BR,2024-09-13,205.52,207.02,205.23,206.74,366500
BR,2024-09-16,207.39,208.96,205.46,206.44,292900
BR,2024-09-17,206.52,208.02,205.29,205.77,374002
BR,2024-09-18,205.91,207.47,203.35,203.46,532800
BR,2024-09-19,205.35,205.39,202.18,203.85,913700
BR,2024-09-20,203.27,204.06,202.11,203.1,1172574
BR,2024-09-23,203.84,205.53,203.17,205.47,382900
BR,2024-09-24,205.0,206.16,203.75,205.35,320500
BR,2024-09-25,206.23,206.23,203.03,203.25,356200
BR,2024-09-26,203.77,206.87,203.28,206.54,757545
BR,2024-09-27,207.05,209.02,205.79,206.82,613700
BR,2024-09-30,206.39,209.96,206.39,209.74,725205
BR,2024-10-01,209.76,210.26,207.06,209.41,556200
BR,2024-10-02,208.36,210.51,206.87,208.49,499244
BR,2024-10-03,207.97,209.88,207.14,209.71,393220
BR,2024-10-04,210.07,210.84,207.88,210.04,341319
BR,2024-10-07,208.32,210.58,207.96,209.89,389822
BR,2024-10-08,210.76,212.08,209.63,211.48,636642
BR,2024-10-09,212.52,215.39,212.16,214.31,364100
BR,2024-10-10,213.19,213.86,210.86,211.5,419400
BR,2024-10-11,212.28,217.32,212.28,215.31,591300
BR,2024-10-14,215.56,217.05,214.88,216.06,334100
BR,2024-10-15,216.82,218.81,215.28,216.3,411215
BR,2024-10-16,215.72,217.32,213.59,213.84,412200
BR,2024-10-17,214.51,215.04,211.93,212.88,409000
BR,2024-10-18,213.34,214.01,212.3,213.71,288600
BR,2024-10-21,212.74,214.0,211.91,213.43,421904
BR,2024-10-22,212.64,213.04,210.96,211.57,323400
BR,2024-10-23,211.42,213.07,210.34,211.04,230635
BR,2024-10-24,210.79,212.43,209.51,211.43,454938
BR,2024-10-25,212.18,212.2,207.43,208.77,271100
BR,2024-10-28,209.84,210.8,207.68,208.45,378500
BR,2024-10-29,208.33,209.95,207.41,207.43,447020
BR,2024-10-30,209.29,210.24,207.09,207.27,456526
BR,2024-10-31,206.1,207.3,204.36,205.67,610913
BR,2024-11-01,206.03,207.39,204.67,205.04,525248
BR,2024-11-04,205.58,206.25,203.97,204.48,653949
BR,2024-11-05,203.46,213.12,203.08,212.93,651590
BR,2024-11-06,219.64,219.75,210.99,214.06,753800
BR,2024-11-07,214.73,216.69,213.0,215.74,433939
BR,2024-11-08,216.12,220.6,216.12,219.67,466100
BR,2024-11-11,220.45,222.45,219.62,220.65,536500
BR,2024-11-12,221.36,223.12,220.42,221.28,500300
BR,2024-11-13,220.78,224.35,220.78,223.38,434100
BR,2024-11-14,223.18,223.55,220.77,221.96,562307
BR,2024-11-15,221.55,223.99,220.39,222.18,583317
BR,2024-11-18,221.68,223.7,221.27,221.5,418100
BR,2024-11-19,219.94,221.29,218.47,219.31,382900
BR,2024-11-20,219.32,220.47,216.55,219.85,457418
BR,2024-11-21,221.13,223.07,219.43,221.88,974932
BR,2024-11-22,223.65,224.65,221.61,224.58,943602
BR,2024-11-25,225.99,228.68,224.29,227.49,815534
BR,2024-11-26,228.42,230.69,226.84,230.63,655851
BR,2024-11-27,230.82,231.89,229.76,230.0,361709
BR,2024-11-29,230.24,231.12,229.1,230.22,253044
BR,2024-12-02,230.42,230.42,227.33,228.49,334807
BR,2024-12-03,228.07,228.83,224.29,226.51,432184
BR,2024-12-04,226.18,228.35,225.2,227.2,483605
BR,2024-12-05,226.25,230.3,225.01,230.11,594430
BR,2024-12-06,230.48,232.11,229.58,229.64,389430
BR,2024-12-09,228.8,230.31,226.43,227.83,423587
BR,2024-12-10,228.14,230.28,224.39,230.1,342900
BR,2024-12-11,230.98,231.19,229.27,229.8,361527
BR,2024-12-12,230.57,230.86,228.73,230.09,321326
BR,2024-12-13,230.01,230.52,228.32,228.64,366702
BR,2024-12-16,228.99,229.67,226.6,227.07,372053
BR,2024-12-17,227.02,228.69,224.47,224.88,680500
BR,2024-12-18,224.12,226.51,218.2,218.42,500245
BR,2024-12-19,218.62,220.98,218.55,219.49,474832
BR,2024-12-20,218.24,223.32,217.91,221.28,1191499
BR,2024-12-23,220.29,220.71,218.43,219.79,306819
BR,2024-12-24,220.41,222.71,219.93,222.58,113800
BR,2024-12-26,221.18,223.25,220.79,222.98,301800
BR,2024-12-27,221.49,223.15,220.18,221.63,231400
BR,2024-12-30,219.71,221.6,217.25,220.78,389700
BR,2024-12-31,220.88,222.38,220.43,221.36,316105
BR,2025-01-02,221.74,223.37,220.37,222.08,626947
BR,2025-01-03,221.27,225.15,221.15,224.43,553400
BR,2025-01-06,223.46,224.89,220.22,220.72,524948
BR,2025-01-07,221.32,223.17,220.52,221.59,627128
