symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BX,2024-12-06,178.18,179.53,177.35,177.68,2361371
BX,2024-12-09,180.32,181.94,175.15,176.11,3376855
BX,2024-12-10,176.3,182.06,175.76,180.12,3786600
BX,2024-12-11,182.29,184.33,181.52,182.82,3556215
BX,2024-12-12,181.48,181.83,178.38,180.81,2829541
BX,2024-12-13,181.0,182.59,178.85,179.03,3658236
BX,2024-12-16,179.77,180.21,178.44,179.06,2945643
BX,2024-12-17,177.81,178.16,173.83,173.98,4278514
BX,2024-12-18,173.79,174.83,163.09,163.14,5063000
BX,2024-12-19,165.56,165.89,160.1,160.49,7803788
BX,2024-12-20,158.82,164.63,157.77,162.32,10917100
BX,2024-12-23,161.69,164.16,160.7,163.6,3299300
BX,2024-12-24,164.71,167.68,163.6,166.93,1584719
BX,2024-12-26,165.56,168.3,165.56,167.66,1438642
BX,2024-12-27,165.96,167.49,164.06,165.33,3124435
BX,2024-12-30,163.34,164.32,160.76,163.47,1899172
BX,2024-12-31,164.49,164.93,162.89,163.82,2181300
BX,2025-01-02,164.49,166.24,162.5,165.09,2393034
BX,2025-01-03,166.28,167.36,164.79,167.14,1600698
BX,2025-01-06,169.11,169.64,165.83,166.07,2203306
BX,2025-01-07,166.28,167.25,160.07,162.8,2729212
BX,2025-01-08,162.38,165.52,161.53,165.3,2237200
BX,2025-01-10,163.11,163.11,156.54,156.63,5078143
BX,2025-01-13,154.06,157.72,152.71,157.5,3275000
BX,2025-01-14,158.55,162.24,157.88,160.88,2687020
BX,2025-01-15,167.92,168.62,165.68,166.41,3437928
BX,2025-01-16,166.65,168.58,165.87,167.91,3061871
BX,2025-01-17,169.19,171.12,168.82,170.98,3442219
BX,2025-01-21,172.78,173.75,171.78,172.47,3221246
BX,2025-01-22,172.61,174.3,170.48,173.66,3042600
BX,2025-01-23,173.43,176.38,173.37,176.27,2147199
BX,2025-01-24,175.67,178.58,175.67,177.43,2326245
BX,2025-01-27,172.74,173.8,170.36,173.42,4110974
BX,2025-01-28,172.77,177.21,171.48,176.34,2514200
BX,2025-01-29,175.78,178.4,175.3,176.14,3086200
BX,2025-01-30,178.63,179.44,167.33,168.92,5636400
BX,2025-01-31,171.76,172.45,167.8,168.28,3010311
BX,2025-02-03,163.84,166.73,161.76,164.89,2941926
BX,2025-02-04,165.12,166.91,160.91,162.31,3849057
BX,2025-02-05,162.97,166.33,160.57,166.13,3228487
BX,2025-02-06,167.75,168.92,163.63,165.85,3302585
BX,2025-02-07,165.6,166.32,160.73,161.78,4117044
BX,2025-02-10,163.46,165.46,159.42,161.57,2333678
BX,2025-02-11,159.58,160.49,155.95,157.9,3807884
BX,2025-02-12,155.09,155.3,152.88,154.17,4877773
BX,2025-02-13,155.01,156.19,151.84,153.78,4752238
BX,2025-02-14,154.99,158.92,154.51,157.95,4179514
BX,2025-02-18,157.98,160.46,157.96,159.78,3788303
BX,2025-02-19,158.96,160.96,158.08,159.88,3162815
BX,2025-02-20,159.88,160.6,155.18,157.05,3199310
BX,2025-02-21,158.1,158.25,151.15,151.76,4663300
BX,2025-02-24,152.87,153.47,148.51,150.51,2839600
BX,2025-02-25,151.23,151.46,146.76,150.66,4873025
BX,2025-02-26,151.77,155.22,151.4,152.8,2938100
BX,2025-02-27,153.24,154.91,150.75,150.82,2736734
BX,2025-02-28,151.27,154.59,150.24,154.43,4300686
BX,2025-03-03,155.54,156.83,150.64,151.91,3267200
BX,2025-03-04,149.6,149.67,141.63,144.43,7624300
BX,2025-03-05,145.51,146.42,142.52,145.69,4687281
BX,2025-03-06,142.43,143.44,138.57,139.55,5482234
BX,2025-03-07,139.18,139.83,133.05,139.09,6477237
BX,2025-03-10,136.01,136.88,130.99,133.55,6826039
BX,2025-03-11,133.72,135.24,132.0,132.37,6254400
BX,2025-03-12,136.31,137.59,133.1,134.67,4834900
BX,2025-03-13,135.37,135.38,129.94,130.83,4877529
BX,2025-03-14,133.48,135.81,131.66,135.01,5222900
BX,2025-03-17,135.23,143.1,135.23,141.61,5202332
BX,2025-03-18,141.6,142.44,138.58,140.08,3362909
BX,2025-03-19,139.95,144.49,138.18,143.47,4050870
BX,2025-03-20,141.83,144.65,141.74,142.54,3132208
BX,2025-03-21,140.51,142.99,139.61,142.1,8381450
BX,2025-03-24,144.7,146.63,142.3,145.73,3072932
BX,2025-03-25,145.75,146.78,142.96,144.89,3782498
BX,2025-03-26,143.73,144.69,139.85,140.53,3523965
BX,2025-03-27,139.7,139.79,137.2,138.46,2993909
BX,2025-03-28,137.2,137.86,131.92,132.34,4999822
BX,2025-03-31,130.22,135.02,127.66,133.94,5797406
BX,2025-04-01,134.27,137.25,132.84,136.84,4039503
BX,2025-04-02,134.4,142.36,134.4,141.49,4064328
BX,2025-04-03,131.76,134.15,127.16,127.54,11369111
BX,2025-04-04,122.75,123.55,114.24,119.82,13062203
BX,2025-04-07,115.14,125.29,110.83,119.44,13461331
BX,2025-04-08,125.52,126.69,112.91,115.05,11546100
BX,2025-04-09,114.04,133.74,112.27,131.62,11512800
BX,2025-04-10,127.67,128.41,118.25,122.13,9237000
BX,2025-04-11,120.66,123.23,118.16,121.87,7806900
BX,2025-04-14,125.39,126.58,122.98,125.02,6846007
BX,2025-04-15,124.98,129.45,124.48,127.96,6224239
BX,2025-04-16,125.94,127.2,121.82,123.98,5767300
BX,2025-04-17,126.48,126.96,123.26,124.94,4577000
BX,2025-04-21,121.7,122.34,113.7,115.2,6702647
BX,2025-04-22,116.81,120.39,116.48,119.69,5083816
BX,2025-04-23,125.53,128.88,121.22,121.7,5621102
BX,2025-04-24,122.24,130.12,121.72,128.93,6577400
BX,2025-04-25,127.95,129.24,126.47,127.31,4663700
BX,2025-04-28,128.31,131.01,127.5,128.9,3609000
BX,2025-04-29,127.62,129.06,126.29,128.86,2270587
BX,2025-04-30,125.31,127.44,122.44,127.09,5751600
BX,2025-05-01,127.84,131.08,126.38,128.72,4007194
BX,2025-05-02,131.37,134.49,130.53,132.6,4969600
BX,2025-05-05,131.08,133.48,130.79,131.34,2640840
BX,2025-05-06,128.37,131.07,128.16,129.3,2864000
BX,2025-05-07,129.55,132.01,129.55,131.37,3032346
BX,2025-05-08,133.43,137.22,132.7,134.91,4853000
BX,2025-05-09,135.5,137.2,134.1,134.51,3114283
BX,2025-05-12,143.54,146.67,141.4,143.78,6669123
BX,2025-05-13,143.94,145.52,142.79,143.39,3474137
BX,2025-05-14,143.68,144.74,142.45,143.22,2247908
BX,2025-05-15,142.45,142.67,140.19,141.61,3397040
BX,2025-05-16,142.37,142.37,140.25,141.56,3790545
BX,2025-05-19,138.07,140.78,137.46,140.35,3181200
BX,2025-05-20,138.96,139.93,138.1,139.15,4566209
BX,2025-05-21,137.04,137.81,132.24,132.67,4588100
BX,2025-05-22,132.12,133.04,130.94,132.13,3856800
BX,2025-05-23,128.82,132.46,128.58,131.35,2613900
BX,2025-05-27,133.17,134.68,132.2,134.42,3448300
BX,2025-05-28,134.82,135.02,133.24,133.56,2228815
BX,2025-05-29,135.03,135.03,132.62,134.01,2208800
BX,2025-05-30,133.32,134.02,131.29,133.9,6191200
BX,2025-06-02,133.33,134.21,131.42,133.95,3007800
