symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
BXMT,2024-12-05,16.25,16.33,16.04,16.07,827850
BXMT,2024-12-06,16.15,16.25,16.06,16.14,902475
BXMT,2024-12-09,16.22,16.45,16.2,16.25,959800
BXMT,2024-12-10,16.28,16.32,16.03,16.31,1743600
BXMT,2024-12-11,16.49,16.77,16.38,16.56,1810353
BXMT,2024-12-12,16.36,16.63,16.34,16.6,1318413
BXMT,2024-12-13,16.61,16.66,16.42,16.61,1243900
BXMT,2024-12-16,16.48,16.62,16.46,16.46,916366
BXMT,2024-12-17,16.38,16.46,15.95,16.06,1613100
BXMT,2024-12-18,16.1,16.23,15.3,15.35,1849806
BXMT,2024-12-19,15.4,15.67,15.26,15.27,2114061
BXMT,2024-12-20,15.22,15.7,15.12,15.63,3158517
BXMT,2024-12-23,15.54,15.61,15.42,15.52,1170804
BXMT,2024-12-24,15.46,15.77,15.41,15.75,638330
BXMT,2024-12-26,15.66,15.75,15.57,15.6,855000
BXMT,2024-12-27,15.57,15.67,15.33,15.42,1729500
BXMT,2024-12-30,15.3,15.35,15.09,15.25,2760668
BXMT,2024-12-31,15.29,15.51,15.15,15.4,2511366
BXMT,2025-01-02,15.53,15.75,15.45,15.72,1762540
BXMT,2025-01-03,15.77,15.97,15.72,15.96,1925962
BXMT,2025-01-06,15.93,16.02,15.79,15.83,1793903
BXMT,2025-01-07,15.79,15.96,15.62,15.69,1630100
BXMT,2025-01-08,15.62,15.69,15.48,15.53,2177013
BXMT,2025-01-10,15.34,15.35,14.79,15.17,3947000
BXMT,2025-01-13,15.04,15.45,14.87,15.39,1708400
BXMT,2025-01-14,15.43,15.91,15.43,15.86,1907800
BXMT,2025-01-15,16.29,16.42,15.94,16.07,2136200
BXMT,2025-01-16,16.03,16.23,15.94,16.21,1223709
BXMT,2025-01-17,16.36,16.43,16.19,16.3,1295016
BXMT,2025-01-21,16.3,16.37,16.0,16.15,1195052
BXMT,2025-01-22,16.1,16.14,15.62,15.68,1829800
BXMT,2025-01-23,15.68,15.79,15.53,15.57,1175738
BXMT,2025-01-24,15.54,15.83,15.54,15.73,1073148
BXMT,2025-01-27,15.7,16.12,15.61,16.12,1633154
BXMT,2025-01-28,16.06,16.19,15.85,15.87,970500
BXMT,2025-01-29,15.83,16.02,15.59,15.68,746619
BXMT,2025-01-30,15.86,16.15,15.72,15.95,1871900
BXMT,2025-01-31,16.03,16.14,15.78,15.92,1065500
BXMT,2025-02-03,15.59,15.94,15.54,15.86,1059100
BXMT,2025-02-04,15.89,16.4,15.77,16.36,1282600
BXMT,2025-02-05,16.36,16.51,16.31,16.47,1087000
BXMT,2025-02-06,16.58,16.72,16.53,16.72,1707981
BXMT,2025-02-07,16.66,16.69,16.36,16.55,1096825
BXMT,2025-02-10,16.54,16.54,16.27,16.48,1088281
BXMT,2025-02-11,16.46,16.77,16.45,16.75,2653722
BXMT,2025-02-12,16.39,17.41,16.38,17.01,3269902
BXMT,2025-02-13,17.16,17.7,17.03,17.58,2521232
BXMT,2025-02-14,17.7,18.02,17.63,17.99,3296897
BXMT,2025-02-18,17.92,18.28,17.88,18.16,2406176
BXMT,2025-02-19,18.0,18.34,17.95,18.27,2226100
BXMT,2025-02-20,18.36,18.66,18.16,18.2,2450146
BXMT,2025-02-21,18.42,18.43,17.71,17.91,2144823
BXMT,2025-02-24,17.9,18.25,17.9,18.08,1553400
BXMT,2025-02-25,17.95,18.13,17.57,18.01,2004200
BXMT,2025-02-26,18.06,18.26,18.01,18.18,1459038
BXMT,2025-02-27,18.26,18.34,18.07,18.07,1423542
BXMT,2025-02-28,18.07,18.42,18.05,18.38,1404211
BXMT,2025-03-03,18.35,18.39,17.82,17.87,2424300
BXMT,2025-03-04,17.66,17.93,17.58,17.77,1821308
BXMT,2025-03-05,17.77,17.91,17.58,17.73,1167098
BXMT,2025-03-06,17.62,17.71,17.41,17.58,1027144
BXMT,2025-03-07,17.56,18.19,17.56,18.07,1453945
BXMT,2025-03-10,18.07,18.41,17.87,17.99,2108931
BXMT,2025-03-11,18.05,18.24,17.75,17.89,1876734
BXMT,2025-03-12,18.0,18.1,17.79,17.99,1531554
BXMT,2025-03-13,18.12,18.35,17.58,17.77,2051310
BXMT,2025-03-14,18.01,18.27,17.85,18.23,1193409
BXMT,2025-03-17,18.26,18.51,18.16,18.45,2014000
BXMT,2025-03-18,18.46,18.55,18.37,18.5,1807100
BXMT,2025-03-19,18.58,18.74,18.5,18.64,1897500
BXMT,2025-03-20,18.6,18.79,18.6,18.63,1466524
BXMT,2025-03-21,18.59,18.66,18.23,18.35,3148274
BXMT,2025-03-24,18.42,18.5,18.23,18.24,1169070
BXMT,2025-03-25,18.26,18.3,17.88,17.95,1498465
BXMT,2025-03-26,17.98,17.98,17.76,17.92,1060028
BXMT,2025-03-27,17.87,18.05,17.84,17.94,797343
BXMT,2025-03-28,17.93,18.05,17.48,17.57,1372678
BXMT,2025-03-31,17.6,18.16,17.42,18.12,1655000
BXMT,2025-04-01,18.12,18.33,17.93,18.03,1686288
BXMT,2025-04-02,17.9,18.15,17.82,18.01,1872617
BXMT,2025-04-03,17.46,17.95,17.35,17.49,2343100
BXMT,2025-04-04,17.16,17.16,16.41,16.63,3114100
BXMT,2025-04-07,15.95,17.11,15.56,16.09,4410300
BXMT,2025-04-08,16.56,16.7,15.47,15.56,2625424
BXMT,2025-04-09,15.43,16.72,14.96,16.59,3111037
BXMT,2025-04-10,16.24,16.28,15.38,15.77,2257817
BXMT,2025-04-11,15.57,15.95,15.15,15.89,3072514
BXMT,2025-04-14,16.21,16.54,16.01,16.4,1750074
BXMT,2025-04-15,16.33,16.75,16.33,16.63,1769903
BXMT,2025-04-16,16.56,16.63,16.25,16.39,1346700
BXMT,2025-04-17,16.4,16.7,16.4,16.63,920300
BXMT,2025-04-21,16.54,16.54,16.19,16.49,880214
BXMT,2025-04-22,16.73,17.03,16.58,17.01,1252600
BXMT,2025-04-23,17.4,17.52,16.99,17.05,1052700
BXMT,2025-04-24,17.14,17.15,16.89,16.94,976000
BXMT,2025-04-25,16.95,17.07,16.82,16.96,661630
BXMT,2025-04-28,17.0,17.38,16.97,17.25,1007900
BXMT,2025-04-29,17.18,17.29,16.98,17.18,1041009
BXMT,2025-04-30,17.08,17.37,16.64,17.26,1489416
BXMT,2025-05-01,17.29,17.41,17.05,17.19,1232613
BXMT,2025-05-02,17.3,17.44,17.13,17.35,1576100
BXMT,2025-05-05,17.32,17.44,17.09,17.14,1112600
BXMT,2025-05-06,17.04,17.19,16.85,16.94,1095200
BXMT,2025-05-07,16.94,17.15,16.9,17.0,816704
BXMT,2025-05-08,17.29,17.4,17.08,17.23,1513200
BXMT,2025-05-09,17.25,17.32,17.12,17.18,1697705
BXMT,2025-05-12,17.62,17.82,17.37,17.81,1090407
BXMT,2025-05-13,17.93,18.02,17.83,17.9,1078300
BXMT,2025-05-14,17.9,17.93,17.54,17.66,1333026
BXMT,2025-05-15,17.62,17.8,17.62,17.75,750570
BXMT,2025-05-16,17.8,17.85,17.69,17.79,1089791
BXMT,2025-05-19,17.49,17.66,17.49,17.66,768300
BXMT,2025-05-20,17.51,17.66,17.5,17.53,717431
BXMT,2025-05-21,17.34,17.53,16.78,16.81,1579340
BXMT,2025-05-22,16.76,17.11,16.51,16.93,1219245
BXMT,2025-05-23,16.71,17.1,16.71,16.97,983341
BXMT,2025-05-27,17.17,17.23,16.92,17.2,1035640
BXMT,2025-05-28,17.16,17.31,17.07,17.07,1061410
BXMT,2025-05-29,17.22,17.32,17.06,17.31,839533
BXMT,2025-05-30,17.27,17.27,17.04,17.12,1585200
BXMT,2025-06-02,16.94,17.05,16.8,16.83,1157400
BXMT,2025-06-03,16.77,17.12,16.64,17.02,1072500
BXMT,2025-06-04,17.03,17.09,16.92,16.99,722600
BXMT,2025-06-05,16.99,17.15,16.95,17.06,784100
BXMT,2025-06-06,17.22,17.28,17.1,17.23,736600
BXMT,2025-06-09,17.25,17.56,17.18,17.43,1081434
BXMT,2025-06-10,17.57,17.72,17.44,17.61,936099
BXMT,2025-06-11,17.69,17.78,17.61,17.64,767600
BXMT,2025-06-12,17.56,17.72,17.52,17.66,752100
BXMT,2025-06-13,17.49,17.57,17.29,17.33,924500
BXMT,2025-06-16,17.56,17.65,17.4,17.43,1043537
BXMT,2025-06-17,17.29,17.54,17.24,17.24,1727803
BXMT,2025-06-18,17.22,17.66,17.22,17.51,1964516
BXMT,2025-06-20,17.67,17.68,17.22,17.52,3836128
BXMT,2025-06-23,17.47,17.73,17.37,17.71,1337214
BXMT,2025-06-24,17.87,18.1,17.84,17.89,1432725
BXMT,2025-06-25,17.85,18.04,17.74,17.75,1222584
BXMT,2025-06-26,17.88,18.0,17.79,17.93,1206900
BXMT,2025-06-27,17.95,18.08,17.74,17.88,2976625
BXMT,2025-06-30,17.88,18.03,17.7,17.87,1386810
BXMT,2025-07-01,17.87,18.34,17.83,18.18,940800
BXMT,2025-07-02,18.16,18.45,18.16,18.42,1012900
BXMT,2025-07-03,18.43,18.6,18.38,18.41,497500
BXMT,2025-07-07,18.25,18.35,18.03,18.05,818200
BXMT,2025-07-08,18.06,18.42,18.06,18.24,996100
BXMT,2025-07-09,18.27,18.4,18.25,18.38,640300
BXMT,2025-07-10,18.37,18.78,18.36,18.68,907981
BXMT,2025-07-11,18.57,18.59,18.44,18.49,749400
BXMT,2025-07-14,18.5,18.68,18.45,18.5,901913
BXMT,2025-07-15,18.52,18.56,18.24,18.27,1093604
BXMT,2025-07-16,18.29,18.48,18.14,18.31,1175627
BXMT,2025-07-17,18.23,18.29,17.99,18.07,1712439
BXMT,2025-07-18,18.22,18.32,17.77,17.86,1346721
BXMT,2025-07-21,17.99,18.04,17.79,17.84,1003537
BXMT,2025-07-22,17.77,18.15,17.77,18.04,886907
BXMT,2025-07-23,18.13,18.33,18.08,18.21,1057836
BXMT,2025-07-24,18.09,18.46,18.06,18.15,1044405
BXMT,2025-07-25,18.14,18.25,18.05,18.21,935502
BXMT,2025-07-28,18.22,18.22,17.91,17.91,968775
BXMT,2025-07-29,17.97,18.05,17.86,17.99,1026816
BXMT,2025-07-30,17.68,18.02,17.3,17.31,1974801
BXMT,2025-07-31,17.09,17.25,16.93,17.16,1920533
BXMT,2025-08-01,17.12,17.45,17.12,17.31,1983700
BXMT,2025-08-04,17.32,17.6,17.19,17.55,943448
BXMT,2025-08-05,17.49,17.58,17.38,17.53,903100
BXMT,2025-08-06,17.57,17.57,17.25,17.32,1064653
BXMT,2025-08-07,17.46,17.55,17.32,17.44,773826
BXMT,2025-08-08,17.48,17.58,17.38,17.53,844500
BXMT,2025-08-11,17.57,17.59,17.21,17.27,1217187
BXMT,2025-08-12,17.38,17.64,17.38,17.64,965766
BXMT,2025-08-13,17.66,17.98,17.65,17.97,1253072
BXMT,2025-08-14,17.78,17.8,17.57,17.69,709800
BXMT,2025-08-15,17.71,17.78,17.46,17.52,1068600
BXMT,2025-08-18,17.51,17.54,17.28,17.33,820926
BXMT,2025-08-19,17.38,17.63,17.35,17.56,873122
BXMT,2025-08-20,17.58,17.71,17.52,17.62,643546
BXMT,2025-08-21,17.5,17.55,17.38,17.43,548442
BXMT,2025-08-22,17.46,18.15,17.45,18.12,1273111
BXMT,2025-08-25,18.07,18.13,17.94,17.94,822521
BXMT,2025-08-26,17.87,18.08,17.75,18.01,896645
BXMT,2025-08-27,17.95,18.16,17.94,18.04,631145
BXMT,2025-08-28,18.09,18.09,17.92,18.03,618100
BXMT,2025-08-29,18.01,18.17,17.99,18.16,582600
BXMT,2025-09-02,17.89,18.04,17.79,17.97,913990
BXMT,2025-09-03,17.83,18.13,17.83,18.04,741600
BXMT,2025-09-04,18.14,18.4,17.95,18.37,634500
BXMT,2025-09-05,18.46,18.72,18.45,18.64,1028226
BXMT,2025-09-08,18.55,18.63,18.38,18.51,1111099
BXMT,2025-09-09,18.44,18.63,18.42,18.45,795149
BXMT,2025-09-10,18.45,18.65,18.39,18.48,1006227
