symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CAI,2025-06-18,27.0,29.4,25.56,28.0,15347900
CAI,2025-06-20,30.67,30.7,25.87,27.25,5300400
CAI,2025-06-23,26.6,27.09,25.65,25.94,2302900
CAI,2025-06-24,26.47,28.11,26.45,27.7,1767100
CAI,2025-06-25,27.5,28.0,26.1,26.43,934600
CAI,2025-06-26,26.44,27.24,26.34,26.75,698900
CAI,2025-06-27,26.52,26.98,26.31,26.81,536000
CAI,2025-06-30,26.5,26.89,26.33,26.72,972800
CAI,2025-07-01,26.5,27.09,25.94,26.51,884700
CAI,2025-07-02,26.5,26.73,25.92,26.72,467500
CAI,2025-07-03,26.8,26.8,25.8,26.54,499000
CAI,2025-07-07,26.02,26.56,25.4,26.53,630600
CAI,2025-07-08,26.23,27.03,26.01,26.29,714800
CAI,2025-07-09,26.46,27.31,26.09,27.24,408600
CAI,2025-07-10,26.53,27.03,26.37,26.62,197300
CAI,2025-07-11,26.45,26.75,26.27,26.51,355900
CAI,2025-07-14,26.83,28.2,26.75,27.72,572800
CAI,2025-07-15,28.32,29.08,27.7,28.91,630400
CAI,2025-07-16,29.54,31.41,28.68,31.4,910000
CAI,2025-07-17,33.37,33.41,30.47,31.28,835900
CAI,2025-07-18,31.95,31.95,29.07,30.19,692200
CAI,2025-07-21,30.2,32.05,28.17,28.29,738500
CAI,2025-07-22,28.33,30.36,28.01,30.29,785900
CAI,2025-07-23,30.41,31.03,29.68,30.03,331300
CAI,2025-07-24,30.03,30.43,29.16,29.49,189800
CAI,2025-07-25,29.6,29.79,28.93,29.54,177800
CAI,2025-07-28,30.14,30.14,26.97,27.06,733400
CAI,2025-07-29,27.57,28.2,27.06,27.52,409800
CAI,2025-07-30,28.12,29.76,27.7,29.5,714100
CAI,2025-07-31,29.16,29.52,28.0,28.08,415900
CAI,2025-08-01,27.8,28.35,27.26,28.04,402800
CAI,2025-08-04,27.97,29.5,27.18,29.49,529300
CAI,2025-08-05,29.08,30.5,28.86,30.3,479800
CAI,2025-08-06,30.03,30.2,28.33,28.95,462100
CAI,2025-08-07,28.72,28.72,27.41,28.59,520200
CAI,2025-08-08,28.98,29.9,27.65,29.75,521800
CAI,2025-08-11,30.0,31.29,28.22,30.21,756900
CAI,2025-08-12,30.08,33.5,29.74,32.46,1247700
CAI,2025-08-13,39.8,39.8,33.02,34.28,1833100
CAI,2025-08-14,34.0,37.62,33.34,36.99,1106600
CAI,2025-08-15,37.77,38.39,35.64,36.5,1154600
CAI,2025-08-18,37.66,37.72,34.67,35.95,710700
