symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CAR,2024-08-27,87.6,87.77,85.32,86.24,526722
CAR,2024-08-28,85.5,86.57,81.26,81.33,675224
CAR,2024-08-29,82.01,83.77,81.33,82.64,324664
CAR,2024-08-30,83.45,83.69,81.48,81.99,322300
CAR,2024-09-03,80.4,80.98,75.15,75.31,972747
CAR,2024-09-04,75.0,78.55,74.41,74.52,743600
CAR,2024-09-05,74.63,75.17,71.1,71.19,835400
CAR,2024-09-06,71.47,72.35,68.76,69.16,587238
CAR,2024-09-09,69.24,70.34,66.0,69.69,852524
CAR,2024-09-10,69.22,69.22,65.73,67.43,749732
CAR,2024-09-11,67.29,69.3,66.06,69.11,644340
CAR,2024-09-12,69.69,70.8,67.65,70.27,460400
CAR,2024-09-13,72.17,76.72,70.92,76.36,664217
CAR,2024-09-16,76.85,81.91,76.43,79.13,754507
CAR,2024-09-17,81.33,83.22,79.6,83.09,759700
CAR,2024-09-18,83.09,89.9,83.09,85.08,1061453
CAR,2024-09-19,88.04,89.11,85.59,87.23,681900
CAR,2024-09-20,86.41,87.4,85.39,85.9,838496
CAR,2024-09-23,86.89,87.92,85.57,86.53,448900
CAR,2024-09-24,88.54,90.82,86.74,87.16,417689
CAR,2024-09-25,86.73,86.8,82.21,82.35,679500
CAR,2024-09-26,84.89,87.67,84.56,85.62,655785
CAR,2024-09-27,87.12,89.88,85.78,87.59,815845
CAR,2024-09-30,86.62,88.54,86.39,87.59,386631
CAR,2024-10-01,87.5,87.5,84.36,85.85,474600
CAR,2024-10-02,84.84,88.64,83.59,86.67,461800
CAR,2024-10-03,85.55,86.11,82.93,83.86,361132
CAR,2024-10-04,86.71,89.5,85.88,88.35,523886
CAR,2024-10-07,87.29,89.48,86.73,89.03,416900
CAR,2024-10-08,87.96,88.76,86.25,87.76,305000
CAR,2024-10-09,87.81,89.71,86.93,87.65,444401
CAR,2024-10-10,86.81,86.81,83.16,84.4,748700
CAR,2024-10-11,83.77,84.4,80.53,83.04,793400
CAR,2024-10-14,82.47,83.17,80.45,80.93,654746
CAR,2024-10-15,80.84,81.17,77.33,77.47,1330159
CAR,2024-10-16,78.81,82.97,76.72,82.13,1075311
CAR,2024-10-17,81.43,82.33,78.75,80.26,660400
CAR,2024-10-18,81.11,82.51,79.83,81.05,583300
CAR,2024-10-21,80.63,81.3,78.41,79.47,565442
CAR,2024-10-22,79.66,80.21,77.61,79.65,494931
CAR,2024-10-23,78.98,80.73,76.79,78.55,427000
CAR,2024-10-24,79.9,83.75,79.21,83.57,1056451
CAR,2024-10-25,84.75,85.7,81.52,82.36,664994
CAR,2024-10-28,82.94,86.19,82.62,85.44,917700
CAR,2024-10-29,84.29,87.91,84.0,87.1,853220
CAR,2024-10-30,85.85,88.78,84.87,85.94,606018
CAR,2024-10-31,86.55,86.55,82.75,83.0,824400
CAR,2024-11-01,87.0,100.99,85.0,92.06,2490843
CAR,2024-11-04,91.04,94.32,89.0,90.27,1008411
CAR,2024-11-05,89.29,91.75,86.6,88.51,665123
CAR,2024-11-06,93.21,97.45,92.25,96.43,983674
CAR,2024-11-07,96.46,97.34,94.19,94.79,902734
CAR,2024-11-08,94.39,94.39,89.04,92.95,623896
CAR,2024-11-11,95.0,96.88,92.45,96.83,514057
CAR,2024-11-12,94.27,100.5,92.52,99.2,770603
CAR,2024-11-13,99.55,106.8,99.34,105.63,1015000
CAR,2024-11-14,106.09,109.8,104.4,106.56,1107745
CAR,2024-11-15,106.63,107.54,99.81,100.25,595291
CAR,2024-11-18,97.52,102.41,96.43,100.94,581500
CAR,2024-11-19,99.42,100.25,97.6,100.06,399021
CAR,2024-11-20,99.4,101.7,97.32,99.06,569400
CAR,2024-11-21,99.25,104.45,98.63,101.64,506521
CAR,2024-11-22,100.54,104.2,100.54,102.67,545956
CAR,2024-11-25,105.44,112.4,105.4,108.81,1021918
CAR,2024-11-26,108.18,110.03,106.59,107.37,365200
CAR,2024-11-27,108.16,110.5,108.0,108.84,329932
CAR,2024-11-29,110.62,111.0,108.11,109.07,227208
CAR,2024-12-02,108.92,109.82,104.5,105.93,804788
CAR,2024-12-03,105.38,106.55,99.65,102.89,869588
CAR,2024-12-04,102.52,103.55,98.36,101.47,518500
CAR,2024-12-05,102.24,103.0,98.45,98.76,360300
CAR,2024-12-06,101.19,104.0,99.51,102.46,446213
CAR,2024-12-09,103.49,104.0,100.1,100.21,385500
CAR,2024-12-10,100.89,102.25,98.24,100.49,670765
CAR,2024-12-11,101.14,102.08,98.14,99.14,537630
CAR,2024-12-12,98.41,98.49,95.2,96.09,465583
CAR,2024-12-13,96.28,96.76,91.89,92.19,432011
CAR,2024-12-16,91.07,91.37,88.88,90.79,649348
CAR,2024-12-17,90.29,91.5,87.85,89.17,516374
CAR,2024-12-18,89.98,89.98,82.3,83.48,688066
CAR,2024-12-19,84.72,85.79,80.7,80.94,692136
CAR,2024-12-20,80.51,84.45,80.0,80.98,1411925
CAR,2024-12-23,80.93,82.1,79.66,81.42,845100
CAR,2024-12-24,80.91,83.49,79.77,81.39,340806
CAR,2024-12-26,80.65,82.64,79.9,81.97,497123
CAR,2024-12-27,81.5,83.28,79.9,80.96,520611
CAR,2024-12-30,79.73,80.61,75.88,78.86,619500
CAR,2024-12-31,79.67,81.45,79.08,80.61,447801
CAR,2025-01-02,81.79,82.28,79.72,80.44,484300
CAR,2025-01-03,81.01,82.92,78.91,81.76,603707
CAR,2025-01-06,83.02,86.72,82.97,84.73,498496
CAR,2025-01-07,85.78,88.57,84.73,88.46,690427
CAR,2025-01-08,86.6,86.82,83.84,85.92,536500
CAR,2025-01-10,84.03,84.84,81.55,84.56,639129
CAR,2025-01-13,83.34,84.16,82.24,83.73,383200
CAR,2025-01-14,85.61,86.29,83.84,85.72,622700
CAR,2025-01-15,87.59,89.92,87.59,88.79,587044
CAR,2025-01-16,88.76,90.5,87.85,88.68,477000
CAR,2025-01-17,90.06,91.0,89.28,90.19,1165509
