symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CASY,2024-12-05,414.91,419.4,412.07,417.52,162833
CASY,2024-12-06,417.71,421.81,417.23,419.71,267733
CASY,2024-12-09,422.8,423.11,409.84,415.57,474488
CASY,2024-12-10,417.04,426.32,403.85,414.33,482088
CASY,2024-12-11,417.21,437.01,417.21,425.21,391658
CASY,2024-12-12,424.78,427.95,420.48,423.12,192144
CASY,2024-12-13,421.15,425.26,420.87,422.69,187700
CASY,2024-12-16,420.49,425.53,420.49,421.93,265000
CASY,2024-12-17,419.82,424.47,415.29,418.83,224800
CASY,2024-12-18,418.21,418.92,402.53,403.69,288911
CASY,2024-12-19,404.27,410.57,402.22,406.67,219000
CASY,2024-12-20,406.76,410.28,400.06,400.71,765344
CASY,2024-12-23,398.56,398.84,393.04,397.13,205100
CASY,2024-12-24,397.85,401.24,394.29,401.22,64149
CASY,2024-12-26,401.22,405.08,399.59,403.02,177315
CASY,2024-12-27,400.04,403.52,399.16,401.53,134600
CASY,2024-12-30,397.44,398.83,394.71,396.28,128511
CASY,2024-12-31,396.76,401.89,393.64,393.82,195300
CASY,2025-01-02,395.82,398.8,391.93,392.25,202600
CASY,2025-01-03,391.75,397.47,389.99,395.51,171200
CASY,2025-01-06,396.48,400.14,392.94,394.35,241720
CASY,2025-01-07,393.96,394.64,386.47,386.95,223400
CASY,2025-01-08,386.91,388.83,383.8,388.47,163320
CASY,2025-01-10,386.48,387.88,378.66,383.72,313233
CASY,2025-01-13,379.98,390.54,377.7,390.16,262336
CASY,2025-01-14,391.23,397.58,391.09,392.6,271948
CASY,2025-01-15,399.65,400.55,388.0,388.92,247827
CASY,2025-01-16,388.23,391.13,381.16,388.61,284713
CASY,2025-01-17,391.46,391.46,385.17,389.13,266938
CASY,2025-01-21,390.34,401.93,389.79,399.97,255102
CASY,2025-01-22,401.06,401.06,396.16,398.77,144632
CASY,2025-01-23,397.88,406.89,396.77,405.31,300589
CASY,2025-01-24,404.29,409.24,401.71,408.75,251230
CASY,2025-01-27,404.08,418.35,404.08,417.44,275006
CASY,2025-01-28,417.45,418.35,408.43,413.18,320645
CASY,2025-01-29,412.97,420.05,412.97,417.04,232111
CASY,2025-01-30,420.6,424.22,417.8,420.49,252200
CASY,2025-01-31,420.27,420.89,415.08,419.21,314019
CASY,2025-02-03,411.17,420.58,408.97,417.53,330119
CASY,2025-02-04,415.19,422.26,415.19,418.93,178600
CASY,2025-02-05,418.93,427.64,417.26,427.32,242100
CASY,2025-02-06,430.37,436.39,428.63,433.14,374800
CASY,2025-02-07,435.15,435.15,424.32,424.73,350700
CASY,2025-02-10,425.61,430.73,423.81,430.06,332800
CASY,2025-02-11,430.08,431.34,422.29,425.46,263215
CASY,2025-02-12,421.6,434.89,421.23,433.22,257402
CASY,2025-02-13,437.91,441.06,432.91,440.38,305400
CASY,2025-02-14,441.52,443.0,429.74,430.06,270800
CASY,2025-02-18,429.69,432.19,422.8,423.9,324329
CASY,2025-02-19,421.04,427.25,421.04,424.13,239015
CASY,2025-02-20,420.64,422.77,416.79,418.48,264539
CASY,2025-02-21,418.13,418.13,401.13,403.61,481935
CASY,2025-02-24,404.52,414.75,402.58,412.53,268960
CASY,2025-02-25,411.57,421.81,411.57,420.67,323641
CASY,2025-02-26,417.5,421.34,410.91,413.97,417800
CASY,2025-02-27,415.2,417.38,406.48,407.09,181042
CASY,2025-02-28,408.73,412.65,406.14,412.18,226900
CASY,2025-03-03,411.82,417.37,404.85,406.0,251000
CASY,2025-03-04,402.74,410.48,400.17,406.03,258500
CASY,2025-03-05,406.33,406.33,398.12,402.84,246800
CASY,2025-03-06,398.73,404.11,392.31,393.37,341204
CASY,2025-03-07,392.07,397.37,380.54,396.78,348526
CASY,2025-03-10,392.44,393.49,378.63,379.81,511632
CASY,2025-03-11,378.14,385.56,370.27,376.86,576440
CASY,2025-03-12,390.53,410.19,386.64,400.1,798000
CASY,2025-03-13,400.11,403.01,382.18,383.14,519900
CASY,2025-03-14,386.83,394.41,379.47,393.7,327300
CASY,2025-03-17,390.59,400.11,389.13,397.73,271015
CASY,2025-03-18,395.71,395.71,384.15,385.0,196900
CASY,2025-03-19,386.78,401.22,386.78,400.26,398112
CASY,2025-03-20,397.83,400.02,390.9,392.91,269502
CASY,2025-03-21,390.74,402.41,389.63,402.02,493300
CASY,2025-03-24,404.52,410.71,398.27,410.48,400000
CASY,2025-03-25,411.47,415.73,409.14,415.38,345213
CASY,2025-03-26,416.07,425.53,415.34,423.92,698200
CASY,2025-03-27,421.75,434.5,419.22,428.58,396974
CASY,2025-03-28,426.65,429.89,421.4,429.89,326017
CASY,2025-03-31,425.74,436.09,423.73,431.92,477543
CASY,2025-04-01,430.32,440.29,430.04,438.48,328551
CASY,2025-04-02,432.52,444.42,432.52,441.71,274900
CASY,2025-04-03,427.27,456.67,427.27,446.97,664000
CASY,2025-04-04,435.18,442.42,412.39,413.79,729700
CASY,2025-04-07,401.95,424.94,395.86,415.97,716741
CASY,2025-04-08,432.65,434.32,409.73,414.45,375568
