symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CAT,2024-08-27,342.45,343.79,339.27,343.2,1211040
CAT,2024-08-28,342.68,346.43,338.03,340.34,1514500
CAT,2024-08-29,343.29,348.41,339.64,343.7,1664658
CAT,2024-08-30,344.63,348.2,341.93,348.06,2974100
CAT,2024-09-03,344.26,344.67,330.76,332.56,3107219
CAT,2024-09-04,330.95,333.16,327.72,329.15,2782500
CAT,2024-09-05,328.43,328.89,323.1,326.03,2525500
CAT,2024-09-06,326.66,330.98,320.72,321.93,2676623
CAT,2024-09-09,326.37,328.77,325.45,326.5,2355801
CAT,2024-09-10,327.55,328.17,321.96,326.62,1869324
CAT,2024-09-11,325.49,327.91,318.75,327.44,1934700
CAT,2024-09-12,327.72,333.35,326.15,331.92,1747566
CAT,2024-09-13,334.7,339.39,332.67,337.52,2518723
CAT,2024-09-16,340.49,343.53,336.52,340.11,1648247
CAT,2024-09-17,342.1,346.58,341.36,345.71,2088589
CAT,2024-09-18,346.98,353.46,344.36,347.1,1990700
CAT,2024-09-19,354.8,366.23,353.11,364.88,4066612
CAT,2024-09-20,362.04,363.07,357.59,360.5,5440526
CAT,2024-09-23,360.66,364.55,358.69,362.79,2442816
CAT,2024-09-24,371.42,380.64,370.94,377.22,4024300
CAT,2024-09-25,378.26,379.87,369.39,369.71,2661536
CAT,2024-09-26,381.21,388.26,377.49,382.14,3906800
CAT,2024-09-27,382.17,386.63,380.35,382.25,2683768
CAT,2024-09-30,380.59,383.89,378.09,382.29,2251585
CAT,2024-10-01,382.44,386.56,377.9,383.53,2091400
CAT,2024-10-02,383.14,386.73,379.87,385.16,1768062
CAT,2024-10-03,383.48,385.1,379.94,382.26,1866100
CAT,2024-10-04,387.77,388.49,383.01,388.13,1675430
CAT,2024-10-07,387.5,392.11,387.2,389.26,2224513
CAT,2024-10-08,385.36,386.08,376.16,379.2,2438847
CAT,2024-10-09,379.41,387.65,378.76,387.25,1757900
CAT,2024-10-10,386.26,388.0,381.69,387.69,1331845
CAT,2024-10-11,387.69,394.49,387.69,392.95,2110400
CAT,2024-10-14,384.51,387.35,378.14,385.06,3006132
CAT,2024-10-15,381.81,383.61,378.84,379.23,2715320
CAT,2024-10-16,378.66,385.7,378.2,384.74,1551797
CAT,2024-10-17,386.24,388.16,384.29,385.59,1561648
CAT,2024-10-18,387.31,387.5,380.92,384.97,3024100
CAT,2024-10-21,384.81,385.65,381.81,383.03,2376089
CAT,2024-10-22,382.3,383.83,378.37,381.05,1523900
CAT,2024-10-23,379.57,382.59,375.39,378.37,1501236
CAT,2024-10-24,379.57,380.96,374.93,379.68,1844245
CAT,2024-10-25,382.18,384.55,376.98,378.61,1606883
CAT,2024-10-28,380.98,384.1,379.98,383.16,3213934
CAT,2024-10-29,382.07,382.17,378.2,380.12,2186415
CAT,2024-10-30,366.87,380.86,360.2,372.01,4037500
CAT,2024-10-31,370.16,371.69,365.65,369.03,2394500
CAT,2024-11-01,370.86,375.96,369.75,372.39,1633361
CAT,2024-11-04,370.89,374.22,368.14,369.34,1793751
CAT,2024-11-05,369.94,378.71,368.49,376.06,1724115
CAT,2024-11-06,397.44,410.32,396.31,408.93,4720049
CAT,2024-11-07,407.01,410.52,399.77,400.43,3211102
CAT,2024-11-08,393.32,395.38,384.92,385.87,3345900
CAT,2024-11-11,390.32,394.41,387.48,388.98,1859182
CAT,2024-11-12,390.21,391.13,383.7,385.52,1737372
CAT,2024-11-13,381.53,383.74,378.32,379.69,2002200
CAT,2024-11-14,381.09,382.74,378.84,379.97,1372500
CAT,2024-11-15,378.63,381.09,374.92,376.75,2165500
CAT,2024-11-18,378.64,378.93,375.62,377.13,1626303
CAT,2024-11-19,370.82,375.94,370.82,375.04,1793407
CAT,2024-11-20,376.68,378.83,371.25,374.22,1859725
CAT,2024-11-21,376.6,384.54,371.77,382.16,1833547
CAT,2024-11-22,382.92,390.57,380.49,389.91,1893407
CAT,2024-11-25,392.37,399.38,392.37,397.91,4398020
CAT,2024-11-26,395.95,400.62,394.1,400.05,1796714
CAT,2024-11-27,400.61,404.26,395.55,396.0,1371922
CAT,2024-11-29,399.57,403.35,397.28,398.37,1962112
CAT,2024-12-02,399.69,400.36,393.14,394.83,1548651
CAT,2024-12-03,395.83,397.8,389.04,391.65,1716200
CAT,2024-12-04,390.97,393.81,388.57,391.89,1193925
CAT,2024-12-05,392.86,393.78,386.69,387.45,1291400
CAT,2024-12-06,390.56,392.12,385.25,387.5,1331099
CAT,2024-12-09,394.87,401.9,390.85,391.65,1739800
