symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CAVA,2024-08-27,115.9,120.2,113.9,118.1,12333500
CAVA,2024-08-28,117.85,119.92,116.44,118.44,4561200
CAVA,2024-08-29,115.93,116.2,110.66,110.87,5440300
CAVA,2024-08-30,112.0,114.04,110.3,114.04,2956045
CAVA,2024-09-03,112.94,114.86,110.34,111.92,2644300
CAVA,2024-09-04,110.31,114.68,110.31,113.97,2036834
CAVA,2024-09-05,113.73,118.15,113.66,116.71,2370200
CAVA,2024-09-06,117.52,118.42,113.13,116.13,2173344
CAVA,2024-09-09,117.13,121.98,117.07,120.09,3779432
CAVA,2024-09-10,120.56,122.27,118.41,119.73,2104000
CAVA,2024-09-11,120.0,121.53,118.79,121.25,1917700
CAVA,2024-09-12,121.25,126.24,119.9,125.47,3111515
CAVA,2024-09-13,126.52,127.0,121.61,122.51,2879600
CAVA,2024-09-16,122.74,123.85,120.25,122.85,2231200
CAVA,2024-09-17,123.86,125.46,121.26,122.47,2151100
CAVA,2024-09-18,123.0,126.14,122.61,124.3,1790200
CAVA,2024-09-19,126.34,127.52,123.75,125.22,2077723
CAVA,2024-09-20,125.23,129.5,124.75,128.79,8209735
CAVA,2024-09-23,130.5,131.82,127.61,128.27,2509333
CAVA,2024-09-24,128.13,129.06,126.11,127.44,1903834
CAVA,2024-09-25,128.0,129.1,125.76,126.84,1811229
CAVA,2024-09-26,127.9,128.88,126.02,127.12,1835600
CAVA,2024-09-27,127.25,127.3,121.89,123.76,3181200
CAVA,2024-09-30,123.3,125.25,120.1,123.85,3230611
CAVA,2024-10-01,124.11,125.66,122.28,122.43,2235100
CAVA,2024-10-02,121.0,123.35,118.62,122.92,1667434
CAVA,2024-10-03,122.92,125.22,121.89,124.93,1406234
CAVA,2024-10-04,126.5,128.59,125.59,126.6,1905220
CAVA,2024-10-07,127.0,128.55,124.81,126.0,2111900
CAVA,2024-10-08,126.79,133.54,126.7,131.99,3330217
CAVA,2024-10-09,132.96,133.95,129.14,131.86,1670300
CAVA,2024-10-10,130.86,131.74,128.8,130.24,1236800
CAVA,2024-10-11,130.57,134.19,130.57,133.65,1648807
CAVA,2024-10-14,134.68,135.57,132.01,134.75,2322500
CAVA,2024-10-15,133.5,134.43,128.2,133.91,2484406
CAVA,2024-10-16,134.81,134.88,131.05,134.16,1057600
CAVA,2024-10-17,134.91,135.63,133.2,134.29,1269300
CAVA,2024-10-18,134.79,135.86,133.8,135.34,1068834
CAVA,2024-10-21,135.3,136.96,134.12,136.32,1433000
CAVA,2024-10-22,135.64,136.42,134.78,136.27,1164400
CAVA,2024-10-23,135.26,138.12,134.04,136.56,1512223
CAVA,2024-10-24,138.0,139.5,137.46,138.65,2038500
CAVA,2024-10-25,139.56,140.69,135.74,136.09,1937636
CAVA,2024-10-28,137.0,141.25,136.97,138.47,1917332
CAVA,2024-10-29,139.0,139.0,136.3,138.0,1644209
CAVA,2024-10-30,136.51,136.81,132.33,133.82,2132700
CAVA,2024-10-31,132.48,135.13,132.1,133.56,1360020
CAVA,2024-11-01,133.9,134.87,129.51,131.53,2592300
CAVA,2024-11-04,131.9,133.79,131.05,132.12,1166203
CAVA,2024-11-05,132.65,136.69,132.44,132.52,1514429
CAVA,2024-11-06,135.63,139.0,133.4,139.0,2017300
CAVA,2024-11-07,139.67,141.62,137.88,141.38,2189722
CAVA,2024-11-08,140.33,147.61,140.33,147.2,2296200
CAVA,2024-11-11,151.16,151.56,146.81,147.8,2922210
CAVA,2024-11-12,147.41,149.91,143.24,145.03,5322500
CAVA,2024-11-13,168.16,172.43,146.05,147.3,13077015
CAVA,2024-11-14,147.56,148.77,136.2,138.34,5909200
CAVA,2024-11-15,137.75,142.09,135.01,141.38,3975500
CAVA,2024-11-18,134.35,140.07,133.0,137.24,6324300
CAVA,2024-11-19,136.21,143.08,136.1,141.25,4379000
CAVA,2024-11-20,142.72,143.0,137.4,139.69,2366700
CAVA,2024-11-21,140.1,145.2,137.27,144.8,3542600
CAVA,2024-11-22,146.18,149.75,144.8,145.0,3637700
CAVA,2024-11-25,148.0,148.0,140.78,142.54,3093201
CAVA,2024-11-26,141.16,143.9,140.57,143.52,1931135
CAVA,2024-11-27,143.93,144.35,139.86,141.2,1709600
CAVA,2024-11-29,141.86,143.67,140.9,140.9,1054106
CAVA,2024-12-02,141.07,146.6,140.65,140.85,2724800
CAVA,2024-12-03,140.88,145.37,140.62,141.84,1726323
CAVA,2024-12-04,143.33,147.86,142.51,147.6,2389700
CAVA,2024-12-05,147.0,153.34,145.65,150.5,3344826
CAVA,2024-12-06,151.06,151.91,145.88,150.88,2269800
CAVA,2024-12-09,148.91,149.35,132.36,132.57,7639300
CAVA,2024-12-10,133.51,135.26,126.14,127.39,5425800
CAVA,2024-12-11,130.21,131.08,126.46,127.59,2705000
CAVA,2024-12-12,126.75,128.59,125.3,125.37,1663648
CAVA,2024-12-13,126.16,126.65,123.15,124.05,2470400
CAVA,2024-12-16,124.5,127.05,123.57,126.79,2630000
CAVA,2024-12-17,125.88,126.03,123.19,123.37,1926500
CAVA,2024-12-18,125.0,125.34,116.11,117.2,3289206
CAVA,2024-12-19,119.1,120.5,115.53,117.05,3151200
CAVA,2024-12-20,114.85,120.77,114.25,119.05,2952530
CAVA,2024-12-23,118.89,118.89,115.89,117.84,1635400
CAVA,2024-12-24,117.4,118.7,116.8,118.52,687633
CAVA,2024-12-26,117.35,117.66,115.72,116.49,1635100
CAVA,2024-12-27,115.62,115.64,112.77,114.37,1854300
CAVA,2024-12-30,111.78,113.52,110.59,111.52,2050524
CAVA,2024-12-31,112.26,115.01,112.0,112.8,2044800
CAVA,2025-01-02,113.38,117.47,112.29,115.18,2215115
CAVA,2025-01-03,115.83,116.04,112.78,115.08,1879065
CAVA,2025-01-06,117.07,120.77,116.26,118.88,3190600
CAVA,2025-01-07,119.0,119.85,111.43,112.82,3108046
CAVA,2025-01-08,112.82,116.11,112.26,114.59,1932707
CAVA,2025-01-10,112.16,115.37,111.54,115.12,1406300
CAVA,2025-01-13,112.5,113.32,109.23,111.03,2182900
CAVA,2025-01-14,112.48,112.8,110.22,112.42,1333011
CAVA,2025-01-15,116.0,116.86,113.31,115.61,1760700
CAVA,2025-01-16,116.05,118.18,115.49,117.51,1747600
CAVA,2025-01-17,119.2,119.74,116.63,118.23,1724247
CAVA,2025-01-21,119.98,121.4,118.3,120.5,2302921
CAVA,2025-01-22,122.36,126.48,120.06,123.39,2665900
CAVA,2025-01-23,122.22,125.13,120.51,124.01,2208600
CAVA,2025-01-24,123.81,125.56,123.13,124.88,1636921
CAVA,2025-01-27,121.07,126.0,120.69,122.97,1801247
CAVA,2025-01-28,123.68,126.14,121.55,125.96,1262200
CAVA,2025-01-29,126.91,135.73,126.75,135.33,3869600
CAVA,2025-01-30,136.71,140.0,136.2,138.95,1808547
CAVA,2025-01-31,139.75,140.6,134.52,135.05,1706000
CAVA,2025-02-03,130.75,138.52,128.57,137.32,2413000
CAVA,2025-02-04,138.0,143.2,137.64,142.27,2187102
CAVA,2025-02-05,142.5,143.01,139.33,142.9,1549105
CAVA,2025-02-06,143.16,143.89,139.63,141.95,1187909
CAVA,2025-02-07,142.28,144.49,137.67,138.4,1522903
CAVA,2025-02-10,140.16,141.75,139.0,140.62,1247642
CAVA,2025-02-11,139.49,139.62,130.76,130.87,2319600
CAVA,2025-02-12,128.51,130.74,127.51,130.3,1848900
CAVA,2025-02-13,132.68,134.89,128.94,130.5,1927700
CAVA,2025-02-14,130.28,131.6,126.64,131.07,1595003
CAVA,2025-02-18,131.23,134.73,129.4,133.31,1755700
CAVA,2025-02-19,132.47,132.47,117.82,119.42,4462625
CAVA,2025-02-20,118.71,119.21,114.64,118.6,2824614
CAVA,2025-02-21,118.02,119.01,107.55,107.93,4391748
CAVA,2025-02-24,108.8,108.98,101.28,104.22,4582106
