symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CB,2024-12-06,281.12,281.74,276.7,277.88,1507326
CB,2024-12-09,277.56,279.12,271.56,271.99,2160515
CB,2024-12-10,271.67,272.15,267.15,269.32,2130000
CB,2024-12-11,269.12,271.62,268.38,270.91,1375100
CB,2024-12-12,272.42,273.47,269.38,270.09,1216600
CB,2024-12-13,271.38,273.27,270.1,271.69,1383900
CB,2024-12-16,271.7,273.06,270.7,271.33,1981975
CB,2024-12-17,268.69,273.0,268.35,272.28,2116000
CB,2024-12-18,270.66,273.39,266.95,267.24,2044701
CB,2024-12-19,267.25,271.96,267.25,268.81,2274300
CB,2024-12-20,268.43,271.28,266.29,268.85,2953100
CB,2024-12-23,267.17,271.41,267.17,270.99,1322100
CB,2024-12-24,270.88,272.13,270.22,272.13,399643
CB,2024-12-26,271.35,274.5,271.31,273.83,697410
CB,2024-12-27,272.2,275.87,272.2,273.25,1088623
CB,2024-12-30,270.88,271.96,269.04,271.02,920340
CB,2024-12-31,271.51,272.32,270.35,271.9,1409642
CB,2025-01-02,273.1,273.29,266.92,268.18,949638
CB,2025-01-03,268.88,270.62,265.94,267.4,1155611
CB,2025-01-06,267.18,267.64,262.74,263.05,2587282
CB,2025-01-07,263.92,267.45,263.2,264.48,2042943
CB,2025-01-08,263.73,263.86,259.96,262.4,2382000
CB,2025-01-10,254.96,259.26,248.14,253.6,4171344
CB,2025-01-13,252.88,257.75,251.92,257.59,3115500
CB,2025-01-14,258.09,261.58,256.81,261.28,1692487
CB,2025-01-15,263.39,265.05,261.51,264.13,2231069
CB,2025-01-16,264.93,269.79,264.93,269.17,1272400
CB,2025-01-17,269.65,270.94,264.89,265.18,1902028
CB,2025-01-21,265.69,268.44,263.74,264.57,1930838
CB,2025-01-22,266.17,267.63,263.61,264.04,1799167
CB,2025-01-23,264.05,264.75,260.4,262.25,1720502
CB,2025-01-24,263.21,263.78,260.24,262.45,1821559
CB,2025-01-27,265.07,272.35,264.53,272.08,1776949
CB,2025-01-28,272.07,272.87,267.65,267.93,1627200
CB,2025-01-29,263.73,276.71,263.41,271.43,2317196
CB,2025-01-30,273.38,273.69,268.59,270.4,1556000
CB,2025-01-31,268.61,271.07,267.2,267.55,1583420
CB,2025-02-03,265.0,270.03,264.02,269.56,1454300
CB,2025-02-04,271.01,271.01,267.62,267.89,1478500
CB,2025-02-05,269.38,270.52,267.52,268.45,989507
CB,2025-02-06,270.68,271.07,267.24,268.53,1260410
CB,2025-02-07,268.2,268.66,265.72,265.85,1276200
CB,2025-02-10,265.7,266.23,261.94,262.33,1836860
CB,2025-02-11,262.9,264.67,260.35,263.69,1679072
CB,2025-02-12,262.91,263.25,260.05,260.84,1041852
CB,2025-02-13,261.3,264.28,260.28,263.47,999200
CB,2025-02-14,263.09,263.7,260.03,260.3,1919868
CB,2025-02-18,260.58,262.54,259.3,262.36,1378552
CB,2025-02-19,260.95,263.41,260.15,262.19,887527
CB,2025-02-20,261.28,263.81,258.95,263.23,1065045
CB,2025-02-21,263.27,264.37,261.61,262.99,1054200
CB,2025-02-24,264.49,270.01,264.28,269.08,1434190
CB,2025-02-25,271.16,275.0,270.17,273.03,1748552
CB,2025-02-26,272.59,272.59,267.24,269.3,1250422
CB,2025-02-27,270.43,277.97,270.17,277.2,1631021
CB,2025-02-28,279.22,281.83,276.05,280.93,2528833
CB,2025-03-03,282.0,286.45,281.74,285.07,1687479
CB,2025-03-04,285.65,286.85,278.99,279.62,2007124
CB,2025-03-05,280.94,284.19,279.39,282.44,1974921
CB,2025-03-06,281.95,282.63,278.27,281.73,1355100
CB,2025-03-07,281.08,282.78,279.01,282.02,1260059
CB,2025-03-10,281.56,291.02,279.65,288.29,3741384
CB,2025-03-11,287.06,288.43,284.44,286.07,2966982
CB,2025-03-12,284.36,285.31,275.93,279.45,2121004
CB,2025-03-13,280.3,284.81,279.26,283.95,2778021
CB,2025-03-14,283.62,291.1,281.86,290.19,2302008
CB,2025-03-17,289.19,294.92,289.09,293.59,2096500
CB,2025-03-18,293.64,295.49,291.01,291.87,1973964
CB,2025-03-19,291.9,293.21,290.22,292.45,1646260
CB,2025-03-20,291.31,291.95,289.32,290.35,1510041
CB,2025-03-21,289.29,291.02,286.22,287.69,3152107
CB,2025-03-24,288.11,289.26,285.51,287.7,1464801
CB,2025-03-25,288.63,289.71,284.66,287.66,1158484
CB,2025-03-26,288.84,293.43,288.15,291.53,1132340
CB,2025-03-27,293.53,295.17,290.77,294.54,1182783
CB,2025-03-28,296.15,298.12,292.35,292.64,2094586
CB,2025-03-31,293.42,299.76,293.41,298.12,2455447
CB,2025-04-01,298.99,300.44,295.12,297.54,1484010
CB,2025-04-02,296.36,298.18,294.27,297.67,1536037
CB,2025-04-03,297.57,302.97,295.05,298.58,2114665
CB,2025-04-04,293.41,295.43,275.97,277.08,3195379
CB,2025-04-07,274.86,277.69,265.48,270.8,2851280
CB,2025-04-08,278.92,281.47,267.85,271.46,2239100
CB,2025-04-09,264.56,283.59,263.32,280.97,2609935
CB,2025-04-10,279.24,284.8,273.69,278.72,1821739
CB,2025-04-11,277.73,280.95,272.64,279.74,2562602
CB,2025-04-14,281.43,286.82,280.01,284.64,1381800
CB,2025-04-15,285.05,285.43,280.87,281.15,1119000
CB,2025-04-16,285.47,286.75,280.48,281.42,1461602
CB,2025-04-17,281.92,283.61,278.72,281.93,2477527
CB,2025-04-21,281.34,282.24,273.76,276.19,1487123
CB,2025-04-22,280.47,288.42,278.63,286.7,1635021
CB,2025-04-23,281.55,286.15,276.09,280.29,2102743
CB,2025-04-24,279.43,280.74,277.72,278.38,1964296
CB,2025-04-25,276.98,277.93,272.45,275.53,2381206
CB,2025-04-28,276.64,278.99,275.94,278.56,1593386
CB,2025-04-29,277.2,281.75,277.2,281.3,1762792
CB,2025-04-30,282.33,282.94,275.71,282.41,1983569
CB,2025-05-01,279.03,281.41,277.52,279.66,1370948
CB,2025-05-02,282.05,284.1,280.16,283.63,1522625
CB,2025-05-05,283.44,285.35,280.84,284.14,1004070
CB,2025-05-06,283.28,286.1,282.83,285.3,1079900
CB,2025-05-07,285.3,287.48,285.3,286.71,1318000
