symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CBSH,2024-08-27,58.03,58.24,57.43,58.12,285390
CBSH,2024-08-28,57.94,59.15,57.94,58.67,2401560
CBSH,2024-08-29,59.02,59.26,58.15,58.45,710640
CBSH,2024-08-30,58.69,59.09,58.23,59.07,458436
CBSH,2024-09-03,58.7,59.31,58.31,58.82,587790
CBSH,2024-09-04,58.68,59.29,58.21,58.47,368784
CBSH,2024-09-05,58.66,58.85,57.55,57.77,374573
CBSH,2024-09-06,57.89,58.28,56.69,56.79,411307
CBSH,2024-09-09,57.07,57.4,56.7,57.26,742775
CBSH,2024-09-10,57.37,57.43,56.24,56.84,607215
CBSH,2024-09-11,56.45,56.45,55.31,56.25,545160
CBSH,2024-09-12,56.42,56.64,55.88,56.44,414669
CBSH,2024-09-13,56.59,57.49,56.59,57.48,606796
CBSH,2024-09-16,57.63,58.24,57.25,57.74,472083
CBSH,2024-09-17,57.75,58.79,57.56,57.74,401322
CBSH,2024-09-18,57.79,59.49,57.07,57.86,747543
CBSH,2024-09-19,58.73,59.23,57.92,59.11,570990
CBSH,2024-09-20,58.93,58.97,57.26,57.4,1429680
CBSH,2024-09-23,57.54,57.93,56.98,57.35,493500
CBSH,2024-09-24,57.39,57.62,56.2,56.32,434182
CBSH,2024-09-25,56.33,56.33,55.32,55.41,492871
CBSH,2024-09-26,55.78,56.09,55.36,55.69,487449
CBSH,2024-09-27,55.85,56.16,55.31,55.48,487145
CBSH,2024-09-30,55.08,55.7,54.79,55.08,797686
CBSH,2024-10-01,54.95,54.95,53.13,53.26,876178
CBSH,2024-10-02,53.06,53.72,52.75,52.89,702135
CBSH,2024-10-03,52.74,53.46,52.59,52.98,452788
CBSH,2024-10-04,53.6,54.29,53.41,54.27,578025
CBSH,2024-10-07,54.05,54.11,53.21,53.7,648085
CBSH,2024-10-08,53.88,54.19,53.05,53.56,680820
CBSH,2024-10-09,53.4,54.38,53.4,54.12,580335
CBSH,2024-10-10,53.94,54.23,53.65,54.12,492450
CBSH,2024-10-11,54.49,56.01,54.49,55.55,532770
CBSH,2024-10-14,55.45,56.0,55.09,55.91,465045
CBSH,2024-10-15,56.22,57.14,55.84,56.67,647560
CBSH,2024-10-16,57.01,57.86,56.93,57.18,973035
CBSH,2024-10-17,59.26,59.26,56.34,56.67,843570
CBSH,2024-10-18,56.73,56.88,55.93,56.83,605022
CBSH,2024-10-21,56.93,57.53,56.58,56.9,1002015
CBSH,2024-10-22,57.03,57.62,56.75,57.21,773955
CBSH,2024-10-23,56.87,57.47,56.49,57.4,662235
CBSH,2024-10-24,57.44,57.73,56.68,57.06,695310
CBSH,2024-10-25,57.26,57.38,56.64,56.76,566685
CBSH,2024-10-28,57.17,57.92,57.11,57.75,480060
CBSH,2024-10-29,57.69,58.13,57.62,57.92,664974
CBSH,2024-10-30,57.68,59.3,57.68,58.96,529943
CBSH,2024-10-31,58.82,59.15,57.94,57.96,757470
CBSH,2024-11-01,58.13,58.91,57.97,58.1,637256
CBSH,2024-11-04,57.96,58.23,57.23,57.96,471041
CBSH,2024-11-05,57.9,58.79,57.58,58.72,312888
CBSH,2024-11-06,60.27,64.94,60.25,64.88,1369410
CBSH,2024-11-07,64.53,64.55,62.81,63.03,863341
CBSH,2024-11-08,63.43,64.68,62.78,64.4,588016
CBSH,2024-11-11,65.13,67.46,64.6,66.71,589575
CBSH,2024-11-12,66.39,67.4,66.39,67.01,545380
CBSH,2024-11-13,67.18,67.99,66.68,66.74,475440
CBSH,2024-11-14,66.81,67.4,66.27,66.51,460425
CBSH,2024-11-15,66.51,66.98,65.91,66.37,584041
CBSH,2024-11-18,66.47,67.24,66.34,66.88,492135
CBSH,2024-11-19,65.72,66.72,65.64,66.4,466757
CBSH,2024-11-20,66.35,66.63,65.36,65.81,461370
CBSH,2024-11-21,65.92,67.16,65.89,66.59,365835
CBSH,2024-11-22,67.06,68.46,66.68,68.35,617610
CBSH,2024-11-25,68.97,70.84,68.88,68.96,893655
CBSH,2024-11-26,68.94,69.27,68.48,68.59,518701
CBSH,2024-11-27,68.95,69.44,68.3,68.51,542242
CBSH,2024-11-29,68.99,68.99,67.96,68.39,269677
CBSH,2024-12-02,68.45,68.54,67.67,67.84,466654
CBSH,2024-12-03,67.43,68.39,67.09,67.19,431600
CBSH,2024-12-04,67.32,67.75,66.86,67.54,477525
CBSH,2024-12-05,67.74,68.27,67.09,67.18,526100
CBSH,2024-12-06,67.69,67.86,66.89,67.19,422926
CBSH,2024-12-09,67.28,67.36,66.45,66.47,461735
CBSH,2024-12-10,66.73,67.31,65.86,66.77,510624
CBSH,2024-12-11,67.41,67.42,66.71,66.77,370212
CBSH,2024-12-12,66.91,67.12,65.99,66.12,364500
CBSH,2024-12-13,66.06,66.24,65.52,65.99,384000
CBSH,2024-12-16,65.68,66.35,65.53,66.27,379225
CBSH,2024-12-17,65.81,66.4,64.56,65.19,611300
CBSH,2024-12-18,65.51,65.79,62.24,62.42,665100
CBSH,2024-12-19,62.6,63.96,61.12,61.46,819700
CBSH,2024-12-20,61.36,62.5,60.82,61.6,1614000
CBSH,2024-12-23,61.25,61.6,60.95,61.33,321100
CBSH,2024-12-24,61.46,61.89,61.11,61.87,111320
CBSH,2024-12-26,61.5,62.2,61.22,62.14,258036
CBSH,2024-12-27,61.72,62.17,60.83,61.39,300019
CBSH,2024-12-30,61.17,61.34,60.65,61.11,499400
CBSH,2024-12-31,61.21,61.52,60.74,60.89,240433
CBSH,2025-01-02,61.14,61.73,60.24,60.34,400400
CBSH,2025-01-03,60.37,60.84,59.48,60.77,386600
CBSH,2025-01-06,60.85,62.53,60.32,61.39,630600
CBSH,2025-01-07,61.76,62.09,60.47,60.96,478124
CBSH,2025-01-08,60.64,61.73,60.41,61.34,418826
CBSH,2025-01-10,60.51,60.69,59.04,59.76,577109
CBSH,2025-01-13,59.43,60.43,59.3,60.33,589719
CBSH,2025-01-14,60.94,62.1,60.65,62.02,490923
CBSH,2025-01-15,63.43,64.02,62.13,62.85,544859
CBSH,2025-01-16,62.75,62.77,61.91,62.33,531528
CBSH,2025-01-17,62.71,63.48,62.39,63.37,661607
CBSH,2025-01-21,63.67,64.41,63.43,63.99,597900
CBSH,2025-01-22,64.5,65.59,64.06,64.12,875273
CBSH,2025-01-23,64.61,64.61,63.44,64.26,711810
CBSH,2025-01-24,64.17,64.92,63.6,64.5,609600
CBSH,2025-01-27,64.95,65.82,64.62,65.42,381900
CBSH,2025-01-28,65.31,65.86,64.8,65.09,316224
CBSH,2025-01-29,65.1,65.91,64.18,64.59,386202
CBSH,2025-01-30,64.89,65.96,64.66,65.28,429935
CBSH,2025-01-31,65.43,65.98,65.11,65.28,891023
CBSH,2025-02-03,64.32,65.13,63.43,64.37,728429
CBSH,2025-02-04,64.18,65.99,64.18,65.91,474710
CBSH,2025-02-05,66.18,66.84,65.56,66.8,431924
