symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CENX,2024-08-27,15.34,15.72,15.23,15.37,483800
CENX,2024-08-28,14.73,14.87,14.27,14.49,1014208
CENX,2024-08-29,14.53,14.6,14.19,14.5,808645
CENX,2024-08-30,14.67,14.67,14.13,14.36,709100
CENX,2024-09-03,13.86,13.89,12.92,13.04,999417
CENX,2024-09-04,13.07,13.67,12.99,13.0,883900
CENX,2024-09-05,13.04,13.18,12.76,12.97,746100
CENX,2024-09-06,12.87,13.05,11.93,12.1,1510020
CENX,2024-09-09,12.27,12.29,11.97,12.06,1614200
CENX,2024-09-10,11.99,12.11,11.64,12.01,855900
CENX,2024-09-11,12.17,12.81,11.63,12.78,1906980
CENX,2024-09-12,13.06,13.46,12.9,13.04,956400
CENX,2024-09-13,13.39,13.86,13.25,13.64,856353
CENX,2024-09-16,13.95,14.3,13.81,14.2,930700
CENX,2024-09-17,14.14,14.64,13.98,14.55,1081429
CENX,2024-09-18,14.69,15.08,14.19,14.21,738130
CENX,2024-09-19,14.98,15.0,14.55,14.74,709531
CENX,2024-09-20,14.6,14.6,14.08,14.27,1370300
CENX,2024-09-23,14.45,14.67,14.35,14.65,981600
CENX,2024-09-24,15.56,15.81,15.13,15.38,1746900
CENX,2024-09-25,15.03,15.35,14.9,14.98,655100
CENX,2024-09-26,15.92,16.35,15.82,16.27,974742
CENX,2024-09-27,16.43,16.67,15.99,16.15,877600
CENX,2024-09-30,15.78,16.38,15.74,16.23,1001900
CENX,2024-10-01,16.41,16.61,16.12,16.27,1247354
CENX,2024-10-02,16.18,16.5,16.09,16.31,577116
CENX,2024-10-03,15.56,15.86,15.3,15.56,594400
CENX,2024-10-04,15.94,16.15,15.74,15.97,523148
CENX,2024-10-07,15.89,16.08,15.63,15.89,749601
CENX,2024-10-08,15.4,15.5,14.89,15.24,1279930
CENX,2024-10-09,14.91,16.62,14.91,15.94,1371700
CENX,2024-10-10,15.8,16.52,15.8,16.48,854166
CENX,2024-10-11,17.25,17.7,16.97,17.31,1334400
CENX,2024-10-14,16.97,17.55,16.86,17.41,734209
CENX,2024-10-15,17.15,17.64,16.72,17.39,773037
CENX,2024-10-16,17.59,17.85,17.3,17.71,762700
CENX,2024-10-17,17.85,17.88,16.92,16.95,907332
CENX,2024-10-18,17.25,17.44,16.96,17.33,711100
CENX,2024-10-21,17.46,17.56,16.59,16.67,645470
CENX,2024-10-22,16.7,17.35,16.7,16.96,745237
CENX,2024-10-23,16.58,17.1,16.52,16.82,743430
CENX,2024-10-24,16.85,17.77,16.73,17.75,1578664
CENX,2024-10-25,17.97,19.34,17.79,18.26,1518330
CENX,2024-10-28,18.19,18.4,17.8,18.23,814815
CENX,2024-10-29,18.28,18.36,17.68,17.81,848900
CENX,2024-10-30,17.68,18.34,17.53,17.65,829100
CENX,2024-10-31,17.65,17.83,17.34,17.65,652108
CENX,2024-11-01,17.68,17.92,17.16,17.22,1024113
CENX,2024-11-04,17.22,17.88,17.11,17.54,1385710
CENX,2024-11-05,18.75,22.29,18.56,21.05,4339911
CENX,2024-11-06,21.35,22.66,20.86,21.98,2456465
CENX,2024-11-07,22.77,22.77,21.83,22.1,1079500
CENX,2024-11-08,21.64,22.29,21.3,22.1,1261690
CENX,2024-11-11,22.33,22.45,21.64,22.16,1015146
CENX,2024-11-12,21.8,21.82,20.67,21.19,1465834
CENX,2024-11-13,21.46,21.57,20.58,20.69,996243
CENX,2024-11-14,21.03,21.47,20.67,21.12,1097502
CENX,2024-11-15,22.5,24.21,22.22,22.62,2695330
CENX,2024-11-18,22.62,22.7,21.73,22.24,1189798
CENX,2024-11-19,22.0,22.99,22.0,22.96,727355
CENX,2024-11-20,22.9,23.54,22.69,23.08,715531
CENX,2024-11-21,23.12,23.19,22.4,22.61,1100778
CENX,2024-11-22,22.5,22.85,22.35,22.49,719597
CENX,2024-11-25,22.72,23.38,22.36,23.24,1108600
CENX,2024-11-26,22.96,24.14,22.86,23.84,945300
CENX,2024-11-27,23.97,24.2,22.88,23.04,946651
CENX,2024-11-29,23.08,23.27,22.29,22.83,527335
CENX,2024-12-02,22.97,22.99,21.96,22.68,784200
CENX,2024-12-03,24.0,25.39,23.39,23.94,1517577
CENX,2024-12-04,24.02,24.63,23.25,23.76,1138016
CENX,2024-12-05,23.84,24.22,23.62,23.92,851175
CENX,2024-12-06,23.77,23.77,22.31,22.72,881701
CENX,2024-12-09,23.76,24.22,22.2,22.22,978633
CENX,2024-12-10,21.93,22.26,21.71,22.16,790806
CENX,2024-12-11,22.16,22.17,21.59,21.6,904100
CENX,2024-12-12,21.34,21.75,21.2,21.42,715410
CENX,2024-12-13,21.4,21.6,20.51,20.87,620535
CENX,2024-12-16,20.74,21.33,20.34,20.41,804224
CENX,2024-12-17,20.02,20.11,19.15,19.61,1074700
CENX,2024-12-18,19.72,19.97,18.31,18.59,1319500
CENX,2024-12-19,18.77,18.99,17.95,18.06,922943
CENX,2024-12-20,17.73,18.68,17.62,18.33,3179500
CENX,2024-12-23,18.35,19.07,18.31,18.87,835853
CENX,2024-12-24,19.18,19.18,18.79,19.01,355200
CENX,2024-12-26,19.07,19.13,18.76,18.99,610416
CENX,2024-12-27,18.82,18.96,18.33,18.41,655820
CENX,2024-12-30,18.26,18.38,17.82,18.23,671747
CENX,2024-12-31,18.29,18.68,18.12,18.22,826422
CENX,2025-01-02,18.52,18.89,17.86,17.93,708500
CENX,2025-01-03,17.95,17.95,17.06,17.29,1021000
CENX,2025-01-06,18.0,18.99,17.78,18.68,1710609
CENX,2025-01-07,18.96,19.15,18.07,18.8,1315100
CENX,2025-01-08,18.68,19.42,18.3,19.33,1287500
CENX,2025-01-10,19.33,20.0,18.98,19.32,887743
CENX,2025-01-13,19.17,20.35,18.92,20.25,1313050
CENX,2025-01-14,20.5,20.6,19.48,19.94,1106236
CENX,2025-01-15,20.65,20.74,20.04,20.39,935830
CENX,2025-01-16,20.45,21.03,20.41,20.7,786631
CENX,2025-01-17,20.85,21.0,20.66,20.73,879131
CENX,2025-01-21,21.03,21.49,20.0,20.43,1211447
CENX,2025-01-22,20.62,21.02,19.34,19.49,1106300
CENX,2025-01-23,19.17,19.88,18.82,19.8,1273139
CENX,2025-01-24,19.87,20.13,19.23,19.64,703000
CENX,2025-01-27,19.27,19.28,16.68,16.7,2844018
CENX,2025-01-28,16.64,17.8,16.3,17.17,2129900
CENX,2025-01-29,17.15,18.21,17.1,18.18,1458500
CENX,2025-01-30,18.4,18.4,17.48,18.18,1760727
CENX,2025-01-31,18.05,18.75,17.96,18.28,2961736
CENX,2025-02-03,18.8,19.08,18.03,18.17,1686658
CENX,2025-02-04,18.03,18.67,17.64,18.47,992524
CENX,2025-02-05,18.27,18.4,17.92,18.39,931843
CENX,2025-02-06,18.77,19.05,18.24,18.75,780246
CENX,2025-02-07,18.78,19.7,18.61,18.69,1043800
CENX,2025-02-10,19.82,21.9,19.82,20.6,3824300
CENX,2025-02-11,20.98,22.92,20.94,21.76,3098400
CENX,2025-02-12,21.36,21.54,20.06,20.16,2160028
CENX,2025-02-13,20.25,21.65,20.18,21.39,1785200
CENX,2025-02-14,21.57,22.11,20.8,20.94,1357619
CENX,2025-02-18,21.06,21.87,20.75,21.83,1666470
CENX,2025-02-19,21.58,21.75,20.47,20.84,1549551
CENX,2025-02-20,21.1,21.49,20.0,20.04,2407400
CENX,2025-02-21,18.86,19.81,17.07,17.38,5245195
CENX,2025-02-24,18.31,19.11,17.88,18.55,2624522
CENX,2025-02-25,18.29,20.35,18.21,20.18,3478400
CENX,2025-02-26,20.6,20.76,19.24,19.39,2156614
CENX,2025-02-27,19.51,20.24,19.18,19.37,1627389
CENX,2025-02-28,19.03,19.28,18.67,18.95,1664885
CENX,2025-03-03,19.42,19.46,17.76,18.02,1646935
CENX,2025-03-04,17.79,18.76,17.15,18.26,2034747
CENX,2025-03-05,18.78,19.12,18.27,18.96,1459812
CENX,2025-03-06,18.71,19.35,17.7,18.07,2314890
CENX,2025-03-07,17.95,19.02,17.45,18.67,1741400
CENX,2025-03-10,18.01,18.44,16.45,16.6,2770000
CENX,2025-03-11,16.74,18.81,16.65,18.11,3248102
CENX,2025-03-12,18.48,19.71,18.48,19.15,3073501
CENX,2025-03-13,19.31,19.98,19.07,19.4,1282400
CENX,2025-03-14,19.91,20.13,19.36,19.95,1373300
CENX,2025-03-17,20.06,20.69,19.73,20.45,1252300
CENX,2025-03-18,20.66,20.84,19.87,20.08,951573
CENX,2025-03-19,20.12,20.14,19.3,19.73,1562287
CENX,2025-03-20,19.6,20.45,19.23,20.11,1212119
CENX,2025-03-21,19.64,19.8,19.15,19.32,1531700
CENX,2025-03-24,19.32,19.77,18.85,18.91,1437218
CENX,2025-03-25,18.8,19.16,18.43,18.6,1392013
CENX,2025-03-26,18.95,19.2,18.49,19.0,1778300
CENX,2025-03-27,18.64,19.4,18.29,19.15,2028833
CENX,2025-03-28,19.19,19.59,18.34,18.56,1667328
CENX,2025-03-31,17.96,18.71,17.27,18.56,1585515
CENX,2025-04-01,18.41,18.74,17.9,18.4,1042300
CENX,2025-04-02,18.07,18.7,17.97,18.6,1240400
CENX,2025-04-03,17.14,18.01,17.11,17.46,3099334
CENX,2025-04-04,16.27,16.46,14.32,15.0,4275830
CENX,2025-04-07,14.26,15.8,13.67,14.99,2904327
CENX,2025-04-08,15.85,15.94,13.26,13.7,3084222
CENX,2025-04-09,13.63,16.32,13.05,15.94,2550200
CENX,2025-04-10,15.24,15.54,14.12,14.64,1634208
CENX,2025-04-11,14.91,16.02,14.85,15.6,2102604
CENX,2025-04-14,16.01,16.66,15.77,16.03,1848531
CENX,2025-04-15,15.89,16.0,15.29,15.73,1518648
CENX,2025-04-16,15.66,16.1,15.29,15.79,1087415
CENX,2025-04-17,15.76,15.99,15.48,15.59,927327
CENX,2025-04-21,15.56,15.76,14.79,15.19,1277032
CENX,2025-04-22,15.46,16.29,15.36,16.07,1347600
CENX,2025-04-23,16.8,17.58,16.63,16.87,1636811
CENX,2025-04-24,16.82,17.44,16.6,17.25,1178219
CENX,2025-04-25,16.81,17.04,16.61,16.79,768017
CENX,2025-04-28,16.8,17.07,16.5,16.74,919200
CENX,2025-04-29,16.61,16.98,16.19,16.82,1250917
CENX,2025-04-30,15.94,16.49,15.71,16.41,1056660
CENX,2025-05-01,16.63,17.02,16.51,16.8,1541814
CENX,2025-05-02,17.15,17.57,17.0,17.29,1228109
CENX,2025-05-05,17.24,17.32,16.33,16.38,1741710
CENX,2025-05-06,16.26,16.6,16.17,16.45,1185550
CENX,2025-05-07,16.2,16.5,15.41,15.82,2151600
CENX,2025-05-08,15.42,15.97,14.77,15.51,4040918
CENX,2025-05-09,15.8,16.09,15.56,15.88,2215156
CENX,2025-05-12,16.94,17.78,16.64,17.38,2632200
CENX,2025-05-13,17.66,17.78,17.02,17.18,1881657
CENX,2025-05-14,17.31,17.42,16.94,17.05,1579343
CENX,2025-05-15,16.53,16.72,16.18,16.52,1101443
CENX,2025-05-16,16.43,16.63,15.85,16.39,1451098
CENX,2025-05-19,15.97,16.47,15.9,16.28,1091900
CENX,2025-05-20,16.35,16.35,16.03,16.17,842397
CENX,2025-05-21,16.09,16.39,15.71,15.8,1134021
CENX,2025-05-22,15.74,15.76,15.35,15.48,1386247
CENX,2025-05-23,15.32,15.87,15.16,15.68,929644
