symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CF,2024-08-27,78.67,79.04,78.37,78.8,1300000
CF,2024-08-28,78.3,79.42,78.2,79.02,1308905
CF,2024-08-29,79.5,80.56,79.07,80.07,1380340
CF,2024-08-30,80.0,80.43,79.35,80.22,1772226
CF,2024-09-03,79.33,79.4,75.68,76.38,2946400
CF,2024-09-04,77.06,78.07,77.06,77.36,1337792
CF,2024-09-05,77.72,78.04,75.71,75.83,1363100
CF,2024-09-06,75.69,76.94,75.32,75.85,1444250
CF,2024-09-09,75.65,76.55,74.95,75.76,1484507
CF,2024-09-10,75.63,75.71,73.83,74.13,1552800
CF,2024-09-11,74.34,75.0,73.49,74.78,1462500
CF,2024-09-12,74.82,75.97,74.82,75.02,1494039
CF,2024-09-13,75.8,77.02,75.63,76.42,1279900
CF,2024-09-16,76.48,77.66,76.48,76.98,1304900
CF,2024-09-17,77.19,78.89,77.13,78.66,1564200
CF,2024-09-18,79.1,79.95,78.52,78.68,1368847
CF,2024-09-19,80.13,81.14,79.65,80.26,2667144
CF,2024-09-20,79.68,80.04,78.7,78.79,5249605
CF,2024-09-23,79.01,80.7,78.77,80.4,1581700
CF,2024-09-24,81.45,82.4,81.32,81.96,1709933
CF,2024-09-25,82.41,82.44,80.64,80.95,1492700
CF,2024-09-26,80.96,82.27,80.93,82.08,1661100
CF,2024-09-27,82.49,83.7,82.22,82.68,1000534
CF,2024-09-30,82.72,83.0,82.06,82.84,1462800
CF,2024-10-01,82.31,85.12,82.02,84.2,1804100
CF,2024-10-02,84.84,86.55,84.75,85.11,1870845
CF,2024-10-03,84.67,86.37,84.34,86.21,1536700
CF,2024-10-04,86.85,87.73,85.96,87.04,1289804
CF,2024-10-07,87.33,87.72,84.27,85.13,1997546
CF,2024-10-08,83.87,84.64,82.95,83.81,1286615
CF,2024-10-09,83.78,84.72,83.41,84.43,1100600
CF,2024-10-10,84.59,85.49,83.46,85.22,1510714
CF,2024-10-11,85.26,85.96,84.48,84.78,886060
CF,2024-10-14,84.2,84.3,83.27,84.0,909025
CF,2024-10-15,82.85,83.62,81.66,82.13,1685423
CF,2024-10-16,80.87,82.43,80.24,81.66,1925411
CF,2024-10-17,81.73,82.88,81.29,82.82,1422011
CF,2024-10-18,83.04,83.28,80.62,81.09,1269700
CF,2024-10-21,81.4,81.72,80.8,81.27,976000
CF,2024-10-22,81.27,81.32,80.53,80.99,1131600
CF,2024-10-23,80.8,81.59,80.8,81.26,1224248
CF,2024-10-24,81.76,82.04,80.02,80.35,1340900
CF,2024-10-25,80.54,81.05,79.9,80.32,1050414
CF,2024-10-28,80.2,80.41,78.9,79.08,1907900
CF,2024-10-29,79.16,79.58,78.52,78.55,1203900
CF,2024-10-30,78.6,79.4,78.15,78.96,1406000
CF,2024-10-31,80.55,81.7,77.95,79.39,3179806
CF,2024-11-01,80.01,81.53,79.87,81.16,1569340
CF,2024-11-04,82.18,83.78,81.27,83.43,2170260
CF,2024-11-05,83.0,84.74,82.61,83.57,1409101
CF,2024-11-06,83.17,83.55,79.62,80.21,3272700
CF,2024-11-07,80.33,81.98,79.87,81.72,2201400
CF,2024-11-08,80.79,82.05,80.18,80.82,2141062
CF,2024-11-11,80.69,82.15,80.57,82.14,1829400
CF,2024-11-12,81.78,82.28,80.84,81.31,2343348
CF,2024-11-13,81.24,82.86,80.87,82.27,1503709
CF,2024-11-14,82.79,83.67,82.28,82.78,1303932
CF,2024-11-15,83.43,86.87,83.2,84.56,2334200
CF,2024-11-18,84.71,85.2,83.55,84.86,1900632
CF,2024-11-19,84.17,85.5,83.67,85.01,2096200
CF,2024-11-20,85.14,87.78,84.96,87.32,2193637
CF,2024-11-21,87.3,88.44,86.93,88.03,1734600
CF,2024-11-22,87.47,88.24,87.04,87.2,1542300
CF,2024-11-25,87.76,88.15,84.62,84.87,3037620
CF,2024-11-26,84.71,85.89,84.45,85.6,1748300
CF,2024-11-27,85.74,86.83,85.71,86.1,980600
CF,2024-11-29,86.12,87.43,86.12,87.07,914300
CF,2024-12-02,87.1,88.91,86.68,88.34,1425578
CF,2024-12-03,89.12,91.55,88.6,91.42,2709567
CF,2024-12-04,91.57,91.73,88.42,88.86,1896617
CF,2024-12-05,88.04,88.71,86.14,86.79,1906668
CF,2024-12-06,86.86,87.09,85.63,85.89,1197800
CF,2024-12-09,86.79,87.44,85.49,85.67,1260800
CF,2024-12-10,85.68,87.42,84.88,86.28,1796900
CF,2024-12-11,86.58,87.4,86.26,87.23,1341300
CF,2024-12-12,87.97,88.37,87.06,87.53,1305905
CF,2024-12-13,87.09,87.37,86.11,86.92,1368435
CF,2024-12-16,85.8,86.11,83.99,84.18,1816132
CF,2024-12-17,83.66,84.32,83.03,84.18,1445900
CF,2024-12-18,83.53,84.28,81.92,81.99,1535683
CF,2024-12-19,82.96,83.74,81.27,81.4,1766734
CF,2024-12-20,81.36,83.22,81.28,82.53,6313737
CF,2024-12-23,82.36,82.91,81.91,82.4,1452200
CF,2024-12-24,82.4,83.22,82.0,82.94,538800
CF,2024-12-26,82.75,83.2,82.37,82.64,707217
CF,2024-12-27,82.14,83.2,82.09,82.3,852833
CF,2024-12-30,82.08,82.29,81.25,81.61,1124500
CF,2024-12-31,81.83,82.92,81.83,82.86,1186800
CF,2025-01-02,83.52,84.41,82.97,83.35,1380702
CF,2025-01-03,83.82,86.08,83.82,85.96,1762300
CF,2025-01-06,86.71,87.96,86.67,87.17,1800315
CF,2025-01-07,86.15,87.6,85.37,86.19,1950100
CF,2025-01-08,85.68,85.97,84.02,84.5,1767603
CF,2025-01-10,84.88,86.59,83.53,86.2,1811100
CF,2025-01-13,88.05,92.95,87.77,92.74,3068172
CF,2025-01-14,92.45,92.76,91.25,92.25,2792629
CF,2025-01-15,92.36,93.99,91.94,93.59,1720447
CF,2025-01-16,93.82,95.41,93.75,94.44,1760996
CF,2025-01-17,94.68,95.13,93.58,94.21,1755955
CF,2025-01-21,92.75,93.26,89.53,90.96,2627350
CF,2025-01-22,91.52,92.57,90.72,90.81,1941600
CF,2025-01-23,91.13,92.84,90.84,92.49,1394000
CF,2025-01-24,88.48,89.73,85.18,85.56,4285820
CF,2025-01-27,87.14,87.53,85.63,86.21,1973137
CF,2025-01-28,86.76,88.09,86.56,87.65,1827100
CF,2025-01-29,88.3,89.94,87.29,89.85,2119609
CF,2025-01-30,89.37,90.42,88.86,89.54,1464674
CF,2025-01-31,89.38,90.03,88.82,89.55,1595622
CF,2025-02-03,88.61,89.94,86.79,89.8,1613716
CF,2025-02-04,90.14,91.91,89.92,91.38,1439236
CF,2025-02-05,90.6,90.7,86.89,87.09,3068800
CF,2025-02-06,87.5,87.5,80.51,81.69,5933340
