symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CFG,2024-08-27,40.0,40.15,39.68,39.73,4177500
CFG,2024-08-28,39.73,40.32,39.62,40.14,7314290
CFG,2024-08-29,40.24,40.5,39.67,40.11,5514042
CFG,2024-08-30,40.18,40.48,40.03,40.46,5165112
CFG,2024-09-03,40.18,40.49,39.89,40.1,4884500
CFG,2024-09-04,39.95,40.31,39.34,39.45,4787956
CFG,2024-09-05,39.87,39.96,38.93,39.1,5204035
CFG,2024-09-06,39.1,39.56,38.12,38.24,4990580
CFG,2024-09-09,38.58,39.23,38.31,38.96,5711501
CFG,2024-09-10,39.09,39.09,37.23,37.59,8306249
CFG,2024-09-11,37.12,37.41,36.2,37.28,7187800
CFG,2024-09-12,37.31,37.64,36.93,37.32,4846048
CFG,2024-09-13,37.59,38.13,37.33,37.68,4415630
CFG,2024-09-16,37.82,38.38,37.82,38.16,3794058
CFG,2024-09-17,38.27,38.92,37.91,38.1,3195400
CFG,2024-09-18,38.05,39.06,37.88,38.27,4328022
CFG,2024-09-19,39.18,39.86,38.58,39.67,6338599
CFG,2024-09-20,39.51,39.52,38.91,39.15,9965718
CFG,2024-09-23,39.22,39.5,38.48,38.59,4410207
CFG,2024-09-24,38.64,39.0,38.06,38.31,3808304
CFG,2024-09-25,38.25,38.38,37.69,37.82,4774300
CFG,2024-09-26,38.21,38.35,37.85,38.08,4408207
CFG,2024-09-27,38.29,38.63,37.96,38.35,3554900
CFG,2024-09-30,38.34,38.73,38.0,38.6,4017901
CFG,2024-10-01,38.22,38.37,37.13,37.52,5415248
CFG,2024-10-02,37.31,38.0,37.23,37.64,4139334
CFG,2024-10-03,37.42,37.66,36.97,37.62,4191102
CFG,2024-10-04,38.37,38.89,38.2,38.7,4677900
CFG,2024-10-07,38.83,39.19,38.37,38.69,3604043
CFG,2024-10-08,38.7,39.05,38.53,38.73,5272800
CFG,2024-10-09,38.63,39.25,38.6,38.98,3959600
CFG,2024-10-10,38.78,39.26,38.64,38.82,3741159
CFG,2024-10-11,39.01,40.23,39.0,40.05,4844662
CFG,2024-10-14,40.08,40.75,39.76,40.67,4091119
CFG,2024-10-15,41.0,41.73,40.66,40.87,5528536
CFG,2024-10-16,39.78,41.57,38.94,39.86,10866300
CFG,2024-10-17,39.48,39.92,39.08,39.6,7366640
CFG,2024-10-18,39.79,40.01,39.29,39.92,5760325
CFG,2024-10-21,39.72,40.05,38.47,38.59,6356883
CFG,2024-10-22,38.57,39.24,38.31,39.11,4904750
CFG,2024-10-23,38.81,39.18,38.62,38.95,3323518
CFG,2024-10-24,39.1,39.48,38.74,39.23,2952035
CFG,2024-10-25,39.73,39.74,38.91,39.01,4645500
CFG,2024-10-28,39.44,40.26,39.3,40.17,4163222
CFG,2024-10-29,39.94,40.27,39.56,39.7,3501345
CFG,2024-10-30,39.61,40.86,39.55,40.54,4102874
CFG,2024-10-31,40.34,40.77,39.97,39.99,3933838
CFG,2024-11-01,40.16,40.76,39.69,39.7,3305603
CFG,2024-11-04,39.7,39.76,39.12,39.48,4769547
CFG,2024-11-05,39.6,40.31,39.48,40.08,2971738
CFG,2024-11-06,42.79,45.9,42.49,45.86,11578800
CFG,2024-11-07,45.4,45.48,43.49,43.7,5227891
CFG,2024-11-08,43.96,44.0,43.27,43.49,6097550
CFG,2024-11-11,44.01,44.82,43.92,44.13,4430500
CFG,2024-11-12,43.8,44.51,43.8,44.07,3259620
CFG,2024-11-13,44.39,45.08,43.95,44.07,2994200
CFG,2024-11-14,44.31,44.63,43.92,44.22,2838684
CFG,2024-11-15,44.05,44.6,43.8,44.41,3794000
CFG,2024-11-18,44.24,44.59,44.1,44.21,4758470
CFG,2024-11-19,43.4,44.0,43.4,43.72,3718839
CFG,2024-11-20,43.69,43.99,43.44,43.78,2420910
CFG,2024-11-21,44.25,44.92,44.09,44.4,3589523
CFG,2024-11-22,44.65,45.41,44.32,45.24,2761022
CFG,2024-11-25,45.61,46.76,45.57,46.01,4462469
CFG,2024-11-26,45.85,46.12,45.55,45.66,2582138
CFG,2024-11-27,45.98,46.28,45.5,45.72,2120496
CFG,2024-11-29,45.85,45.94,45.16,45.7,1977700
CFG,2024-12-02,45.7,45.78,44.5,44.69,4491127
CFG,2024-12-03,44.88,44.93,44.14,44.43,3542948
CFG,2024-12-04,44.43,44.5,43.72,44.24,2762381
CFG,2024-12-05,44.46,45.02,44.28,44.4,3396268
CFG,2024-12-06,44.49,44.77,43.97,44.65,2616846
CFG,2024-12-09,44.57,44.66,43.42,43.64,4429427
CFG,2024-12-10,44.06,45.73,43.18,44.05,6743006
CFG,2024-12-11,44.14,44.55,43.76,43.89,6510400
CFG,2024-12-12,43.77,44.01,43.0,43.23,3878946
CFG,2024-12-13,43.42,43.56,42.91,43.38,4833038
CFG,2024-12-16,43.49,43.56,43.07,43.37,2946500
CFG,2024-12-17,42.91,43.2,42.32,42.47,3078724
CFG,2024-12-18,43.15,43.21,40.47,40.5,4574938
CFG,2024-12-19,41.45,41.69,40.0,40.3,5509079
CFG,2024-12-20,40.04,41.59,40.01,41.25,12936638
CFG,2024-12-23,40.95,41.55,40.89,41.36,2052800
CFG,2024-12-24,41.37,41.77,41.24,41.77,831834
CFG,2024-12-26,41.58,41.8,41.32,41.68,2156343
CFG,2024-12-27,41.41,41.99,41.16,41.41,2102121
CFG,2024-12-30,41.04,41.69,40.69,41.35,2580400
CFG,2024-12-31,41.46,41.88,41.26,41.54,2648762
CFG,2025-01-02,41.75,42.15,41.31,41.39,2666432
CFG,2025-01-03,41.48,42.33,40.79,42.3,2635923
CFG,2025-01-06,42.66,43.17,42.3,42.53,4662604
CFG,2025-01-07,42.79,43.19,42.06,42.44,2778631
CFG,2025-01-08,42.32,42.65,41.62,42.51,2617811
CFG,2025-01-10,41.68,41.88,40.9,41.11,4074800
CFG,2025-01-13,40.87,41.96,40.78,41.92,4302045
CFG,2025-01-14,42.44,43.51,42.29,43.38,4091961
CFG,2025-01-15,44.88,45.1,44.18,44.69,4279654
CFG,2025-01-16,44.34,44.66,43.4,44.43,6053506
CFG,2025-01-17,43.94,45.83,43.57,45.13,6399900
CFG,2025-01-21,45.66,46.22,45.39,45.86,4295442
CFG,2025-01-22,45.58,45.71,44.59,44.65,4488300
CFG,2025-01-23,44.8,45.39,44.79,44.94,3845700
CFG,2025-01-24,44.63,45.58,44.63,45.06,2317641
CFG,2025-01-27,45.05,45.61,44.69,45.14,2654819
CFG,2025-01-28,45.01,45.27,44.19,44.95,3861831
CFG,2025-01-29,44.85,46.0,44.85,45.21,3363400
CFG,2025-01-30,45.67,46.4,45.51,45.91,3827744
CFG,2025-01-31,45.76,46.22,45.18,45.56,5102400
CFG,2025-02-03,44.19,45.0,43.61,44.41,4664770
CFG,2025-02-04,44.63,45.42,44.53,45.05,2939100
CFG,2025-02-05,45.45,45.69,44.84,45.63,3801700
CFG,2025-02-06,45.98,46.32,45.53,46.27,3169114
CFG,2025-02-07,46.3,46.37,45.4,45.9,2068211
CFG,2025-02-10,45.88,46.06,45.16,45.35,3368502
CFG,2025-02-11,45.12,45.66,44.45,45.17,4720200
CFG,2025-02-12,44.59,44.71,43.97,44.21,3428900
CFG,2025-02-13,44.25,44.38,43.62,44.1,3134900
CFG,2025-02-14,44.23,44.84,44.21,44.39,2325625
CFG,2025-02-18,44.57,45.07,44.39,44.82,2664700
CFG,2025-02-19,44.28,45.88,44.28,45.38,6633164
CFG,2025-02-20,45.51,45.76,43.73,44.22,3970030
CFG,2025-02-21,44.56,44.56,42.84,42.98,2873800
CFG,2025-02-24,43.41,43.43,42.27,42.49,2715042
CFG,2025-02-25,42.76,43.44,42.08,42.53,3831700
CFG,2025-02-26,42.82,43.55,42.63,43.09,3697454
CFG,2025-02-27,43.22,44.0,42.96,43.26,2800500
CFG,2025-02-28,43.56,44.17,43.09,43.83,3821800
CFG,2025-03-03,43.95,44.4,42.71,43.14,3702300
CFG,2025-03-04,42.38,42.72,40.36,41.74,7131467
CFG,2025-03-05,41.62,42.09,40.94,41.5,5540247
CFG,2025-03-06,41.11,41.16,40.21,40.58,4290630
CFG,2025-03-07,40.47,40.56,38.86,39.88,5012144
CFG,2025-03-10,38.91,39.24,37.46,38.12,7375644
CFG,2025-03-11,37.98,38.73,37.44,38.22,10095600
CFG,2025-03-12,38.83,39.03,37.97,38.76,5917300
CFG,2025-03-13,38.94,39.06,37.95,38.05,5315502
CFG,2025-03-14,38.47,39.03,38.22,38.98,4880500
CFG,2025-03-17,38.79,39.32,38.42,39.13,3793800
CFG,2025-03-18,39.27,39.53,38.87,39.23,4117317
CFG,2025-03-19,39.27,40.03,38.94,39.61,3510419
CFG,2025-03-20,39.15,39.95,39.12,39.25,4114507
CFG,2025-03-21,38.94,39.67,38.65,39.45,17066783
CFG,2025-03-24,40.12,40.71,39.86,40.45,4815500
CFG,2025-03-25,40.62,40.84,40.35,40.48,4050300
CFG,2025-03-26,40.67,41.22,40.08,40.21,3087249
CFG,2025-03-27,40.22,40.38,39.49,39.5,3023445
CFG,2025-03-28,39.36,39.8,38.23,38.55,3525234
CFG,2025-03-31,38.12,39.39,37.9,39.24,5132700
CFG,2025-04-01,38.95,39.21,38.44,38.87,3935400
CFG,2025-04-02,38.36,39.92,38.36,39.9,3274838
CFG,2025-04-03,37.83,37.83,34.67,34.69,6962300
CFG,2025-04-04,32.86,33.42,31.22,32.82,8827734
CFG,2025-04-07,32.08,34.83,31.38,33.36,7997300
CFG,2025-04-08,34.73,35.16,32.34,32.94,5873487
CFG,2025-04-09,32.16,36.5,31.44,35.88,10045826
