symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CGON,2024-08-27,37.66,37.93,36.2,36.51,338423
CGON,2024-08-28,37.41,37.41,36.14,36.79,289500
CGON,2024-08-29,36.56,37.67,35.36,36.68,1521635
CGON,2024-08-30,36.81,37.38,36.17,36.88,566100
CGON,2024-09-03,36.35,37.0,35.09,35.37,364800
CGON,2024-09-04,35.31,36.98,35.22,36.49,367500
CGON,2024-09-05,36.59,37.8,35.93,37.56,424330
CGON,2024-09-06,37.9,39.03,37.37,38.05,798507
CGON,2024-09-09,38.56,40.2,37.71,37.93,744897
CGON,2024-09-10,38.0,38.41,35.76,36.12,684100
CGON,2024-09-11,36.22,37.26,35.67,36.5,480927
CGON,2024-09-12,36.49,37.06,34.63,34.83,667400
CGON,2024-09-13,35.24,36.63,34.77,34.8,1194000
CGON,2024-09-16,34.71,39.42,34.71,37.0,1454500
CGON,2024-09-17,37.01,38.07,35.77,37.75,787425
CGON,2024-09-18,37.84,38.13,36.53,37.06,1385800
CGON,2024-09-19,38.09,39.63,37.23,39.11,1796202
CGON,2024-09-20,39.0,39.23,37.97,39.0,7543646
CGON,2024-09-23,40.0,40.0,38.16,38.34,1094024
CGON,2024-09-24,38.0,38.06,36.23,36.52,1095923
CGON,2024-09-25,36.52,37.0,35.58,36.2,513128
CGON,2024-09-26,36.62,37.01,36.0,36.78,456724
CGON,2024-09-27,37.5,38.36,36.9,37.87,530900
CGON,2024-09-30,37.34,39.0,37.34,37.73,470200
CGON,2024-10-01,37.55,37.65,36.29,36.9,494000
CGON,2024-10-02,36.46,37.0,35.87,36.4,284815
CGON,2024-10-03,36.14,36.7,35.74,35.96,381327
CGON,2024-10-04,36.63,37.0,36.06,36.63,548500
CGON,2024-10-07,36.44,36.6,35.34,35.48,329400
CGON,2024-10-08,35.42,36.47,34.69,34.82,465931
CGON,2024-10-09,34.69,35.37,34.04,34.72,309600
CGON,2024-10-10,34.16,35.07,33.49,34.48,363605
CGON,2024-10-11,34.48,36.2,34.45,36.09,397844
CGON,2024-10-14,35.81,37.74,35.6,37.52,441500
CGON,2024-10-15,37.53,38.0,36.23,37.2,474900
CGON,2024-10-16,37.68,38.3,36.99,37.05,533031
CGON,2024-10-17,37.33,37.38,36.3,36.76,357435
CGON,2024-10-18,36.89,37.45,36.21,36.44,420300
CGON,2024-10-21,36.23,36.75,35.59,36.71,316500
CGON,2024-10-22,36.57,37.74,36.31,36.98,329909
CGON,2024-10-23,36.81,37.21,34.93,35.61,594943
CGON,2024-10-24,36.89,36.89,36.15,36.45,226410
CGON,2024-10-25,36.68,37.06,36.29,36.38,227710
CGON,2024-10-28,36.99,37.81,36.73,37.29,243600
CGON,2024-10-29,37.07,37.75,35.89,36.19,191136
CGON,2024-10-30,36.03,36.9,36.03,36.32,187715
CGON,2024-10-31,36.39,36.39,35.12,35.53,379600
CGON,2024-11-01,35.69,36.68,35.22,35.91,361900
CGON,2024-11-04,35.8,37.09,35.27,36.78,344814
CGON,2024-11-05,36.75,37.04,35.68,36.93,290557
CGON,2024-11-06,38.0,39.43,36.75,38.69,658200
CGON,2024-11-07,38.6,39.8,38.22,39.06,350111
CGON,2024-11-08,38.96,39.95,38.67,39.94,279002
CGON,2024-11-11,40.44,40.47,39.5,39.69,560540
CGON,2024-11-12,39.68,39.81,36.79,36.98,528400
CGON,2024-11-13,37.45,38.06,35.06,35.15,404222
CGON,2024-11-14,35.06,36.05,34.8,35.5,702068
CGON,2024-11-15,35.83,35.83,32.53,32.9,754729
CGON,2024-11-18,33.05,34.1,32.55,33.21,464600
CGON,2024-11-19,32.92,34.05,32.34,32.8,423709
CGON,2024-11-20,32.65,33.06,31.53,32.24,755623
CGON,2024-11-21,32.55,33.16,31.28,32.34,588700
CGON,2024-11-22,32.26,33.86,32.26,33.47,404200
CGON,2024-11-25,33.95,35.22,33.57,33.95,609228
CGON,2024-11-26,33.77,34.29,33.06,33.9,269700
CGON,2024-11-27,34.82,34.82,33.92,34.1,505000
CGON,2024-11-29,34.24,34.86,33.95,34.75,199837
CGON,2024-12-02,34.79,35.96,34.0,35.77,522900
CGON,2024-12-03,36.04,36.33,34.45,34.91,357700
CGON,2024-12-04,35.13,36.73,35.06,35.91,832555
CGON,2024-12-05,35.54,36.08,31.52,33.56,1903696
CGON,2024-12-06,33.86,35.44,33.84,34.59,661828
CGON,2024-12-09,34.45,35.24,33.08,33.23,333700
CGON,2024-12-10,33.45,33.81,32.28,33.7,369930
CGON,2024-12-11,32.08,32.53,30.02,31.73,519256
CGON,2024-12-12,31.47,31.54,28.86,28.87,804500
CGON,2024-12-13,29.2,29.95,27.58,28.76,3368234
CGON,2024-12-16,29.1,29.29,27.87,29.21,959525
CGON,2024-12-17,28.92,29.31,28.4,29.27,1745800
CGON,2024-12-18,29.08,30.0,27.98,28.45,1327263
CGON,2024-12-19,28.62,28.77,27.0,28.02,1476800
CGON,2024-12-20,27.58,28.94,27.58,28.67,1470800
CGON,2024-12-23,28.59,28.69,27.63,28.13,471600
CGON,2024-12-24,28.2,28.47,27.71,28.3,263839
CGON,2024-12-26,28.06,29.34,27.82,29.11,574839
CGON,2024-12-27,29.0,30.49,28.59,30.04,1595739
CGON,2024-12-30,29.6,29.6,27.84,28.5,515607
CGON,2024-12-31,28.81,29.15,28.17,28.68,524700
CGON,2025-01-02,28.99,29.47,28.6,28.97,664600
CGON,2025-01-03,29.15,30.89,28.72,30.52,834017
CGON,2025-01-06,30.96,31.5,29.71,29.72,552215
CGON,2025-01-07,30.65,32.11,30.26,31.01,784331
CGON,2025-01-08,30.71,30.9,30.15,30.46,740020
CGON,2025-01-10,30.0,30.47,29.39,30.2,810908
CGON,2025-01-13,29.66,29.96,27.86,28.68,821025
CGON,2025-01-14,28.92,28.92,27.7,27.97,602300
CGON,2025-01-15,28.98,29.69,28.4,29.61,1042900
CGON,2025-01-16,29.6,29.6,28.76,29.1,475400
CGON,2025-01-17,29.61,30.16,28.67,29.08,634710
CGON,2025-01-21,29.32,30.35,29.26,30.0,965701
CGON,2025-01-22,29.93,30.21,29.22,30.21,775408
CGON,2025-01-23,30.03,31.04,29.19,30.75,552514
CGON,2025-01-24,30.54,31.06,29.72,30.79,601700
CGON,2025-01-27,30.65,31.16,29.87,30.5,509824
CGON,2025-01-28,30.57,30.62,29.84,30.29,695617
CGON,2025-01-29,30.16,30.67,29.75,30.29,254600
CGON,2025-01-30,30.67,30.89,30.12,30.15,600800
CGON,2025-01-31,30.3,30.8,29.54,30.07,570914
CGON,2025-02-03,29.17,29.89,28.56,29.36,294900
CGON,2025-02-04,28.93,29.99,28.93,29.95,334935
CGON,2025-02-05,30.02,30.45,29.54,30.32,675244
CGON,2025-02-06,30.41,30.59,30.02,30.03,471712
CGON,2025-02-07,29.9,30.15,28.78,28.89,328911
CGON,2025-02-10,28.95,29.25,28.14,28.27,273707
CGON,2025-02-11,28.03,28.25,27.25,27.52,436201
