symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CHD,2024-08-27,100.12,100.17,98.92,99.31,847238
CHD,2024-08-28,100.04,100.04,98.81,99.72,1044500
CHD,2024-08-29,99.9,99.93,98.82,98.94,724408
CHD,2024-08-30,99.09,100.13,99.01,100.03,1437811
CHD,2024-09-03,100.11,103.8,99.93,103.38,1888600
CHD,2024-09-04,103.59,104.55,103.17,104.29,1501300
CHD,2024-09-05,104.32,104.53,102.9,103.57,1861500
CHD,2024-09-06,103.66,104.29,102.96,103.27,1350300
CHD,2024-09-09,102.34,103.71,101.67,103.68,1948000
CHD,2024-09-10,103.67,104.68,102.53,104.02,1449000
CHD,2024-09-11,103.72,104.06,100.92,101.38,1489240
CHD,2024-09-12,101.15,101.93,100.36,101.67,1257700
CHD,2024-09-13,101.44,102.36,101.1,102.15,1034900
CHD,2024-09-16,102.41,103.42,102.41,103.31,1114223
CHD,2024-09-17,102.2,103.18,101.78,101.93,1303600
CHD,2024-09-18,101.82,102.25,100.04,100.75,1522600
CHD,2024-09-19,100.53,101.28,99.71,99.73,1159510
CHD,2024-09-20,99.74,101.95,99.74,101.52,4692127
CHD,2024-09-23,101.01,102.26,100.65,101.64,1428010
CHD,2024-09-24,101.7,102.71,101.13,101.27,1573644
CHD,2024-09-25,102.1,102.35,100.95,101.07,904840
CHD,2024-09-26,100.79,101.79,100.35,101.04,1497104
CHD,2024-09-27,101.2,102.58,101.07,102.49,1359000
CHD,2024-09-30,103.19,103.53,102.24,102.82,1482215
CHD,2024-10-01,102.7,103.24,101.85,102.58,1826400
CHD,2024-10-02,102.61,102.83,100.89,101.38,1107400
CHD,2024-10-03,101.26,101.44,99.42,99.5,1537432
CHD,2024-10-04,98.89,99.49,98.57,99.2,1037118
CHD,2024-10-07,99.46,99.46,97.23,97.29,1470022
CHD,2024-10-08,97.2,98.41,96.84,98.26,1102535
CHD,2024-10-09,98.55,99.19,98.23,98.8,923803
CHD,2024-10-10,98.95,99.22,98.1,98.4,948100
CHD,2024-10-11,98.53,99.81,98.3,99.76,1119709
CHD,2024-10-14,100.11,101.48,99.58,101.29,1040100
CHD,2024-10-15,101.92,103.24,101.66,102.45,1332845
CHD,2024-10-16,101.43,102.9,101.12,102.76,1059536
CHD,2024-10-17,102.96,103.47,102.15,103.04,1052202
CHD,2024-10-18,103.02,103.24,101.9,102.44,1520125
CHD,2024-10-21,102.27,102.87,101.43,102.02,939741
CHD,2024-10-22,101.14,101.71,99.99,100.82,1183000
CHD,2024-10-23,100.7,100.87,99.81,100.7,891432
CHD,2024-10-24,101.15,101.51,100.38,100.76,1044300
CHD,2024-10-25,100.34,100.92,98.69,99.01,1159828
CHD,2024-10-28,99.46,99.74,98.71,99.21,1737000
CHD,2024-10-29,98.86,99.59,98.36,98.8,1378000
CHD,2024-10-30,98.76,99.04,98.28,98.69,1298544
CHD,2024-10-31,98.55,99.68,98.01,98.09,2716680
CHD,2024-11-01,103.83,104.11,101.04,102.85,2960200
CHD,2024-11-04,101.94,103.4,100.64,101.09,2407600
CHD,2024-11-05,100.94,102.27,100.7,102.25,1587215
CHD,2024-11-06,103.46,104.26,100.78,101.33,3047900
CHD,2024-11-07,101.75,102.73,100.63,102.02,1442400
CHD,2024-11-08,102.72,105.03,102.33,104.52,1421550
CHD,2024-11-11,104.63,105.93,104.36,105.75,1575900
CHD,2024-11-12,106.04,106.71,105.26,106.03,1542440
CHD,2024-11-13,106.16,106.42,105.15,105.31,1160800
CHD,2024-11-14,105.11,106.53,104.69,105.92,1263354
CHD,2024-11-15,106.22,107.81,105.49,107.32,1951803
CHD,2024-11-18,107.0,108.69,106.62,108.57,1361717
CHD,2024-11-19,108.36,109.71,108.1,109.19,1648612
CHD,2024-11-20,109.17,110.0,108.6,109.55,2195500
CHD,2024-11-21,110.1,111.09,109.18,110.5,1808300
CHD,2024-11-22,111.17,111.72,110.0,110.15,1712400
CHD,2024-11-25,110.69,111.24,108.53,108.69,2535683
CHD,2024-11-26,109.18,109.5,107.91,108.66,1254647
CHD,2024-11-27,109.2,109.97,108.34,108.64,1054000
CHD,2024-11-29,108.2,108.85,107.64,108.41,965206
CHD,2024-12-02,109.15,111.67,108.28,109.5,2076300
CHD,2024-12-03,109.55,109.74,107.97,108.24,1055675
CHD,2024-12-04,107.54,108.28,106.71,108.17,1058942
CHD,2024-12-05,107.72,109.07,107.29,107.45,1836213
CHD,2024-12-06,107.34,108.21,105.44,105.54,1818915
CHD,2024-12-09,105.33,105.4,103.93,104.24,1474400
CHD,2024-12-10,104.24,105.71,103.83,105.39,1604876
CHD,2024-12-11,105.69,107.42,103.8,103.93,1211329
CHD,2024-12-12,104.79,105.48,103.64,103.76,996448
CHD,2024-12-13,103.87,104.25,103.34,103.99,927000
CHD,2024-12-16,104.02,105.67,104.02,104.17,1463900
CHD,2024-12-17,103.85,105.36,103.57,104.15,1407500
CHD,2024-12-18,103.66,105.1,103.18,104.21,2221745
CHD,2024-12-19,103.86,104.85,103.16,104.2,1991336
CHD,2024-12-20,104.18,104.9,103.31,104.44,3432031
CHD,2024-12-23,104.44,104.79,103.14,103.78,814000
CHD,2024-12-24,103.66,104.87,103.4,104.8,369300
CHD,2024-12-26,104.31,105.36,104.16,105.07,656700
CHD,2024-12-27,104.26,105.64,104.02,104.29,762500
CHD,2024-12-30,103.75,104.02,102.39,102.99,733500
CHD,2024-12-31,103.24,103.77,102.69,103.07,814661
CHD,2025-01-02,103.44,103.52,102.02,102.22,1231104
CHD,2025-01-03,102.36,103.46,101.47,103.01,1094300
CHD,2025-01-06,102.16,102.91,99.93,100.08,1515500
CHD,2025-01-07,100.64,101.35,100.42,101.19,1658512
CHD,2025-01-08,101.03,101.36,100.26,100.97,1608708
CHD,2025-01-10,99.88,101.1,99.29,99.84,1537800
CHD,2025-01-13,100.45,101.28,99.41,101.25,2021400
CHD,2025-01-14,101.43,103.75,101.26,103.64,2150700
CHD,2025-01-15,103.92,103.92,100.68,101.82,1548600
CHD,2025-01-16,101.92,104.85,101.8,104.61,1662600
CHD,2025-01-17,105.04,105.42,104.3,104.81,1712800
CHD,2025-01-21,105.28,105.79,104.42,104.99,1230000
CHD,2025-01-22,106.31,106.36,104.53,105.03,1474322
CHD,2025-01-23,104.75,104.98,103.37,104.63,1584207
CHD,2025-01-24,104.57,105.01,103.64,104.59,1208411
CHD,2025-01-27,106.47,107.86,105.87,107.68,1552833
CHD,2025-01-28,107.32,107.96,105.44,105.85,1265626
CHD,2025-01-29,105.72,106.19,104.85,105.1,1500100
CHD,2025-01-30,106.03,106.09,104.39,105.45,1928800
CHD,2025-01-31,105.33,105.33,103.14,103.87,3425109
CHD,2025-02-03,103.37,105.7,103.26,104.77,2514133
CHD,2025-02-04,104.23,104.85,103.3,104.32,1622000
CHD,2025-02-05,104.62,105.78,103.82,105.52,1533446
CHD,2025-02-06,106.21,106.3,103.26,103.75,1337834
CHD,2025-02-07,103.48,103.62,102.67,103.38,855138
CHD,2025-02-10,103.15,103.31,102.24,102.92,1086653
CHD,2025-02-11,103.15,103.29,102.12,103.24,1222831
CHD,2025-02-12,102.66,104.83,102.66,104.3,1438200
CHD,2025-02-13,104.54,106.2,104.27,105.85,1230238
CHD,2025-02-14,105.64,105.84,103.63,103.65,1723600
CHD,2025-02-18,102.83,103.38,101.89,102.52,1237500
CHD,2025-02-19,103.0,103.71,102.59,103.02,1094722
CHD,2025-02-20,101.87,103.21,101.81,103.08,1727100
CHD,2025-02-21,102.81,104.22,101.7,103.97,1978505
CHD,2025-02-24,103.51,107.39,103.51,106.2,1706600
CHD,2025-02-25,107.0,109.77,106.96,109.15,2470423
CHD,2025-02-26,108.56,108.58,107.02,107.19,1874416
CHD,2025-02-27,106.61,108.32,105.83,107.96,988811
CHD,2025-02-28,109.2,109.93,107.76,109.77,1949200
CHD,2025-03-03,109.42,110.7,108.65,110.62,1728217
CHD,2025-03-04,111.54,113.12,109.17,109.28,1583600
CHD,2025-03-05,109.4,110.79,108.82,109.23,1563943
CHD,2025-03-06,109.23,110.26,108.59,109.46,1716400
CHD,2025-03-07,109.32,112.38,108.88,110.88,1696802
CHD,2025-03-10,111.93,114.96,111.48,111.74,2232759
CHD,2025-03-11,111.29,111.82,110.11,110.74,1535404
CHD,2025-03-12,108.81,109.35,107.17,107.63,1540447
CHD,2025-03-13,107.69,108.98,107.29,108.35,2196900
CHD,2025-03-14,107.54,108.12,106.77,107.69,938200
CHD,2025-03-17,107.45,108.82,107.16,107.91,1616142
CHD,2025-03-18,107.66,107.79,105.87,106.0,1207100
CHD,2025-03-19,105.84,106.85,105.43,106.64,1413822
CHD,2025-03-20,106.6,107.05,105.73,106.68,1391204
CHD,2025-03-21,106.95,107.76,105.2,105.77,2538700
CHD,2025-03-24,105.42,106.53,104.58,105.52,1424400
CHD,2025-03-25,105.49,105.72,102.89,103.38,1084000
