symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CHDN,2024-08-27,136.07,137.08,135.14,136.57,269100
CHDN,2024-08-28,136.57,138.03,135.43,137.99,235918
CHDN,2024-08-29,138.07,140.81,137.46,137.65,311740
CHDN,2024-08-30,137.9,138.5,136.54,138.03,219600
CHDN,2024-09-03,137.72,138.34,134.38,135.06,194349
CHDN,2024-09-04,134.7,138.63,134.18,137.36,384000
CHDN,2024-09-05,137.39,138.03,135.94,137.63,279100
CHDN,2024-09-06,138.06,138.72,135.12,135.76,223900
CHDN,2024-09-09,136.99,141.04,136.99,139.23,501348
CHDN,2024-09-10,139.74,140.06,137.02,139.06,268300
CHDN,2024-09-11,139.17,139.97,136.83,139.3,282405
CHDN,2024-09-12,139.72,140.3,138.56,139.29,240400
CHDN,2024-09-13,139.58,141.04,138.94,139.5,301222
CHDN,2024-09-16,139.88,141.04,138.69,139.61,359000
CHDN,2024-09-17,140.15,140.65,138.12,139.03,479766
CHDN,2024-09-18,139.53,140.45,137.17,137.84,398655
CHDN,2024-09-19,139.55,140.07,138.37,139.65,589641
CHDN,2024-09-20,139.15,139.54,135.86,136.75,1558311
CHDN,2024-09-23,137.43,137.45,134.1,136.26,455808
CHDN,2024-09-24,136.54,137.47,132.09,132.35,504014
CHDN,2024-09-25,132.54,134.02,130.64,130.85,539000
CHDN,2024-09-26,132.45,133.93,131.22,132.49,412607
CHDN,2024-09-27,132.69,133.86,131.99,133.12,596700
CHDN,2024-09-30,133.17,135.43,132.58,134.3,517100
CHDN,2024-10-01,134.43,135.23,132.18,135.01,515000
CHDN,2024-10-02,134.72,136.05,134.5,135.51,333545
CHDN,2024-10-03,134.58,136.14,133.49,135.6,265645
CHDN,2024-10-04,137.19,137.51,135.73,136.6,262700
CHDN,2024-10-07,136.05,136.97,134.89,135.65,353620
CHDN,2024-10-08,135.08,139.5,135.05,138.09,535449
CHDN,2024-10-09,137.68,139.78,136.89,139.68,469514
CHDN,2024-10-10,139.31,139.92,138.13,139.05,528130
CHDN,2024-10-11,139.16,140.71,137.52,138.13,408007
CHDN,2024-10-14,138.14,138.55,136.7,137.76,399200
CHDN,2024-10-15,137.57,140.1,137.19,137.88,300536
CHDN,2024-10-16,138.19,139.37,138.11,139.17,265518
CHDN,2024-10-17,139.74,140.03,138.55,139.65,233500
CHDN,2024-10-18,139.43,139.94,136.63,137.08,318902
CHDN,2024-10-21,136.53,137.13,133.83,134.58,364933
CHDN,2024-10-22,134.12,134.53,132.1,133.33,379515
CHDN,2024-10-23,133.17,134.68,132.83,133.23,557546
CHDN,2024-10-24,129.23,140.01,129.23,139.2,907634
CHDN,2024-10-25,139.84,139.87,138.13,139.3,945300
CHDN,2024-10-28,141.04,142.03,139.71,140.22,569622
CHDN,2024-10-29,139.46,143.33,138.74,143.19,630718
CHDN,2024-10-30,142.8,144.28,141.73,143.01,584700
CHDN,2024-10-31,143.08,143.38,139.1,139.16,469600
CHDN,2024-11-01,139.36,140.47,136.34,137.55,507000
CHDN,2024-11-04,137.16,138.24,135.21,136.33,264200
CHDN,2024-11-05,135.72,136.87,134.68,136.24,259441
CHDN,2024-11-06,140.64,149.2,140.64,146.46,1052921
CHDN,2024-11-07,145.99,146.79,143.63,145.42,329800
CHDN,2024-11-08,145.42,146.63,143.6,144.34,443400
CHDN,2024-11-11,145.32,145.32,140.08,140.92,731506
CHDN,2024-11-12,140.94,140.94,138.07,140.33,565602
