symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CIFR,2024-08-27,3.9,3.95,3.67,3.74,7918140
CIFR,2024-08-28,3.7,3.79,3.52,3.53,7034224
CIFR,2024-08-29,3.64,3.84,3.56,3.59,7474300
CIFR,2024-08-30,3.61,3.67,3.49,3.51,8093500
CIFR,2024-09-03,3.4,3.46,3.15,3.2,8055900
CIFR,2024-09-04,3.08,3.16,2.92,2.98,11492800
CIFR,2024-09-05,2.99,3.05,2.86,2.89,5911733
CIFR,2024-09-06,2.97,2.98,2.66,2.7,8386007
CIFR,2024-09-09,2.79,2.96,2.74,2.95,7772600
CIFR,2024-09-10,2.98,3.12,2.83,3.11,9358836
CIFR,2024-09-11,3.0,3.19,2.87,3.1,7741704
CIFR,2024-09-12,3.08,3.14,3.0,3.09,5450116
CIFR,2024-09-13,3.1,3.22,3.04,3.09,5362900
CIFR,2024-09-16,3.0,3.04,2.86,3.01,4514916
CIFR,2024-09-17,3.13,3.14,2.97,2.98,9377000
CIFR,2024-09-18,3.03,3.15,2.85,2.9,11233511
CIFR,2024-09-19,3.1,3.11,2.91,2.93,8638725
CIFR,2024-09-20,2.93,2.99,2.86,2.9,19023500
CIFR,2024-09-23,2.93,3.03,2.92,2.99,10638600
CIFR,2024-09-24,3.04,3.48,3.04,3.44,22433131
CIFR,2024-09-25,3.65,4.18,3.63,3.86,22690832
CIFR,2024-09-26,4.01,4.23,3.81,4.14,14646900
CIFR,2024-09-27,4.18,4.27,3.93,4.11,10103045
CIFR,2024-09-30,3.73,4.11,3.66,3.87,8487106
CIFR,2024-10-01,3.85,3.88,3.48,3.58,11217219
CIFR,2024-10-02,3.52,3.89,3.51,3.85,7840700
CIFR,2024-10-03,3.72,3.86,3.66,3.82,5164904
CIFR,2024-10-04,3.94,4.21,3.91,4.1,11918337
CIFR,2024-10-07,4.08,4.15,3.91,4.02,7271746
CIFR,2024-10-08,3.99,4.05,3.88,3.96,5043700
CIFR,2024-10-09,3.96,3.99,3.74,3.77,5983500
CIFR,2024-10-10,3.72,3.75,3.58,3.67,5473722
