symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CLMT,2024-08-28,20.0,20.19,18.36,18.52,672000
CLMT,2024-08-29,18.65,19.05,17.86,18.06,510734
CLMT,2024-08-30,18.01,18.61,17.57,18.06,508538
CLMT,2024-09-03,17.97,18.11,17.02,17.38,477400
CLMT,2024-09-04,17.26,18.48,17.26,18.01,392000
CLMT,2024-09-05,18.06,18.34,17.45,17.48,296420
CLMT,2024-09-06,17.53,18.14,16.63,17.75,1171316
CLMT,2024-09-09,17.95,18.25,15.4,16.01,1066800
CLMT,2024-09-10,15.84,16.51,15.58,15.98,608545
CLMT,2024-09-11,16.14,16.17,15.03,15.03,739400
CLMT,2024-09-12,15.98,16.9,15.85,16.58,872900
CLMT,2024-09-13,16.21,17.35,16.21,17.16,1071565
CLMT,2024-09-16,17.02,18.18,16.87,17.96,1168100
CLMT,2024-09-17,17.99,18.48,17.54,18.29,1034320
CLMT,2024-09-18,18.5,18.74,17.85,18.24,1455900
CLMT,2024-09-19,18.68,18.88,17.39,18.03,1317519
CLMT,2024-09-20,17.7,18.11,17.18,18.0,6442531
CLMT,2024-09-23,17.52,17.99,17.0,17.22,1095300
CLMT,2024-09-24,17.25,17.89,17.05,17.77,1043100
CLMT,2024-09-25,17.46,17.98,17.35,17.45,381600
CLMT,2024-09-26,17.4,17.93,17.0,17.01,274400
CLMT,2024-09-27,17.14,17.63,17.14,17.52,242500
CLMT,2024-09-30,17.65,17.99,17.45,17.82,261700
CLMT,2024-10-01,17.85,18.07,17.45,17.46,308334
CLMT,2024-10-02,17.54,17.9,17.39,17.66,256400
CLMT,2024-10-03,17.94,19.24,17.7,18.98,717900
CLMT,2024-10-04,19.0,20.62,19.0,20.42,864700
CLMT,2024-10-07,20.22,20.94,20.03,20.47,681419
CLMT,2024-10-08,20.54,20.54,19.6,20.26,409342
CLMT,2024-10-09,20.29,20.58,19.69,20.1,584400
CLMT,2024-10-10,20.5,20.78,19.7,20.23,812500
CLMT,2024-10-11,20.38,20.8,20.13,20.67,346636
CLMT,2024-10-14,20.75,21.68,20.47,21.38,668900
CLMT,2024-10-15,20.94,21.99,20.33,21.88,1134332
CLMT,2024-10-16,21.33,21.98,21.33,21.93,674046
CLMT,2024-10-17,25.07,25.29,21.61,21.87,2351905
CLMT,2024-10-18,22.0,22.47,19.73,20.06,2288536
CLMT,2024-10-21,20.49,21.85,20.22,21.15,1040634
CLMT,2024-10-22,21.15,21.47,20.84,21.2,470835
CLMT,2024-10-23,21.2,22.27,21.0,21.07,633700
CLMT,2024-10-24,20.72,21.29,20.72,21.19,546132
CLMT,2024-10-25,21.4,21.4,20.83,21.18,422234
CLMT,2024-10-28,21.0,21.68,20.71,21.41,573551
CLMT,2024-10-29,21.18,21.52,20.06,20.13,652100
CLMT,2024-10-30,20.11,21.42,20.01,21.21,564344
CLMT,2024-10-31,21.21,21.54,20.4,21.33,672040
CLMT,2024-11-01,21.37,21.7,20.78,21.12,611300
CLMT,2024-11-04,20.96,21.69,20.84,21.03,420148
CLMT,2024-11-05,21.06,21.54,20.49,20.55,421696
CLMT,2024-11-06,19.46,19.92,18.22,19.6,1175162
CLMT,2024-11-07,19.72,20.54,19.72,20.26,909800
CLMT,2024-11-08,20.32,22.5,18.18,22.24,1588400
CLMT,2024-11-11,22.2,22.84,21.8,22.25,1248245
CLMT,2024-11-12,22.0,22.3,20.15,20.33,1008412
CLMT,2024-11-13,20.22,20.48,19.61,19.9,701800
CLMT,2024-11-14,19.96,20.54,19.63,20.49,397400
CLMT,2024-11-15,20.53,21.71,20.46,20.92,735939
CLMT,2024-11-18,21.04,21.22,20.09,20.57,526008
CLMT,2024-11-19,20.4,21.08,20.4,20.79,471900
CLMT,2024-11-20,20.66,21.32,20.53,20.81,413925
CLMT,2024-11-21,20.87,21.63,20.86,21.52,341887
CLMT,2024-11-22,21.6,22.17,21.22,21.8,585700
CLMT,2024-11-25,22.0,22.43,21.41,22.16,1786913
CLMT,2024-11-26,22.0,22.63,21.98,22.4,437700
CLMT,2024-11-27,22.46,22.73,22.02,22.4,286642
CLMT,2024-11-29,22.5,23.25,22.22,22.54,323219
CLMT,2024-12-02,22.81,22.81,21.83,22.51,654105
CLMT,2024-12-03,22.6,22.75,20.86,21.92,982127
CLMT,2024-12-04,21.82,22.6,21.41,22.52,686200
CLMT,2024-12-05,22.53,23.34,22.02,22.1,793841
CLMT,2024-12-06,21.87,22.0,21.25,21.87,406970
CLMT,2024-12-09,21.98,22.05,21.01,21.56,424200
CLMT,2024-12-10,21.79,22.16,21.44,21.58,705035
CLMT,2024-12-11,21.67,22.37,21.36,22.28,412449
CLMT,2024-12-12,22.22,22.4,21.5,21.83,538421
CLMT,2024-12-13,21.87,22.0,20.56,21.38,699423
CLMT,2024-12-16,21.45,21.5,20.0,20.18,779531
CLMT,2024-12-17,20.0,21.64,19.85,21.6,771905
CLMT,2024-12-18,21.79,22.18,20.53,20.68,616132
CLMT,2024-12-19,21.0,21.11,20.15,20.3,552300
CLMT,2024-12-20,20.2,21.02,20.2,20.39,2068759
CLMT,2024-12-23,20.55,20.9,19.74,19.86,746700
CLMT,2024-12-24,19.76,21.16,19.32,20.62,574620
CLMT,2024-12-26,20.37,20.77,20.2,20.6,748347
CLMT,2024-12-27,20.47,21.41,20.44,21.17,740239
CLMT,2024-12-30,21.0,21.75,20.64,21.73,455330
CLMT,2024-12-31,21.98,22.19,21.59,22.02,885637
CLMT,2025-01-02,22.04,22.39,21.65,21.79,551200
CLMT,2025-01-03,21.94,23.72,21.58,23.58,1198719
CLMT,2025-01-06,23.58,23.75,22.07,22.44,991100
CLMT,2025-01-07,22.24,22.24,20.94,21.31,658301
