symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CMCSA,2024-08-27,37.64,37.99,37.62,37.71,13067629
CMCSA,2024-08-28,37.72,37.81,37.4,37.42,11219791
CMCSA,2024-08-29,37.5,37.56,36.92,36.98,22626412
CMCSA,2024-08-30,37.23,37.23,36.71,37.08,25874923
CMCSA,2024-09-03,37.19,37.39,36.94,37.02,18351112
CMCSA,2024-09-04,37.21,37.65,35.99,36.24,24534700
CMCSA,2024-09-05,36.47,37.33,36.44,37.3,19033723
CMCSA,2024-09-06,37.3,37.81,37.01,37.12,18549208
CMCSA,2024-09-09,37.24,37.51,36.5,37.22,13590818
CMCSA,2024-09-10,37.32,37.45,36.46,36.68,13752432
CMCSA,2024-09-11,36.68,36.68,35.74,36.25,16883400
CMCSA,2024-09-12,36.43,36.86,36.09,36.84,17059400
CMCSA,2024-09-13,36.85,37.39,36.77,37.07,13100500
CMCSA,2024-09-16,37.29,37.54,36.73,36.89,16731015
CMCSA,2024-09-17,37.06,37.32,36.75,36.81,13113216
CMCSA,2024-09-18,36.89,37.59,36.08,37.32,17279100
CMCSA,2024-09-19,37.82,38.49,37.63,37.74,16867403
CMCSA,2024-09-20,37.69,38.09,37.43,37.59,59666402
CMCSA,2024-09-23,37.68,38.35,37.6,38.17,21977300
CMCSA,2024-09-24,38.26,38.87,38.07,38.75,24195547
CMCSA,2024-09-25,38.71,38.71,37.98,38.04,24054900
CMCSA,2024-09-26,38.15,38.5,38.1,38.44,19316723
CMCSA,2024-09-27,38.64,39.43,38.6,39.02,17491235
CMCSA,2024-09-30,39.13,39.27,38.71,39.15,22382689
CMCSA,2024-10-01,39.01,39.33,38.58,39.08,18226381
CMCSA,2024-10-02,39.06,39.51,38.93,38.98,11124411
CMCSA,2024-10-03,38.73,38.81,38.26,38.52,10457611
CMCSA,2024-10-04,38.59,39.03,38.37,38.87,13697490
CMCSA,2024-10-07,38.64,38.87,38.24,38.28,17063100
CMCSA,2024-10-08,38.29,38.73,38.11,38.65,18173500
CMCSA,2024-10-09,38.65,39.11,38.47,39.07,11396572
CMCSA,2024-10-10,39.19,39.59,38.74,38.79,11975800
CMCSA,2024-10-11,38.86,39.15,38.77,38.94,10447800
CMCSA,2024-10-14,39.03,39.69,38.98,39.61,12121039
CMCSA,2024-10-15,39.52,40.36,39.52,39.74,14841700
CMCSA,2024-10-16,39.87,40.22,39.84,39.88,11768013
CMCSA,2024-10-17,40.19,40.35,39.31,39.86,16288135
CMCSA,2024-10-18,39.59,39.99,39.51,39.57,14188200
CMCSA,2024-10-21,39.6,39.62,38.18,38.25,16333502
CMCSA,2024-10-22,38.38,39.92,38.29,39.21,18594714
CMCSA,2024-10-23,39.19,39.56,38.9,39.21,16411700
CMCSA,2024-10-24,39.44,39.64,39.02,39.31,16562800
CMCSA,2024-10-25,39.7,40.21,39.28,39.32,19363495
CMCSA,2024-10-28,39.28,39.6,39.28,39.49,19062511
CMCSA,2024-10-29,39.43,40.11,39.4,39.71,21091500
CMCSA,2024-10-30,39.47,40.09,39.46,39.87,27530400
CMCSA,2024-10-31,42.67,42.77,40.44,41.22,35198400
CMCSA,2024-11-01,41.86,42.17,41.04,41.11,25078500
CMCSA,2024-11-04,41.23,41.31,40.1,40.14,21753157
CMCSA,2024-11-05,40.34,40.64,39.94,40.17,16783200
CMCSA,2024-11-06,41.36,42.68,40.99,42.6,31072519
CMCSA,2024-11-07,42.45,42.47,41.67,41.71,17151784
CMCSA,2024-11-08,41.68,41.89,41.2,41.44,23019736
CMCSA,2024-11-11,41.49,42.13,41.45,41.72,11088928
CMCSA,2024-11-12,41.43,41.71,41.38,41.56,13411900
CMCSA,2024-11-13,41.2,41.7,41.06,41.44,11593405
CMCSA,2024-11-14,41.45,41.59,40.77,41.04,20179020
CMCSA,2024-11-15,41.04,41.36,40.19,40.47,18344398
CMCSA,2024-11-18,40.44,40.79,40.34,40.58,19101324
CMCSA,2024-11-19,40.2,40.36,39.93,39.94,29279300
CMCSA,2024-11-20,40.34,40.6,39.63,40.57,21068600
CMCSA,2024-11-21,40.67,41.27,40.12,41.05,15647200
