symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CME,2024-12-06,227.82,228.16,222.7,222.78,3162626
CME,2024-12-09,223.54,224.44,219.66,221.37,2125370
CME,2024-12-10,220.7,224.67,219.71,223.68,2164665
CME,2024-12-11,222.72,223.68,218.98,219.11,3689300
CME,2024-12-12,220.43,221.44,219.14,220.65,1695837
CME,2024-12-13,220.01,222.1,218.9,221.81,1810833
CME,2024-12-16,222.42,223.13,220.01,220.62,1841000
CME,2024-12-17,220.77,221.35,218.89,220.69,1613059
CME,2024-12-18,219.88,224.24,219.76,221.71,2864960
CME,2024-12-19,221.47,224.63,221.24,221.46,2854306
CME,2024-12-20,221.63,224.72,220.32,223.06,3172716
CME,2024-12-23,222.57,223.11,220.52,222.58,1620100
CME,2024-12-24,222.63,224.02,222.58,223.94,478413
CME,2024-12-26,223.01,224.09,222.79,223.7,1174716
CME,2024-12-27,222.06,225.03,222.06,223.78,1384045
CME,2024-12-30,223.08,223.8,221.57,221.9,1224626
CME,2024-12-31,223.04,223.46,221.99,222.57,1041940
CME,2025-01-02,222.82,224.4,222.17,223.04,2246601
CME,2025-01-03,222.01,223.08,220.9,222.83,1597939
CME,2025-01-06,219.8,221.39,216.05,216.42,2297668
CME,2025-01-07,217.23,218.56,215.27,217.56,2121004
CME,2025-01-08,218.15,219.87,216.87,219.76,2002500
CME,2025-01-10,219.4,220.32,217.47,219.66,2739765
CME,2025-01-13,219.23,220.95,218.76,219.9,1650044
CME,2025-01-14,218.94,222.29,218.85,222.09,1427827
CME,2025-01-15,222.51,223.35,216.09,218.4,2703625
CME,2025-01-16,218.73,222.79,218.4,222.64,1572635
CME,2025-01-17,223.58,225.94,222.45,223.03,1908709
CME,2025-01-21,223.2,224.54,220.62,222.59,2041400
CME,2025-01-22,222.42,223.04,221.19,222.85,1684734
CME,2025-01-23,222.86,224.64,221.35,223.67,2396819
CME,2025-01-24,224.09,226.34,223.76,224.91,1644699
CME,2025-01-27,226.05,227.99,224.78,227.09,1941110
CME,2025-01-28,225.67,226.63,223.93,224.64,1468900
CME,2025-01-29,223.49,224.49,222.66,222.83,1640436
CME,2025-01-30,224.01,229.39,223.42,226.1,1586525
CME,2025-01-31,225.49,227.23,223.94,226.68,1981749
CME,2025-02-03,229.83,231.51,228.23,230.64,2536837
CME,2025-02-04,230.11,232.76,228.21,232.44,2056007
CME,2025-02-05,233.21,233.21,231.03,231.59,1421621
CME,2025-02-06,232.89,234.77,232.12,234.24,1446600
CME,2025-02-07,234.12,236.47,233.53,234.64,1096100
CME,2025-02-10,234.21,235.04,231.13,231.75,1717221
CME,2025-02-11,231.49,232.5,229.72,231.68,1359348
CME,2025-02-12,235.63,242.98,235.03,238.6,2575201
CME,2025-02-13,240.02,241.23,238.38,239.7,1683240
CME,2025-02-14,238.38,239.9,235.0,235.27,1444300
CME,2025-02-18,235.59,237.77,234.26,237.54,1316714
CME,2025-02-19,237.8,240.87,237.12,240.32,1171300
CME,2025-02-20,239.25,239.34,236.43,237.99,1248700
CME,2025-02-21,237.98,238.86,236.63,238.51,1769919
CME,2025-02-24,239.45,239.95,237.15,237.44,1205462
CME,2025-02-25,238.5,241.32,237.43,240.38,2131767
CME,2025-02-26,240.38,240.48,236.95,237.67,1941635
CME,2025-02-27,237.79,241.41,236.8,239.45,1461135
CME,2025-02-28,241.13,243.81,239.27,243.21,2157509
CME,2025-03-03,243.33,247.05,243.22,246.19,2640586
CME,2025-03-04,247.23,248.02,240.88,241.5,2301238
CME,2025-03-05,241.49,246.41,241.4,243.89,2364000
CME,2025-03-06,243.17,243.76,239.13,243.47,2247950
CME,2025-03-07,243.46,247.04,241.27,245.18,2698454
CME,2025-03-10,245.43,252.83,244.92,252.61,4407425
CME,2025-03-11,252.93,253.93,247.76,250.83,4312634
CME,2025-03-12,248.9,249.34,242.22,247.25,4086319
CME,2025-03-13,246.81,251.45,245.56,250.26,3286142
CME,2025-03-14,250.12,250.43,246.71,249.14,1935748
CME,2025-03-17,251.46,254.66,249.1,253.86,2453600
CME,2025-03-18,253.98,256.79,253.26,256.66,2770509
CME,2025-03-19,255.29,258.03,254.27,255.68,2878310
CME,2025-03-20,255.23,257.71,254.7,256.71,1990500
CME,2025-03-21,256.65,257.91,253.32,253.64,7238698
CME,2025-03-24,253.53,254.08,251.2,253.25,2131600
CME,2025-03-25,252.27,253.72,250.31,252.4,2584308
CME,2025-03-26,252.92,253.65,251.38,253.03,1909800
CME,2025-03-27,253.57,254.57,251.93,252.2,1892948
CME,2025-03-28,252.88,254.1,252.1,252.55,1736196
