symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CNK,2024-08-27,27.12,28.0,26.82,27.75,2294524
CNK,2024-08-28,27.21,27.59,26.96,27.28,1969600
CNK,2024-08-29,27.3,27.38,26.82,27.3,1396700
CNK,2024-08-30,27.19,27.44,26.84,26.96,1963251
CNK,2024-09-03,27.04,27.67,26.82,26.84,2753200
CNK,2024-09-04,26.82,27.39,26.5,27.31,2773688
CNK,2024-09-05,27.35,28.27,27.23,28.15,2265729
CNK,2024-09-06,28.0,28.13,27.2,27.66,1692731
CNK,2024-09-09,27.7,28.42,27.7,28.17,1979221
CNK,2024-09-10,28.28,28.63,27.85,28.12,5815000
CNK,2024-09-11,28.03,28.41,27.73,27.8,2633300
CNK,2024-09-12,28.01,28.43,27.93,28.17,1623807
CNK,2024-09-13,28.31,28.62,27.97,28.31,1138026
CNK,2024-09-16,28.22,28.34,27.88,27.98,1459261
CNK,2024-09-17,28.17,28.17,27.56,28.16,1447955
CNK,2024-09-18,28.21,28.53,28.03,28.19,1806100
CNK,2024-09-19,28.4,28.41,27.37,27.9,2090822
CNK,2024-09-20,28.01,28.14,27.73,27.89,2914800
CNK,2024-09-23,27.89,27.89,26.94,27.2,2796442
CNK,2024-09-24,26.97,27.31,26.79,27.29,2142045
CNK,2024-09-25,27.31,27.36,26.34,26.45,3368105
CNK,2024-09-26,26.63,27.39,26.51,27.01,2535136
CNK,2024-09-27,26.96,27.48,26.77,27.42,1856179
CNK,2024-09-30,27.56,27.77,27.31,27.42,1505600
CNK,2024-10-01,27.45,27.54,27.03,27.05,2665366
CNK,2024-10-02,26.82,27.3,26.64,26.94,2956600
CNK,2024-10-03,26.81,26.85,25.88,26.28,2211005
CNK,2024-10-04,26.24,26.69,26.0,26.35,1389747
CNK,2024-10-07,26.14,26.73,25.98,26.56,1600126
CNK,2024-10-08,26.49,26.9,26.38,26.51,1317800
CNK,2024-10-09,26.75,27.16,26.54,26.93,1983100
CNK,2024-10-10,27.14,28.71,26.99,28.2,2887760
CNK,2024-10-11,28.62,29.42,28.39,29.23,3757778
CNK,2024-10-14,29.22,29.38,28.39,28.65,2467700
CNK,2024-10-15,28.54,28.59,27.7,28.27,2517626
CNK,2024-10-16,28.16,28.5,27.97,28.23,1515408
CNK,2024-10-17,28.21,28.71,27.94,28.49,1431000
CNK,2024-10-18,28.57,29.02,28.14,28.33,2938217
CNK,2024-10-21,28.33,28.93,28.02,28.13,2581225
CNK,2024-10-22,28.05,28.57,27.92,28.04,1411908
CNK,2024-10-23,27.99,28.21,27.59,27.91,1438000
CNK,2024-10-24,27.69,28.02,27.56,27.78,1656306
CNK,2024-10-25,27.86,28.43,27.82,28.25,2046555
CNK,2024-10-28,28.41,29.1,28.25,28.92,2906639
CNK,2024-10-29,28.81,29.64,28.59,29.21,3301111
CNK,2024-10-30,29.28,30.23,29.09,30.02,3499216
CNK,2024-10-31,28.92,30.62,28.01,29.3,4232306
CNK,2024-11-01,29.37,29.61,28.47,29.4,3262820
CNK,2024-11-04,29.43,29.62,28.66,29.12,2158648
CNK,2024-11-05,29.24,29.74,29.21,29.24,2258400
CNK,2024-11-06,29.97,30.45,29.32,30.29,3672500
CNK,2024-11-07,30.16,31.18,30.01,31.09,2400143
CNK,2024-11-08,30.95,31.38,30.82,31.03,2131543
CNK,2024-11-11,31.22,31.99,30.98,31.89,2166919
CNK,2024-11-12,31.84,32.6,31.65,32.24,1898236
CNK,2024-11-13,32.19,32.19,31.19,31.33,2121000
CNK,2024-11-14,31.44,32.13,31.24,31.49,2348800
CNK,2024-11-15,31.88,32.22,31.26,31.36,1978362
CNK,2024-11-18,31.16,31.61,30.8,31.5,2040200
CNK,2024-11-19,31.14,32.94,31.06,32.94,2590003
CNK,2024-11-20,33.08,33.74,32.12,32.29,3025600
CNK,2024-11-21,32.29,32.36,31.4,31.76,3441835
CNK,2024-11-22,31.77,32.17,31.45,32.13,2233900
CNK,2024-11-25,32.19,33.24,32.11,32.75,3260628
CNK,2024-11-26,32.63,33.44,32.08,32.34,7899500
CNK,2024-11-27,33.24,33.91,32.62,33.66,2827390
CNK,2024-11-29,34.08,34.46,33.63,34.0,1883300
CNK,2024-12-02,34.62,35.73,34.44,35.47,4589359
CNK,2024-12-03,35.34,35.52,34.47,34.96,2546118
CNK,2024-12-04,34.86,35.14,34.1,34.8,1916999
CNK,2024-12-05,35.03,35.28,34.72,34.9,1357400
CNK,2024-12-06,34.66,34.81,34.1,34.65,1723700
CNK,2024-12-09,34.13,34.27,32.69,32.8,3157706
CNK,2024-12-10,32.99,33.68,32.62,33.1,2607294
CNK,2024-12-11,33.2,33.39,32.24,32.53,1961029
CNK,2024-12-12,32.78,33.17,32.28,32.53,1961000
CNK,2024-12-13,32.52,32.64,31.64,31.67,1828850
CNK,2024-12-16,31.57,31.98,31.18,31.68,2652410
CNK,2024-12-17,31.18,31.4,30.61,31.08,2011300
CNK,2024-12-18,31.36,31.74,30.44,30.45,3013640
CNK,2024-12-19,30.81,31.57,30.63,30.89,2158200
CNK,2024-12-20,30.61,31.11,30.04,30.36,3243062
CNK,2024-12-23,30.2,30.41,29.79,30.03,1575916
CNK,2024-12-24,30.01,30.56,29.85,30.24,1006600
CNK,2024-12-26,30.25,30.6,30.01,30.09,2031533
CNK,2024-12-27,29.97,30.49,29.8,30.48,1673831
CNK,2024-12-30,30.16,31.07,30.05,30.5,1534514
CNK,2024-12-31,30.53,30.87,30.27,30.51,1260000
CNK,2025-01-02,30.4,30.92,30.16,30.5,3210963
CNK,2025-01-03,30.45,30.77,30.17,30.59,1168581
CNK,2025-01-06,30.22,30.49,29.16,30.07,2529827
CNK,2025-01-07,30.13,30.52,29.89,30.15,1691000
CNK,2025-01-08,29.94,30.03,29.54,29.97,1421875
CNK,2025-01-10,29.37,29.91,29.22,29.7,1785100
CNK,2025-01-13,29.39,29.71,28.99,29.3,1714000
CNK,2025-01-14,29.43,29.7,28.89,28.9,2156000
CNK,2025-01-15,29.39,30.21,28.6,28.61,1673647
CNK,2025-01-16,28.61,28.89,28.1,28.15,1941466
CNK,2025-01-17,28.27,28.62,28.14,28.23,1585200
CNK,2025-01-21,28.41,28.53,27.96,28.38,2021700
CNK,2025-01-22,28.87,29.43,28.76,28.87,2047610
CNK,2025-01-23,28.77,29.04,28.47,29.0,1112930
CNK,2025-01-24,29.02,29.05,28.42,28.65,1636884
CNK,2025-01-27,28.64,28.85,28.1,28.28,1620000
CNK,2025-01-28,28.32,28.87,28.16,28.39,1577446
CNK,2025-01-29,28.23,28.6,28.11,28.58,1217703
CNK,2025-01-30,29.02,29.1,28.14,28.41,2889185
CNK,2025-01-31,28.53,28.67,27.93,28.2,2562000
CNK,2025-02-03,28.02,28.82,27.89,28.71,5053428
CNK,2025-02-04,28.93,29.43,28.83,29.02,4269537
CNK,2025-02-05,29.29,30.71,29.28,30.09,4336317
CNK,2025-02-06,30.25,30.72,30.08,30.5,1855829
CNK,2025-02-07,30.52,30.73,30.33,30.57,1718000
CNK,2025-02-10,30.73,30.95,30.19,30.62,1822957
CNK,2025-02-11,30.47,30.92,30.25,30.8,1551342
CNK,2025-02-12,30.61,31.41,30.61,31.41,1725078
CNK,2025-02-13,31.52,32.08,31.22,32.03,3554645
CNK,2025-02-14,32.07,32.52,31.51,32.07,1940300
CNK,2025-02-18,32.06,32.88,32.01,32.56,4446000
CNK,2025-02-19,30.73,30.73,27.15,28.14,14638498
CNK,2025-02-20,27.86,27.91,26.09,27.37,8513652
CNK,2025-02-21,27.57,27.77,26.66,27.03,4297609
CNK,2025-02-24,26.78,27.24,26.48,26.6,4661609
CNK,2025-02-25,26.6,26.77,25.7,26.27,3245077
CNK,2025-02-26,25.86,26.46,25.23,25.57,6846083
CNK,2025-02-27,25.61,25.85,25.06,25.28,2575711
CNK,2025-02-28,25.25,25.42,24.86,25.22,2448527
CNK,2025-03-03,25.38,25.7,23.97,23.99,5051451
CNK,2025-03-04,24.08,24.72,23.74,24.01,4999900
CNK,2025-03-05,23.99,24.6,23.12,23.47,3736500
CNK,2025-03-06,23.16,23.47,22.84,23.45,4222102
CNK,2025-03-07,23.58,24.72,23.51,24.11,5788635
CNK,2025-03-10,23.57,24.23,23.55,23.97,3759240
CNK,2025-03-11,23.97,24.31,23.57,23.77,3944300
CNK,2025-03-12,23.91,24.12,23.37,23.58,5398847
CNK,2025-03-13,23.52,24.05,23.24,23.57,11227035
CNK,2025-03-14,23.61,24.16,23.53,23.96,3973728
CNK,2025-03-17,24.03,24.76,24.0,24.64,4351400
CNK,2025-03-18,24.52,25.13,24.24,24.71,4346200
CNK,2025-03-19,24.89,25.85,24.89,25.79,4558832
CNK,2025-03-20,25.55,26.37,25.55,26.11,5806410
CNK,2025-03-21,26.0,26.0,25.59,25.74,4693846
CNK,2025-03-24,26.18,26.4,24.95,25.06,5207839
CNK,2025-03-25,24.93,25.59,24.65,25.29,2863400
CNK,2025-03-26,25.38,25.84,25.36,25.75,4390200
CNK,2025-03-27,25.68,25.97,25.39,25.43,2448124
CNK,2025-03-28,25.22,25.22,24.45,24.54,2382740
CNK,2025-03-31,24.2,24.71,23.73,24.59,3037800
CNK,2025-04-01,24.49,24.7,24.07,24.24,3168009
CNK,2025-04-02,24.14,24.7,23.92,24.49,2220000
CNK,2025-04-03,23.91,24.73,23.91,24.69,4131121
CNK,2025-04-04,24.13,25.16,24.0,24.28,4202600
CNK,2025-04-07,24.67,26.98,24.23,25.39,7008042
CNK,2025-04-08,25.76,26.22,24.97,25.14,4210400
CNK,2025-04-09,25.16,27.01,25.01,26.5,6632807
CNK,2025-04-10,25.86,27.1,25.85,26.85,4326551
CNK,2025-04-11,27.26,27.93,26.99,27.59,4073460
