symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CNP,2024-08-27,26.21,26.47,26.16,26.25,8136212
CNP,2024-08-28,26.31,26.43,25.96,26.23,9130600
CNP,2024-08-29,26.26,26.31,25.9,26.12,7115303
CNP,2024-08-30,26.26,26.36,26.05,26.33,5826000
CNP,2024-09-03,26.31,26.75,26.11,26.51,5815247
CNP,2024-09-04,26.64,27.08,26.6,26.67,5238400
CNP,2024-09-05,26.95,27.0,26.63,26.78,4205143
CNP,2024-09-06,26.79,26.9,26.25,26.31,4942644
CNP,2024-09-09,26.39,26.49,26.12,26.44,4720630
CNP,2024-09-10,26.43,26.88,26.42,26.57,7224200
CNP,2024-09-11,26.49,27.0,26.28,26.96,6402800
CNP,2024-09-12,26.96,27.07,26.55,26.61,6768500
CNP,2024-09-13,26.73,26.98,25.39,26.94,4545832
CNP,2024-09-16,27.03,27.27,27.02,27.21,2549000
CNP,2024-09-17,27.25,27.42,27.12,27.32,4160100
CNP,2024-09-18,27.38,27.38,26.93,27.21,4602234
CNP,2024-09-19,27.1,27.45,27.01,27.26,5388800
CNP,2024-09-20,27.4,27.4,26.93,27.17,16768052
CNP,2024-09-23,27.34,27.96,27.29,27.9,5324100
CNP,2024-09-24,27.72,28.15,27.65,27.66,3716900
CNP,2024-09-25,27.84,27.93,27.4,27.6,3694332
CNP,2024-09-26,27.6,28.05,27.6,27.91,3027133
CNP,2024-09-27,28.1,28.19,28.02,28.07,3354948
CNP,2024-09-30,28.12,28.39,27.87,28.38,5233700
CNP,2024-10-01,28.31,28.9,28.21,28.83,7137539
CNP,2024-10-02,28.52,29.04,28.52,28.98,6362119
CNP,2024-10-03,29.06,29.3,28.91,29.22,7995600
CNP,2024-10-04,29.15,29.55,29.07,29.44,11837526
CNP,2024-10-07,29.28,29.36,28.57,28.59,14589147
CNP,2024-10-08,28.66,28.78,28.34,28.42,8093300
CNP,2024-10-09,28.38,28.63,28.29,28.44,3916335
CNP,2024-10-10,28.52,28.67,28.37,28.44,5698807
CNP,2024-10-11,28.34,28.54,28.26,28.52,4674900
CNP,2024-10-14,28.58,28.75,28.44,28.72,3199557
CNP,2024-10-15,28.93,29.2,28.78,28.9,3940007
CNP,2024-10-16,28.96,29.19,28.9,29.04,4654500
CNP,2024-10-17,29.01,29.17,28.71,29.11,9458200
CNP,2024-10-18,29.14,29.2,28.91,29.04,4832100
CNP,2024-10-21,29.04,29.17,28.85,29.02,4791749
CNP,2024-10-22,28.76,29.02,28.72,28.73,5166847
CNP,2024-10-23,28.71,28.84,28.36,28.69,4274443
CNP,2024-10-24,28.72,28.79,28.34,28.43,4401439
CNP,2024-10-25,28.69,28.69,28.23,28.27,3756807
CNP,2024-10-28,28.76,29.08,28.36,28.69,4491237
CNP,2024-10-29,28.58,28.75,27.96,28.39,5048508
CNP,2024-10-30,28.52,28.58,28.03,28.22,3895341
CNP,2024-10-31,28.22,29.0,28.12,28.48,5678818
CNP,2024-11-01,28.49,28.63,27.56,27.57,3986200
CNP,2024-11-04,27.62,28.08,27.56,27.99,5657200
CNP,2024-11-05,27.95,28.69,27.82,28.5,5040965
CNP,2024-11-06,28.3,28.4,27.88,27.99,7913200
CNP,2024-11-07,28.08,28.74,28.01,28.33,5099300
CNP,2024-11-08,28.36,29.44,28.17,29.31,5429100
CNP,2024-11-11,29.06,29.5,28.85,28.99,4981500
CNP,2024-11-12,29.04,29.44,28.95,29.36,6007045
CNP,2024-11-13,29.52,29.97,29.14,29.33,6126938
