symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CNR,2024-08-28,94.57,97.93,93.72,97.87,665135
CNR,2024-08-29,98.63,101.84,98.26,100.47,673400
CNR,2024-08-30,100.73,101.65,100.17,101.39,346300
CNR,2024-09-03,99.9,101.08,94.59,94.87,508100
CNR,2024-09-04,95.25,95.69,93.32,93.82,327200
CNR,2024-09-05,94.03,94.56,92.43,92.43,360606
CNR,2024-09-06,93.38,93.55,89.06,90.6,497319
CNR,2024-09-09,90.8,91.14,89.55,90.41,316000
CNR,2024-09-10,90.42,91.3,87.88,88.9,402229
CNR,2024-09-11,89.1,90.64,87.72,90.35,337346
CNR,2024-09-12,91.32,94.45,90.78,92.81,267126
CNR,2024-09-13,94.17,97.1,93.6,95.57,247822
CNR,2024-09-16,96.36,97.14,95.19,96.19,205123
CNR,2024-09-17,96.96,96.96,94.73,94.89,302935
CNR,2024-09-18,95.36,96.13,92.6,93.51,338639
CNR,2024-09-19,96.1,97.06,94.21,96.85,392456
CNR,2024-09-20,96.68,98.34,95.72,96.48,1215300
CNR,2024-09-23,97.25,97.61,95.3,95.86,494622
CNR,2024-09-24,97.85,102.84,97.74,101.47,648709
CNR,2024-09-25,101.13,101.25,99.43,99.96,472722
CNR,2024-09-26,101.85,103.92,100.99,103.22,442920
CNR,2024-09-27,103.89,105.65,103.23,103.42,370038
CNR,2024-09-30,103.66,106.03,102.76,103.74,266700
CNR,2024-10-01,103.46,103.91,101.55,102.09,241500
CNR,2024-10-02,102.68,103.8,100.16,100.47,446500
CNR,2024-10-03,99.78,101.25,98.93,101.23,488000
CNR,2024-10-04,102.13,104.22,101.62,103.66,311631
CNR,2024-10-07,104.89,107.76,103.09,106.7,666523
CNR,2024-10-08,104.68,105.5,102.22,104.73,502400
CNR,2024-10-09,104.09,106.49,103.38,106.02,504000
CNR,2024-10-10,105.66,108.54,105.65,108.34,278300
CNR,2024-10-11,107.75,110.6,107.75,109.71,328715
CNR,2024-10-14,109.04,109.87,107.95,109.7,310326
CNR,2024-10-15,107.78,109.95,106.93,106.98,368353
CNR,2024-10-16,108.11,109.52,107.57,108.39,298800
CNR,2024-10-17,109.27,109.62,106.61,106.62,352927
CNR,2024-10-18,107.43,107.43,104.52,106.52,1064644
CNR,2024-10-21,106.85,107.68,104.73,107.01,457800
CNR,2024-10-22,107.32,108.04,106.14,106.6,553242
CNR,2024-10-23,105.82,105.82,103.66,105.41,519600
CNR,2024-10-24,105.64,106.19,104.58,105.58,240200
CNR,2024-10-25,106.69,107.62,106.17,106.84,253500
CNR,2024-10-28,106.53,108.71,106.31,108.39,238700
CNR,2024-10-29,108.72,110.03,107.84,109.42,357627
CNR,2024-10-30,109.0,111.71,108.09,108.7,409556
CNR,2024-10-31,109.22,111.07,107.72,109.95,314809
CNR,2024-11-01,110.35,111.39,108.16,108.35,371918
CNR,2024-11-04,108.82,108.98,106.56,107.13,585300
CNR,2024-11-05,107.41,112.72,104.97,112.64,1025809
CNR,2024-11-06,118.36,126.95,115.93,125.97,1473863
CNR,2024-11-07,126.99,127.82,122.93,126.57,723819
CNR,2024-11-08,125.9,128.83,125.15,126.9,517923
CNR,2024-11-11,127.51,129.33,125.89,128.61,456121
CNR,2024-11-12,127.64,128.28,125.25,125.69,1575346
CNR,2024-11-13,125.65,126.45,123.4,124.07,844200
CNR,2024-11-14,124.62,125.96,121.29,122.52,652234
CNR,2024-11-15,123.86,125.33,122.83,123.31,426500
CNR,2024-11-18,124.6,126.84,123.53,125.54,479002
CNR,2024-11-19,124.66,125.96,123.25,125.73,445329
CNR,2024-11-20,125.79,127.14,125.09,125.16,348619
CNR,2024-11-21,126.71,132.23,125.74,131.75,558258
CNR,2024-11-22,131.47,132.14,130.13,130.84,553584
CNR,2024-11-25,131.71,133.68,131.0,132.43,495195
CNR,2024-11-26,131.17,132.76,130.33,131.66,585138
CNR,2024-11-27,130.97,133.24,130.51,130.51,310285
CNR,2024-11-29,131.75,132.73,128.81,129.82,193400
CNR,2024-12-02,129.35,130.68,126.23,126.98,369546
CNR,2024-12-03,127.14,128.13,126.15,126.7,268802
CNR,2024-12-04,127.13,127.78,122.6,123.47,473400
CNR,2024-12-05,124.16,124.16,121.94,123.91,331927
CNR,2024-12-06,123.93,124.93,115.48,116.32,426403
CNR,2024-12-09,119.57,122.04,115.14,115.17,356305
CNR,2024-12-10,114.51,115.82,113.24,115.1,590133
CNR,2024-12-11,115.7,117.6,113.76,116.27,457562
CNR,2024-12-12,115.75,117.4,113.93,117.23,331551
CNR,2024-12-13,116.2,116.76,114.77,115.7,301700
CNR,2024-12-16,115.72,116.25,114.25,115.32,358502
CNR,2024-12-17,113.99,113.99,109.67,111.2,845100
CNR,2024-12-18,111.75,113.05,107.92,109.15,429500
CNR,2024-12-19,110.4,110.98,106.82,107.56,329415
CNR,2024-12-20,105.62,108.41,102.49,102.99,1206852
CNR,2024-12-23,103.5,104.49,101.53,104.15,400002
CNR,2024-12-24,104.22,104.29,102.44,103.52,175536
CNR,2024-12-26,103.3,104.17,102.01,102.79,325500
CNR,2024-12-27,102.39,103.34,100.91,102.13,278532
CNR,2024-12-30,102.23,105.99,102.23,105.25,392161
CNR,2024-12-31,105.8,107.52,104.94,105.96,338015
CNR,2025-01-02,106.97,108.24,105.67,107.28,496293
CNR,2025-01-03,106.36,107.93,105.28,107.2,591230
CNR,2025-01-06,108.26,108.87,104.1,104.19,626337
CNR,2025-01-07,103.99,106.42,101.92,105.76,887184
CNR,2025-01-08,103.93,105.38,102.17,104.8,593400
CNR,2025-01-10,104.94,106.28,99.91,99.91,1221209
CNR,2025-01-13,99.62,101.93,92.62,101.26,6592741
CNR,2025-01-14,99.33,100.22,95.53,98.94,1683329
CNR,2025-01-15,98.33,102.69,97.34,101.22,529100
CNR,2025-01-16,99.83,100.32,92.98,95.07,2130290
CNR,2025-01-17,95.73,98.93,94.7,96.21,1852442
CNR,2025-01-21,96.38,100.45,96.21,99.44,909867
CNR,2025-01-22,99.7,100.05,95.94,96.01,1076500
CNR,2025-01-23,96.2,98.82,95.35,95.56,1334600
CNR,2025-01-24,95.55,96.35,94.92,96.08,639100
CNR,2025-01-27,94.86,95.81,92.71,93.71,968975
CNR,2025-01-28,93.12,93.96,90.7,91.21,603006
CNR,2025-01-29,91.06,92.98,91.06,92.79,529752
CNR,2025-01-30,93.94,94.35,90.3,91.74,530028
CNR,2025-01-31,89.95,91.37,88.35,89.73,633716
CNR,2025-02-03,88.11,89.35,85.76,85.93,1310300
CNR,2025-02-04,84.3,90.46,83.91,89.05,875000
CNR,2025-02-05,88.64,89.51,87.19,88.51,603465
CNR,2025-02-06,88.51,90.6,84.66,85.14,1160235
CNR,2025-02-07,85.67,87.2,82.8,82.87,696528
CNR,2025-02-10,84.19,86.44,84.05,84.95,640936
CNR,2025-02-11,84.67,86.73,83.74,84.58,589550
CNR,2025-02-12,83.34,84.97,82.74,83.27,539800
CNR,2025-02-13,83.9,85.11,83.0,84.59,529400
CNR,2025-02-14,85.42,85.43,78.62,78.91,1221406
CNR,2025-02-18,79.37,79.85,76.49,78.07,1008849
CNR,2025-02-19,77.84,78.07,74.24,77.11,1532664
CNR,2025-02-20,79.22,82.17,76.2,81.24,2302161
CNR,2025-02-21,81.54,81.7,76.63,77.32,1203827
CNR,2025-02-24,76.02,76.41,73.95,75.17,1522211
CNR,2025-02-25,74.57,75.17,72.6,73.79,1174458
CNR,2025-02-26,73.79,77.59,73.51,74.74,1517633
CNR,2025-02-27,74.7,74.98,72.48,72.55,837869
CNR,2025-02-28,71.45,73.78,71.22,73.75,1351700
CNR,2025-03-03,74.64,76.08,69.31,69.62,1131003
CNR,2025-03-04,68.04,72.12,67.52,70.8,1079700
CNR,2025-03-05,70.77,71.62,68.96,71.0,801557
CNR,2025-03-06,69.62,70.19,67.97,69.57,843400
CNR,2025-03-07,69.39,70.25,66.18,66.96,1710243
CNR,2025-03-10,66.71,72.08,66.3,71.19,1268200
CNR,2025-03-11,72.1,76.67,71.74,76.0,1197807
CNR,2025-03-12,76.57,77.51,70.4,70.68,1090400
CNR,2025-03-13,69.85,72.57,69.62,72.13,755854
CNR,2025-03-14,72.95,74.09,71.48,73.86,684200
CNR,2025-03-17,73.64,73.76,70.62,71.65,752744
CNR,2025-03-18,73.09,75.1,73.07,74.96,708157
CNR,2025-03-19,74.93,75.27,71.0,74.13,896800
CNR,2025-03-20,72.91,73.6,71.55,72.84,961463
CNR,2025-03-21,71.68,73.78,69.75,72.92,2090447
CNR,2025-03-24,72.93,74.6,72.69,74.33,869400
CNR,2025-03-25,74.63,78.66,74.61,75.84,1452707
CNR,2025-03-26,75.82,77.87,75.34,76.91,694006
CNR,2025-03-27,76.13,78.71,75.76,78.11,599099
CNR,2025-03-28,77.56,78.03,75.52,76.67,1003846
CNR,2025-03-31,75.51,77.16,73.8,76.68,761654
CNR,2025-04-01,76.34,78.07,76.09,77.5,851500
CNR,2025-04-02,76.6,77.09,73.61,74.04,673177
CNR,2025-04-03,70.5,70.54,66.4,67.34,991583
CNR,2025-04-04,64.84,65.58,57.88,63.38,1652357
CNR,2025-04-07,61.18,66.65,59.03,64.56,1304888
CNR,2025-04-08,69.6,74.1,66.93,68.79,2835000
CNR,2025-04-09,68.16,71.95,65.09,69.65,1793178
CNR,2025-04-10,68.48,69.35,65.48,67.3,781177
CNR,2025-04-11,68.28,73.68,67.52,73.25,908624
CNR,2025-04-14,74.56,74.65,71.02,72.45,745200
CNR,2025-04-15,72.45,73.65,71.21,73.53,524824
CNR,2025-04-16,73.36,74.7,71.48,72.35,476700
CNR,2025-04-17,73.11,75.44,72.08,75.14,593100
CNR,2025-04-21,75.04,75.31,71.45,72.61,549309
CNR,2025-04-22,73.87,74.19,70.95,73.7,446800
CNR,2025-04-23,75.17,75.67,72.21,73.38,473361
CNR,2025-04-24,73.6,75.19,72.13,74.78,438077
CNR,2025-04-25,73.5,74.15,72.0,73.72,337300
CNR,2025-04-28,73.01,74.79,72.63,74.26,470435
CNR,2025-04-29,73.46,75.21,72.62,74.51,416300
CNR,2025-04-30,72.72,73.33,70.73,71.82,670200
CNR,2025-05-01,72.9,73.25,69.92,70.81,762653
CNR,2025-05-02,72.03,74.16,71.18,73.65,446209
CNR,2025-05-05,73.85,74.2,72.47,73.77,450921
CNR,2025-05-06,73.98,75.77,71.68,75.37,630054
CNR,2025-05-07,75.38,75.38,72.32,74.85,987801
CNR,2025-05-08,72.23,72.23,64.86,67.43,2838423
CNR,2025-05-09,68.13,68.16,63.02,66.87,1890646
CNR,2025-05-12,69.47,70.55,66.31,68.04,1433206
CNR,2025-05-13,69.54,74.85,69.11,74.44,1288802
CNR,2025-05-14,73.6,74.12,70.36,70.4,968600
CNR,2025-05-15,69.55,72.22,69.07,72.18,775103
CNR,2025-05-16,72.24,75.46,70.05,74.63,754431
CNR,2025-05-19,72.89,73.23,70.62,73.02,521245
CNR,2025-05-20,72.96,73.79,70.73,71.0,695631
CNR,2025-05-21,69.76,72.76,68.75,70.82,758400
CNR,2025-05-22,70.63,70.71,68.52,68.87,978200
CNR,2025-05-23,68.29,70.74,67.66,69.61,637600
CNR,2025-05-27,70.62,73.0,69.73,72.32,673218
CNR,2025-05-28,72.38,72.61,70.22,70.36,509123
CNR,2025-05-29,70.61,70.61,68.48,70.12,562740
